cell_id,PRG1_G1,PRG1_G2,PRG1_G3,PRG1_G4,PRG1_G5,PRG1_G6,PRG2_G1,PRG2_G2,PRG2_G3,PRG2_G4,PRG2_G5,PRG2_G6,PRG3_G1,PRG3_G2,PRG3_G3,PRG3_G4,PRG3_G5,PRG3_G6,PRG4_G1,PRG4_G2,PRG4_G3,PRG4_G4,PRG4_G5,PRG4_G6,PRG5_G1,PRG5_G2,PRG5_G3,PRG5_G4,PRG5_G5,PRG5_G6,PRG6_G1,PRG6_G2,PRG6_G3,PRG6_G4,PRG6_G5,PRG6_G6,PRG7_G1,PRG7_G2,PRG7_G3,PRG7_G4,PRG7_G5,PRG7_G6,PRG8_G1,PRG8_G2,PRG8_G3,PRG8_G4,PRG8_G5,PRG8_G6
ctrl_b1_c039,5.7582,5.4592,5.4592,5.5984,5.6815,5.8633,5.3543,5.4082,6.1503,5.5984,4.9512,5.7582,5.4592,5.5984,5.4592,5.2975,5.5078,5.8633,3.586,4.2651,3.586,3.8667,3.8667,4.7703,3.586,4.6659,4.0856,4.4173,4.4173,3.1942,5.4592,5.5984,5.173,5.4082,4.8649,5.5078,5.2975,5.8633,5.1044,4.7703,5.6408,5.7206,5.8295,5.5078,5.5542,5.896,5.7945,5.2372
ctrl_b1_c040,5.2482,5.7258,5.4549,5.7722,4.9874,5.6261,5.3906,5.9387,6.1142,5.6772,5.5153,5.8589,5.7722,5.6261,5.7258,5.6772,5.3906,6.0477,5.8165,5.7722,5.8996,5.7258,5.7258,5.7258,5.8589,5.6261,5.6261,5.6772,5.8996,5.6772,3.7993,4.766,4.6337,3.7993,2.7444,0.0,4.0813,4.4812,4.0813,2.7444,4.3011,4.766,3.7993,4.0813,4.0813,2.7444,4.0813,2.7444
ctrl_b1_c041,5.8142,5.1537,5.4102,5.8142,4.5228,5.3639,5.4544,5.7191,5.6504,5.4544,5.3639,5.6504,5.4968,5.7518,5.4102,5.2643,5.3639,5.7518,5.3639,5.3153,5.2643,5.5375,5.3639,5.4102,5.5375,5.4544,5.6854,5.3153,5.5375,5.4544,5.0934,4.8872,5.4968,5.1537,5.7835,5.2643,3.9437,4.5228,4.2746,3.056,3.056,4.7215,5.3639,5.4102,5.4544,5.2105,5.7191,4.4064
ctrl_b1_c042,5.2304,3.6422,0.0,4.3221,3.6422,4.3221,0.0,0.0,4.7232,3.6422,3.6422,4.3221,3.6422,5.0086,3.6422,0.0,5.0086,4.3221,4.3221,4.3221,3.6422,0.0,4.3221,4.7232,6.1028,6.3255,6.5615,6.5075,6.6127,6.6614,4.7232,0.0,4.7232,4.3221,0.0,0.0,6.2566,6.1826,5.9209,5.8158,6.9488,6.6614,5.0086,4.3221,4.3221,5.4119,5.0086,4.7232
ctrl_b1_c043,4.6453,4.6453,4.6453,3.9617,3.9617,5.0475,3.9617,5.0475,5.0475,3.9617,3.9617,4.6453,7.0344,6.8879,6.8339,6.7163,6.9879,7.2754,0.0,4.6453,0.0,0.0,3.9617,5.0475,5.0475,5.0475,0.0,0.0,3.9617,3.9617,3.9617,5.0475,3.9617,3.9617,4.6453,0.0,3.9617,3.9617,5.3336,0.0,5.0475,5.3336,0.0,5.3336,4.6453,5.0475,4.6453,4.6453
ctrl_b1_c044,6.3809,5.905,6.2327,6.0101,6.0101,6.3809,3.7293,4.4104,3.7293,4.1267,3.0599,4.9648,4.4104,3.7293,4.4104,3.7293,4.4104,4.4104,0.0,5.2145,4.8118,3.0599,3.0599,4.6311,4.1267,4.1267,3.7293,4.1267,4.4104,4.6311,4.1267,4.6311,4.1267,3.0599,3.0599,3.7293,6.1051,6.0101,5.9589,5.7232,6.2327,6.1495,5.9589,5.905,6.4147,6.3809,6.3095,5.0974
ctrl_b1_c045,6.0115,5.8209,5.9207,6.1714,5.5853,6.3093,4.4942,3.5945,2.9285,4.2738,4.6746,3.9908,5.8209,6.3093,5.3631,5.71,6.1714,5.8209,3.5945,3.9908,3.5945,2.9285,3.9908,3.9908,5.077,5.6496,5.8721,6.0115,6.0946,6.0539,5.8721,5.6496,5.3631,5.8721,6.2077,5.5853,4.4942,3.5945,4.2738,3.5945,4.2738,3.5945,2.9285,3.5945,4.4942,3.5945,5.077,3.9908
ctrl_b1_c046,6.4026,6.2404,6.6646,6.5846,6.4026,6.4978,0.0,4.1148,4.1148,3.4379,3.4379,5.0213,4.5148,4.1148,4.7998,4.7998,4.5148,3.4379,6.5421,6.5421,6.7736,5.8061,6.1155,6.5846,3.4379,4.1148,4.5148,3.4379,5.0213,4.1148,4.1148,3.4379,4.1148,3.4379,4.5148,3.4379,3.4379,4.1148,4.5148,5.0213,0.0,5.2025,0.0,0.0,0.0,4.5148,4.7998,4.1148
ctrl_b1_c047,0.0,4.4964,3.143,0.0,3.8143,3.8143,6.0969,6.1455,6.0969,5.9917,5.8099,6.3587,3.143,4.2124,3.143,4.7173,4.4964,4.2124,6.1455,6.1455,6.5967,5.7411,6.2363,6.0457,4.4964,4.2124,0.0,4.8981,3.8143,0.0,4.4964,4.8981,4.4964,3.8143,4.4964,4.2124,5.7411,5.9917,5.6673,5.6673,6.4327,6.4327,4.2124,3.143,4.7173,5.0512,4.7173,3.143
ctrl_b1_c048,4.4331,4.4331,2.8701,3.5345,4.6135,4.7662,4.213,3.5345,3.5345,3.5345,4.6135,3.9302,5.9055,5.9498,5.8591,5.4551,5.3813,6.3969,4.7662,3.5345,2.8701,4.4331,2.8701,3.5345,5.7593,5.2151,5.8591,5.8105,5.8591,5.7593,5.8105,5.9055,6.1461,5.9923,6.1811,5.9055,5.6485,5.8105,5.7055,5.6485,6.2149,6.2794,3.5345,3.5345,3.5345,4.213,4.4331,4.213
ctrl_b1_c049,4.2531,3.9702,3.9702,4.2531,3.5741,3.9702,5.6287,6.1868,6.1505,6.1128,5.3422,6.1505,5.9905,6.1505,5.8,5.9462,5.4219,5.4957,4.2531,4.2531,3.9702,4.6538,4.8066,4.4734,4.4734,2.9086,4.4734,4.2531,4.2531,2.9086,3.5741,3.9702,4.4734,3.5741,2.9086,3.5741,5.5644,6.465,5.5644,4.8066,5.8,5.6891,6.033,6.033,5.8,5.7461,5.9905,5.9462
ctrl_b1_c050,4.3944,3.8918,3.8918,4.5747,3.8918,3.8918,5.6095,5.9108,6.142,6.2086,5.7203,6.3297,4.3944,4.1744,4.1744,3.8918,4.1744,4.3944,4.1744,4.1744,3.4965,3.4965,3.8918,2.8332,4.5747,4.3944,3.8918,5.0814,3.4965,4.3944,6.0331,5.6664,5.6095,5.6664,5.7714,5.9532,5.4161,5.7714,5.7203,5.6095,5.6095,5.7714,5.8201,5.7714,5.7714,6.0707,6.271,5.994
ctrl_b1_c051,3.4735,3.4735,4.151,5.0578,0.0,4.151,6.3342,6.4394,6.8104,6.3342,6.4881,6.7013,4.151,0.0,3.4735,4.5512,3.4735,4.8363,4.151,4.5512,0.0,4.5512,3.4735,4.8363,6.1522,6.3342,6.3342,6.4394,6.4394,6.3342,3.4735,3.4735,4.8363,3.4735,4.5512,0.0,3.4735,4.151,4.151,4.151,4.151,4.8363,5.2391,4.8363,3.4735,5.0578,4.5512,4.151
ctrl_b1_c052,5.5131,5.132,5.1961,5.8549,5.0634,5.3133,5.0634,5.6795,5.7534,5.6404,5.5998,5.8222,5.5998,5.7171,5.4182,5.4668,5.4182,5.6795,5.7171,5.4668,5.7171,5.132,5.6795,5.3671,4.3766,4.2245,3.8263,4.0451,4.5085,4.0451,3.1547,3.1547,4.2245,2.5033,4.0451,2.5033,5.6795,6.004,5.1961,5.3671,5.7534,5.7171,5.7884,4.9103,5.9172,5.8222,5.7171,5.4182
ctrl_b1_c053,3.9335,4.4364,3.5377,4.2162,3.5377,4.4364,4.6168,4.2162,3.9335,4.2162,3.5377,3.5377,5.9532,5.7627,5.9088,5.7088,5.305,6.3721,2.8733,4.6168,4.2162,4.4364,4.4364,4.4364,5.5914,5.7627,6.0755,5.6518,6.0363,5.5914,5.7627,5.9088,6.2183,5.8624,6.3432,5.9088,5.5271,5.9088,5.3846,5.0189,5.8138,5.9532,3.5377,4.7695,5.0189,3.5377,5.2184,3.5377
