cell_id,sample_id,batch,if_control
pertA_b1_c078,pertA_b1,b1,False
pertA_b1_c079,pertA_b1,b1,False
pertA_b1_c080,pertA_b1,b1,False
pertA_b1_c081,pertA_b1,b1,False
pertA_b1_c082,pertA_b1,b1,False
pertA_b1_c083,pertA_b1,b1,False
pertA_b1_c084,pertA_b1,b1,False
pertA_b1_c085,pertA_b1,b1,False
pertA_b1_c086,pertA_b1,b1,False
pertA_b1_c087,pertA_b1,b1,False
pertA_b1_c088,pertA_b1,b1,False
pertA_b1_c089,pertA_b1,b1,False
pertA_b1_c090,pertA_b1,b1,False
pertA_b1_c091,pertA_b1,b1,False
pertA_b1_c092,pertA_b1,b1,False
pertA_b1_c093,pertA_b1,b1,False
pertA_b1_c094,pertA_b1,b1,False
pertA_b1_c095,pertA_b1,b1,False
pertA_b1_c096,pertA_b1,b1,False
pertA_b1_c097,pertA_b1,b1,False
pertA_b1_c098,pertA_b1,b1,False
pertA_b1_c099,pertA_b1,b1,False
pertA_b1_c100,pertA_b1,b1,False
pertA_b1_c101,pertA_b1,b1,False
pertA_b1_c102,pertA_b1,b1,False
pertA_b1_c103,pertA_b1,b1,False
pertA_b1_c104,pertA_b1,b1,False
pertA_b1_c105,pertA_b1,b1,False
pertA_b1_c106,pertA_b1,b1,False
pertA_b1_c107,pertA_b1,b1,False
pertA_b1_c108,pertA_b1,b1,False
pertA_b1_c109,pertA_b1,b1,False
pertA_b1_c110,pertA_b1,b1,False
pertA_b1_c111,pertA_b1,b1,False
pertA_b1_c112,pertA_b1,b1,False
pertA_b1_c113,pertA_b1,b1,False
pertA_b1_c114,pertA_b1,b1,False
pertA_b1_c115,pertA_b1,b1,False
pertA_b1_c116,pertA_b1,b1,False
pertA_b1_c117,pertA_b1,b1,False
pertA_b1_c118,pertA_b1,b1,False
pertA_b1_c119,pertA_b1,b1,False
pertA_b1_c120,pertA_b1,b1,False
pertA_b1_c121,pertA_b1,b1,False
pertA_b1_c122,pertA_b1,b1,False
pertA_b1_c123,pertA_b1,b1,False
pertA_b1_c124,pertA_b1,b1,False
pertA_b1_c125,pertA_b1,b1,False
pertA_b1_c126,pertA_b1,b1,False
pertA_b1_c127,pertA_b1,b1,False
pertA_b1_c128,pertA_b1,b1,False
pertA_b1_c129,pertA_b1,b1,False
pertA_b1_c130,pertA_b1,b1,False
pertA_b1_c131,pertA_b1,b1,False
pertA_b1_c132,pertA_b1,b1,False
pertA_b1_c133,pertA_b1,b1,False
pertA_b1_c134,pertA_b1,b1,False
pertA_b1_c135,pertA_b1,b1,False
pertA_b1_c136,pertA_b1,b1,False
pertA_b1_c137,pertA_b1,b1,False
pertA_b1_c138,pertA_b1,b1,False
pertA_b1_c139,pertA_b1,b1,False
pertA_b1_c140,pertA_b1,b1,False
pertA_b1_c141,pertA_b1,b1,False
pertA_b1_c142,pertA_b1,b1,False
pertA_b1_c143,pertA_b1,b1,False
pertA_b1_c144,pertA_b1,b1,False
pertA_b1_c145,pertA_b1,b1,False
pertA_b1_c146,pertA_b1,b1,False
pertA_b1_c147,pertA_b1,b1,False
pertA_b1_c148,pertA_b1,b1,False
pertA_b1_c149,pertA_b1,b1,False
pertB_b1_c000,pertB_b1,b1,False
pertB_b1_c001,pertB_b1,b1,False
pertB_b1_c002,pertB_b1,b1,False
pertB_b1_c003,pertB_b1,b1,False
pertB_b1_c004,pertB_b1,b1,False
pertB_b1_c005,pertB_b1,b1,False
pertB_b1_c006,pertB_b1,b1,False
pertB_b1_c007,pertB_b1,b1,False
pertB_b1_c008,pertB_b1,b1,False
pertB_b1_c009,pertB_b1,b1,False
pertB_b1_c010,pertB_b1,b1,False
pertB_b1_c011,pertB_b1,b1,False
pertB_b1_c012,pertB_b1,b1,False
pertB_b1_c013,pertB_b1,b1,False
pertB_b1_c014,pertB_b1,b1,False
pertB_b1_c015,pertB_b1,b1,False
pertB_b1_c016,pertB_b1,b1,False
pertB_b1_c017,pertB_b1,b1,False
pertB_b1_c018,pertB_b1,b1,False
pertB_b1_c019,pertB_b1,b1,False
pertB_b1_c020,pertB_b1,b1,False
pertB_b1_c021,pertB_b1,b1,False
pertB_b1_c022,pertB_b1,b1,False
pertB_b1_c023,pertB_b1,b1,False
pertB_b1_c024,pertB_b1,b1,False
pertB_b1_c025,pertB_b1,b1,False
pertB_b1_c026,pertB_b1,b1,False
pertB_b1_c027,pertB_b1,b1,False
pertB_b1_c028,pertB_b1,b1,False
pertB_b1_c029,pertB_b1,b1,False
pertB_b1_c030,pertB_b1,b1,False
pertB_b1_c031,pertB_b1,b1,False
pertB_b1_c032,pertB_b1,b1,False
pertB_b1_c033,pertB_b1,b1,False
pertB_b1_c034,pertB_b1,b1,False
pertB_b1_c035,pertB_b1,b1,False
pertB_b1_c036,pertB_b1,b1,False
pertB_b1_c037,pertB_b1,b1,False
pertB_b1_c038,pertB_b1,b1,False
pertB_b1_c039,pertB_b1,b1,False
pertB_b1_c040,pertB_b1,b1,False
pertB_b1_c041,pertB_b1,b1,False
pertB_b1_c042,pertB_b1,b1,False
pertB_b1_c043,pertB_b1,b1,False
pertB_b1_c044,pertB_b1,b1,False
pertB_b1_c045,pertB_b1,b1,False
pertB_b1_c046,pertB_b1,b1,False
pertB_b1_c047,pertB_b1,b1,False
pertB_b1_c048,pertB_b1,b1,False
pertB_b1_c049,pertB_b1,b1,False
pertB_b1_c050,pertB_b1,b1,False
pertB_b1_c051,pertB_b1,b1,False
pertB_b1_c052,pertB_b1,b1,False
pertB_b1_c053,pertB_b1,b1,False
pertB_b1_c054,pertB_b1,b1,False
pertB_b1_c055,pertB_b1,b1,False
pertB_b1_c056,pertB_b1,b1,False
pertB_b1_c057,pertB_b1,b1,False
pertB_b1_c058,pertB_b1,b1,False
pertB_b1_c059,pertB_b1,b1,False
pertB_b1_c060,pertB_b1,b1,False
pertB_b1_c061,pertB_b1,b1,False
pertB_b1_c062,pertB_b1,b1,False
pertB_b1_c063,pertB_b1,b1,False
pertB_b1_c064,pertB_b1,b1,False
pertB_b1_c065,pertB_b1,b1,False
pertB_b1_c066,pertB_b1,b1,False
pertB_b1_c067,pertB_b1,b1,False
pertB_b1_c068,pertB_b1,b1,False
pertB_b1_c069,pertB_b1,b1,False
pertB_b1_c070,pertB_b1,b1,False
pertB_b1_c071,pertB_b1,b1,False
pertB_b1_c072,pertB_b1,b1,False
pertB_b1_c073,pertB_b1,b1,False
pertB_b1_c074,pertB_b1,b1,False
pertB_b1_c075,pertB_b1,b1,False
pertB_b1_c076,pertB_b1,b1,False
pertB_b1_c077,pertB_b1,b1,False
pertB_b1_c078,pertB_b1,b1,False
pertB_b1_c079,pertB_b1,b1,False
pertB_b1_c080,pertB_b1,b1,False
pertB_b1_c081,pertB_b1,b1,False
pertB_b1_c082,pertB_b1,b1,False
pertB_b1_c083,pertB_b1,b1,False
pertB_b1_c084,pertB_b1,b1,False
pertB_b1_c085,pertB_b1,b1,False
pertB_b1_c086,pertB_b1,b1,False
pertB_b1_c087,pertB_b1,b1,False
pertB_b1_c088,pertB_b1,b1,False
pertB_b1_c089,pertB_b1,b1,False
pertB_b1_c090,pertB_b1,b1,False
pertB_b1_c091,pertB_b1,b1,False
pertB_b1_c092,pertB_b1,b1,False
pertB_b1_c093,pertB_b1,b1,False
pertB_b1_c094,pertB_b1,b1,False
pertB_b1_c095,pertB_b1,b1,False
pertB_b1_c096,pertB_b1,b1,False
pertB_b1_c097,pertB_b1,b1,False
pertB_b1_c098,pertB_b1,b1,False
pertB_b1_c099,pertB_b1,b1,False
pertB_b1_c100,pertB_b1,b1,False
pertB_b1_c101,pertB_b1,b1,False
pertB_b1_c102,pertB_b1,b1,False
pertB_b1_c103,pertB_b1,b1,False
pertB_b1_c104,pertB_b1,b1,False
pertB_b1_c105,pertB_b1,b1,False
pertB_b1_c106,pertB_b1,b1,False
pertB_b1_c107,pertB_b1,b1,False
pertB_b1_c108,pertB_b1,b1,False
pertB_b1_c109,pertB_b1,b1,False
pertB_b1_c110,pertB_b1,b1,False
pertB_b1_c111,pertB_b1,b1,False
pertB_b1_c112,pertB_b1,b1,False
pertB_b1_c113,pertB_b1,b1,False
pertB_b1_c114,pertB_b1,b1,False
pertB_b1_c115,pertB_b1,b1,False
pertB_b1_c116,pertB_b1,b1,False
pertB_b1_c117,pertB_b1,b1,False
pertB_b1_c118,pertB_b1,b1,False
pertB_b1_c119,pertB_b1,b1,False
pertB_b1_c120,pertB_b1,b1,False
pertB_b1_c121,pertB_b1,b1,False
pertB_b1_c122,pertB_b1,b1,False
pertB_b1_c123,pertB_b1,b1,False
pertB_b1_c124,pertB_b1,b1,False
pertB_b1_c125,pertB_b1,b1,False
pertB_b1_c126,pertB_b1,b1,False
pertB_b1_c127,pertB_b1,b1,False
pertB_b1_c128,pertB_b1,b1,False
pertB_b1_c129,pertB_b1,b1,False
pertB_b1_c130,pertB_b1,b1,False
pertB_b1_c131,pertB_b1,b1,False
pertB_b1_c132,pertB_b1,b1,False
pertB_b1_c133,pertB_b1,b1,False
pertB_b1_c134,pertB_b1,b1,False
pertB_b1_c135,pertB_b1,b1,False
pertB_b1_c136,pertB_b1,b1,False
pertB_b1_c137,pertB_b1,b1,False
pertB_b1_c138,pertB_b1,b1,False
pertB_b1_c139,pertB_b1,b1,False
pertB_b1_c140,pertB_b1,b1,False
pertB_b1_c141,pertB_b1,b1,False
pertB_b1_c142,pertB_b1,b1,False
pertB_b1_c143,pertB_b1,b1,False
pertB_b1_c144,pertB_b1,b1,False
pertB_b1_c145,pertB_b1,b1,False
pertB_b1_c146,pertB_b1,b1,False
pertB_b1_c147,pertB_b1,b1,False
pertB_b1_c148,pertB_b1,b1,False
pertB_b1_c149,pertB_b1,b1,False
pertC_b1_c000,pertC_b1,b1,False
pertC_b1_c001,pertC_b1,b1,False
pertC_b1_c002,pertC_b1,b1,False
pertC_b1_c003,pertC_b1,b1,False
pertC_b1_c004,pertC_b1,b1,False
pertC_b1_c005,pertC_b1,b1,False
pertC_b1_c006,pertC_b1,b1,False
pertC_b1_c007,pertC_b1,b1,False
pertC_b1_c008,pertC_b1,b1,False
pertC_b1_c009,pertC_b1,b1,False
pertC_b1_c010,pertC_b1,b1,False
pertC_b1_c011,pertC_b1,b1,False
pertC_b1_c012,pertC_b1,b1,False
pertC_b1_c013,pertC_b1,b1,False
pertC_b1_c014,pertC_b1,b1,False
pertC_b1_c015,pertC_b1,b1,False
pertC_b1_c016,pertC_b1,b1,False
pertC_b1_c017,pertC_b1,b1,False
pertC_b1_c018,pertC_b1,b1,False
pertC_b1_c019,pertC_b1,b1,False
pertC_b1_c020,pertC_b1,b1,False
pertC_b1_c021,pertC_b1,b1,False
pertC_b1_c022,pertC_b1,b1,False
pertC_b1_c023,pertC_b1,b1,False
pertC_b1_c024,pertC_b1,b1,False
pertC_b1_c025,pertC_b1,b1,False
pertC_b1_c026,pertC_b1,b1,False
pertC_b1_c027,pertC_b1,b1,False
pertC_b1_c028,pertC_b1,b1,False
pertC_b1_c029,pertC_b1,b1,False
pertC_b1_c030,pertC_b1,b1,False
pertC_b1_c031,pertC_b1,b1,False
pertC_b1_c032,pertC_b1,b1,False
pertC_b1_c033,pertC_b1,b1,False
pertC_b1_c034,pertC_b1,b1,False
pertC_b1_c035,pertC_b1,b1,False
pertC_b1_c036,pertC_b1,b1,False
pertC_b1_c037,pertC_b1,b1,False
pertC_b1_c038,pertC_b1,b1,False
pertC_b1_c039,pertC_b1,b1,False
pertC_b1_c040,pertC_b1,b1,False
pertC_b1_c041,pertC_b1,b1,False
pertC_b1_c042,pertC_b1,b1,False
pertC_b1_c043,pertC_b1,b1,False
pertC_b1_c044,pertC_b1,b1,False
pertC_b1_c045,pertC_b1,b1,False
pertC_b1_c046,pertC_b1,b1,False
pertC_b1_c047,pertC_b1,b1,False
pertC_b1_c048,pertC_b1,b1,False
pertC_b1_c049,pertC_b1,b1,False
pertC_b1_c050,pertC_b1,b1,False
pertC_b1_c051,pertC_b1,b1,False
pertC_b1_c052,pertC_b1,b1,False
pertC_b1_c053,pertC_b1,b1,False
pertC_b1_c054,pertC_b1,b1,False
pertC_b1_c055,pertC_b1,b1,False
pertC_b1_c056,pertC_b1,b1,False
pertC_b1_c057,pertC_b1,b1,False
pertC_b1_c058,pertC_b1,b1,False
pertC_b1_c059,pertC_b1,b1,False
pertC_b1_c060,pertC_b1,b1,False
pertC_b1_c061,pertC_b1,b1,False
pertC_b1_c062,pertC_b1,b1,False
pertC_b1_c063,pertC_b1,b1,False
pertC_b1_c064,pertC_b1,b1,False
pertC_b1_c065,pertC_b1,b1,False
pertC_b1_c066,pertC_b1,b1,False
pertC_b1_c067,pertC_b1,b1,False
pertC_b1_c068,pertC_b1,b1,False
pertC_b1_c069,pertC_b1,b1,False
pertC_b1_c070,pertC_b1,b1,False
pertC_b1_c071,pertC_b1,b1,False
pertC_b1_c072,pertC_b1,b1,False
pertC_b1_c073,pertC_b1,b1,False
pertC_b1_c074,pertC_b1,b1,False
pertC_b1_c075,pertC_b1,b1,False
pertC_b1_c076,pertC_b1,b1,False
pertC_b1_c077,pertC_b1,b1,False
pertC_b1_c078,pertC_b1,b1,False
pertC_b1_c079,pertC_b1,b1,False
pertC_b1_c080,pertC_b1,b1,False
pertC_b1_c081,pertC_b1,b1,False
pertC_b1_c082,pertC_b1,b1,False
pertC_b1_c083,pertC_b1,b1,False
pertC_b1_c084,pertC_b1,b1,False
pertC_b1_c085,pertC_b1,b1,False
pertC_b1_c086,pertC_b1,b1,False
pertC_b1_c087,pertC_b1,b1,False
pertC_b1_c088,pertC_b1,b1,False
pertC_b1_c089,pertC_b1,b1,False
pertC_b1_c090,pertC_b1,b1,False
pertC_b1_c091,pertC_b1,b1,False
pertC_b1_c092,pertC_b1,b1,False
pertC_b1_c093,pertC_b1,b1,False
pertC_b1_c094,pertC_b1,b1,False
pertC_b1_c095,pertC_b1,b1,False
pertC_b1_c096,pertC_b1,b1,False
pertC_b1_c097,pertC_b1,b1,False
pertC_b1_c098,pertC_b1,b1,False
pertC_b1_c099,pertC_b1,b1,False
pertC_b1_c100,pertC_b1,b1,False
pertC_b1_c101,pertC_b1,b1,False
pertC_b1_c102,pertC_b1,b1,False
pertC_b1_c103,pertC_b1,b1,False
pertC_b1_c104,pertC_b1,b1,False
pertC_b1_c105,pertC_b1,b1,False
pertC_b1_c106,pertC_b1,b1,False
pertC_b1_c107,pertC_b1,b1,False
pertC_b1_c108,pertC_b1,b1,False
pertC_b1_c109,pertC_b1,b1,False
pertC_b1_c110,pertC_b1,b1,False
pertC_b1_c111,pertC_b1,b1,False
pertC_b1_c112,pertC_b1,b1,False
pertC_b1_c113,pertC_b1,b1,False
pertC_b1_c114,pertC_b1,b1,False
pertC_b1_c115,pertC_b1,b1,False
pertC_b1_c116,pertC_b1,b1,False
pertC_b1_c117,pertC_b1,b1,False
pertC_b1_c118,pertC_b1,b1,False
pertC_b1_c119,pertC_b1,b1,False
pertC_b1_c120,pertC_b1,b1,False
pertC_b1_c121,pertC_b1,b1,False
pertC_b1_c122,pertC_b1,b1,False
pertC_b1_c123,pertC_b1,b1,False
pertC_b1_c124,pertC_b1,b1,False
pertC_b1_c125,pertC_b1,b1,False
pertC_b1_c126,pertC_b1,b1,False
pertC_b1_c127,pertC_b1,b1,False
pertC_b1_c128,pertC_b1,b1,False
pertC_b1_c129,pertC_b1,b1,False
pertC_b1_c130,pertC_b1,b1,False
pertC_b1_c131,pertC_b1,b1,False
pertC_b1_c132,pertC_b1,b1,False
pertC_b1_c133,pertC_b1,b1,False
pertC_b1_c134,pertC_b1,b1,False
pertC_b1_c135,pertC_b1,b1,False
pertC_b1_c136,pertC_b1,b1,False
pertC_b1_c137,pertC_b1,b1,False
pertC_b1_c138,pertC_b1,b1,False
pertC_b1_c139,pertC_b1,b1,False
pertC_b1_c140,pertC_b1,b1,False
pertC_b1_c141,pertC_b1,b1,False
pertC_b1_c142,pertC_b1,b1,False
pertC_b1_c143,pertC_b1,b1,False
pertC_b1_c144,pertC_b1,b1,False
pertC_b1_c145,pertC_b1,b1,False
pertC_b1_c146,pertC_b1,b1,False
pertC_b1_c147,pertC_b1,b1,False
pertC_b1_c148,pertC_b1,b1,False
pertC_b1_c149,pertC_b1,b1,False
pertD_b1_c000,pertD_b1,b1,False
pertD_b1_c001,pertD_b1,b1,False
pertD_b1_c002,pertD_b1,b1,False
pertD_b1_c003,pertD_b1,b1,False
pertD_b1_c004,pertD_b1,b1,False
pertD_b1_c005,pertD_b1,b1,False
pertD_b1_c006,pertD_b1,b1,False
pertD_b1_c007,pertD_b1,b1,False
pertD_b1_c008,pertD_b1,b1,False
pertD_b1_c009,pertD_b1,b1,False
pertD_b1_c010,pertD_b1,b1,False
pertD_b1_c011,pertD_b1,b1,False
pertD_b1_c012,pertD_b1,b1,False
pertD_b1_c013,pertD_b1,b1,False
pertD_b1_c014,pertD_b1,b1,False
pertD_b1_c015,pertD_b1,b1,False
pertD_b1_c016,pertD_b1,b1,False
pertD_b1_c017,pertD_b1,b1,False
pertD_b1_c018,pertD_b1,b1,False
pertD_b1_c019,pertD_b1,b1,False
pertD_b1_c020,pertD_b1,b1,False
