# synthetic, for demo only -- NOT real scATAC data
,cell_type,batch
Cell0177,CT0,B1
Cell0178,CT0,B0
Cell0179,CT2,B1
Cell0180,CT3,B1
Cell0181,CT3,B1
Cell0182,CT2,B1
Cell0183,CT3,B1
Cell0184,CT3,B1
Cell0185,CT0,B1
Cell0186,CT0,B0
Cell0187,CT3,B1
Cell0188,CT0,B1
Cell0189,CT3,B1
Cell0190,CT3,B0
Cell0191,CT3,B0
Cell0192,CT1,B1
Cell0193,CT0,B1
Cell0194,CT2,B1
Cell0195,CT3,B0
Cell0196,CT1,B1
Cell0197,CT3,B0
Cell0198,CT1,B1
Cell0199,CT3,B0
Cell0200,CT0,B1
Cell0201,CT1,B0
Cell0202,CT1,B0
Cell0203,CT0,B1
Cell0204,CT3,B1
Cell0205,CT3,B0
Cell0206,CT0,B0
Cell0207,CT3,B0
Cell0208,CT3,B1
Cell0209,CT1,B0
Cell0210,CT1,B1
Cell0211,CT2,B1
Cell0212,CT2,B1
Cell0213,CT1,B0
Cell0214,CT0,B0
Cell0215,CT3,B1
Cell0216,CT2,B0
Cell0217,CT0,B0
Cell0218,CT3,B1
Cell0219,CT2,B1
Cell0220,CT0,B1
Cell0221,CT2,B1
Cell0222,CT2,B1
Cell0223,CT0,B1
Cell0224,CT3,B1
Cell0225,CT2,B1
Cell0226,CT1,B1
Cell0227,CT0,B1
Cell0228,CT0,B1
Cell0229,CT3,B1
Cell0230,CT0,B0
Cell0231,CT2,B1
Cell0232,CT3,B0
Cell0233,CT3,B1
Cell0234,CT1,B0
Cell0235,CT0,B1
Cell0236,CT1,B0
Cell0237,CT3,B1
Cell0238,CT2,B0
Cell0239,CT0,B0
Cell0240,CT2,B0
Cell0241,CT1,B1
Cell0242,CT0,B1
Cell0243,CT1,B0
Cell0244,CT3,B0
Cell0245,CT3,B1
Cell0246,CT0,B0
Cell0247,CT2,B0
Cell0248,CT3,B0
Cell0249,CT1,B1
Cell0250,CT1,B1
Cell0251,CT0,B1
Cell0252,CT0,B0
Cell0253,CT3,B1
Cell0254,CT0,B0
Cell0255,CT0,B1
Cell0256,CT0,B1
Cell0257,CT0,B0
Cell0258,CT3,B0
Cell0259,CT1,B1
Cell0260,CT3,B0
Cell0261,CT2,B0
Cell0262,CT3,B0
Cell0263,CT2,B1
Cell0264,CT3,B1
Cell0265,CT3,B1
Cell0266,CT0,B0
Cell0267,CT2,B1
Cell0268,CT1,B1
Cell0269,CT1,B1
Cell0270,CT1,B1
Cell0271,CT1,B1
Cell0272,CT1,B1
Cell0273,CT3,B0
Cell0274,CT3,B1
Cell0275,CT2,B0
Cell0276,CT2,B0
Cell0277,CT3,B0
Cell0278,CT2,B1
Cell0279,CT1,B1
Cell0280,CT0,B1
Cell0281,CT2,B1
Cell0282,CT0,B0
Cell0283,CT2,B0
Cell0284,CT0,B0
Cell0285,CT3,B1
Cell0286,CT3,B0
Cell0287,CT0,B1
Cell0288,CT3,B0
Cell0289,CT1,B1
Cell0290,CT0,B0
Cell0291,CT3,B1
Cell0292,CT3,B1
Cell0293,CT0,B0
Cell0294,CT2,B1
Cell0295,CT3,B0
Cell0296,CT3,B1
Cell0297,CT1,B0
Cell0298,CT3,B0
Cell0299,CT3,B0
Cell0300,CT0,B0
Cell0301,CT0,B1
Cell0302,CT0,B1
Cell0303,CT1,B1
Cell0304,CT0,B0
Cell0305,CT0,B1
Cell0306,CT1,B0
Cell0307,CT2,B0
Cell0308,CT2,B0
Cell0309,CT1,B1
Cell0310,CT3,B1
Cell0311,CT2,B1
Cell0312,CT2,B0
Cell0313,CT3,B1
Cell0314,CT3,B1
Cell0315,CT0,B0
Cell0316,CT0,B1
Cell0317,CT3,B0
Cell0318,CT1,B1
Cell0319,CT0,B1
Cell0320,CT1,B1
Cell0321,CT1,B1
Cell0322,CT1,B0
Cell0323,CT1,B0
Cell0324,CT1,B1
Cell0325,CT1,B0
Cell0326,CT1,B0
Cell0327,CT3,B1
Cell0328,CT2,B0
Cell0329,CT3,B1
Cell0330,CT0,B0
Cell0331,CT1,B1
Cell0332,CT3,B1
Cell0333,CT1,B0
Cell0334,CT2,B0
Cell0335,CT3,B0
Cell0336,CT2,B1
Cell0337,CT3,B1
Cell0338,CT0,B0
Cell0339,CT2,B1
Cell0340,CT2,B1
Cell0341,CT1,B0
Cell0342,CT2,B0
Cell0343,CT3,B0
Cell0344,CT2,B1
Cell0345,CT1,B1
Cell0346,CT0,B0
Cell0347,CT0,B0
Cell0348,CT1,B0
Cell0349,CT3,B0
Cell0350,CT1,B1
Cell0351,CT3,B1
Cell0352,CT1,B1
Cell0353,CT2,B1
Cell0354,CT2,B1
Cell0355,CT3,B0
Cell0356,CT2,B0
Cell0357,CT3,B0
Cell0358,CT3,B0
Cell0359,CT2,B0
Cell0360,CT2,B1
Cell0361,CT3,B0
Cell0362,CT3,B1
Cell0363,CT0,B1
Cell0364,CT2,B1
Cell0365,CT0,B1
Cell0366,CT0,B1
Cell0367,CT2,B0
Cell0368,CT0,B1
Cell0369,CT2,B1
Cell0370,CT3,B1
Cell0371,CT0,B1
Cell0372,CT2,B1
Cell0373,CT1,B1
Cell0374,CT3,B0
Cell0375,CT3,B0
Cell0376,CT2,B0
Cell0377,CT2,B1
Cell0378,CT2,B0
Cell0379,CT2,B1
Cell0380,CT2,B0
Cell0381,CT0,B0
Cell0382,CT3,B1
Cell0383,CT2,B0
Cell0384,CT3,B0
Cell0385,CT2,B1
Cell0386,CT1,B1
Cell0387,CT0,B1
Cell0388,CT2,B1
Cell0389,CT3,B1
Cell0390,CT0,B1
Cell0391,CT2,B0
Cell0392,CT1,B0
Cell0393,CT0,B1
Cell0394,CT2,B1
Cell0395,CT3,B1
Cell0396,CT2,B0
Cell0397,CT3,B0
Cell0398,CT2,B0
Cell0399,CT2,B1
Cell0400,CT3,B1
Cell0401,CT1,B0
Cell0402,CT3,B0
Cell0403,CT0,B1
Cell0404,CT1,B0
Cell0405,CT2,B1
Cell0406,CT2,B0
Cell0407,CT0,B0
Cell0408,CT2,B1
Cell0409,CT2,B0
Cell0410,CT3,B0
Cell0411,CT2,B0
Cell0412,CT3,B0
Cell0413,CT3,B0
Cell0414,CT0,B1
Cell0415,CT0,B1
Cell0416,CT2,B1
Cell0417,CT1,B1
Cell0418,CT2,B0
Cell0419,CT2,B1
Cell0420,CT1,B0
Cell0421,CT0,B1
Cell0422,CT2,B0
Cell0423,CT1,B1
Cell0424,CT3,B1
Cell0425,CT0,B1
Cell0426,CT2,B0
Cell0427,CT2,B1
Cell0428,CT1,B0
Cell0429,CT0,B0
Cell0430,CT1,B0
Cell0431,CT1,B1
Cell0432,CT3,B1
Cell0433,CT3,B0
Cell0434,CT0,B0
Cell0435,CT1,B1
Cell0436,CT2,B1
Cell0437,CT3,B1
Cell0438,CT0,B1
Cell0439,CT3,B0
Cell0440,CT3,B1
Cell0441,CT3,B0
Cell0442,CT1,B0
Cell0443,CT0,B1
Cell0444,CT2,B0
Cell0445,CT0,B0
Cell0446,CT0,B0
Cell0447,CT0,B0
Cell0448,CT0,B1
Cell0449,CT3,B0
Cell0450,CT2,B0
Cell0451,CT2,B1
Cell0452,CT3,B0
Cell0453,CT1,B1
Cell0454,CT0,B0
Cell0455,CT0,B0
Cell0456,CT1,B1
Cell0457,CT2,B1
Cell0458,CT1,B1
Cell0459,CT1,B0
Cell0460,CT0,B0
Cell0461,CT2,B1
Cell0462,CT0,B1
Cell0463,CT1,B1
Cell0464,CT2,B0
Cell0465,CT2,B1
Cell0466,CT2,B1
Cell0467,CT3,B0
Cell0468,CT0,B1
Cell0469,CT0,B0
Cell0470,CT0,B1
Cell0471,CT2,B0
Cell0472,CT1,B0
Cell0473,CT0,B0
Cell0474,CT2,B0
Cell0475,CT3,B1
Cell0476,CT3,B0
Cell0477,CT1,B0
Cell0478,CT2,B0
Cell0479,CT3,B1
Cell0480,CT2,B0
Cell0481,CT0,B1
Cell0482,CT1,B0
Cell0483,CT3,B0
Cell0484,CT0,B0
Cell0485,CT3,B1
Cell0486,CT2,B0
Cell0487,CT1,B1
Cell0488,CT3,B0
Cell0489,CT3,B1
Cell0490,CT1,B1
Cell0491,CT2,B0
Cell0492,CT3,B0
Cell0493,CT2,B0
Cell0494,CT1,B0
Cell0495,CT3,B1
Cell0496,CT3,B1
Cell0497,CT0,B1
Cell0498,CT2,B1
Cell0499,CT3,B1
Cell0500,CT0,B1
Cell0501,CT1,B0
Cell0502,CT2,B1
Cell0503,CT1,B0
Cell0504,CT2,B0
Cell0505,CT3,B0
Cell0506,CT1,B1
Cell0507,CT3,B0
Cell0508,CT0,B0
Cell0509,CT1,B1
Cell0510,CT0,B1
Cell0511,CT1,B0
Cell0512,CT0,B0
Cell0513,CT3,B1
Cell0514,CT3,B0
Cell0515,CT0,B0
Cell0516,CT3,B1
Cell0517,CT2,B1
Cell0518,CT1,B1
Cell0519,CT3,B1
Cell0520,CT3,B1
Cell0521,CT3,B1
Cell0522,CT2,B1
Cell0523,CT1,B1
Cell0524,CT2,B1
Cell0525,CT3,B0
Cell0526,CT2,B1
Cell0527,CT0,B0
Cell0528,CT1,B1
Cell0529,CT1,B0
Cell0530,CT2,B1
Cell0531,CT1,B0
Cell0532,CT1,B1
Cell0533,CT2,B1
Cell0534,CT2,B1
Cell0535,CT0,B0
Cell0536,CT3,B0
Cell0537,CT1,B1
Cell0538,CT0,B0
Cell0539,CT0,B0
Cell0540,CT1,B0
Cell0541,CT2,B0
Cell0542,CT1,B0
Cell0543,CT3,B0
Cell0544,CT0,B0
Cell0545,CT0,B0
Cell0546,CT1,B0
Cell0547,CT2,B0
Cell0548,CT1,B0
Cell0549,CT3,B0
Cell0550,CT0,B1
Cell0551,CT3,B0
Cell0552,CT0,B0
Cell0553,CT3,B1
Cell0554,CT0,B1
Cell0555,CT1,B0
Cell0556,CT1,B0
Cell0557,CT3,B0
Cell0558,CT2,B0
Cell0559,CT3,B1
Cell0560,CT1,B1
Cell0561,CT2,B1
Cell0562,CT2,B1
Cell0563,CT3,B1
Cell0564,CT2,B0
Cell0565,CT3,B0
Cell0566,CT0,B0
Cell0567,CT1,B1
Cell0568,CT0,B1
Cell0569,CT3,B1
Cell0570,CT0,B0
Cell0571,CT2,B1
Cell0572,CT3,B1
Cell0573,CT1,B1
Cell0574,CT1,B1
Cell0575,CT3,B0
Cell0576,CT2,B0
Cell0577,CT2,B0
Cell0578,CT3,B1
Cell0579,CT0,B0
Cell0580,CT1,B1
Cell0581,CT1,B1
Cell0582,CT3,B1
Cell0583,CT0,B0
Cell0584,CT1,B1
Cell0585,CT1,B1
Cell0586,CT0,B0
Cell0587,CT1,B0
Cell0588,CT2,B0
Cell0589,CT1,B1
Cell0590,CT1,B1
Cell0591,CT2,B0
Cell0592,CT3,B0
Cell0593,CT0,B1
Cell0594,CT1,B0
Cell0595,CT3,B0
Cell0596,CT1,B0
Cell0597,CT2,B1
Cell0598,CT1,B1
Cell0599,CT3,B0
