"cell","truth"
"DIP_112","diploid"
"DIP_113","diploid"
"DIP_114","diploid"
"DIP_115","diploid"
"DIP_116","diploid"
"DIP_117","diploid"
"DIP_118","diploid"
"DIP_119","diploid"
"DIP_120","diploid"
"DIP_121","diploid"
"DIP_122","diploid"
"DIP_123","diploid"
"DIP_124","diploid"
"DIP_125","diploid"
"DIP_126","diploid"
"DIP_127","diploid"
"DIP_128","diploid"
"DIP_129","diploid"
"DIP_130","diploid"
"ANE_001","aneuploid"
"ANE_002","aneuploid"
"ANE_003","aneuploid"
"ANE_004","aneuploid"
"ANE_005","aneuploid"
"ANE_006","aneuploid"
"ANE_007","aneuploid"
"ANE_008","aneuploid"
"ANE_009","aneuploid"
"ANE_010","aneuploid"
"ANE_011","aneuploid"
"ANE_012","aneuploid"
"ANE_013","aneuploid"
"ANE_014","aneuploid"
"ANE_015","aneuploid"
"ANE_016","aneuploid"
"ANE_017","aneuploid"
"ANE_018","aneuploid"
"ANE_019","aneuploid"
"ANE_020","aneuploid"
"ANE_021","aneuploid"
"ANE_022","aneuploid"
"ANE_023","aneuploid"
"ANE_024","aneuploid"
"ANE_025","aneuploid"
"ANE_026","aneuploid"
"ANE_027","aneuploid"
"ANE_028","aneuploid"
"ANE_029","aneuploid"
"ANE_030","aneuploid"
"ANE_031","aneuploid"
"ANE_032","aneuploid"
"ANE_033","aneuploid"
"ANE_034","aneuploid"
"ANE_035","aneuploid"
"ANE_036","aneuploid"
"ANE_037","aneuploid"
"ANE_038","aneuploid"
"ANE_039","aneuploid"
"ANE_040","aneuploid"
"ANE_041","aneuploid"
"ANE_042","aneuploid"
"ANE_043","aneuploid"
"ANE_044","aneuploid"
"ANE_045","aneuploid"
"ANE_046","aneuploid"
"ANE_047","aneuploid"
"ANE_048","aneuploid"
"ANE_049","aneuploid"
"ANE_050","aneuploid"
"ANE_051","aneuploid"
"ANE_052","aneuploid"
"ANE_053","aneuploid"
"ANE_054","aneuploid"
"ANE_055","aneuploid"
"ANE_056","aneuploid"
"ANE_057","aneuploid"
"ANE_058","aneuploid"
"ANE_059","aneuploid"
"ANE_060","aneuploid"
"ANE_061","aneuploid"
"ANE_062","aneuploid"
"ANE_063","aneuploid"
"ANE_064","aneuploid"
"ANE_065","aneuploid"
"ANE_066","aneuploid"
"ANE_067","aneuploid"
"ANE_068","aneuploid"
"ANE_069","aneuploid"
"ANE_070","aneuploid"
"ANE_071","aneuploid"
"ANE_072","aneuploid"
"ANE_073","aneuploid"
"ANE_074","aneuploid"
"ANE_075","aneuploid"
"ANE_076","aneuploid"
"ANE_077","aneuploid"
"ANE_078","aneuploid"
"ANE_079","aneuploid"
"ANE_080","aneuploid"
"ANE_081","aneuploid"
"ANE_082","aneuploid"
"ANE_083","aneuploid"
"ANE_084","aneuploid"
"ANE_085","aneuploid"
"ANE_086","aneuploid"
"ANE_087","aneuploid"
"ANE_088","aneuploid"
"ANE_089","aneuploid"
"ANE_090","aneuploid"
"ANE_091","aneuploid"
"ANE_092","aneuploid"
"ANE_093","aneuploid"
"ANE_094","aneuploid"
"ANE_095","aneuploid"
"ANE_096","aneuploid"
"ANE_097","aneuploid"
"ANE_098","aneuploid"
"ANE_099","aneuploid"
"ANE_100","aneuploid"
"ANE_101","aneuploid"
"ANE_102","aneuploid"
"ANE_103","aneuploid"
"ANE_104","aneuploid"
"ANE_105","aneuploid"
"ANE_106","aneuploid"
"ANE_107","aneuploid"
"ANE_108","aneuploid"
"ANE_109","aneuploid"
"ANE_110","aneuploid"
"ANE_111","aneuploid"
"ANE_112","aneuploid"
"ANE_113","aneuploid"
"ANE_114","aneuploid"
"ANE_115","aneuploid"
"ANE_116","aneuploid"
"ANE_117","aneuploid"
"ANE_118","aneuploid"
"ANE_119","aneuploid"
"ANE_120","aneuploid"
"ANE_121","aneuploid"
"ANE_122","aneuploid"
"ANE_123","aneuploid"
"ANE_124","aneuploid"
"ANE_125","aneuploid"
"ANE_126","aneuploid"
"ANE_127","aneuploid"
"ANE_128","aneuploid"
"ANE_129","aneuploid"
"ANE_130","aneuploid"
"ANE_131","aneuploid"
"ANE_132","aneuploid"
"ANE_133","aneuploid"
"ANE_134","aneuploid"
"ANE_135","aneuploid"
"ANE_136","aneuploid"
"ANE_137","aneuploid"
"ANE_138","aneuploid"
"ANE_139","aneuploid"
"ANE_140","aneuploid"
"ANE_141","aneuploid"
"ANE_142","aneuploid"
"ANE_143","aneuploid"
"ANE_144","aneuploid"
"ANE_145","aneuploid"
"ANE_146","aneuploid"
"ANE_147","aneuploid"
"ANE_148","aneuploid"
"ANE_149","aneuploid"
"ANE_150","aneuploid"
"ANE_151","aneuploid"
"ANE_152","aneuploid"
"ANE_153","aneuploid"
"ANE_154","aneuploid"
"ANE_155","aneuploid"
"ANE_156","aneuploid"
"ANE_157","aneuploid"
"ANE_158","aneuploid"
"ANE_159","aneuploid"
"ANE_160","aneuploid"
"ANE_161","aneuploid"
"ANE_162","aneuploid"
"ANE_163","aneuploid"
"ANE_164","aneuploid"
"ANE_165","aneuploid"
"ANE_166","aneuploid"
"ANE_167","aneuploid"
"ANE_168","aneuploid"
"ANE_169","aneuploid"
"ANE_170","aneuploid"
