"cell","label"
"cell0203","Myeloid"
"cell0204","Myeloid"
"cell0205","Myeloid"
"cell0206","Myeloid"
"cell0207","Myeloid"
"cell0208","Myeloid"
"cell0209","Myeloid"
"cell0210","Myeloid"
"cell0211","Myeloid"
"cell0212","Myeloid"
"cell0213","Myeloid"
"cell0214","Myeloid"
"cell0215","Myeloid"
"cell0216","Myeloid"
"cell0217","Myeloid"
"cell0218","Myeloid"
"cell0219","Myeloid"
"cell0220","Myeloid"
"cell0221","Myeloid"
"cell0222","Myeloid"
"cell0223","Myeloid"
"cell0224","Myeloid"
"cell0225","Myeloid"
"cell0226","Myeloid"
"cell0227","Myeloid"
"cell0228","Myeloid"
"cell0229","Myeloid"
"cell0230","Myeloid"
"cell0231","Myeloid"
"cell0232","Myeloid"
"cell0233","Myeloid"
"cell0234","Myeloid"
"cell0235","Myeloid"
"cell0236","Myeloid"
"cell0237","Myeloid"
"cell0238","Myeloid"
"cell0239","Myeloid"
"cell0240","Myeloid"
"cell0241","Myeloid"
"cell0242","Myeloid"
"cell0243","Myeloid"
"cell0244","Myeloid"
"cell0245","Myeloid"
"cell0246","Myeloid"
"cell0247","Myeloid"
"cell0248","Myeloid"
"cell0249","Myeloid"
"cell0250","Myeloid"
"cell0251","Myeloid"
"cell0252","Myeloid"
"cell0253","Myeloid"
"cell0254","Myeloid"
"cell0255","Myeloid"
"cell0256","Myeloid"
"cell0257","Myeloid"
"cell0258","Myeloid"
"cell0259","Myeloid"
"cell0260","Myeloid"
"cell0261","Myeloid"
"cell0262","Myeloid"
"cell0263","Myeloid"
"cell0264","Myeloid"
"cell0265","Myeloid"
"cell0266","Myeloid"
"cell0267","Myeloid"
"cell0268","Myeloid"
"cell0269","Myeloid"
"cell0270","Myeloid"
"cell0271","Myeloid"
"cell0272","Myeloid"
"cell0273","Myeloid"
"cell0274","Myeloid"
"cell0275","Myeloid"
"cell0276","Myeloid"
"cell0277","Myeloid"
"cell0278","Myeloid"
"cell0279","Myeloid"
"cell0280","Myeloid"
"cell0281","Myeloid"
"cell0282","Myeloid"
"cell0283","Myeloid"
"cell0284","Myeloid"
"cell0285","Myeloid"
"cell0286","Myeloid"
"cell0287","Myeloid"
"cell0288","Myeloid"
"cell0289","Myeloid"
"cell0290","Myeloid"
"cell0291","Myeloid"
"cell0292","Myeloid"
"cell0293","Myeloid"
"cell0294","Myeloid"
"cell0295","Myeloid"
"cell0296","Myeloid"
"cell0297","Myeloid"
"cell0298","Myeloid"
"cell0299","Myeloid"
"cell0300","Myeloid"
"cell0301","Epithelial"
"cell0302","Epithelial"
"cell0303","Epithelial"
"cell0304","Epithelial"
"cell0305","Epithelial"
"cell0306","Epithelial"
"cell0307","Epithelial"
"cell0308","Epithelial"
"cell0309","Epithelial"
"cell0310","Epithelial"
"cell0311","Epithelial"
"cell0312","Epithelial"
"cell0313","Epithelial"
"cell0314","Epithelial"
"cell0315","Epithelial"
"cell0316","Epithelial"
"cell0317","Epithelial"
"cell0318","Epithelial"
"cell0319","Epithelial"
"cell0320","Epithelial"
"cell0321","Epithelial"
"cell0322","Epithelial"
"cell0323","Epithelial"
"cell0324","Epithelial"
"cell0325","Epithelial"
"cell0326","Epithelial"
"cell0327","Epithelial"
"cell0328","Epithelial"
"cell0329","Epithelial"
"cell0330","Epithelial"
"cell0331","Epithelial"
"cell0332","Epithelial"
"cell0333","Epithelial"
"cell0334","Epithelial"
"cell0335","Epithelial"
"cell0336","Epithelial"
"cell0337","Epithelial"
"cell0338","Epithelial"
"cell0339","Epithelial"
"cell0340","Epithelial"
"cell0341","Epithelial"
"cell0342","Epithelial"
"cell0343","Epithelial"
"cell0344","Epithelial"
"cell0345","Epithelial"
"cell0346","Epithelial"
"cell0347","Epithelial"
"cell0348","Epithelial"
"cell0349","Epithelial"
"cell0350","Epithelial"
"cell0351","Epithelial"
"cell0352","Epithelial"
"cell0353","Epithelial"
"cell0354","Epithelial"
"cell0355","Epithelial"
"cell0356","Epithelial"
"cell0357","Epithelial"
"cell0358","Epithelial"
"cell0359","Epithelial"
"cell0360","Epithelial"
"cell0361","Epithelial"
"cell0362","Epithelial"
"cell0363","Epithelial"
"cell0364","Epithelial"
"cell0365","Epithelial"
"cell0366","Epithelial"
"cell0367","Epithelial"
"cell0368","Epithelial"
"cell0369","Epithelial"
"cell0370","Epithelial"
"cell0371","Epithelial"
"cell0372","Epithelial"
"cell0373","Epithelial"
"cell0374","Epithelial"
"cell0375","Epithelial"
"cell0376","Epithelial"
"cell0377","Epithelial"
"cell0378","Epithelial"
"cell0379","Epithelial"
"cell0380","Epithelial"
"cell0381","Epithelial"
"cell0382","Epithelial"
"cell0383","Epithelial"
"cell0384","Epithelial"
"cell0385","Epithelial"
"cell0386","Epithelial"
"cell0387","Epithelial"
"cell0388","Epithelial"
"cell0389","Epithelial"
"cell0390","Epithelial"
"cell0391","Epithelial"
"cell0392","Epithelial"
"cell0393","Epithelial"
"cell0394","Epithelial"
"cell0395","Epithelial"
"cell0396","Epithelial"
"cell0397","Epithelial"
"cell0398","Epithelial"
"cell0399","Epithelial"
"cell0400","Epithelial"
