"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S11_con","S12_con","S13_con","S14_con","S15_con","S16_con","S17_con","S18_con","S19_con","S20_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre","S11_tre","S12_tre","S13_tre","S14_tre","S15_tre","S16_tre","S17_tre","S18_tre","S19_tre","S20_tre"
"LOC127457439",7.113,7.58,4.93,7.065,8.881,10.479,3.902,4.864,7.375,5.387,6.969,8.253,6.059,8.005,5.438,7.552,7.874,5.805,6.832,6.746,8.939,9.827,8.618,7.083,7.525,7.812,7.637,8.756,7.002,6.87,9.761,5.754,6.722,8.362,5.737,7.723,5.569,6.438,8.218,8.755
"LOC127825616",6.799,5.155,9.118,9.754,7.474,6.452,6.407,6.92,7.858,8.303,7.864,7.613,5.797,6.683,5.725,5.962,7.817,8.901,8.339,3.854,9.333,5.126,4.141,7.415,5.452,8.03,10.284,9.907,6.733,9.004,10.047,3.284,6.996,8.218,4.968,7.521,7.011,6.611,7.633,6.301
"LOC127406139",8.996,6.644,9.355,7.927,7.658,4.928,7.308,6.71,8.017,8.166,6.571,7.606,6.776,6.437,6.038,9.043,7.843,4.882,7.872,6.28,8.07,5.826,3.887,7.819,3.96,6.536,8.112,7.1,5.791,6.76,7.851,7.774,8.223,6.309,5.941,7.255,7.455,8.472,9.042,7.582
"LOC127460083",5.564,6.429,6.379,5.416,7.863,5.993,5.751,4.393,6.93,8.921,6.913,8.32,7.584,8.274,7.741,3.093,7.728,9.476,4.942,7.79,2.873,8.734,5.442,8.313,8.369,6.226,6.737,8.01,8.067,4.673,7.398,8.764,7.474,8.235,6.445,6.105,4.824,7.025,8.921,6.99
"SOCS6",9.288,7.331,8.544,6.715,7.523,7.616,8.902,6.758,7.241,9.105,7.613,10.787,7.58,8.608,7.601,6.031,6.606,10.069,3.882,7.398,6.554,5.892,5.415,5.742,8.261,6.493,6.58,7.098,7.1,6.881,5.224,5.42,8.766,7.906,6.309,9.376,6.98,4.418,7.752,5.34
"LOC130057450",6.684,5.54,7.667,8.926,7.158,9.273,7.528,7.364,7.378,5.536,6.816,7.833,7.042,4.928,7.456,6.284,8.3,7.595,5.877,9.233,5.523,6.605,6.32,5.221,7.373,7.972,5.659,8.511,8.619,8.422,9.106,8.373,8.397,8.012,6.226,6.511,3.011,6.861,7.219,7.358
"SNORD115-20",6.723,8.01,4.205,7.623,6.171,6.338,4.498,6.047,5.149,9.164,7.822,7.755,4.566,5.276,4.74,7.024,5.224,6.993,8.941,8.481,8.152,6.701,6.37,6.884,6.095,5.777,6.669,7.819,7.725,8.363,8.255,7.594,5.686,7.852,6.9,7.948,5.735,6.665,7.945,8.962
"LOC130059313",7.858,4.042,7.058,6.985,7.856,7.795,6.25,6.89,7.169,7.379,8.066,8.741,6.826,3.443,7.296,6.7,9.344,6.899,6.407,7.935,6.129,6.327,7.976,8.603,7.348,4.003,6.026,10.107,9.669,7.357,8.32,5.577,8.511,4.741,6.057,7.935,7.18,7.045,4.399,6.334
"VN2R18P",9.554,7.782,5.914,6.371,5.92,8.094,8.737,5.37,7.017,8.651,7.701,8.184,6.455,4.566,7.085,4.004,9.724,9.284,6.351,6.613,9.503,7.073,7.19,7.49,5.679,8.396,10.537,8.798,8.134,7.898,7.905,7.334,4.869,7.125,8.665,7.546,8.506,6.216,9.582,7.794
"LOC127883645",7.107,7.899,7.584,8.063,8.339,5.69,7.913,6.444,8.26,5.957,7.779,9.772,8.337,6.634,8.393,5.109,5.509,4.065,4.858,9.81,5.732,6.858,7.503,6.298,9.096,5.091,5.559,8.528,5.47,6.48,7.22,6.985,7.956,8.845,6.532,6.712,6.343,9.515,6.072,8.77
"LOC130002119",3.908,6.387,5.26,7.611,5.677,7.67,7.195,3.918,7.971,8.572,5.049,7.258,8.648,6.125,7.665,10.53,8.575,6.049,6.922,6.232,8.315,7.251,7.76,3.474,8.837,6.172,6.991,7.617,7.972,7.447,5.877,7.781,6.401,5.846,10.011,7.753,3.941,7.113,6.121,7.714
"LOC127884716",6.752,9.325,8.373,6.75,6.268,6.398,7.049,8.04,7.984,7.712,7.833,6.202,8.431,5.241,5.06,6.028,6.581,10.181,8.716,6.367,10.139,8.524,6.076,9.051,8.37,9.98,5.478,8.911,9.144,7.223,6.897,5.83,7.275,9.581,6.7,8.695,8.831,5.1,6.185,8.445
"LOC127457583",5.929,6.387,2.429,7.566,8.31,7.92,9.838,7.152,6.727,6.148,8.353,7.843,7.733,8.397,5.509,6.005,8.363,6.222,8.064,8.298,5.075,5.029,7.832,8.557,6.668,5.948,6.039,5.64,7.194,6.013,9.014,6.33,6.652,7.098,6.055,9.924,9.313,6.431,4.799,6.183
"LOC129660115",6.956,4.403,7.311,8.102,6.576,6.421,6.538,3.228,7.565,4.051,7.472,5.945,6.946,6.596,8.134,6.583,8.989,6.498,7.851,6.315,7.849,8.425,6.949,7.315,4.992,7.18,6.129,6.531,6.727,6.575,7.512,8.908,6.763,4.442,4.858,8.106,11.198,6.642,5.031,5.351
"LOC127819572",7.125,7.357,6.762,6.586,5.829,7.2,8.297,5.891,6.592,9.063,7.092,8.443,6.125,7.458,9.205,7.399,7.743,4.894,6.626,5.806,4.872,5.603,7.095,8.57,6.861,4.808,6.378,6.794,6.142,7.805,6.918,3.497,8.258,6.885,6.97,7.23,8.101,4.113,8.151,7.07
"LOC127821021",6.999,5.774,8.385,7.784,7.686,9.741,8.954,7.728,6.328,6.197,8.188,6.385,8.32,9.38,4.206,5.554,8.989,10.207,4.613,7.524,5.462,5.052,7.086,5.399,7.596,6.682,7.073,9.327,5.75,8.435,8.254,4.707,7.714,7.991,4.035,6.979,9.324,6.009,8.177,6.738
"LOC107275223",7.643,6.426,6.987,7.937,8.054,6.51,6.397,6.788,6.434,7.532,6.05,7.336,7.919,4.726,6.462,7.291,6.36,7.509,5.989,6.697,9.143,6.861,5.973,7.42,5.395,7.922,7.288,5.703,2.914,7.269,6.367,7.592,8.762,6.967,5.663,9.515,8.996,5.432,5.942,5.664
