"cell","cell_type"
"cell0108","CellTypeB"
"cell0109","CellTypeB"
"cell0110","CellTypeB"
"cell0111","CellTypeB"
"cell0112","CellTypeB"
"cell0113","CellTypeB"
"cell0114","CellTypeB"
"cell0115","CellTypeB"
"cell0116","CellTypeB"
"cell0117","CellTypeB"
"cell0118","CellTypeB"
"cell0119","CellTypeB"
"cell0120","CellTypeB"
"cell0121","CellTypeC"
"cell0122","CellTypeC"
"cell0123","CellTypeC"
"cell0124","CellTypeC"
"cell0125","CellTypeC"
"cell0126","CellTypeC"
"cell0127","CellTypeC"
"cell0128","CellTypeC"
"cell0129","CellTypeC"
"cell0130","CellTypeC"
"cell0131","CellTypeC"
"cell0132","CellTypeC"
"cell0133","CellTypeC"
"cell0134","CellTypeC"
"cell0135","CellTypeC"
"cell0136","CellTypeC"
"cell0137","CellTypeC"
"cell0138","CellTypeC"
"cell0139","CellTypeC"
"cell0140","CellTypeC"
"cell0141","CellTypeC"
"cell0142","CellTypeC"
"cell0143","CellTypeC"
"cell0144","CellTypeC"
"cell0145","CellTypeC"
"cell0146","CellTypeC"
"cell0147","CellTypeC"
"cell0148","CellTypeC"
"cell0149","CellTypeC"
"cell0150","CellTypeC"
"cell0151","CellTypeC"
"cell0152","CellTypeC"
"cell0153","CellTypeC"
"cell0154","CellTypeC"
"cell0155","CellTypeC"
"cell0156","CellTypeC"
"cell0157","CellTypeC"
"cell0158","CellTypeC"
"cell0159","CellTypeC"
"cell0160","CellTypeC"
"cell0161","CellTypeC"
"cell0162","CellTypeC"
"cell0163","CellTypeC"
"cell0164","CellTypeC"
"cell0165","CellTypeC"
"cell0166","CellTypeC"
"cell0167","CellTypeC"
"cell0168","CellTypeC"
"cell0169","CellTypeC"
"cell0170","CellTypeC"
"cell0171","CellTypeC"
"cell0172","CellTypeC"
"cell0173","CellTypeC"
"cell0174","CellTypeC"
"cell0175","CellTypeC"
"cell0176","CellTypeC"
"cell0177","CellTypeC"
"cell0178","CellTypeC"
"cell0179","CellTypeC"
"cell0180","CellTypeC"
"cell0181","CellTypeD"
"cell0182","CellTypeD"
"cell0183","CellTypeD"
"cell0184","CellTypeD"
"cell0185","CellTypeD"
"cell0186","CellTypeD"
"cell0187","CellTypeD"
"cell0188","CellTypeD"
"cell0189","CellTypeD"
"cell0190","CellTypeD"
"cell0191","CellTypeD"
"cell0192","CellTypeD"
"cell0193","CellTypeD"
"cell0194","CellTypeD"
"cell0195","CellTypeD"
"cell0196","CellTypeD"
"cell0197","CellTypeD"
"cell0198","CellTypeD"
"cell0199","CellTypeD"
"cell0200","CellTypeD"
"cell0201","CellTypeD"
"cell0202","CellTypeD"
"cell0203","CellTypeD"
"cell0204","CellTypeD"
"cell0205","CellTypeD"
"cell0206","CellTypeD"
"cell0207","CellTypeD"
"cell0208","CellTypeD"
"cell0209","CellTypeD"
"cell0210","CellTypeD"
"cell0211","CellTypeD"
"cell0212","CellTypeD"
"cell0213","CellTypeD"
"cell0214","CellTypeD"
"cell0215","CellTypeD"
"cell0216","CellTypeD"
"cell0217","CellTypeD"
"cell0218","CellTypeD"
"cell0219","CellTypeD"
"cell0220","CellTypeD"
"cell0221","CellTypeD"
"cell0222","CellTypeD"
"cell0223","CellTypeD"
"cell0224","CellTypeD"
"cell0225","CellTypeD"
"cell0226","CellTypeD"
"cell0227","CellTypeD"
"cell0228","CellTypeD"
"cell0229","CellTypeD"
"cell0230","CellTypeD"
"cell0231","CellTypeD"
"cell0232","CellTypeD"
"cell0233","CellTypeD"
"cell0234","CellTypeD"
"cell0235","CellTypeD"
"cell0236","CellTypeD"
"cell0237","CellTypeD"
"cell0238","CellTypeD"
"cell0239","CellTypeD"
"cell0240","CellTypeD"
