# synthetic, for demo only - NOT real docking output. Generated by 596_scorch2_virtual_screening.py make_synthetic(seed=0)
target,compound_id,pose_id,docking_score,label,ecif_CC,ecif_CN,ecif_CO,ecif_arom,binana_hbond,binana_hydrophobic,binana_saltbridge,binana_pistack,kier_flex,mw,logp,tpsa,rot_bonds,pose_rmsd_ref
TGT01,TGT01_CMPD0005,pose2,-5.265,0,5.0,3.0,1.0,6.0,0.0,0.0,2.0,6.0,2.886,215.1,3.292,58.8,0,1.375
TGT01,TGT01_CMPD0005,pose3,-4.058,0,7.0,7.0,7.0,4.0,2.0,5.0,11.0,7.0,2.394,259.3,1.733,59.0,0,0.712
TGT01,TGT01_CMPD0006,pose1,-5.064,0,13.0,6.0,10.0,6.0,4.0,7.0,11.0,14.0,1.246,282.6,2.695,48.3,1,2.019
TGT01,TGT01_CMPD0006,pose2,-8.041,0,7.0,5.0,8.0,11.0,3.0,13.0,15.0,5.0,2.199,386.6,2.307,68.0,3,1.549
TGT01,TGT01_CMPD0006,pose3,-6.244,0,7.0,10.0,8.0,9.0,2.0,8.0,11.0,11.0,2.634,290.4,-0.061,86.5,0,0.367
TGT01,TGT01_CMPD0007,pose1,-5.809,0,7.0,8.0,15.0,9.0,7.0,11.0,11.0,16.0,2.843,258.6,2.835,46.8,0,1.179
TGT01,TGT01_CMPD0007,pose2,-4.82,0,13.0,7.0,10.0,7.0,7.0,3.0,8.0,9.0,1.832,330.6,3.726,106.8,1,1.824
TGT01,TGT01_CMPD0007,pose3,-6.79,0,10.0,10.0,13.0,14.0,8.0,13.0,12.0,10.0,1.822,299.6,3.752,62.7,0,2.166
TGT01,TGT01_CMPD0008,pose1,-5.672,0,13.0,10.0,15.0,8.0,10.0,11.0,14.0,14.0,2.971,271.8,1.478,103.6,2,2.065
TGT01,TGT01_CMPD0008,pose2,-4.711,0,9.0,9.0,14.0,10.0,5.0,15.0,14.0,6.0,2.94,311.1,2.004,103.1,0,1.13
TGT01,TGT01_CMPD0008,pose3,-5.197,0,8.0,4.0,12.0,14.0,4.0,9.0,9.0,9.0,2.192,250.3,3.746,89.7,0,0.986
TGT01,TGT01_CMPD0009,pose1,-4.411,0,11.0,5.0,9.0,3.0,7.0,6.0,7.0,13.0,2.751,197.7,2.935,65.2,0,1.55
TGT01,TGT01_CMPD0009,pose2,-7.235,0,6.0,5.0,7.0,10.0,9.0,5.0,12.0,12.0,2.907,302.2,2.302,65.8,0,1.012
TGT01,TGT01_CMPD0009,pose3,-7.031,0,5.0,9.0,8.0,11.0,3.0,7.0,7.0,8.0,2.118,305.9,2.845,54.5,1,1.131
TGT01,TGT01_CMPD0010,pose1,-8.124,0,13.0,16.0,12.0,14.0,9.0,12.0,15.0,13.0,1.731,301.4,2.531,82.8,2,2.26
TGT01,TGT01_CMPD0010,pose2,-6.42,0,11.0,13.0,12.0,11.0,12.0,12.0,16.0,16.0,2.647,267.1,1.357,46.6,0,2.397
TGT01,TGT01_CMPD0010,pose3,-5.479,0,11.0,9.0,14.0,12.0,4.0,10.0,14.0,10.0,2.022,273.5,2.816,79.1,2,0.551
TGT01,TGT01_CMPD0011,pose1,-6.191,0,9.0,8.0,6.0,8.0,9.0,13.0,8.0,7.0,2.465,277.1,2.999,57.4,1,1.071
TGT01,TGT01_CMPD0011,pose2,-9.566,0,8.0,8.0,8.0,4.0,6.0,10.0,11.0,11.0,2.583,313.3,0.893,79.3,0,1.49
TGT01,TGT01_CMPD0011,pose3,-5.702,0,8.0,11.0,10.0,9.0,7.0,5.0,10.0,8.0,2.226,263.3,1.409,93.6,2,1.649
TGT01,TGT01_CMPD0012,pose1,-7.331,0,10.0,11.0,15.0,10.0,12.0,13.0,13.0,18.0,3.573,350.4,5.217,94.9,3,3.814
TGT01,TGT01_CMPD0012,pose2,-8.571,0,11.0,8.0,21.0,10.0,10.0,13.0,18.0,15.0,2.239,229.8,4.153,60.0,3,1.054
TGT01,TGT01_CMPD0012,pose3,-6.405,0,15.0,13.0,21.0,20.0,9.0,17.0,18.0,14.0,3.268,368.5,4.061,117.6,5,1.781
TGT01,TGT01_CMPD0013,pose1,-7.899,0,12.0,10.0,10.0,11.0,11.0,13.0,10.0,15.0,2.509,304.1,1.723,74.5,0,1.957
TGT01,TGT01_CMPD0013,pose2,-6.795,0,13.0,10.0,11.0,5.0,12.0,13.0,9.0,15.0,3.144,393.3,3.052,67.2,5,0.535
TGT01,TGT01_CMPD0013,pose3,-7.724,0,8.0,11.0,8.0,12.0,8.0,10.0,16.0,10.0,3.155,331.4,2.623,56.7,0,1.524
TGT01,TGT01_CMPD0014,pose1,-8.843,0,10.0,12.0,15.0,14.0,11.0,11.0,9.0,12.0,2.963,393.5,1.596,108.5,4,0.502
TGT01,TGT01_CMPD0014,pose2,-5.222,0,14.0,13.0,15.0,21.0,15.0,12.0,20.0,16.0,3.536,290.6,1.407,92.3,0,1.064
TGT01,TGT01_CMPD0014,pose3,-8.995,0,20.0,13.0,16.0,13.0,10.0,18.0,19.0,16.0,3.483,368.0,5.552,104.7,1,1.108
TGT01,TGT01_CMPD0015,pose1,-7.259,1,19.0,22.0,19.0,17.0,22.0,17.0,21.0,19.0,3.903,355.4,4.002,54.7,4,1.636
TGT01,TGT01_CMPD0015,pose2,-7.779,1,21.0,11.0,14.0,19.0,14.0,17.0,22.0,19.0,4.168,429.2,2.567,96.0,0,2.811
TGT01,TGT01_CMPD0015,pose3,-6.53,1,17.0,20.0,19.0,14.0,19.0,14.0,19.0,19.0,3.533,414.2,3.245,87.3,1,3.583
TGT01,TGT01_CMPD0016,pose1,-3.009,0,3.0,1.0,8.0,5.0,5.0,8.0,9.0,9.0,2.822,393.3,0.307,71.6,0,1.452
TGT01,TGT01_CMPD0016,pose2,-4.901,0,4.0,2.0,7.0,11.0,8.0,5.0,10.0,8.0,2.153,307.9,2.252,82.0,2,0.666
TGT01,TGT01_CMPD0016,pose3,-6.659,0,0.0,8.0,13.0,4.0,7.0,4.0,4.0,7.0,1.838,271.6,1.335,64.8,0,0.703
TGT01,TGT01_CMPD0017,pose1,-6.771,0,10.0,7.0,14.0,6.0,11.0,10.0,8.0,10.0,2.939,352.1,1.67,85.6,1,1.225
TGT01,TGT01_CMPD0017,pose2,-4.48,0,9.0,5.0,6.0,10.0,9.0,16.0,12.0,14.0,2.663,378.6,2.17,65.6,2,1.663
TGT01,TGT01_CMPD0017,pose3,-5.916,0,13.0,7.0,8.0,7.0,14.0,8.0,12.0,12.0,2.52,395.6,0.458,93.7,2,1.723
TGT01,TGT01_CMPD0018,pose1,-7.804,0,18.0,7.0,11.0,10.0,14.0,10.0,19.0,18.0,2.818,305.5,3.385,75.4,0,0.606
TGT01,TGT01_CMPD0018,pose2,-6.52,0,7.0,15.0,7.0,9.0,6.0,7.0,17.0,8.0,2.866,332.9,2.156,75.1,3,1.866
TGT01,TGT01_CMPD0018,pose3,-7.329,0,12.0,8.0,14.0,10.0,15.0,12.0,16.0,9.0,1.757,344.2,3.095,62.6,0,0.811
TGT01,TGT01_CMPD0019,pose1,-5.235,0,4.0,3.0,7.0,3.0,0.0,1.0,7.0,4.0,2.187,190.0,0.512,88.9,0,0.682
TGT01,TGT01_CMPD0019,pose2,-5.772,0,2.0,4.0,9.0,5.0,0.0,3.0,1.0,3.0,2.607,268.2,-0.209,60.5,2,1.125
TGT01,TGT01_CMPD0019,pose3,-4.756,0,0.0,3.0,7.0,3.0,6.0,4.0,4.0,4.0,2.861,225.2,1.934,35.4,0,0.859
TGT01,TGT01_CMPD0020,pose1,-4.582,0,14.0,9.0,14.0,8.0,8.0,11.0,12.0,13.0,2.741,289.0,2.621,74.9,1,1.23
TGT01,TGT01_CMPD0020,pose2,-4.265,0,6.0,14.0,15.0,14.0,8.0,12.0,11.0,17.0,1.158,391.4,2.59,41.7,3,1.707
TGT01,TGT01_CMPD0020,pose3,-7.093,0,6.0,10.0,12.0,10.0,10.0,8.0,13.0,8.0,2.535,251.9,1.483,85.5,1,1.782
TGT01,TGT01_CMPD0021,pose1,-4.349,0,9.0,12.0,13.0,9.0,8.0,11.0,13.0,15.0,2.727,288.4,3.665,43.3,5,0.111
TGT01,TGT01_CMPD0021,pose2,-8.038,0,13.0,8.0,14.0,8.0,6.0,12.0,11.0,7.0,2.683,310.6,2.001,64.8,2,1.218
TGT01,TGT01_CMPD0021,pose3,-6.058,0,12.0,4.0,10.0,5.0,8.0,9.0,8.0,15.0,2.545,396.9,1.978,75.1,5,1.495
TGT01,TGT01_CMPD0022,pose1,-6.896,0,0.0,0.0,4.0,3.0,3.0,2.0,5.0,6.0,1.782,209.3,2.606,36.8,0,1.877
TGT01,TGT01_CMPD0022,pose2,-5.643,0,0.0,2.0,6.0,0.0,0.0,1.0,6.0,4.0,3.087,244.3,0.832,91.4,2,0.984
TGT01,TGT01_CMPD0022,pose3,-3.653,0,1.0,2.0,2.0,5.0,0.0,4.0,14.0,7.0,2.528,242.2,1.471,30.6,0,1.815
TGT01,TGT01_CMPD0023,pose1,-3.719,0,16.0,11.0,7.0,17.0,8.0,15.0,14.0,14.0,2.909,386.0,1.36,80.2,3,2.097
TGT01,TGT01_CMPD0023,pose2,-6.617,0,11.0,6.0,10.0,9.0,5.0,8.0,18.0,10.0,2.52,311.4,1.623,92.1,3,2.057
TGT01,TGT01_CMPD0023,pose3,-4.903,0,16.0,11.0,11.0,10.0,14.0,13.0,12.0,15.0,2.443,305.9,2.974,68.1,0,1.689
TGT01,TGT01_CMPD0024,pose1,-5.848,0,3.0,2.0,9.0,4.0,4.0,4.0,10.0,7.0,2.122,315.1,1.058,98.9,1,0.336
TGT01,TGT01_CMPD0024,pose2,-6.752,0,12.0,7.0,8.0,5.0,2.0,12.0,9.0,13.0,2.982,230.2,1.422,109.9,0,1.328
TGT01,TGT01_CMPD0024,pose3,-6.864,0,5.0,5.0,6.0,4.0,10.0,7.0,9.0,8.0,1.494,277.8,4.341,50.9,1,1.382
TGT01,TGT01_CMPD0025,pose1,-8.253,0,9.0,7.0,9.0,14.0,12.0,8.0,15.0,9.0,3.627,451.0,3.823,78.7,4,0.94
TGT01,TGT01_CMPD0025,pose2,-8.052,0,12.0,17.0,12.0,10.0,11.0,18.0,10.0,12.0,3.213,288.7,0.937,100.0,1,0.847
TGT01,TGT01_CMPD0025,pose3,-8.161,0,10.0,14.0,13.0,10.0,7.0,8.0,11.0,8.0,3.017,318.7,1.373,100.1,4,1.548
TGT01,TGT01_CMPD0026,pose1,-7.498,1,15.0,15.0,13.0,13.0,10.0,18.0,17.0,12.0,2.027,311.6,2.763,86.8,1,1.079
TGT01,TGT01_CMPD0026,pose2,-6.822,1,12.0,6.0,18.0,15.0,10.0,15.0,14.0,13.0,2.665,346.4,2.123,82.3,6,1.006
TGT01,TGT01_CMPD0026,pose3,-4.335,1,5.0,7.0,13.0,3.0,8.0,8.0,14.0,12.0,1.929,289.6,4.315,94.6,2,2.145
TGT01,TGT01_CMPD0027,pose1,-5.86,0,13.0,8.0,11.0,14.0,12.0,10.0,11.0,13.0,3.587,350.8,3.903,95.0,2,0.546
TGT01,TGT01_CMPD0027,pose2,-6.135,0,14.0,5.0,9.0,8.0,7.0,12.0,14.0,10.0,3.621,285.1,2.528,72.6,0,1.634
TGT01,TGT01_CMPD0027,pose3,-4.093,0,10.0,3.0,8.0,9.0,8.0,9.0,13.0,10.0,2.347,372.8,2.996,93.4,0,1.021
TGT01,TGT01_CMPD0028,pose1,-3.481,0,6.0,4.0,4.0,1.0,0.0,2.0,6.0,10.0,2.307,389.1,0.643,65.0,0,0.672
TGT01,TGT01_CMPD0028,pose2,-3.632,0,5.0,4.0,3.0,3.0,6.0,8.0,7.0,10.0,3.523,340.0,1.327,68.2,0,1.761
TGT01,TGT01_CMPD0028,pose3,-5.832,0,4.0,6.0,2.0,3.0,1.0,12.0,12.0,10.0,2.522,259.0,3.74,64.3,3,2.039
TGT01,TGT01_CMPD0029,pose1,-3.448,0,9.0,14.0,10.0,7.0,7.0,10.0,10.0,13.0,2.178,350.1,2.063,59.1,0,0.328
TGT01,TGT01_CMPD0029,pose2,-5.462,0,5.0,0.0,13.0,1.0,7.0,12.0,9.0,8.0,3.278,323.5,1.667,91.5,0,0.921
TGT01,TGT01_CMPD0029,pose3,-6.388,0,8.0,7.0,10.0,12.0,9.0,16.0,15.0,11.0,2.667,246.2,0.399,68.9,0,1.313
TGT01,TGT01_CMPD0030,pose1,-5.72,0,10.0,16.0,14.0,11.0,10.0,14.0,16.0,14.0,2.14,320.3,3.07,87.9,1,1.528
TGT01,TGT01_CMPD0030,pose2,-5.188,0,15.0,8.0,14.0,12.0,10.0,19.0,23.0,17.0,2.782,334.1,3.769,79.0,3,0.445
TGT01,TGT01_CMPD0030,pose3,-7.864,0,12.0,11.0,18.0,15.0,9.0,17.0,16.0,18.0,4.44,353.7,2.051,104.5,1,1.927
TGT01,TGT01_CMPD0031,pose1,-5.478,0,8.0,6.0,7.0,7.0,5.0,8.0,14.0,12.0,3.299,243.9,0.213,103.8,4,0.742
TGT01,TGT01_CMPD0031,pose2,-6.219,0,11.0,6.0,12.0,9.0,4.0,9.0,9.0,11.0,2.465,317.3,2.703,74.2,0,0.07
TGT01,TGT01_CMPD0031,pose3,-6.583,0,5.0,10.0,16.0,5.0,11.0,10.0,12.0,12.0,4.36,271.4,2.565,79.8,0,0.372
TGT01,TGT01_CMPD0032,pose1,-5.983,0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,1.006,357.3,0.899,46.8,0,0.018
TGT01,TGT01_CMPD0032,pose2,-5.263,0,3.0,2.0,8.0,0.0,0.0,0.0,4.0,6.0,2.763,301.5,1.582,23.4,0,1.16
TGT01,TGT01_CMPD0032,pose3,-5.306,0,5.0,0.0,2.0,5.0,2.0,4.0,8.0,4.0,2.036,226.0,1.163,60.6,1,1.502
TGT01,TGT01_CMPD0033,pose1,-6.894,0,8.0,6.0,7.0,8.0,4.0,8.0,11.0,10.0,2.245,320.4,3.523,92.6,3,1.567
TGT01,TGT01_CMPD0033,pose2,-6.987,0,8.0,9.0,5.0,7.0,0.0,9.0,13.0,8.0,1.467,335.2,0.157,32.6,0,0.838
TGT01,TGT01_CMPD0033,pose3,-7.436,0,6.0,9.0,7.0,12.0,5.0,5.0,10.0,2.0,2.429,308.8,4.267,89.2,1,1.71
TGT01,TGT01_CMPD0034,pose1,-2.421,0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,2.265,293.3,0.341,52.5,0,0.621
TGT01,TGT01_CMPD0034,pose2,-3.813,0,0.0,0.0,9.0,4.0,4.0,0.0,7.0,0.0,1.938,185.4,-0.146,72.6,3,0.586
TGT01,TGT01_CMPD0034,pose3,-7.8,0,6.0,0.0,7.0,0.0,0.0,3.0,8.0,1.0,1.877,318.6,3.245,45.1,2,1.043
TGT01,TGT01_CMPD0035,pose1,-8.525,0,17.0,10.0,20.0,14.0,11.0,16.0,14.0,17.0,3.146,348.5,3.39,44.4,4,3.042
TGT01,TGT01_CMPD0035,pose2,-3.037,0,9.0,4.0,12.0,14.0,7.0,13.0,9.0,10.0,2.872,357.4,3.867,89.5,0,1.547
TGT01,TGT01_CMPD0035,pose3,-5.978,0,14.0,8.0,10.0,12.0,13.0,11.0,17.0,8.0,2.69,354.4,1.432,127.2,1,0.056
TGT01,TGT01_CMPD0036,pose1,-6.101,0,15.0,14.0,15.0,14.0,15.0,13.0,14.0,19.0,2.94,290.9,3.392,95.5,2,1.487
TGT01,TGT01_CMPD0036,pose2,-5.922,0,10.0,16.0,12.0,14.0,16.0,16.0,13.0,16.0,3.717,336.6,3.046,89.0,6,2.688
TGT01,TGT01_CMPD0036,pose3,-7.038,0,13.0,13.0,15.0,12.0,10.0,10.0,12.0,10.0,2.643,355.4,2.19,88.7,0,2.483
TGT01,TGT01_CMPD0037,pose1,-5.585,0,12.0,4.0,9.0,9.0,8.0,5.0,15.0,13.0,1.29,264.0,1.831,69.7,6,2.297
TGT01,TGT01_CMPD0037,pose2,-5.15,0,8.0,10.0,6.0,6.0,13.0,9.0,10.0,17.0,2.184,330.7,0.93,66.3,0,0.521
TGT01,TGT01_CMPD0037,pose3,-4.41,0,18.0,10.0,8.0,15.0,6.0,8.0,18.0,13.0,4.019,296.9,0.187,66.8,0,0.846
TGT01,TGT01_CMPD0038,pose1,-6.82,0,10.0,13.0,13.0,14.0,16.0,11.0,18.0,12.0,2.648,451.2,1.539,107.3,3,1.526
TGT01,TGT01_CMPD0038,pose2,-7.585,0,18.0,12.0,18.0,15.0,12.0,10.0,15.0,15.0,3.549,303.9,4.33,80.8,4,1.441
TGT01,TGT01_CMPD0038,pose3,-8.15,0,9.0,10.0,14.0,12.0,13.0,14.0,15.0,19.0,3.148,365.7,3.703,106.8,3,0.687
TGT01,TGT01_CMPD0039,pose1,-6.202,0,4.0,6.0,6.0,9.0,8.0,8.0,7.0,8.0,2.821,310.4,3.038,58.9,0,1.505
TGT01,TGT01_CMPD0039,pose2,-4.873,0,12.0,3.0,8.0,4.0,3.0,6.0,6.0,10.0,2.483,232.6,0.793,79.0,0,0.849
TGT01,TGT01_CMPD0039,pose3,-2.915,0,6.0,2.0,10.0,9.0,1.0,6.0,9.0,11.0,3.035,329.3,2.469,68.4,3,1.904
TGT01,TGT01_CMPD0040,pose1,-6.543,0,7.0,7.0,9.0,10.0,5.0,2.0,7.0,9.0,1.869,289.4,2.678,71.1,0,0.418
TGT01,TGT01_CMPD0040,pose2,-5.362,0,9.0,9.0,9.0,9.0,4.0,5.0,8.0,5.0,2.633,365.3,2.152,78.1,0,1.425
TGT01,TGT01_CMPD0040,pose3,-7.301,0,7.0,6.0,3.0,9.0,6.0,3.0,7.0,6.0,3.028,291.1,2.056,83.7,1,1.096
TGT01,TGT01_CMPD0041,pose1,-7.438,0,7.0,11.0,11.0,8.0,12.0,11.0,12.0,17.0,3.492,299.0,2.481,92.3,0,1.929
TGT01,TGT01_CMPD0041,pose2,-7.889,0,14.0,14.0,17.0,14.0,12.0,12.0,18.0,14.0,2.582,264.4,1.033,88.6,2,0.151
TGT01,TGT01_CMPD0041,pose3,-5.445,0,11.0,11.0,13.0,16.0,9.0,14.0,14.0,9.0,4.199,335.9,3.053,64.9,1,1.004
TGT01,TGT01_CMPD0042,pose1,-6.041,0,9.0,10.0,19.0,9.0,16.0,15.0,16.0,13.0,3.064,332.4,3.771,77.9,4,3.0
TGT01,TGT01_CMPD0042,pose2,-7.373,0,15.0,14.0,14.0,14.0,14.0,20.0,15.0,15.0,2.165,322.4,1.752,88.8,5,0.097
TGT01,TGT01_CMPD0042,pose3,-3.931,0,17.0,6.0,15.0,13.0,13.0,12.0,15.0,13.0,2.378,233.3,2.982,96.4,3,3.342
TGT01,TGT01_CMPD0043,pose1,-3.361,0,9.0,12.0,14.0,11.0,13.0,12.0,14.0,18.0,3.413,278.6,0.759,76.1,2,1.116
TGT01,TGT01_CMPD0043,pose2,-4.983,0,13.0,11.0,17.0,15.0,8.0,13.0,17.0,17.0,2.615,294.1,0.843,82.2,0,0.95
TGT01,TGT01_CMPD0043,pose3,-6.715,0,8.0,8.0,11.0,6.0,6.0,8.0,10.0,15.0,1.572,274.3,1.876,78.7,1,0.112
TGT01,TGT01_CMPD0044,pose1,-7.909,0,8.0,7.0,15.0,11.0,7.0,7.0,17.0,9.0,3.688,282.2,2.344,112.6,1,1.197
TGT01,TGT01_CMPD0044,pose2,-7.609,0,7.0,9.0,11.0,14.0,5.0,10.0,13.0,15.0,2.209,362.6,2.697,75.4,4,2.261
TGT01,TGT01_CMPD0044,pose3,-6.878,0,10.0,11.0,9.0,8.0,7.0,14.0,8.0,10.0,3.209,293.4,2.703,65.0,0,0.174
TGT01,TGT01_CMPD0045,pose1,-4.058,0,2.0,1.0,0.0,4.0,4.0,0.0,5.0,7.0,2.455,246.6,1.532,56.2,0,0.258
TGT01,TGT01_CMPD0045,pose2,-5.208,0,5.0,0.0,4.0,0.0,0.0,3.0,3.0,7.0,2.067,346.8,1.048,48.0,0,1.237
TGT01,TGT01_CMPD0045,pose3,-2.477,0,0.0,2.0,4.0,3.0,2.0,0.0,5.0,6.0,1.875,285.7,2.456,55.4,0,1.035
TGT01,TGT01_CMPD0046,pose1,-7.495,0,11.0,10.0,11.0,9.0,5.0,7.0,10.0,10.0,2.04,375.4,2.081,101.5,0,2.17
TGT01,TGT01_CMPD0046,pose2,-7.911,0,10.0,6.0,12.0,11.0,12.0,14.0,9.0,8.0,1.749,288.6,3.116,86.4,1,1.914
TGT01,TGT01_CMPD0046,pose3,-3.63,0,8.0,11.0,11.0,7.0,3.0,6.0,12.0,8.0,2.931,342.2,2.805,67.0,2,0.082
TGT01,TGT01_CMPD0047,pose1,-7.159,0,11.0,9.0,4.0,6.0,0.0,9.0,9.0,6.0,3.253,295.6,0.979,109.9,0,2.448
TGT01,TGT01_CMPD0047,pose2,-5.413,0,8.0,8.0,8.0,5.0,6.0,10.0,18.0,15.0,2.532,334.0,1.901,101.7,3,0.763
TGT01,TGT01_CMPD0047,pose3,-7.824,0,13.0,10.0,8.0,7.0,10.0,6.0,13.0,13.0,3.17,199.0,3.372,100.2,5,0.341
TGT01,TGT01_CMPD0048,pose1,-4.659,0,11.0,11.0,9.0,11.0,12.0,11.0,13.0,12.0,2.243,276.8,3.044,96.9,2,0.365
TGT01,TGT01_CMPD0048,pose2,-3.185,0,8.0,8.0,10.0,7.0,9.0,8.0,9.0,5.0,2.674,294.9,2.826,56.7,3,1.671
TGT01,TGT01_CMPD0048,pose3,-6.089,0,11.0,9.0,12.0,8.0,6.0,9.0,11.0,10.0,3.058,349.6,1.131,71.4,2,1.796
TGT01,TGT01_CMPD0049,pose1,-7.015,0,8.0,8.0,6.0,11.0,6.0,6.0,10.0,17.0,2.056,276.6,1.996,76.5,5,1.077
TGT01,TGT01_CMPD0049,pose2,-6.524,0,11.0,4.0,8.0,5.0,8.0,9.0,9.0,11.0,2.208,218.9,-0.155,54.0,2,0.473
TGT01,TGT01_CMPD0049,pose3,-5.745,0,11.0,10.0,11.0,10.0,3.0,6.0,15.0,9.0,1.733,279.5,-1.074,65.2,0,1.857
TGT01,TGT01_CMPD0050,pose1,-6.429,0,8.0,3.0,6.0,11.0,8.0,12.0,10.0,11.0,3.422,340.1,3.083,63.7,0,0.659
TGT01,TGT01_CMPD0050,pose2,-8.231,0,10.0,13.0,14.0,6.0,7.0,16.0,13.0,18.0,2.904,291.1,1.42,73.6,1,0.719
TGT01,TGT01_CMPD0050,pose3,-5.567,0,8.0,6.0,13.0,11.0,7.0,14.0,8.0,11.0,3.049,343.8,2.578,92.9,3,1.845
TGT01,TGT01_CMPD0051,pose1,-4.178,0,6.0,4.0,8.0,5.0,4.0,10.0,11.0,12.0,3.333,278.1,1.464,101.0,2,1.109
TGT01,TGT01_CMPD0051,pose2,-4.925,0,4.0,0.0,7.0,6.0,5.0,6.0,8.0,5.0,2.764,381.7,1.314,59.4,0,0.614
TGT01,TGT01_CMPD0051,pose3,-4.607,0,9.0,6.0,9.0,4.0,2.0,5.0,9.0,7.0,3.42,332.6,2.563,68.0,0,0.55
TGT01,TGT01_CMPD0052,pose1,-6.175,0,10.0,7.0,8.0,6.0,7.0,13.0,7.0,12.0,2.835,291.2,2.765,59.1,1,1.945
TGT01,TGT01_CMPD0052,pose2,-6.202,0,11.0,10.0,6.0,6.0,6.0,6.0,16.0,4.0,2.831,288.7,2.685,82.6,1,0.881
TGT01,TGT01_CMPD0052,pose3,-4.853,0,9.0,5.0,16.0,12.0,6.0,7.0,8.0,15.0,2.99,355.5,1.9,77.8,0,1.33
TGT01,TGT01_CMPD0053,pose1,-7.257,0,15.0,13.0,17.0,11.0,9.0,14.0,11.0,20.0,3.471,459.7,2.896,82.0,0,2.097
TGT01,TGT01_CMPD0053,pose2,-5.926,0,11.0,14.0,14.0,11.0,8.0,14.0,20.0,19.0,3.534,360.1,2.675,96.3,2,0.933
TGT01,TGT01_CMPD0053,pose3,-7.275,0,12.0,14.0,15.0,16.0,17.0,14.0,16.0,7.0,2.782,313.9,2.841,76.4,1,0.737
TGT01,TGT01_CMPD0054,pose1,-4.472,1,11.0,7.0,13.0,14.0,9.0,12.0,15.0,9.0,3.318,265.9,1.086,74.8,1,1.613
TGT01,TGT01_CMPD0054,pose2,-6.67,1,8.0,9.0,12.0,10.0,15.0,10.0,11.0,13.0,2.206,217.2,2.205,96.1,2,0.794
TGT01,TGT01_CMPD0054,pose3,-5.253,1,16.0,17.0,18.0,10.0,14.0,8.0,14.0,15.0,2.965,369.4,3.842,117.4,2,1.969
TGT01,TGT01_CMPD0055,pose1,-7.269,1,14.0,8.0,10.0,12.0,7.0,9.0,15.0,11.0,2.077,395.4,2.645,70.0,0,1.989
TGT01,TGT01_CMPD0055,pose2,-7.033,1,8.0,9.0,6.0,10.0,13.0,12.0,11.0,13.0,2.739,241.5,2.472,44.1,2,3.26
TGT01,TGT01_CMPD0055,pose3,-5.498,1,9.0,2.0,10.0,5.0,6.0,9.0,11.0,11.0,2.627,334.9,2.68,78.3,3,0.521
TGT01,TGT01_CMPD0056,pose1,-4.859,0,7.0,0.0,4.0,9.0,5.0,4.0,12.0,9.0,2.408,380.3,1.88,72.6,0,0.636
