"geneSymbol","GSE_B_S01","GSE_B_S02","GSE_B_S03","GSE_B_S04","GSE_B_S05","GSE_B_S06","GSE_B_S07","GSE_B_S08"
"RNA5SP130",8.139,8.471,8.872,11.196,11.617,9.2,8.662,6.844
"LOC127408329",10.76,7.374,6.035,9.366,6.133,8.505,11.029,4.711
"LOC127403183",10.053,7.843,9.21,7.631,10.21,12.008,9.549,6.503
"LOC127896925",8.327,7.97,8.348,9.568,10.789,9.029,6.459,8.324
"LOC129389908",11.828,5.221,8.096,7.593,7.506,5.696,7.977,7.403
"PCSEAT",10.36,11.142,9.861,8.902,6.998,10.65,8.374,10.579
"LOC130009820",8.775,9.074,10.321,6.01,7.531,9.783,8.358,9.454
"LOC129998339",7.178,10.244,9.933,7.072,8.337,10.638,11.018,9.979
"LOC127268877",9.998,6.252,7.832,7.59,10.091,7.706,9.57,7.115
"LOC127882910",7.853,7.281,8.253,10.528,8.327,8.414,9.205,11.179
"LOC127274376",9.862,10.416,8.866,7.563,8.21,8.589,9.588,9.264
"LOC121627969",9.612,6.679,10.268,11.533,7.764,9.229,7.898,8.346
"LOC127460376",10.224,8.588,7.664,9.728,11.502,7.687,5.96,8.7
"LOC105372255",8.894,7.118,9.001,11.567,9.879,9.895,10.08,9.529
"RHOV",8.034,7.589,8.047,9.162,4.913,7.84,5.704,9.3
"FGG",9.161,8.228,10.21,9.665,11.665,7.292,10.337,10.309
"COL18A1-AS1",10.358,10.646,8.05,10.375,7.13,7.893,8.111,9.594
"LOC107985176",9.975,6.145,10.812,7.704,8.864,6.934,8.17,11.474
"LOC124902547",7.996,10.208,8.519,7.922,4.677,7.846,6.444,6.605
"LOC127458223",8.718,8.68,6.083,10.819,9.71,4.437,9.015,8.543
"LOC127268899",7.391,9.138,9.496,10.07,7.963,10.976,6.934,7.744
"LOC130008249",8.385,6.894,6.491,8.636,6.535,9.596,9.816,11.572
"LOC127887919",8.404,5.275,8.382,7.795,9.57,7.182,10.456,9.185
"OR4K11P",9.517,10.457,8.982,6.363,9.074,7.328,8.889,10.205
"LOC102723851",13.017,8.461,9.819,9.232,6.461,7.701,7.841,12.7
"TFB1M",9.209,9.579,8.139,9.053,6.743,8.147,8.24,9.839
"LOC127266741",7.831,9.881,10.616,9.474,12.025,7.432,11.936,11.247
"LOC127403550",6.913,11.113,5.748,9.388,8.049,10.352,7.764,11.586
"LOC127396634",9.094,11.449,10.445,11.067,7.173,10.488,8.011,8.35
"LOC127404850",8.598,11.126,7.953,9.662,7.433,10.649,8.718,6.438
"STQTL8",9.517,8.714,9.331,10.585,8.717,7.501,8.781,5.484
"LOC124900697",6.492,9.337,8.032,10.596,8.97,9.185,8.307,9.382
"RN7SL575P",8.771,8.172,8.798,7.166,5.575,11.587,6.599,7.681
"RPS4XP14",7.062,4.501,9.142,9.254,8.01,10.393,10.224,10.26
"LOC130065847",8.183,7.853,11.48,6.292,10.387,9.818,6.481,9.239
"LOC127893454",6.735,10.483,9.236,11.247,5.998,4.802,10.991,9.656
"LOC127828523",10.195,9.711,8.395,9.416,11.047,9.741,8.747,9.716
"LOC126862404",8.77,7.794,9.276,9.807,7.246,10.469,10.631,9.98
"LOC127883788",7.541,11.196,6.285,10.538,9.306,7.004,8.737,6.053
"LOC124907100",8.733,6.795,10.855,7.349,10.292,8.479,8.617,8.313
"LOC101928553",7.427,8.102,4.232,6.466,7.36,7.62,12.155,8.388
"PPIAP37",10.886,11.419,6.843,7.689,8.276,8.725,11.309,8.082
"LOC107984283",4.195,11.149,6.558,8.322,7.478,6.033,9.352,6.71
"LOC127409155",9.428,9.875,11.935,8.182,7.209,8.761,10.76,7.658
"LOC127824187",7.467,9.741,9.504,9.599,9.151,8.68,7.926,8.593
"LOC129388431",14.698,9.689,7.465,6.829,11.52,8.615,10.671,10.812
"LINC01337",11.071,9.618,8.669,9.45,8.295,9.032,5.148,7.64
"MTFR2P1",10.11,6.743,8.547,12.167,8.057,7.834,11.994,7.661
"LOC129660817",10.422,8.013,9.81,8.811,6.63,8.73,9.157,6.727
"ATP5F1BP1",6.715,5.096,10.681,8.62,9.353,11.288,10.62,9.145
"MTCYBP43",10.539,7.341,10.64,10.075,6.286,10.579,10.003,9.992
"LOC130068202",8.586,7.349,9.255,11.54,8.789,10.884,7.86,10.94
"STQTL22",9.226,8.875,10.027,7.846,9.997,8.983,10.741,8.789
"LOC127459113",10.546,8.645,11.667,8.538,6.869,13.882,8.934,6.344
"LOC130065069",7.111,6.911,7.816,9.715,8.792,8.16,11.276,11.429
"LOC127269767",9.988,6.466,11.029,12.225,10.435,10.275,9.609,8.585
"LOC127268587",7.928,10.425,9.779,6.745,8.259,7.652,8.244,7.391
"CEND1",8.97,8.719,7.192,12.92,8.229,6.407,9.88,8.554
"LOC127406134",9.656,9.949,9.029,8.851,8.668,10.826,6.415,9.209
"CPP",9.67,6.719,8.434,7.719,7.119,10.141,6.435,10.925
"LOC129935910",8.747,8.575,8.148,9.336,7.344,8.969,10.554,9.545
"FAM222B",8.394,7.388,6.541,11.293,7.258,9.383,8.839,11.522
"LOC129996129",8.867,5.925,7.715,9.158,10.82,10.534,9.929,11.354
"LOC130057080",8.131,9.981,12.393,8.974,5.058,9.448,12.149,9.135
"LOC130060431",12.041,10.035,8.612,9.907,6.83,10.723,7.968,9.705
"LOC127404574",8.44,9.125,11.485,6.495,9.265,6.44,7.152,7.927
"LOC127822044",7.989,8.621,7.742,7.826,10.756,9.444,8.32,10.392
"LOC127818476",12.082,9.604,9.072,7.906,5.371,11.047,7.4,7.829
"LOC128772281",6.403,10.727,5.452,8.008,9.199,7.029,12.881,10.191
"ITPR2",8.064,8.808,12.382,9,7.307,11.145,8.208,10.154
"LOC124906467",6.927,9.449,7.596,8.487,8.992,11.027,9.528,7.017
"LOC127829065",6.286,8.172,7.047,10.931,10.484,8.921,9.149,8.34
"LOC127267316",7.19,9.371,5.671,9.616,8.546,11.765,8.389,9.936
"LOC125146373",8.575,6.631,9.281,8.867,10.811,6.622,8.215,9.46
"LOC127818820",9.197,9.776,7.616,10.252,12.206,5.084,9.782,8.478
"LOC127819294",7.351,8.917,10.596,10.06,9.546,7.22,6.132,10.09
"LOC129930842",11.524,9.878,10.922,10.986,10.899,9.417,10.337,8.099
"LOC130065166",10.291,8.089,9.09,9.079,9.106,8.2,10.056,11.705
"LOC127399772",8.348,10.187,4.848,10.966,7.358,9.013,8.261,11.356
"LOC127457243",9.815,9.376,8.331,10.252,10.996,6.613,7.589,6.968
"RN7SL633P",9.465,9.048,8.404,7.423,10.922,10.246,10.421,10.345
"LOC129390118",6.271,11.94,9.515,9.694,9.239,10.976,5.761,9.507
"LINC01673",8.278,8.46,7.911,8.716,10.418,10.676,9.618,11.409
"LOC127457196",8.041,7.189,6.618,11.583,5.254,11.35,10.05,9.132
"LOC130004885",8.44,8.041,6.717,5.855,4.764,6.436,10.692,8.087
"LOC127397731",10.355,8.374,8.93,5.497,9.366,10.292,11.362,11.096
"LOC126805606",7.62,8.075,9.591,6.385,8.922,8.262,10.752,5.703
"LOC127402675",8.588,7.594,7.121,6.704,7.799,9.251,11.352,9.679
"LOC127887326",9.66,7.068,7.085,7.579,10.544,6.711,8.456,10.269
"SAA2",6.643,9.405,8.94,8.905,8.686,9.207,9.291,9.017
"LOC130063273",8.977,8.392,5.185,7.834,8.942,8.87,9.626,11.28
"CICP15",7.606,10.447,7.365,7.335,8.795,6.129,5.844,11.452
"LOC130008171",12.824,10.723,7.073,7.966,6.086,9.009,4.796,9.655
"LOC127407695",9.581,8.793,9.196,7.7,8.404,7.955,8.139,6.565
"LOC130002763",8.046,6.872,8.108,11.755,8.291,6.681,8.507,8.869
"LOC127892620",7.722,7.417,11.35,8.794,8.149,8.195,6.676,9.934
"LOC132088997",8.904,10.855,6.592,8.899,8.058,7.982,7.187,10.494
"LOC127403871",7.748,10.429,7.285,11.098,8.905,10.699,10.51,9.826
"LOC126653397",6.624,8.216,6.773,8.808,8.046,4.286,5.161,9.576
"LOC132090123",7.787,8.589,7.656,7.943,9.056,10.986,9.325,8.412
"CACD3",7.385,5.196,8.971,9.11,9.362,6.99,6.935,7.732
"LOC127269324",6.788,10.108,10.277,6.072,9.777,7.365,14.417,8.92
"LOC127397445",11.383,6.667,9.09,6.752,6.362,8.607,8.711,8.16
"LOC130007725",11.337,9.735,6.513,11.868,12.214,7.418,8.626,7.815
"LOC127888273",11.792,7.857,9.225,10.35,9.602,8.794,9.38,8.635
"LOC127270958",8.22,11.79,7.093,10.309,10.174,7.32,9.112,7.538
"LOC129662777",7.163,6.742,11.277,8.038,10.68,8.555,6.422,9.467
"LOC130057362",8.55,12.903,10.329,7.931,8.073,11.837,9.204,12.353
"MIR3658",7.761,9.447,7.358,6.064,8.998,8.015,9.996,7.324
"LOC130005925",3.572,9.169,12.138,6.209,8.253,7.776,9.614,6.49
"UGDH-AS1",5.264,6.502,7.859,8.328,7.742,6.094,5.669,7.874
"LOC127397982",6.696,9.355,7.487,9.125,9.451,8.23,11.252,7.398
"LOC105373271",10.542,8.665,7.362,10.424,7.939,6.114,8.812,6.918
"LOC130056053",9.935,8.467,8.568,10.074,7.391,7.471,11.132,6.996
"KRT14",8.33,11.395,8.563,11.86,10.117,9.783,10.102,7.579
"LOC130055628",10.865,10.16,7.942,5.664,12.748,11.149,6.634,10.507
"LINC00297",6.136,10.082,11.132,9.525,8.3,7.554,8.869,10.109
"LOC129999977",7.948,6.426,12.144,10.217,9.409,8.811,6.335,11.132
"LOC127460210",7.599,8.356,8.263,8.173,9.69,10.255,8.198,8.29
"PDE12",8.249,10.248,9.016,7.694,10.552,7.64,11.543,7.152
"RPS6P7",8.117,9.517,6.7,11.832,7.502,6.027,6.383,6.993
"LOC127400270",9.335,7.73,7.751,11.216,10.191,9.228,7.982,7.527
"TRAPPC11",9.415,8.409,12.966,10.21,8.805,9.642,7.32,9.12
"SNAR-G1",9.884,9.159,8.84,8.338,9.511,7.558,10.548,8.443
"LOC127894003",7.513,7.183,12.043,7.931,4.699,10.556,9.04,7.33
"LOC130008951",7.153,7.668,9.861,7.447,9.546,9.678,10.83,8.114
"LOC127399849",6.927,10.575,11.521,11.156,4.45,8.023,10.704,9.578
"LOC130067385",8.025,8.087,9.206,14.431,8.589,8.969,8.58,7.27
"LOC129661423",5.286,10.362,11.39,10.372,6.36,9,9.125,8.878
"LOC127815973",8.056,9.428,7.762,6.113,5.315,8.159,7.534,7.202
"LOC127460072",10.551,9.449,8.685,11.407,11.806,5.493,10.719,9.075
"LOC127818801",10.286,10.711,10.265,9.831,7.315,8.862,7.482,10.758
"LOC129932716",8.901,8.514,7.903,6.758,6.892,8.797,9.317,9.036
"LOC127830274",8.777,9.749,10.327,9.61,8.826,9.139,5.98,10.342
"LOC127817885",7.99,9.886,6.239,9.809,8.817,7.082,8.125,13.444
"FKBP4P2",9.389,10.135,12.306,8.65,7.394,7.329,11.008,8.95
"LOC127271904",9.316,9.155,9.097,11.803,7.47,6.884,10.14,9.683
"LOC130002120",6.783,10.255,6.944,7.61,8.257,10.294,12.526,4.916
"LOC129992856",7.897,9.447,10.134,8.069,9.101,9.984,8.519,9.644
"LOC132090155",9.156,5.888,7.493,12.553,9.282,7.427,9.09,7.425
"PGDP1",7.12,9.017,8.68,7.175,8.614,7.664,9.03,5.717
"LOC130064237",6.174,10.276,13.304,8.471,9.184,7.189,5.536,7.239
"LOC130003117",7.481,7.82,9.003,7.949,8.406,8.171,8.544,8.319
"LOC129932081",9.321,9.747,5.608,12.104,10.515,8.736,9.342,11.79
"SPATA17",10.495,11.127,8.847,9.883,10.986,7.601,7.866,9.752
"LOC127882744",7.594,9.567,7.921,9.665,10.918,8.244,7.806,6.899
"LOC129933160",8.893,8.339,6.657,11.175,8.135,8.405,10.233,11.182
"MIR4533",11.746,8.293,9.574,9.425,7.118,11.006,10.144,9.534
"PSMA4",11.18,7.045,6.263,13.434,10.864,7.826,7.986,10.018
"LOC127884662",8.1,7.119,11.032,7.412,7.86,6.824,7.719,10.747
"LOC124904238",6.613,9.692,11.102,8.795,9.924,7.882,11.232,10.952
"LOC121530596",6.601,9.394,9.49,12.119,9.902,7.844,12.184,7.766
"LOC127890271",7.794,6.895,8.457,9.098,7.578,7.61,9.384,7.558
"COA1P1",9.221,8.905,7.83,9.425,8.346,8.707,5.07,7.819
"NRDC",6.128,8.149,8.234,7.587,10.242,9.798,9.077,10.24
"MIR6826",8.1,11.312,11.367,7.661,9.893,7.577,9.496,10.075
"RPS12P18",8.861,10.724,9.085,8.327,8.38,6.657,10.229,7.413
"LOC127820044",8.831,10.742,10.267,8.045,10.849,7.772,10.316,10.668
"LOC126862875",9.217,10.392,6.967,9.31,8.832,6.473,10.22,9.874
"LOC127889622",11.377,9.045,8.747,9.451,11.109,9.657,8.155,8.509
"LOC124904655",6.982,10.853,6.457,8.232,10.193,9.974,9.124,7.879
"RN7SKP51",6.76,9.148,9.705,9.506,7.731,7.121,4.219,11.302
"LOC126805591",11.98,10.621,6.557,9.513,9.381,11.817,9.592,6.128
"LOC107987383",10.765,10.089,11.702,9.153,8.781,9.459,7.83,7.661
"LOC127403179",10.531,7.767,6.042,5.179,9.179,8.183,9.58,7.004
"LOC130010089",4.864,5.97,7.238,7.63,7.345,9.635,7.876,8.783
"LOC105377055",9.457,8.491,13.078,9.119,9.925,6.159,9.508,6.887
"LOC127268463",8.874,10.512,9.185,7.31,8.6,10.696,7.139,9.595
"LOC101929633",7.879,7.08,10.745,7.34,10.289,8.793,12.998,6.475
"LOC127402525",10.107,10.375,9.078,10.301,10.695,10.279,10.118,14.357
"LOC127894636",7.032,9.491,6.812,9.447,9.088,10.212,6.21,7.166
"LOC127404005",7.557,10.384,6.025,7.595,7.911,8.506,4.846,9.303
"LOC130003556",8.743,7.892,7.391,8.692,9.575,7.007,4.762,12.076
"LOC130001829",6.878,10.386,11.173,7.768,11.708,9.239,9.577,8.003
"LOC127406362",10.475,10.073,8.125,8.183,6.729,7.453,7.508,9.53
"LOC127274830",7.442,9.841,8.826,6.307,7.696,11.176,13.143,8.519
"LOC127828357",6.803,7.847,9.837,5.437,9.36,7.714,7.666,9.467
"LOC130056507",7.888,6.583,8.545,7.974,8.602,8.676,9.612,8.889
"LOC129992678",10.855,9.716,12.07,9.267,5.89,9.683,8.89,6.456
"LOC127882855",9.116,10.388,8.384,6.622,11.237,4.397,7.001,8.044
"LOC105371894",6.888,10.132,7.389,11.041,8.65,6.792,9.325,10.198
"LOC124909118",7.813,9.545,5.751,7.156,9.689,9.187,9.081,10.999
"RNA5SP472",12.167,10.178,6.26,9.353,7.387,7.526,9.868,10.875
"LOC130001232",9.218,5.473,10.413,6.329,10.481,7.667,7.989,9.249
"LOC130002204",11.675,9.65,9.46,9.511,7.52,14.767,7.578,8.703
"LOC130001549",9.964,9.975,8.535,11.389,5.688,8.06,8.931,8.143
"LOC127408675",7.918,6.151,9.831,10.714,6.88,9.979,12.179,12.135
"LOC130009248",7.369,11.672,11.032,7.1,9.954,8.991,9.197,8.251
"CYP2F2P",8.757,8.651,8.939,10.69,7.752,7.77,6.628,11.026
"LOC126862895",10.609,4.407,8.743,9.303,10.561,8.1,4.975,8.648
"LOC127816870",5.268,9.031,5.1,8.92,9.992,13.249,5.198,7.926
"LOC127886798",8.307,5.676,7.469,11.167,4.059,8.132,9.821,7.881
"LOC127456856",8.14,10.09,9.693,10.016,7.574,7.895,9.374,9.433
"LOC127400446",12.592,7.877,8.125,10.22,11.478,9.856,8.047,10.325
"LOC127817506",7.289,8.582,7.691,7.878,9.383,9.601,4.914,9.507
