# synthetic, for demo only -- 400 cells x 132 genes, Poisson counts
# 12 TF programs x 8 targets + 24 unlinked genes; truth in ground_truth_edges.csv
cell,TF01,G001,G002,G003,G004,G005,G006,G007,G008,TF02,G009,G010,G011,G012,G013,G014,G015,G016,TF03,G017,G018,G019,G020,G021,G022,G023,G024,TF04,G025,G026,G027,G028,G029,G030,G031,G032,TF05,G033,G034,G035,G036,G037,G038,G039,G040,TF06,G041,G042,G043,G044,G045,G046,G047,G048,TF07,G049,G050,G051,G052,G053,G054,G055,G056,TF08,G057,G058,G059,G060,G061,G062,G063,G064,TF09,G065,G066,G067,G068,G069,G070,G071,G072,TF10,G073,G074,G075,G076,G077,G078,G079,G080,TF11,G081,G082,G083,G084,G085,G086,G087,G088,TF12,G089,G090,G091,G092,G093,G094,G095,G096,U001,U002,U003,U004,U005,U006,U007,U008,U009,U010,U011,U012,U013,U014,U015,U016,U017,U018,U019,U020,U021,U022,U023,U024
Cell0011,7,1,7,2,2,2,1,7,5,16,7,3,0,4,8,5,2,11,0,7,1,1,9,1,2,4,3,0,4,4,2,4,8,2,11,4,0,0,1,2,1,5,4,32,22,9,3,5,5,6,3,10,2,7,0,10,4,2,9,14,3,3,1,3,5,4,1,1,7,5,3,10,7,4,7,4,2,1,6,2,3,6,9,5,1,5,1,6,2,5,3,3,6,2,3,2,1,1,1,1,11,6,2,4,1,4,0,10,8,10,2,9,3,10,3,3,5,1,19,4,5,10,15,1,5,4,6,1,1,5,4,10
Cell0012,5,4,4,4,0,10,10,5,9,7,2,3,5,2,1,7,1,5,2,4,3,6,2,1,4,9,5,1,2,1,2,3,1,3,4,4,2,4,2,6,2,10,6,6,9,10,7,5,6,2,7,7,3,3,1,8,2,3,8,3,9,8,3,5,5,5,4,1,6,4,2,13,5,1,5,4,6,9,2,4,4,4,14,2,1,3,3,5,5,7,2,3,2,3,4,5,4,2,1,1,10,4,9,1,1,4,2,5,11,4,3,4,0,13,1,1,4,0,2,3,2,9,11,1,4,5,4,0,5,17,5,0
Cell0013,1,6,5,7,3,12,13,9,4,0,1,5,5,1,1,4,2,4,4,2,1,8,9,0,1,3,6,8,21,10,6,16,5,9,16,2,26,21,14,19,13,54,14,2,0,8,4,2,4,4,5,10,2,8,0,1,1,3,9,3,5,8,1,10,2,4,5,0,3,5,4,14,10,3,2,5,4,16,2,8,11,1,3,9,2,5,0,10,0,12,1,8,6,2,2,2,4,1,2,4,6,9,13,11,2,7,8,3,3,3,0,6,3,5,3,2,3,3,4,2,6,10,6,3,3,3,2,3,0,21,2,2
Cell0014,6,11,0,8,1,10,12,7,7,5,2,3,5,3,1,4,1,0,1,6,0,1,10,1,3,2,7,16,18,12,6,14,5,9,16,2,13,18,14,13,7,40,13,1,3,6,14,1,3,1,4,8,2,5,0,4,0,3,6,17,6,5,1,19,2,2,7,5,7,7,4,16,8,11,5,8,5,14,2,4,18,2,2,15,3,5,2,1,0,12,3,4,2,7,3,4,8,1,1,3,3,12,12,15,2,4,7,3,12,4,3,4,3,12,1,3,3,3,3,2,2,6,3,1,3,3,13,1,1,3,5,0
Cell0015,11,4,3,6,1,12,19,17,5,2,1,3,8,2,4,3,2,2,0,1,4,2,7,4,2,0,6,8,13,6,4,17,4,4,23,3,22,15,13,10,9,41,10,4,3,6,11,3,1,2,11,7,4,12,3,5,3,1,8,3,4,7,2,9,4,3,7,1,9,12,3,9,7,8,5,7,3,16,0,1,11,1,1,13,1,5,0,0,0,10,2,4,2,1,7,5,6,1,5,7,4,12,2,12,1,12,13,5,2,1,5,14,4,6,6,2,6,5,2,3,1,15,5,2,8,3,11,3,5,2,3,3
Cell0016,17,13,5,13,1,15,23,13,5,5,1,1,7,1,0,2,2,4,1,3,3,3,5,0,0,1,1,5,6,14,7,16,5,2,19,1,23,33,24,19,14,65,18,0,1,5,6,2,2,8,4,8,5,18,2,4,2,6,10,6,8,8,4,8,6,6,3,0,7,8,1,10,20,6,1,2,7,15,1,6,12,1,6,6,2,4,4,5,2,18,4,1,3,2,5,1,15,2,4,4,1,8,8,12,7,5,10,7,8,0,1,8,2,16,4,0,2,3,7,1,8,4,3,7,2,14,5,1,1,4,2,7
Cell0017,3,2,4,1,3,2,9,6,3,20,6,5,3,3,5,7,4,6,0,2,3,4,8,1,4,1,3,0,1,1,0,3,3,2,3,14,2,0,1,1,1,3,2,31,18,6,8,5,2,4,2,8,4,5,1,3,3,7,12,13,3,5,2,8,1,0,5,2,1,7,1,14,7,1,3,4,3,5,0,1,0,4,11,21,3,4,0,6,2,9,2,3,5,1,3,2,5,5,1,4,6,1,7,4,3,4,2,9,3,5,7,13,4,3,3,1,3,5,1,3,6,8,5,2,1,18,6,1,6,9,3,4
Cell0018,7,3,6,2,2,8,11,9,6,7,5,7,2,3,2,6,2,8,3,3,2,6,6,3,3,0,5,3,3,1,3,7,2,1,10,4,4,11,8,3,5,12,7,5,3,19,3,8,3,10,2,6,2,10,2,11,1,2,8,8,2,16,6,17,8,3,9,1,17,16,3,17,1,0,15,2,2,3,6,1,5,4,10,5,2,2,6,9,1,8,2,1,3,3,4,3,9,2,2,1,8,5,2,4,2,3,3,4,10,5,2,6,2,5,2,1,3,1,6,2,1,5,10,4,6,1,12,4,5,6,3,4
Cell0019,6,4,7,2,2,3,9,5,7,7,4,4,7,1,3,3,0,4,1,3,1,6,9,6,4,1,6,3,1,2,1,3,1,1,5,2,3,2,3,5,1,7,8,11,12,5,1,2,2,2,5,7,3,13,6,15,6,3,7,1,9,15,8,6,6,6,4,1,8,6,1,5,6,5,2,1,1,8,3,2,8,6,15,5,2,0,7,9,6,10,4,5,4,0,5,5,7,3,2,7,3,10,17,5,4,4,7,4,6,1,3,9,0,25,1,3,8,9,3,2,13,12,1,3,3,5,3,5,4,4,2,3
Cell0020,2,3,14,4,3,5,8,4,5,7,2,1,5,4,3,8,2,5,3,4,1,5,6,0,0,2,6,1,7,3,1,1,5,0,2,9,4,10,3,8,4,8,4,3,12,8,6,2,7,6,4,4,3,8,13,22,6,0,1,2,14,21,1,20,8,4,9,3,11,9,9,18,0,1,15,2,1,1,7,2,6,1,5,8,0,6,3,5,2,9,1,3,5,2,3,7,6,2,2,3,3,10,10,5,2,5,6,7,9,1,3,3,4,6,5,2,4,8,1,2,0,14,7,4,3,16,6,1,1,2,4,4
Cell0021,1,4,5,4,4,4,6,5,1,12,9,10,1,9,3,7,3,15,0,2,2,2,7,0,2,4,10,0,4,3,1,5,1,2,11,1,2,1,2,5,0,2,4,21,17,2,8,0,1,2,1,6,2,7,1,4,0,3,9,13,3,3,2,11,3,7,2,2,4,11,2,11,1,3,8,4,2,5,5,0,3,2,9,7,2,5,2,5,3,2,3,3,7,3,3,2,10,5,1,0,8,6,3,4,0,2,1,3,6,4,7,6,1,1,4,3,3,3,2,0,5,10,4,2,5,9,4,5,4,3,4,0
Cell0022,1,0,6,1,4,3,8,4,1,9,2,5,7,2,2,7,4,8,7,8,5,8,7,7,2,8,10,2,4,3,0,4,6,1,6,7,4,4,1,14,3,8,11,8,8,9,7,6,6,5,3,5,2,3,9,40,10,1,1,1,16,23,14,24,11,1,17,4,11,16,12,24,2,3,6,2,2,3,6,1,7,1,5,7,2,4,3,8,5,7,1,5,6,3,4,2,6,7,0,1,8,6,10,2,1,2,8,7,3,2,2,6,4,5,5,2,2,3,0,3,11,16,2,1,3,6,1,1,1,3,0,6
Cell0023,3,2,9,1,2,5,4,3,2,11,5,3,8,3,5,4,0,4,4,3,2,7,8,6,2,2,14,2,9,3,1,3,1,3,3,3,4,3,5,5,4,10,9,14,7,5,6,1,4,5,5,8,1,2,1,1,2,5,13,10,3,4,1,9,4,2,5,9,7,7,2,11,7,2,5,8,2,4,2,4,5,1,15,2,4,1,7,9,6,7,3,6,3,3,4,6,13,1,1,5,6,12,3,11,3,2,3,10,2,3,7,8,2,2,6,0,4,0,6,3,8,8,6,5,3,5,3,1,6,4,2,3
Cell0024,2,6,6,1,2,3,9,4,4,4,2,5,1,1,3,2,2,3,2,4,0,6,6,8,6,7,10,2,5,3,1,1,0,0,6,6,3,4,7,6,1,7,7,2,6,11,10,2,3,3,8,6,3,9,2,10,2,1,15,2,8,11,2,2,3,6,4,2,2,7,2,9,10,5,4,1,4,5,1,3,5,4,13,0,2,3,4,4,5,3,3,7,6,5,7,4,6,3,6,3,5,8,10,10,4,7,7,4,5,2,1,6,5,14,6,3,2,0,1,2,7,3,5,2,3,7,9,2,6,4,3,1
Cell0025,5,13,3,7,1,14,12,14,7,4,3,3,12,3,3,3,1,2,2,4,2,3,13,2,0,0,4,6,13,7,4,21,6,2,13,1,16,15,11,25,8,37,7,2,2,2,5,4,0,3,7,9,2,14,0,3,1,2,10,7,10,6,0,5,4,0,4,3,3,3,1,14,21,8,0,8,2,15,0,12,14,1,2,8,4,6,3,4,0,18,5,5,3,4,3,1,7,2,3,1,1,17,8,10,3,9,9,1,10,8,2,2,3,9,6,2,9,7,5,2,4,7,8,0,11,1,5,3,7,5,1,2
Cell0026,3,1,7,3,4,6,10,7,3,15,15,3,4,7,8,9,5,8,2,2,2,4,9,3,0,1,2,4,8,2,2,2,1,4,3,0,2,0,2,4,0,6,1,27,7,14,4,1,2,2,2,6,4,8,1,3,1,6,12,7,1,9,2,6,2,5,1,2,1,2,2,3,6,2,10,4,4,2,1,1,7,2,5,2,1,1,5,8,1,9,0,3,8,1,1,9,6,9,0,0,4,2,6,4,4,1,3,5,10,2,7,2,0,10,2,1,3,2,4,2,2,8,1,5,3,5,4,5,6,3,1,3
Cell0027,1,3,12,3,8,4,5,4,5,9,1,6,6,6,5,3,4,7,3,8,0,3,9,5,1,3,6,3,5,2,4,3,1,1,7,8,5,6,4,6,3,9,12,9,12,13,5,7,5,7,2,2,1,3,12,24,5,2,1,6,12,22,11,15,5,0,6,4,8,16,1,20,3,2,7,2,1,3,2,1,0,4,7,5,3,5,4,5,3,4,0,2,7,0,2,3,2,4,1,2,4,7,4,6,5,6,5,4,7,3,5,5,1,6,5,0,2,2,5,1,2,15,4,1,8,5,3,2,4,7,0,2
Cell0028,13,11,1,6,4,14,20,23,9,1,1,1,9,0,2,0,0,3,2,4,2,5,9,0,2,0,4,12,14,3,3,10,8,4,10,1,25,14,11,19,5,41,13,1,4,5,10,1,3,1,6,13,4,8,4,6,2,2,6,14,4,7,2,5,3,2,2,3,8,2,1,6,15,7,3,4,3,16,2,10,11,0,3,8,5,7,1,4,1,16,0,6,3,8,7,7,9,0,2,6,0,9,6,15,2,4,3,3,9,3,3,5,3,13,3,0,2,7,0,0,7,4,0,2,14,10,6,3,1,3,8,0
Cell0029,2,4,4,3,1,5,11,5,4,25,8,4,1,8,6,8,5,12,0,4,4,3,6,4,2,1,3,4,6,1,1,3,1,0,5,3,0,0,1,1,1,2,1,41,23,6,8,6,6,3,3,7,4,10,0,2,1,5,13,13,4,7,3,7,5,5,2,1,6,4,5,7,4,3,12,2,1,0,6,0,3,2,5,13,3,3,1,7,3,14,0,4,4,0,2,1,2,8,0,0,12,4,5,3,2,1,2,10,16,7,1,12,2,7,4,0,2,9,5,3,6,7,8,0,3,7,7,3,1,11,1,1
Cell0030,5,4,3,3,2,5,9,3,3,6,3,6,2,5,5,5,4,9,2,3,4,3,8,0,2,0,7,2,5,2,3,7,5,2,4,2,6,6,6,5,3,16,9,11,8,7,5,3,2,5,2,9,2,5,4,26,13,2,1,1,18,22,9,21,6,0,9,2,7,13,4,17,3,4,7,1,0,5,4,4,5,4,6,8,2,4,0,4,5,9,3,2,7,2,0,0,2,6,0,6,7,6,10,8,4,2,4,4,1,2,2,12,2,4,2,2,5,4,1,5,2,8,4,2,4,9,2,3,1,1,2,0
Cell0031,3,0,8,1,7,2,6,3,1,6,3,2,3,2,2,2,2,7,6,3,4,9,3,4,5,3,12,2,6,4,3,4,6,1,9,4,4,2,2,6,1,8,6,8,11,4,6,3,2,6,5,9,2,6,11,18,10,1,4,4,15,17,15,28,9,7,4,7,8,17,7,18,4,1,13,3,1,0,7,3,5,4,6,10,1,5,3,4,4,6,2,2,4,0,3,3,4,5,1,2,8,9,4,5,4,9,6,4,5,1,4,10,11,6,3,5,3,3,5,4,2,5,4,1,5,4,13,6,3,1,2,2
Cell0032,2,1,15,4,9,1,0,2,4,7,1,7,2,3,6,3,2,3,9,8,6,6,1,15,6,8,13,0,6,3,2,3,2,1,3,6,3,4,6,8,3,8,9,6,11,4,4,3,6,4,7,7,2,10,1,11,3,4,5,8,4,12,2,9,4,5,4,4,7,4,5,14,7,2,7,3,7,14,3,3,6,2,12,2,0,3,4,10,3,5,2,7,4,4,5,5,17,0,3,1,3,5,7,6,3,3,5,5,6,3,3,10,3,4,2,1,0,0,6,1,2,2,3,2,9,7,1,3,6,7,4,3
Cell0033,7,4,5,6,4,10,9,11,10,5,2,1,7,5,2,5,0,4,4,3,4,3,4,4,3,1,9,10,8,5,2,8,3,3,7,2,2,1,6,5,2,7,5,2,6,20,1,11,5,13,3,4,6,8,4,7,3,0,6,3,10,12,4,5,10,3,5,2,6,6,2,22,2,1,15,2,0,1,5,1,3,0,16,9,3,2,2,2,5,8,1,4,7,3,1,1,4,1,2,4,11,3,5,6,1,2,3,8,7,4,8,10,4,11,3,4,0,1,2,3,5,11,5,1,2,10,12,3,14,8,6,3
Cell0034,3,2,2,1,5,6,11,7,5,9,8,4,3,3,5,11,5,7,0,2,0,3,10,2,1,1,5,2,4,4,2,8,3,2,9,3,1,3,1,2,1,2,2,25,20,3,12,4,2,2,8,8,2,9,3,4,4,2,12,8,2,9,0,9,2,7,6,1,3,1,3,0,1,2,9,4,2,3,6,2,4,3,2,8,2,14,2,10,0,11,2,2,6,1,2,2,3,6,0,2,10,1,2,5,0,3,5,5,0,4,1,4,6,5,8,3,3,2,6,0,4,7,7,3,4,5,2,1,4,3,5,2
Cell0035,9,5,2,1,0,4,13,6,11,11,4,6,2,7,5,3,0,5,2,5,4,7,9,5,3,2,7,1,5,2,1,0,5,2,6,7,4,6,7,9,2,7,4,5,9,4,3,2,3,9,5,7,2,4,5,6,4,1,2,9,5,15,5,4,3,2,4,1,5,1,3,4,2,8,6,4,4,7,3,1,10,3,9,5,5,2,6,6,2,5,4,8,0,3,6,3,9,1,5,7,2,15,8,13,4,8,8,4,8,3,4,12,5,12,2,1,7,4,4,4,12,5,6,8,0,7,3,0,3,8,2,2
Cell0036,6,4,9,4,0,6,5,5,3,7,6,4,3,1,1,4,1,3,3,2,5,5,4,5,1,3,12,3,10,5,1,8,3,3,10,2,7,5,6,7,2,11,3,3,8,18,5,6,7,8,2,4,1,7,2,9,1,2,13,9,7,8,3,5,3,7,4,2,6,10,2,10,0,1,17,1,0,1,8,0,1,4,5,12,4,6,2,5,1,13,0,3,6,6,3,3,7,6,1,3,7,3,4,7,0,4,4,5,2,2,4,8,10,6,4,3,8,4,7,1,4,7,2,2,5,8,4,4,4,9,6,3
Cell0037,2,3,4,4,2,7,10,3,2,4,8,4,2,3,2,5,4,6,0,2,0,5,9,6,3,2,4,0,4,3,3,2,3,2,8,7,2,3,3,9,1,8,5,7,10,9,3,3,4,8,8,5,1,17,1,7,5,6,9,10,7,9,7,8,2,7,3,2,5,6,2,9,6,4,4,2,4,4,1,2,7,7,10,4,3,1,3,9,6,5,4,7,2,7,6,6,17,2,2,4,1,12,11,11,2,6,9,4,6,6,1,12,2,11,4,1,3,7,4,1,2,12,1,7,3,5,15,1,5,2,1,0
Cell0038,7,5,5,4,0,14,13,14,8,2,3,1,5,2,2,2,4,3,0,1,2,5,7,3,1,1,3,7,10,8,4,18,15,5,7,3,16,20,12,13,7,32,15,5,1,5,8,0,1,4,5,8,3,14,2,4,4,0,9,7,7,7,1,5,4,2,6,3,5,8,2,9,8,5,0,5,5,14,1,4,11,2,5,5,4,6,2,2,4,9,2,5,7,2,2,3,7,6,1,3,7,10,12,5,6,3,8,1,12,4,5,6,5,12,7,7,7,3,8,2,9,14,9,2,4,7,4,8,4,6,11,4
Cell0039,1,3,11,2,4,2,3,0,2,9,6,1,2,7,3,7,5,7,9,2,2,2,8,3,3,7,14,2,5,4,3,5,1,2,9,7,4,3,5,0,1,8,4,11,11,3,6,3,5,2,7,8,1,5,2,11,1,4,6,8,3,10,5,16,7,2,3,2,10,6,2,8,5,3,2,2,4,6,1,2,8,1,14,4,4,2,4,11,5,5,3,6,5,3,3,3,9,3,5,1,5,5,6,1,3,1,1,10,14,0,1,9,3,11,1,4,0,5,5,3,10,7,8,7,4,7,8,0,5,2,2,3
Cell0040,7,3,8,4,0,5,12,3,7,21,11,6,3,7,11,7,3,10,3,2,1,3,11,0,3,1,6,2,4,0,1,5,4,2,3,5,1,1,3,6,2,2,2,26,12,8,5,3,7,8,8,6,3,8,0,6,0,7,11,7,1,5,0,4,1,10,2,2,4,6,3,4,3,2,7,4,2,7,1,2,2,1,11,2,4,8,3,7,6,4,4,2,5,3,2,2,6,5,2,0,10,3,4,7,2,2,2,5,4,7,8,8,5,4,3,3,7,2,12,5,7,11,1,7,3,4,3,2,8,8,15,3
Cell0041,4,4,4,3,3,6,4,12,6,6,4,1,7,2,2,4,2,2,3,4,3,4,8,5,2,7,6,3,4,4,1,5,1,2,5,3,0,2,2,6,4,10,2,8,4,24,2,19,10,17,0,4,8,2,2,17,6,1,6,3,6,15,7,13,6,3,7,4,2,7,5,12,3,0,12,0,3,2,8,1,5,4,13,7,7,3,3,3,1,4,4,5,3,1,3,1,9,3,0,5,7,6,4,9,1,1,2,5,0,8,5,14,4,8,5,3,3,2,1,3,0,17,12,3,6,4,8,1,5,2,2,2
Cell0042,15,9,5,13,0,10,14,8,9,8,3,2,4,1,0,1,0,5,4,2,2,6,11,2,0,1,6,13,20,8,6,16,5,3,9,1,26,20,19,28,11,34,15,1,1,4,14,1,3,1,14,16,1,14,3,9,1,0,11,9,5,7,2,7,4,3,8,1,4,5,3,6,7,6,8,2,0,12,2,5,8,1,4,6,0,4,3,7,2,7,8,8,0,4,9,3,9,4,3,10,0,10,14,11,9,7,13,3,3,9,3,6,3,7,4,2,3,1,6,2,1,4,4,3,2,4,4,9,5,6,3,7
Cell0043,7,6,1,9,1,9,16,11,9,7,2,3,5,2,5,3,0,3,1,1,1,0,14,3,1,2,6,15,21,7,6,23,10,6,16,2,11,11,12,11,8,29,13,0,3,3,9,1,1,4,4,13,0,8,2,6,3,1,10,8,6,4,1,9,3,12,4,2,4,3,1,13,13,5,2,4,3,19,0,6,10,0,5,8,2,1,0,6,2,15,6,8,3,2,6,7,4,3,2,6,2,8,14,16,2,11,16,2,5,3,6,3,2,12,8,2,0,5,4,0,3,1,10,3,1,4,9,0,10,5,5,0
Cell0044,5,2,6,1,3,3,4,4,4,10,1,3,5,6,7,6,1,11,2,4,1,8,2,3,5,1,9,0,3,4,2,5,4,0,11,4,2,3,4,8,3,6,6,6,4,12,10,3,5,6,3,3,5,6,11,29,8,0,2,3,9,17,9,27,5,0,6,6,7,3,4,13,4,1,4,2,2,7,4,1,5,4,5,10,2,5,2,4,1,12,3,0,7,0,3,1,5,6,2,8,7,6,7,1,5,1,4,6,14,1,5,8,3,12,4,2,7,5,2,2,6,7,4,5,6,13,2,0,5,9,6,2
Cell0045,4,1,2,1,0,7,7,9,7,5,4,3,8,2,7,3,3,5,4,7,6,5,5,7,0,0,10,4,12,3,3,7,6,4,8,2,3,3,5,7,0,8,8,9,5,13,2,12,10,7,0,4,7,4,3,9,2,4,7,8,5,9,1,19,8,4,6,3,7,11,2,11,2,1,13,2,2,2,6,0,0,4,8,6,3,0,5,6,5,8,1,2,2,1,4,5,5,4,1,2,10,1,2,6,1,2,6,7,3,2,1,7,3,7,10,2,3,2,4,1,8,12,2,1,5,5,3,6,1,1,4,5
Cell0046,2,1,6,5,2,7,7,12,6,8,2,3,1,2,4,5,2,10,1,0,5,5,6,3,3,2,7,1,3,2,1,1,4,2,8,7,6,4,3,5,3,3,6,12,8,5,6,8,5,4,4,3,2,8,3,5,5,1,7,4,7,10,4,6,4,5,6,1,5,4,4,7,6,6,4,3,2,8,4,3,10,5,16,7,2,5,3,9,3,5,4,9,3,4,7,8,10,3,3,3,4,16,4,6,3,4,3,5,4,3,8,4,7,22,8,5,6,9,2,8,9,2,7,2,2,12,6,1,4,5,8,2
Cell0047,3,0,8,2,5,1,8,11,7,10,5,9,4,4,3,8,3,15,3,6,3,5,8,2,0,1,8,0,3,1,2,1,2,2,2,7,2,3,2,6,2,7,4,8,8,12,5,3,8,11,3,5,4,5,13,25,5,0,4,2,10,16,8,17,6,0,12,5,6,12,6,36,0,1,4,1,2,2,4,4,9,1,5,13,4,4,1,4,1,7,0,3,6,0,1,4,10,2,0,8,3,7,6,10,0,2,7,2,4,2,2,5,2,13,7,6,0,4,2,4,18,7,0,1,7,15,4,5,4,7,3,6
Cell0048,5,2,8,1,2,5,9,6,6,6,2,1,4,1,3,3,3,5,0,11,2,3,3,2,2,2,3,2,4,2,0,4,2,0,9,3,1,2,6,6,1,3,9,6,4,9,0,2,6,7,5,3,2,7,5,15,7,1,7,2,8,7,3,3,3,15,4,2,1,5,0,4,10,1,4,2,2,8,1,5,14,6,10,4,1,4,5,4,7,7,6,5,2,7,7,9,9,1,1,4,4,8,9,12,5,2,6,4,7,1,7,3,3,16,5,0,4,2,5,3,4,42,18,3,5,3,10,2,5,3,5,6
