"","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G052","G053","G054","G055","G056","G057","G058","G059","G060","G061","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G079","G080","G081","G082","G083","G084","G085","G086","G087","G088","G089","G090","G091","G092","G093","G094","G095","G096","G097","G098","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"cell0011",47,57,68,16,30,21,52,31,46,50,60,25,27,26,31,32,44,27,26,39,40,31,32,15,50,23,27,57,48,58,35,45,34,12,24,31,38,35,28,56,4,0,4,3,3,6,1,1,1,1,5,1,0,4,2,0,4,10,14,2,0,3,2,1,9,4,13,2,11,16,3,2,1,1,4,0,9,1,14,7,5,0,12,0,2,17,0,5,2,0,1,4,3,10,6,1,1,7,2,9,4,0,0,2,6,12,1,3,4,1,0,3,4,2,2,0,2,2,12,7,2,1,6,10,5,6,6,8,2,2,3,11,7,0,0,1,1,5,1,18,0,4,7,4,5,9,14,1,11,0,7,2,0,6,4,2,2,5,4,4,2,0,1,1,3,0,9,7,0,0,2,6,6,4,8,7,0,32,3,1,4,9,0,0,10,10,10,6,0,4,6,6,8,8,2,11,9,4,8,0
"cell0012",46,66,61,18,27,25,52,37,46,38,49,26,32,39,35,21,57,36,24,37,33,23,37,13,47,23,31,47,50,51,43,43,29,11,29,32,29,27,28,40,5,0,4,1,1,2,0,1,4,3,10,4,2,4,6,1,2,8,11,2,0,3,1,1,5,2,12,1,4,12,1,2,8,5,3,1,7,1,12,5,1,0,9,0,1,11,0,5,0,0,2,4,6,1,7,2,5,11,2,5,3,1,1,0,7,8,3,1,8,4,2,2,0,6,1,4,7,2,10,1,0,0,3,14,3,8,4,13,0,3,8,8,0,0,3,1,0,5,6,17,0,2,8,6,5,18,10,2,12,1,6,1,1,12,7,5,3,1,7,5,1,3,0,2,4,0,9,9,0,1,0,13,4,7,3,17,0,14,3,3,5,4,0,0,12,10,13,3,2,3,8,9,5,5,3,20,6,5,6,2
"cell0013",54,43,71,21,30,23,51,28,51,42,51,18,32,33,51,34,66,29,21,40,30,13,39,13,34,27,19,55,51,44,35,49,35,12,35,36,39,47,25,43,1,0,7,3,3,5,0,0,2,4,4,1,1,2,8,2,5,8,18,4,1,3,0,4,3,7,5,0,14,15,5,1,7,2,6,0,9,1,14,8,3,2,6,0,1,3,0,9,2,0,2,3,8,2,5,4,1,9,2,8,3,2,1,4,4,7,4,1,5,1,1,2,5,2,1,1,1,1,12,5,3,0,6,10,2,11,3,12,2,4,10,6,3,0,2,3,1,5,2,25,0,7,6,3,9,18,8,2,10,0,4,3,0,7,1,0,3,5,6,6,3,2,0,2,4,0,8,6,1,2,0,5,2,3,6,18,0,14,4,0,2,6,0,0,4,7,17,3,3,6,7,12,5,8,3,16,5,1,11,2
"cell0014",50,59,77,20,30,18,41,36,47,55,38,33,35,21,46,31,52,27,33,44,32,29,24,28,61,27,31,46,59,47,29,39,22,15,26,19,22,37,31,36,5,0,2,2,1,4,0,1,2,1,8,2,0,6,9,2,9,11,8,3,2,4,1,2,4,4,9,2,15,14,5,6,9,1,7,0,4,0,10,5,3,2,5,2,0,8,0,10,3,0,3,6,6,3,3,7,0,12,1,7,1,2,2,1,14,16,4,2,7,3,2,6,0,2,2,1,6,2,9,5,8,0,4,11,2,12,4,12,1,1,5,7,3,0,2,0,2,5,4,8,0,5,9,4,9,11,11,5,5,1,2,0,0,3,5,0,4,9,6,5,2,0,0,0,4,0,7,8,1,2,0,16,3,1,7,14,0,10,4,2,4,3,1,0,8,7,17,2,0,7,4,14,4,9,0,21,9,1,8,0
"cell0015",40,40,64,18,24,34,46,36,45,41,52,29,34,19,43,23,59,31,27,28,22,33,36,12,49,23,31,49,62,49,37,35,40,14,37,22,35,31,32,45,3,0,10,1,0,1,1,2,8,5,8,1,0,6,1,2,3,10,10,2,0,1,2,0,7,5,13,1,12,14,6,6,10,2,7,0,9,2,11,2,0,1,14,1,1,6,0,10,2,0,1,10,5,5,2,4,4,10,2,6,1,0,1,2,6,9,2,4,1,2,4,8,1,6,1,0,3,1,13,6,1,0,4,12,4,5,1,8,2,1,5,10,4,1,2,4,4,4,2,13,0,11,6,2,12,11,8,3,9,0,5,2,0,10,3,4,1,10,8,3,4,2,0,0,4,0,5,13,0,2,0,11,1,2,1,12,0,13,5,2,5,6,1,0,7,6,12,3,1,6,6,6,4,9,0,6,13,3,5,0
"cell0016",41,62,49,11,24,21,37,35,59,35,40,25,36,22,51,23,56,28,32,34,38,34,33,13,53,25,24,63,61,42,41,40,30,18,35,39,27,31,27,36,3,1,6,1,4,2,0,1,4,4,7,2,1,4,3,1,4,5,14,3,0,1,1,4,9,5,9,0,8,15,3,5,13,6,4,0,9,1,13,2,1,2,10,2,2,10,0,4,1,0,2,11,6,4,6,4,3,10,0,5,2,1,1,1,5,5,2,1,4,3,3,7,0,3,2,0,7,1,13,4,0,1,4,9,4,15,4,15,2,2,8,6,6,0,1,3,2,4,3,14,0,3,5,1,5,17,5,3,9,1,6,3,1,9,6,8,4,3,6,7,2,1,0,0,4,0,9,8,1,1,1,8,2,2,8,10,0,26,2,4,4,6,0,0,12,5,17,5,2,7,6,7,2,7,1,13,10,2,5,2
"cell0017",49,43,72,15,21,25,38,27,37,45,48,25,29,29,41,40,47,27,26,36,42,43,32,8,43,20,18,62,52,42,33,41,36,8,27,26,34,32,27,43,2,0,5,1,1,5,1,2,4,5,10,3,1,2,7,2,2,6,10,3,1,1,0,1,7,9,11,2,7,20,2,7,6,4,10,0,9,1,16,2,3,3,11,2,2,11,0,5,2,1,0,3,6,2,6,4,4,11,1,3,3,2,0,1,5,9,4,2,8,0,1,3,3,3,2,1,1,0,13,5,1,0,3,11,3,12,6,15,2,3,3,3,0,0,1,1,1,6,9,17,1,3,9,6,11,16,14,1,14,0,4,4,0,5,4,8,1,11,4,1,2,0,0,1,3,1,8,4,0,1,0,6,1,5,6,16,0,13,4,2,3,7,0,0,9,6,7,2,0,5,4,10,2,6,1,16,1,3,3,1
"cell0018",50,39,70,17,25,25,48,41,43,38,33,28,36,29,36,29,55,32,18,36,23,22,40,18,52,17,18,51,51,46,40,37,19,11,19,40,26,47,21,45,5,0,9,2,1,1,1,1,6,2,5,1,2,3,1,4,1,5,8,1,0,2,0,2,6,5,11,3,12,13,2,2,8,4,7,0,4,0,10,5,3,0,9,1,1,13,0,6,1,3,2,5,7,2,6,5,2,8,1,3,3,0,0,1,5,11,3,3,4,0,4,3,3,2,3,0,3,1,11,7,2,0,3,10,1,11,3,16,4,1,4,9,6,1,1,2,3,5,5,15,1,4,7,4,8,14,10,3,14,2,5,3,0,7,4,1,5,7,4,3,2,4,0,1,4,1,4,5,0,0,0,9,6,3,0,7,0,19,2,4,2,3,0,0,6,6,11,3,1,9,7,9,4,11,1,13,5,5,6,2
"cell0019",60,51,64,11,28,23,43,31,49,29,53,25,33,38,38,19,48,27,27,40,36,27,36,15,34,26,32,62,63,51,31,41,37,16,24,34,38,39,26,54,4,0,3,3,0,4,0,2,4,3,2,6,0,0,1,2,1,7,15,2,0,1,0,2,5,2,16,3,8,11,4,5,9,5,3,1,8,1,21,4,2,0,10,1,1,11,0,6,2,0,2,6,6,2,2,6,3,8,4,5,4,1,0,0,12,11,2,2,0,4,1,4,5,4,1,0,5,1,6,7,4,1,6,4,4,7,1,19,3,3,7,7,3,0,0,2,1,8,8,8,0,5,5,3,11,18,3,5,8,3,6,2,1,9,2,4,2,9,6,6,2,1,0,0,2,0,4,11,0,2,0,8,3,6,9,10,0,22,5,6,3,7,0,0,6,6,11,5,1,7,3,8,5,10,0,17,7,0,5,1
"cell0020",53,49,71,17,30,28,44,37,48,48,38,30,38,41,38,27,62,26,29,29,29,32,42,16,60,30,24,40,45,47,40,39,29,19,30,37,34,34,19,44,4,0,3,1,2,3,0,1,4,0,8,3,1,3,2,3,0,8,7,2,0,0,2,3,3,6,12,1,8,17,4,6,7,4,6,0,5,2,10,2,5,1,12,0,0,8,0,8,1,2,1,7,9,3,4,6,5,11,2,8,0,0,0,0,6,6,3,3,4,2,3,6,2,2,2,2,4,3,9,4,1,0,5,6,3,7,3,13,1,3,4,10,5,1,1,6,1,8,2,22,0,8,9,4,6,11,9,1,11,2,6,1,0,5,7,4,5,7,3,5,1,4,1,0,3,1,4,7,0,1,0,9,6,10,9,10,4,12,3,1,7,8,0,0,3,4,9,3,3,11,5,15,6,9,0,12,11,3,2,0
"cell0021",59,48,60,14,32,26,37,41,66,28,64,19,35,25,35,21,62,30,21,41,36,42,31,5,49,23,29,52,56,47,39,39,27,12,29,33,36,29,26,40,1,0,7,3,3,3,2,1,4,3,12,1,0,2,11,1,3,11,9,2,0,2,2,1,12,1,11,3,12,22,7,4,12,2,4,0,9,1,17,2,2,1,11,1,3,9,0,2,2,1,1,6,8,3,7,1,4,6,2,3,4,1,0,1,7,8,1,1,5,4,0,3,2,2,1,0,7,1,22,7,3,2,2,5,2,5,2,15,2,1,9,12,6,0,2,6,2,7,5,9,1,8,7,5,8,23,13,4,17,1,8,0,0,6,6,5,4,8,9,5,3,1,0,2,3,0,6,4,2,0,0,7,2,4,5,10,1,23,1,2,3,7,1,0,5,3,10,8,3,5,12,18,0,10,1,9,6,4,7,2
"cell0022",50,49,64,17,22,24,45,36,47,48,50,26,30,27,54,25,53,21,26,47,29,35,35,20,39,29,23,64,47,48,40,40,34,14,29,30,42,41,18,52,3,0,1,4,3,1,1,1,3,4,8,0,3,2,0,1,6,5,16,1,0,2,2,1,7,2,7,1,14,19,4,4,2,3,6,0,4,1,17,1,1,0,9,3,0,10,0,7,3,4,0,7,6,0,5,4,5,14,0,5,2,1,0,3,6,7,2,2,4,2,3,2,1,5,0,0,4,3,13,7,5,0,0,6,2,4,4,14,3,2,4,7,3,0,0,1,1,2,6,12,1,2,5,4,8,11,10,3,10,1,3,2,0,7,9,4,0,3,6,5,2,2,0,0,6,0,7,16,2,0,0,6,2,6,1,7,0,14,3,2,6,5,0,0,7,6,20,5,0,6,6,10,0,6,1,16,16,2,4,0
"cell0023",61,45,84,14,33,25,36,38,59,53,57,35,39,27,52,35,48,25,24,33,33,22,37,18,60,25,31,52,70,42,33,58,38,11,30,27,31,39,34,55,4,0,3,3,4,4,0,1,4,4,6,1,2,5,6,4,2,4,9,4,0,1,1,1,1,6,6,2,11,14,1,2,5,6,2,0,7,1,7,2,2,1,6,0,0,3,0,8,5,3,2,7,5,3,5,3,3,8,2,2,2,0,1,1,8,7,2,0,2,2,0,8,2,3,3,2,3,1,9,5,3,0,7,8,4,6,5,19,3,0,6,9,2,0,0,9,2,5,5,14,1,7,10,3,9,15,7,4,10,0,7,2,0,7,5,6,5,3,6,7,2,1,0,1,2,0,7,10,0,2,1,11,2,3,4,12,0,24,3,3,6,4,0,1,8,4,10,4,2,6,5,11,5,8,1,21,5,3,8,1
"cell0024",50,58,75,14,24,18,40,41,36,38,47,26,29,24,30,29,55,38,25,37,31,25,37,7,50,28,26,50,54,49,43,39,37,9,26,28,39,36,27,57,1,0,6,2,1,2,2,2,0,6,5,2,0,6,1,4,2,8,12,1,1,1,2,2,5,2,7,3,7,8,7,4,10,5,6,1,6,1,10,7,2,1,13,2,0,8,0,11,3,0,2,6,7,2,6,3,6,7,2,6,5,4,0,2,7,10,0,1,4,1,0,5,1,5,1,0,7,2,12,6,2,0,4,9,4,7,2,13,4,4,9,6,5,1,1,3,3,3,3,23,1,3,3,1,7,19,10,4,17,1,4,1,0,8,3,4,3,8,5,7,3,2,1,2,6,1,5,8,0,0,0,9,1,5,5,16,0,15,4,0,5,7,0,0,6,6,10,3,2,4,11,5,2,8,0,14,4,6,2,0
"cell0025",57,55,80,23,30,28,46,44,53,40,45,33,40,24,42,26,38,32,24,35,37,32,35,18,56,18,26,52,57,48,39,33,27,18,26,36,33,40,15,50,3,0,3,6,7,4,0,0,3,10,7,2,1,6,7,2,3,9,8,3,1,2,0,2,4,3,4,0,13,19,4,3,6,2,5,0,11,2,16,8,6,0,11,2,2,7,0,4,0,1,0,3,3,7,7,1,1,9,1,4,6,1,0,1,10,9,3,2,8,2,4,6,3,3,0,0,3,4,15,6,2,1,6,14,3,10,4,13,3,4,9,12,2,1,0,4,4,7,4,15,1,7,5,3,15,13,11,4,15,0,1,0,1,5,3,2,4,8,5,4,1,1,1,2,3,3,2,10,0,0,0,8,2,4,6,13,0,19,4,2,1,9,0,0,5,7,13,10,0,3,6,10,3,6,0,7,10,3,1,3
"cell0026",48,52,72,20,23,22,43,31,54,28,47,23,43,28,51,20,43,30,23,38,30,29,35,22,55,34,23,44,46,39,35,41,33,22,33,28,33,42,22,37,6,0,3,1,6,2,1,2,2,2,11,2,1,2,7,2,5,16,11,0,1,3,0,1,14,2,6,1,6,11,1,2,11,4,7,0,10,1,16,2,2,2,8,1,0,7,0,12,1,1,2,4,4,7,8,4,5,8,1,3,5,0,0,1,8,15,0,3,4,0,3,1,3,1,3,4,4,2,13,8,5,0,1,11,1,5,4,11,5,4,13,7,1,0,0,5,3,5,4,16,0,8,3,9,6,10,11,2,12,1,4,0,0,11,1,5,2,7,5,11,1,2,0,0,2,0,5,11,0,2,0,10,3,4,3,8,0,18,3,1,2,6,1,0,11,10,19,6,0,4,2,14,4,8,1,12,8,1,6,2
"cell0027",45,52,58,16,20,23,53,37,39,46,42,21,26,34,39,22,59,33,26,27,26,25,41,17,48,33,24,61,50,53,26,31,32,19,18,27,39,47,28,35,3,0,4,8,4,5,1,1,3,7,2,3,0,3,8,1,6,10,11,0,0,2,1,3,9,2,7,1,5,14,3,4,5,5,8,0,7,1,15,8,1,2,13,3,0,13,0,9,2,0,0,6,7,6,3,3,1,3,3,8,1,2,1,1,9,19,1,6,5,0,3,2,1,3,2,3,3,0,13,9,3,1,5,11,3,5,3,9,1,0,6,2,2,1,1,1,2,5,3,21,0,2,8,1,7,8,12,2,12,2,5,1,0,8,8,7,7,6,5,3,5,5,0,1,6,0,3,7,1,1,0,9,2,5,1,11,0,14,2,0,2,1,1,0,2,5,19,6,1,10,2,11,4,15,0,15,7,2,4,1
"cell0028",67,58,56,10,22,21,45,33,65,30,57,28,23,29,38,26,59,36,26,31,26,28,35,11,53,33,29,56,44,52,33,38,22,10,25,29,34,27,27,37,2,0,3,8,3,1,0,3,3,3,8,3,1,4,7,0,2,7,13,2,0,0,0,4,2,2,4,1,12,17,3,4,5,5,6,0,3,1,21,2,2,2,7,0,0,9,0,5,4,2,0,2,3,3,5,3,2,3,1,4,3,2,0,3,7,12,2,1,1,0,4,4,2,2,0,1,5,2,13,8,4,0,6,15,1,8,0,15,2,1,6,6,5,0,0,5,0,3,6,12,0,4,8,4,8,23,6,1,13,1,4,4,1,6,2,3,2,8,1,7,2,0,0,0,3,1,6,9,0,1,0,7,2,3,6,9,1,16,3,4,6,9,0,1,4,7,19,3,1,8,3,10,4,11,1,19,7,3,5,1
"cell0029",48,57,74,14,29,27,40,42,49,54,42,24,32,40,43,21,44,20,35,32,32,31,31,29,67,33,26,40,57,50,31,29,37,17,20,31,34,35,25,44,6,1,6,7,3,1,0,0,2,2,3,2,2,5,2,1,1,7,19,4,0,0,0,2,4,1,9,0,12,23,5,9,6,3,9,1,10,1,26,5,3,1,7,1,1,12,0,8,1,0,0,12,3,6,4,2,5,3,2,9,4,1,1,2,13,8,1,4,5,0,2,8,1,4,1,1,4,0,14,8,0,1,4,14,0,11,6,19,5,1,6,7,1,0,3,4,2,6,4,16,0,4,10,5,6,17,12,2,14,0,2,1,0,10,3,4,4,9,3,2,3,1,0,0,4,0,4,5,1,3,1,13,4,4,4,11,0,31,2,2,6,8,0,0,8,6,19,4,1,10,6,9,5,7,1,12,10,2,4,1
"cell0030",52,49,63,15,28,25,45,39,58,43,31,24,33,31,47,31,68,26,21,52,26,38,36,17,48,20,34,54,57,53,36,42,31,16,19,40,34,35,24,43,4,1,5,3,3,2,2,3,4,5,9,1,2,3,4,3,2,7,16,2,0,4,1,2,8,4,12,3,9,18,3,3,8,7,3,0,7,2,13,5,4,1,13,1,2,9,0,2,3,1,1,9,4,2,6,8,4,19,2,12,8,3,1,3,7,12,2,3,2,2,4,5,2,3,7,1,6,1,9,8,3,2,2,18,2,8,2,8,0,3,8,6,6,1,1,4,3,6,8,10,0,1,3,2,13,15,13,5,16,4,9,5,0,8,7,5,6,5,9,4,0,3,0,4,3,0,3,9,2,0,0,11,2,5,8,15,0,15,4,2,7,1,1,0,6,7,27,6,3,8,8,18,2,9,1,13,7,2,1,1
"cell0031",45,52,60,12,34,20,49,38,54,38,50,24,29,22,49,31,72,26,26,37,23,28,30,19,47,26,31,39,56,42,37,45,32,19,25,30,28,29,29,46,2,0,5,0,4,3,1,1,3,10,4,4,0,4,3,0,1,11,14,2,0,4,0,2,3,3,6,1,7,10,2,3,4,4,9,0,5,1,10,6,5,1,9,3,0,8,0,8,2,2,0,10,5,4,3,3,2,8,2,6,3,1,1,3,9,12,3,1,5,4,2,3,2,4,2,1,3,0,14,9,1,2,6,12,0,9,4,14,0,0,9,10,3,0,0,3,3,9,10,11,0,3,3,5,10,16,5,3,9,1,6,2,1,4,3,4,2,7,2,7,3,4,0,0,3,1,9,8,0,0,1,7,3,2,7,9,1,19,2,7,6,4,0,0,6,11,14,6,0,9,5,10,3,3,0,22,4,3,4,2
