,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0010,8,0,0,1,0,1,8,30,2,3,4,1,0,2,0,1,1,2,1,1,0,3,2,1,1,2,6,0,0,6,4,4,2,5,2,3,7,3,33,2,1,2,0,4,1,2,44,9,1,5,0,2,0,3,5,0,1,0,12,0,0,2,13,2,6,3,2,3,1,0,1,2,0,5,23,6,3,0,1,2,0,4,4,0,1,25,4,2,0,10,1,3,63,0,0,0,3,2,0,1,5,3,1,3,1,5,0,7,20,50,3,10,24,0,0,0,1,3,12,4
CELL0011,5,0,3,1,2,3,3,0,0,1,0,10,2,0,1,2,0,2,4,2,0,3,4,2,3,0,8,2,4,4,1,0,3,1,0,7,0,1,2,2,9,1,4,2,0,1,1,1,1,5,3,1,36,5,1,0,1,1,2,1,1,0,3,7,8,2,2,0,2,2,0,9,3,1,4,0,3,3,0,1,1,5,1,1,3,8,1,0,4,9,0,24,0,4,1,17,0,1,3,5,0,5,14,15,0,1,3,1,2,2,1,6,6,3,1,1,2,2,12,3
CELL0012,60,48,1,1,0,7,2,8,4,6,2,8,3,0,3,4,1,8,3,5,1,2,1,3,4,2,0,5,0,6,1,3,1,1,2,3,2,5,6,1,1,3,2,5,2,2,1,7,4,2,22,2,2,3,2,2,30,2,10,3,2,2,46,0,9,2,1,3,2,1,3,2,0,8,4,1,1,1,0,0,0,2,6,9,2,0,1,2,4,5,4,5,3,1,2,0,5,0,1,2,1,0,8,16,0,1,3,2,3,5,1,18,4,3,4,1,1,1,6,2
CELL0013,4,2,12,11,1,1,1,1,4,11,2,0,1,0,3,3,6,3,3,1,1,4,13,1,1,3,3,2,2,4,2,5,1,2,1,3,13,4,7,1,0,1,1,5,6,1,9,7,6,5,16,5,10,2,0,3,25,1,4,0,0,2,0,8,2,1,1,1,0,4,9,0,2,4,17,2,23,0,2,2,1,3,3,0,1,0,1,9,3,1,0,3,40,0,12,0,6,3,2,1,2,24,0,14,0,0,0,2,5,1,5,2,25,2,24,1,0,5,0,4
CELL0014,4,0,2,0,1,1,5,8,1,3,1,3,0,1,2,3,3,8,3,0,1,4,3,3,2,7,2,0,1,6,2,7,2,7,1,3,1,3,1,2,0,1,2,1,3,2,1,6,0,2,26,1,0,3,1,7,6,2,4,3,0,4,1,3,2,3,4,1,2,2,1,7,0,1,9,2,24,0,6,2,1,1,6,2,3,1,13,0,1,1,4,0,13,1,1,0,2,2,1,2,4,95,0,0,1,0,0,1,2,10,5,7,5,2,4,0,1,4,1,2
CELL0015,4,0,1,3,2,2,6,0,2,1,1,3,1,2,1,1,0,4,1,2,0,6,3,3,0,2,8,2,1,7,3,1,4,3,2,7,2,3,2,2,5,1,1,1,3,2,7,2,3,1,1,4,2,0,1,0,2,5,4,1,6,0,14,2,2,0,3,3,0,2,0,5,0,7,2,3,1,0,1,1,0,1,1,0,5,10,0,0,3,10,2,3,7,2,0,0,2,1,1,1,1,0,7,24,1,0,6,0,6,2,3,5,44,0,0,2,1,3,24,2
CELL0016,2,0,0,6,2,2,10,7,0,1,1,10,2,0,0,3,0,0,2,4,2,5,4,7,0,2,13,2,0,2,2,0,2,0,3,3,0,2,0,0,8,4,1,2,0,7,0,0,2,3,10,0,9,11,1,1,31,3,4,4,20,2,10,0,3,1,1,0,6,1,2,2,0,9,0,3,0,0,1,1,0,3,3,5,1,1,0,4,2,7,1,21,3,21,0,10,3,0,0,0,8,1,6,19,0,0,23,3,2,0,4,2,10,1,2,6,3,2,3,0
CELL0017,4,9,4,19,2,1,1,21,5,3,8,61,0,1,3,8,2,5,6,1,4,7,6,13,1,6,2,9,9,7,6,14,6,1,1,10,6,2,7,3,0,3,1,1,4,5,14,1,2,8,35,4,1,6,3,4,52,3,5,5,2,12,19,5,6,11,3,2,3,3,7,1,2,25,5,8,5,0,8,3,0,6,2,0,2,1,4,0,3,3,0,1,37,1,3,2,7,5,1,2,8,67,1,4,1,1,0,2,6,18,6,7,7,6,3,2,1,8,2,1
CELL0018,1,19,6,10,0,0,4,0,1,3,1,2,7,1,0,1,2,5,3,3,3,4,2,1,6,3,0,1,2,4,5,10,2,2,3,10,4,2,4,1,5,4,1,2,20,0,0,3,2,5,46,11,4,2,0,9,63,3,0,1,2,5,0,22,5,5,2,3,11,3,3,1,4,3,5,5,119,0,1,2,3,8,5,1,2,0,0,11,3,9,2,1,6,5,11,2,2,3,2,0,11,123,2,9,1,0,0,5,4,1,6,4,2,12,25,0,4,3,2,2
CELL0019,8,5,6,1,2,5,2,6,0,2,6,0,2,0,1,5,0,6,2,6,0,1,1,1,2,0,4,0,1,11,2,0,1,2,0,4,1,5,3,2,2,4,10,0,3,2,0,8,1,3,2,1,44,1,0,2,1,2,2,9,0,0,0,2,4,0,1,1,4,0,0,7,1,2,3,4,26,9,0,0,0,2,6,6,2,6,0,1,9,11,1,7,1,0,2,18,3,2,0,0,8,3,5,39,1,1,5,6,4,0,3,6,3,0,10,5,4,3,55,1
CELL0020,21,2,4,8,3,0,6,4,4,1,0,3,0,0,6,3,0,17,7,6,0,11,8,7,7,4,3,1,2,0,5,4,3,2,2,4,0,2,13,4,0,2,6,11,0,8,58,4,2,4,7,2,0,5,11,1,0,3,4,3,0,2,56,1,6,3,3,1,0,2,2,7,0,21,4,6,0,2,2,3,1,5,2,2,1,14,0,3,2,28,1,11,24,2,0,1,10,3,4,8,4,0,10,58,0,0,5,5,4,13,0,1,49,6,1,5,9,5,78,5
CELL0021,5,1,0,1,0,2,2,11,3,0,6,1,0,0,5,2,0,0,3,4,1,5,8,0,4,2,1,3,0,2,3,2,0,0,1,2,38,4,40,0,1,3,2,1,4,12,55,5,2,0,18,3,0,8,6,3,0,4,3,0,0,0,53,0,1,3,6,4,0,5,0,2,0,4,23,2,0,0,0,1,0,3,4,1,2,4,3,5,4,2,2,4,65,0,0,1,5,2,0,0,4,3,1,5,1,0,0,0,3,64,7,13,44,10,1,3,1,2,20,2
CELL0022,8,2,0,0,1,1,3,4,3,3,1,14,7,4,1,3,0,7,2,7,1,1,1,0,3,9,1,0,1,5,6,2,1,0,1,4,0,1,2,6,9,3,3,1,0,5,2,3,2,4,5,4,24,1,2,1,139,4,2,7,10,1,4,3,3,3,2,3,6,0,0,2,0,5,1,4,7,0,4,0,0,0,2,2,2,0,0,2,2,9,4,7,1,8,14,8,3,2,2,3,4,6,12,9,1,3,5,5,17,0,1,6,4,2,14,1,0,3,1,4
CELL0023,8,1,5,10,2,1,3,13,22,2,1,1,3,0,2,4,1,1,0,4,0,3,4,3,5,4,4,1,1,4,1,4,1,4,1,4,3,2,13,0,3,2,2,0,2,4,5,4,1,2,6,9,9,2,0,0,3,2,5,8,1,0,1,7,2,2,1,1,0,1,2,5,0,2,4,0,9,3,0,4,1,1,4,4,2,2,1,4,1,17,0,3,1,0,2,2,2,1,4,1,5,7,8,8,1,2,3,4,3,2,2,3,7,3,4,2,4,5,5,2
CELL0024,2,0,6,24,5,4,1,4,2,7,0,5,0,2,2,4,20,4,2,2,1,6,5,2,1,3,3,5,2,9,1,18,2,5,4,9,99,10,72,3,1,3,4,5,5,7,6,11,2,7,1,7,2,2,1,4,1,4,1,0,1,19,0,27,2,1,16,9,0,4,2,1,1,3,45,5,102,0,28,8,4,7,4,1,9,12,19,1,2,2,0,3,131,0,0,0,5,2,1,2,5,65,6,1,6,4,0,12,7,95,5,6,168,4,2,0,8,5,10,12
CELL0025,4,8,3,2,0,6,5,10,7,1,4,8,2,2,2,4,0,5,2,1,2,11,5,6,2,12,14,2,1,2,4,2,1,0,1,7,0,0,1,5,5,1,1,2,1,7,0,5,4,4,5,3,182,5,1,0,7,2,4,24,4,1,0,7,1,0,2,0,10,5,0,4,10,5,1,0,38,3,0,1,3,4,1,0,2,1,2,0,7,10,2,13,0,8,7,9,3,0,2,0,2,50,20,46,3,2,1,4,2,0,10,7,1,2,55,6,2,4,1,1
CELL0026,0,1,1,6,0,3,2,4,5,5,4,2,0,0,2,4,0,4,0,2,3,6,1,2,0,4,1,3,0,1,1,5,2,2,4,2,4,1,7,0,2,0,0,3,5,4,5,1,0,1,13,4,11,3,1,1,2,2,3,1,2,11,7,5,4,1,1,0,0,0,1,0,1,2,2,0,4,0,6,1,0,3,0,3,3,6,6,1,15,4,0,7,33,0,1,0,7,4,0,2,9,17,3,4,0,1,1,2,1,7,3,3,4,6,0,0,2,4,6,0
CELL0027,20,3,1,26,0,4,8,0,17,10,14,18,11,3,1,3,0,15,2,3,2,3,10,4,2,2,3,2,0,1,4,5,4,1,1,9,0,5,5,2,38,5,8,5,5,3,0,10,6,9,109,6,9,5,0,5,257,3,1,10,31,6,4,6,9,9,4,11,8,2,2,1,1,15,0,2,93,0,32,4,1,6,7,1,5,0,17,5,1,3,4,4,30,54,9,0,7,0,3,7,2,594,5,0,5,1,3,3,6,0,5,10,8,15,34,4,0,9,1,4
CELL0028,4,5,0,5,2,5,6,11,3,0,10,4,1,0,2,3,0,5,2,2,1,3,7,4,1,7,5,2,1,12,3,0,2,0,2,2,0,4,6,4,1,2,0,2,0,10,22,5,2,8,16,7,7,3,5,2,2,6,2,2,4,0,22,1,11,5,12,1,3,1,1,2,1,4,0,1,5,1,0,4,0,7,4,4,2,8,0,1,2,28,2,12,6,2,0,1,0,2,2,4,1,1,4,12,2,0,0,4,5,3,7,4,25,2,1,3,2,3,17,7
CELL0029,0,1,3,83,0,4,0,1,10,1,11,1,2,1,0,3,16,0,4,2,0,2,2,1,1,1,1,4,1,2,1,7,1,5,2,1,27,3,6,4,0,1,1,2,6,0,0,4,3,6,53,1,0,3,0,16,46,0,1,0,1,9,0,16,1,2,12,1,1,0,7,0,0,1,7,1,70,0,41,0,2,3,0,1,1,0,10,1,3,0,2,0,50,0,8,0,6,3,0,1,4,280,0,2,0,2,0,2,0,4,1,9,6,3,32,0,6,4,0,3
CELL0030,2,0,7,6,1,1,1,2,6,0,0,1,0,2,0,7,14,1,1,2,1,1,5,3,2,3,0,4,1,3,2,4,2,1,0,3,9,3,3,2,0,1,3,2,5,1,1,1,2,9,3,5,8,1,0,7,13,1,4,1,1,3,1,23,0,0,2,1,1,1,7,2,6,1,1,4,124,1,6,3,2,6,4,0,0,0,2,0,8,4,0,2,11,0,3,1,5,0,1,2,3,111,0,3,0,2,0,6,3,2,3,2,13,1,7,1,2,5,2,2
CELL0031,1,6,0,2,2,0,5,2,5,0,2,1,4,1,0,0,0,2,1,3,2,2,3,0,3,3,4,2,0,4,5,1,0,3,1,0,0,7,1,1,14,2,1,3,0,7,0,1,1,2,1,5,108,3,2,0,10,2,1,13,20,0,3,1,1,1,0,1,10,0,0,6,3,5,1,1,2,7,0,1,0,3,0,4,0,1,1,4,0,20,3,21,0,8,3,64,5,1,0,1,1,0,1,63,0,0,4,7,4,0,4,3,1,6,8,2,3,2,4,2
CELL0032,22,0,5,5,0,3,13,4,0,2,0,1,2,1,3,2,0,2,5,3,4,4,5,2,4,1,2,2,3,6,0,7,5,0,3,1,0,1,0,2,18,2,1,4,2,2,0,5,3,2,21,5,155,2,1,0,42,0,7,7,10,1,1,4,2,2,0,4,10,2,0,9,3,4,1,2,31,3,0,0,0,1,1,0,3,1,0,4,3,3,2,1,0,17,14,7,8,2,0,3,4,60,1,16,0,0,2,0,2,0,5,2,1,0,54,0,1,2,4,2
CELL0033,2,0,1,2,0,1,8,14,0,0,3,5,0,0,1,3,0,5,3,0,3,3,3,5,0,10,3,1,0,7,2,3,2,3,2,5,3,4,15,1,0,5,3,3,0,3,66,2,2,1,12,2,0,1,2,2,11,1,10,6,2,2,5,0,6,5,1,0,0,2,4,0,0,7,1,2,0,1,2,1,0,2,2,1,0,0,16,2,5,5,2,3,35,2,0,0,5,1,2,2,1,4,8,1,1,2,2,5,3,4,4,15,41,1,0,4,1,1,1,2
CELL0034,1,0,26,15,0,3,1,1,9,1,14,8,0,1,1,1,7,3,0,0,3,3,4,8,2,2,0,1,3,7,2,29,0,0,2,2,43,6,0,1,3,3,4,3,11,8,1,2,0,7,305,0,12,1,0,3,294,2,3,1,3,87,2,40,1,6,84,3,2,1,30,0,0,0,4,1,280,0,126,6,3,1,3,0,1,0,50,0,3,0,1,2,45,2,105,0,1,0,0,1,2,252,0,0,1,0,0,2,1,0,10,5,8,10,259,2,1,2,0,2
CELL0035,0,1,0,7,9,6,2,21,0,2,0,12,0,1,2,4,0,2,2,2,0,3,3,3,2,6,6,0,0,4,2,6,3,6,0,2,3,9,77,0,0,4,3,0,0,6,98,5,1,2,0,5,0,1,6,0,0,3,5,0,1,0,9,1,3,2,0,7,0,0,0,3,5,7,4,2,1,1,0,0,0,7,2,3,1,39,0,3,1,30,1,2,7,0,0,0,6,3,1,0,4,0,10,24,1,0,1,4,4,84,6,9,73,3,0,6,1,4,85,1
CELL0036,23,0,0,1,1,2,1,15,1,1,1,2,0,0,3,1,0,5,2,1,0,0,3,2,4,3,2,0,0,0,2,2,1,2,0,1,0,3,1,1,2,1,1,1,1,4,2,13,5,3,8,0,4,2,4,0,3,1,0,4,5,2,11,0,2,2,1,4,4,1,1,3,4,12,2,4,2,0,0,2,2,4,3,1,1,2,0,1,3,5,0,29,4,4,0,3,2,3,3,5,0,0,12,10,0,2,2,7,6,3,1,4,2,6,1,3,0,1,13,2
CELL0037,13,5,19,8,0,6,9,2,15,6,16,6,3,0,0,2,0,3,4,0,2,9,6,2,1,5,6,1,1,7,2,7,4,4,2,8,3,3,13,0,3,2,4,3,6,3,1,0,2,7,36,7,12,4,0,1,253,2,4,5,3,2,1,5,14,7,6,2,5,3,5,3,1,9,2,7,55,0,9,2,2,1,3,1,1,0,12,3,0,0,0,5,9,0,13,0,7,2,0,7,3,139,0,0,2,3,4,12,10,1,9,25,6,7,26,2,2,7,0,0
CELL0038,0,2,3,0,0,6,0,0,1,0,3,0,3,1,0,2,0,4,0,4,0,3,2,0,3,3,1,0,3,2,6,3,0,1,0,1,0,6,0,1,8,0,2,1,2,0,0,1,1,2,1,1,178,1,1,0,3,0,3,3,4,0,1,2,6,1,1,6,2,1,0,1,1,0,0,7,5,4,0,1,0,2,1,0,3,1,1,1,2,10,0,8,1,11,3,2,2,1,2,3,2,3,6,6,0,0,2,1,1,0,1,0,3,4,11,0,1,4,11,2
CELL0039,9,0,0,11,3,0,2,17,2,0,3,1,0,1,4,0,29,3,3,1,0,6,2,10,0,5,2,1,0,4,2,8,1,1,2,5,154,2,194,2,0,2,3,1,0,19,224,1,3,4,12,1,0,1,1,5,2,1,2,0,0,18,31,0,9,5,1,4,0,2,2,0,0,2,23,1,1,0,8,1,0,0,2,0,1,2,6,4,10,2,2,7,222,0,0,0,2,0,1,2,1,2,3,1,1,0,1,2,4,129,4,10,80,1,0,0,1,2,6,2
CELL0040,1,5,2,3,0,7,6,1,11,0,8,8,3,0,2,4,1,1,3,1,0,6,3,3,3,2,2,5,3,1,2,2,2,9,1,4,0,8,2,1,4,4,6,4,2,3,0,3,1,3,79,5,20,1,0,0,413,0,6,5,7,4,1,3,6,6,4,3,3,0,1,2,1,5,0,2,16,1,4,4,3,3,3,2,1,0,12,5,5,3,5,8,1,6,19,9,2,4,0,2,8,86,9,2,3,2,1,5,2,0,3,2,3,5,49,1,2,4,0,4
CELL0041,1,4,0,0,0,0,6,1,0,0,1,2,1,2,2,1,0,4,3,1,1,3,2,6,0,2,6,1,0,3,3,0,1,2,0,3,0,0,4,1,2,0,2,3,1,5,3,1,0,4,3,2,25,1,3,0,2,0,1,9,6,0,41,0,2,0,1,0,3,1,0,20,2,0,0,2,0,4,0,0,2,0,1,0,0,6,0,3,4,23,2,20,1,4,0,3,2,4,0,1,1,0,9,23,1,0,8,6,3,0,0,8,3,2,0,17,0,12,24,1
CELL0042,3,2,1,35,1,8,0,1,12,25,2,2,0,0,1,2,179,6,6,0,3,15,4,5,2,4,1,1,5,4,0,49,1,2,2,3,270,13,38,0,1,0,2,1,14,3,7,7,3,2,25,6,3,3,0,20,7,1,3,0,0,9,0,29,1,1,26,2,0,0,11,0,0,2,186,5,405,0,31,4,4,4,4,1,0,0,49,4,1,2,1,1,244,0,9,0,5,5,3,1,4,448,0,1,1,1,0,3,4,38,7,2,156,1,5,0,1,4,0,3
CELL0043,3,0,2,4,0,3,1,0,2,2,4,10,2,0,3,2,0,3,1,1,3,1,1,4,2,2,3,3,0,0,1,1,4,0,1,5,2,1,5,0,5,0,1,7,0,4,15,0,0,1,28,0,0,3,2,0,10,0,0,5,2,2,16,5,3,4,3,2,0,0,2,0,0,12,0,4,1,0,4,1,0,0,4,3,5,0,1,1,2,4,0,3,6,0,0,1,2,4,1,2,1,4,4,5,2,1,0,4,8,3,3,3,13,3,1,1,1,3,2,2
CELL0044,1,8,5,1,3,4,6,4,2,1,0,4,6,2,3,7,0,5,0,1,2,10,3,3,4,3,10,1,0,3,0,4,2,3,1,9,0,6,1,2,9,0,4,4,3,2,0,2,4,1,1,3,15,0,1,0,16,1,3,23,10,3,3,4,4,4,1,2,7,1,0,12,2,24,2,4,6,9,3,6,1,6,1,3,0,3,3,4,10,12,2,24,0,9,4,0,1,1,1,3,8,5,8,14,2,3,2,1,2,3,5,8,5,3,3,3,5,9,0,2
CELL0045,10,1,5,13,1,4,4,3,0,9,3,1,2,1,1,2,0,4,0,1,1,3,5,5,3,1,7,4,2,4,3,1,1,5,1,4,0,7,0,6,6,0,3,9,1,1,0,6,2,3,12,3,50,0,0,0,56,2,2,4,5,0,0,0,1,3,5,0,3,4,1,2,4,4,0,5,38,0,0,2,1,0,3,0,0,2,1,2,2,18,2,5,0,17,7,1,8,0,3,1,1,51,7,8,1,2,1,6,2,0,3,5,2,4,20,2,1,8,0,2
CELL0046,4,0,0,8,0,1,0,3,6,1,1,7,0,0,2,4,2,4,2,4,5,2,5,7,4,3,4,3,1,3,1,0,3,2,3,0,24,2,72,3,2,1,8,2,3,16,53,7,2,4,10,1,0,6,10,1,1,7,1,1,0,1,94,0,4,4,3,5,1,0,1,0,0,8,10,7,0,0,2,5,1,0,2,4,4,9,4,2,2,2,1,1,49,1,0,0,2,5,0,1,3,0,6,8,1,1,1,2,4,76,1,24,52,2,0,12,0,5,28,5
CELL0047,17,2,2,16,2,3,6,2,5,4,3,10,1,3,2,4,0,6,3,5,1,8,3,4,2,7,1,0,2,11,4,5,3,3,3,2,2,10,12,0,3,3,4,3,8,4,20,4,2,3,16,4,1,3,3,2,13,0,4,1,1,1,12,6,3,3,4,6,1,2,3,4,0,2,5,4,1,0,4,4,2,7,5,3,5,0,7,6,4,4,1,3,13,2,0,0,7,2,2,4,5,30,3,11,1,0,1,2,4,5,5,16,3,6,1,5,2,7,1,1
CELL0048,1,1,6,10,0,9,3,1,3,1,9,4,2,0,0,2,2,7,2,1,2,7,5,8,4,2,3,0,0,0,1,10,0,3,5,2,3,2,2,2,1,3,1,4,7,1,0,2,1,5,47,0,105,7,0,2,369,3,2,2,0,4,1,5,2,6,1,4,4,0,10,5,4,1,7,3,305,0,7,2,4,3,4,1,2,0,14,0,1,2,2,3,24,0,120,0,3,0,1,1,8,407,2,2,2,3,0,3,6,0,6,4,17,2,208,1,8,6,0,0
CELL0049,1,0,5,12,2,0,0,3,3,0,4,5,0,0,1,2,24,2,6,0,4,9,5,0,4,0,0,1,0,1,2,3,0,1,2,3,105,3,95,0,0,1,0,0,6,10,11,1,0,4,45,3,0,3,1,4,6,0,1,0,0,7,0,9,2,0,14,4,0,1,1,0,0,2,14,2,26,0,28,2,0,2,1,0,0,0,65,0,1,0,2,0,263,0,0,0,2,1,2,1,2,204,0,0,1,3,0,2,1,3,9,10,193,4,2,1,1,6,0,0
CELL0050,60,3,1,2,1,2,0,3,0,2,3,2,0,2,0,5,0,3,1,6,0,2,6,4,2,4,1,3,4,8,2,2,2,2,0,8,4,1,2,4,3,3,1,1,4,2,0,3,1,4,3,5,244,3,0,0,8,1,1,5,5,1,0,5,4,0,7,6,4,1,2,2,6,2,0,1,23,6,0,6,0,4,8,1,2,11,0,2,17,10,3,9,0,0,4,5,4,5,1,1,2,4,4,28,1,1,1,9,2,0,4,3,11,4,26,3,1,3,2,3
CELL0051,1,9,77,18,0,2,3,0,5,4,7,4,9,4,4,6,3,3,5,1,4,10,12,9,1,2,1,1,1,5,5,6,2,0,0,2,11,3,1,3,1,1,8,3,4,1,0,0,0,3,407,10,42,4,0,4,350,1,0,7,0,46,1,50,5,3,7,4,4,0,5,0,1,2,2,11,377,0,16,2,0,7,2,0,1,0,49,2,0,1,1,2,67,0,350,0,6,0,1,4,2,351,1,0,0,0,0,4,2,0,4,4,2,5,388,1,1,2,0,3
