# synthetic, for demo only -- module 563 CONCORD
,batch,cell_type,true_time
C00046,batch3,Progenitor,0.22715759353337972
C00047,batch2,Intermediate,0.6231871446860424
C00048,batch1,Progenitor,0.08401534358238483
C00049,batch3,Mature,0.8326441476533978
C00050,batch2,Mature,0.7870983074886834
C00051,batch3,Progenitor,0.23936944299295215
C00052,batch2,Mature,0.8764842308107038
C00053,batch2,Progenitor,0.05856803480519435
C00054,batch3,Intermediate,0.3361170605456604
C00055,batch1,Progenitor,0.15027946689483906
C00056,batch2,Intermediate,0.450339366649287
C00057,batch3,Mature,0.7963242702872942
C00058,batch1,Progenitor,0.23064220899374743
C00059,batch1,Progenitor,0.05202130106440961
C00060,batch1,Intermediate,0.4045518398215282
C00061,batch1,Progenitor,0.19851304450925533
C00062,batch1,Progenitor,0.0907530456191219
C00063,batch2,Intermediate,0.5803323859868507
C00064,batch3,Progenitor,0.2986961328189226
C00065,batch3,Mature,0.6719948779563594
C00066,batch3,Progenitor,0.1995154439682133
C00067,batch1,Mature,0.9421131105064978
C00068,batch2,Intermediate,0.36511016824482856
C00069,batch2,Progenitor,0.10549527957022953
C00070,batch2,Intermediate,0.6291081515397092
C00071,batch3,Mature,0.9271545530678674
C00072,batch3,Intermediate,0.440377154715784
C00073,batch2,Mature,0.9545904936907372
C00074,batch2,Intermediate,0.499895813687647
C00075,batch1,Intermediate,0.42522862484907553
C00076,batch2,Intermediate,0.6202134520153778
C00077,batch2,Mature,0.9950965052353241
C00078,batch2,Mature,0.9489436749377653
C00079,batch3,Intermediate,0.4600451393090961
C00080,batch3,Mature,0.7577288453082914
C00081,batch1,Intermediate,0.49742269548761897
C00082,batch2,Intermediate,0.5293121601967704
C00083,batch1,Mature,0.7857857007138075
C00084,batch1,Intermediate,0.4146558493556708
C00085,batch3,Mature,0.7344835717887294
C00086,batch2,Mature,0.7111428779897498
C00087,batch1,Mature,0.9320596866133782
C00088,batch3,Progenitor,0.1149326332809052
C00089,batch3,Mature,0.7290151170763094
C00090,batch3,Mature,0.9274239286245599
C00091,batch3,Mature,0.9679261899246464
C00092,batch2,Progenitor,0.014706304965369288
C00093,batch1,Mature,0.8636400902455758
C00094,batch3,Mature,0.9811950400663443
C00095,batch3,Mature,0.9572101796109636
C00096,batch3,Progenitor,0.1487640122324979
C00097,batch2,Mature,0.972628813822955
C00098,batch1,Mature,0.8899355557205206
C00099,batch3,Mature,0.8223738275430704
C00100,batch1,Intermediate,0.4799879238078322
C00101,batch2,Progenitor,0.23237291963930384
C00102,batch3,Mature,0.8018805787183079
C00103,batch1,Mature,0.9235301597834695
C00104,batch1,Progenitor,0.2661302722922926
C00105,batch3,Intermediate,0.5389344076221869
C00106,batch3,Intermediate,0.4427528289745315
C00107,batch1,Mature,0.931017315981155
C00108,batch2,Progenitor,0.040510711188434634
C00109,batch1,Mature,0.7320061956565608
C00110,batch3,Intermediate,0.6143732469489966
C00111,batch1,Progenitor,0.028365365113521057
C00112,batch3,Mature,0.7192197728267403
C00113,batch1,Progenitor,0.015991729523571974
C00114,batch1,Mature,0.7579510023564281
C00115,batch3,Intermediate,0.512758723262078
C00116,batch2,Mature,0.9291042207970062
C00117,batch1,Progenitor,0.06608249672407474
C00118,batch1,Mature,0.8413172796123832
C00119,batch1,Progenitor,0.0666900087671014
C00120,batch2,Intermediate,0.34430997880412517
C00121,batch3,Intermediate,0.4302987319478333
C00122,batch1,Mature,0.9660620807840702
C00123,batch2,Intermediate,0.562231842228457
C00124,batch3,Progenitor,0.25886459317093224
C00125,batch1,Progenitor,0.24167571409434496
C00126,batch3,Mature,0.8881183206591798
C00127,batch2,Progenitor,0.22586942841732438
C00128,batch1,Progenitor,0.1245547058352835
C00129,batch2,Progenitor,0.2883307570075776
C00130,batch3,Intermediate,0.5861230648127328
C00131,batch2,Intermediate,0.5540905021732678
C00132,batch1,Mature,0.8097107759127777
C00133,batch3,Intermediate,0.5604759520061858
C00134,batch3,Progenitor,0.2884212144312105
C00135,batch2,Intermediate,0.4128963426808927
C00136,batch1,Mature,0.8181209709709104
C00137,batch2,Intermediate,0.6265064624197535
C00138,batch2,Mature,0.9590776426974422
C00139,batch3,Intermediate,0.3694044110916809
C00140,batch2,Intermediate,0.5526115105212872
C00141,batch3,Intermediate,0.5939242016131683
C00142,batch2,Mature,0.84829120827506
C00143,batch2,Progenitor,0.14547353818653175
C00144,batch1,Intermediate,0.40651033674812664
C00145,batch3,Mature,0.909958961662297
C00146,batch1,Progenitor,0.043066888568204176
C00147,batch3,Mature,0.8227062801815019
C00148,batch2,Intermediate,0.41538403737122465
C00149,batch2,Mature,0.8298039852781027
C00150,batch3,Progenitor,0.009954560807291957
C00151,batch1,Intermediate,0.36504615775827065
C00152,batch2,Progenitor,0.07863003716563988
C00153,batch2,Intermediate,0.6526145763366384
C00154,batch2,Progenitor,0.2738490985995572
C00155,batch1,Mature,0.7026520706597863
C00156,batch3,Mature,0.9438014269420908
C00157,batch3,Progenitor,0.12681710226124776
C00158,batch3,Mature,0.8647782954007741
C00159,batch1,Progenitor,0.059464151600338466
C00160,batch1,Intermediate,0.38077050831088943
C00161,batch1,Intermediate,0.42977406117857664
C00162,batch3,Intermediate,0.48884954683346427
C00163,batch1,Mature,0.9764623219360445
C00164,batch2,Mature,0.7756911881018284
C00165,batch3,Progenitor,0.308857362719261
C00166,batch3,Progenitor,0.26983678550080015
C00167,batch3,Mature,0.8631202041893178
C00168,batch1,Mature,0.8813071727376899
C00169,batch2,Intermediate,0.5107065055436453
C00170,batch3,Intermediate,0.34429573096232524
C00171,batch1,Mature,0.9949173481609178
C00172,batch3,Progenitor,0.3159435453677002
C00173,batch2,Progenitor,0.18271237892656245
C00174,batch1,Mature,0.8800981213040697
C00175,batch1,Mature,0.812335398111254
C00176,batch1,Mature,0.6678894055713512
C00177,batch2,Mature,0.9584136317779519
C00178,batch1,Mature,0.9257145772144187
C00179,batch3,Mature,0.7482485033017541
C00180,batch1,Mature,0.8607014095476777
C00181,batch1,Progenitor,0.24714674032210748
C00182,batch2,Progenitor,0.1412465569010316
C00183,batch3,Mature,0.670061849314936
C00184,batch2,Mature,0.7146185366547527
C00185,batch2,Progenitor,0.16705292878227218
C00186,batch1,Intermediate,0.395557273104876
C00187,batch2,Mature,0.9102557662160548
C00188,batch1,Intermediate,0.561400767550223
C00189,batch3,Intermediate,0.5783359149262727
C00190,batch3,Progenitor,0.19412977289079358
C00191,batch2,Intermediate,0.5260222486178752
C00192,batch3,Intermediate,0.5234347273949199
C00193,batch1,Progenitor,0.08893564024627199
C00194,batch3,Mature,0.9819426931267062
C00195,batch3,Intermediate,0.5713956004557744
C00196,batch2,Progenitor,0.006408882664310167
C00197,batch1,Mature,0.7726492012253886
C00198,batch1,Mature,0.9782657138401457
C00199,batch2,Intermediate,0.5898700283209505
C00200,batch1,Progenitor,0.319681636282665
C00201,batch1,Progenitor,0.1875077157277849
C00202,batch1,Mature,0.6725266339168693
C00203,batch3,Progenitor,0.19510739845680503
C00204,batch3,Intermediate,0.5776878925178592
C00205,batch2,Intermediate,0.6022391763796258
C00206,batch3,Mature,0.962423093124381
C00207,batch1,Progenitor,0.07226526552987678
C00208,batch3,Intermediate,0.4999728236586185
C00209,batch1,Mature,0.7440974792826482
C00210,batch2,Progenitor,0.1772267404746588
C00211,batch3,Intermediate,0.3880667317845192
C00212,batch1,Progenitor,0.06289549845497133
C00213,batch3,Mature,0.7258808637757768
C00214,batch3,Progenitor,0.08776788675948677
C00215,batch2,Intermediate,0.3950917083579676
C00216,batch3,Mature,0.8735226311207321
C00217,batch1,Intermediate,0.4723003367500115
C00218,batch2,Mature,0.9126219336408856
C00219,batch1,Mature,0.7659171177388724
C00220,batch3,Mature,0.9153239601117659
C00221,batch3,Progenitor,0.12740300904890633
C00222,batch2,Progenitor,0.07356290533063203
C00223,batch2,Progenitor,0.07032625356921807
C00224,batch3,Mature,0.8688542943473193
C00225,batch1,Intermediate,0.6340699793474432
C00226,batch2,Intermediate,0.496571693798853
C00227,batch2,Progenitor,0.16354341619648027
C00228,batch3,Mature,0.6737334377272737
C00229,batch2,Progenitor,0.318017387845798
C00230,batch2,Mature,0.7108798632659449
C00231,batch1,Intermediate,0.4603553288673248
C00232,batch3,Intermediate,0.5074698605445271
C00233,batch2,Mature,0.7896657324598704
C00234,batch3,Progenitor,0.09274547552338075
C00235,batch2,Intermediate,0.5787585033235025
C00236,batch2,Progenitor,0.19723494729586855
C00237,batch2,Mature,0.8081367518135681
C00238,batch3,Intermediate,0.4888460361292599
C00239,batch1,Mature,0.9886953333678197
C00240,batch1,Progenitor,0.18294332467571872
C00241,batch1,Mature,0.9630191401242673
C00242,batch1,Mature,0.800917036608609
C00243,batch3,Intermediate,0.4812604965752686
C00244,batch3,Mature,0.8135340641796355
C00245,batch2,Intermediate,0.6028489052411163
C00246,batch1,Intermediate,0.6551210639913803
C00247,batch2,Mature,0.9136907627073889
C00248,batch3,Progenitor,0.06527041641129139
C00249,batch1,Mature,0.8349882039584006
C00250,batch2,Intermediate,0.3818147799662388
C00251,batch3,Progenitor,0.3255456161007044
C00252,batch1,Mature,0.9940267712099843
C00253,batch3,Mature,0.7811905020763782
C00254,batch3,Intermediate,0.48553513877958776
C00255,batch3,Intermediate,0.4226283964247812
C00256,batch1,Mature,0.8775289058717961
C00257,batch3,Progenitor,0.08681487221489415
C00258,batch2,Mature,0.708418756913866
C00259,batch1,Mature,0.789154623705146
C00260,batch1,Mature,0.7991963797161148
C00261,batch1,Progenitor,0.3222867247398318
C00262,batch2,Mature,0.7966391827460546
C00263,batch1,Progenitor,0.22532844187566514
C00264,batch1,Intermediate,0.3623079504845691
C00265,batch2,Intermediate,0.41744811220437983
C00266,batch3,Intermediate,0.5414099836301646
C00267,batch1,Progenitor,0.11261366554055718
C00268,batch1,Intermediate,0.40694780063930613
C00269,batch3,Progenitor,0.0003006901069229073
C00270,batch2,Mature,0.744380726347399
C00271,batch1,Mature,0.851875912234257
C00272,batch2,Progenitor,0.13893167912019755
C00273,batch1,Mature,0.7037857692667978
C00274,batch1,Mature,0.8211030883946387
C00275,batch2,Mature,0.9818283228717938
C00276,batch2,Mature,0.8437905623687267
C00277,batch3,Intermediate,0.42410648544401286
C00278,batch2,Mature,0.9796887085096565
C00279,batch3,Mature,0.9739844048523552
C00280,batch1,Intermediate,0.503676979200579
C00281,batch3,Mature,0.7534465385839052
C00282,batch2,Mature,0.9138376676731629
C00283,batch3,Intermediate,0.47614707196875306
C00284,batch1,Mature,0.8637862410970849
C00285,batch1,Mature,0.7015685660618728
C00286,batch2,Progenitor,0.2939242559745576
C00287,batch3,Mature,0.7676522699834736
C00288,batch3,Intermediate,0.5706847858594991
C00289,batch1,Progenitor,0.09384515343330624
C00290,batch2,Intermediate,0.3913804263046642
C00291,batch1,Progenitor,0.07374101339780592
C00292,batch3,Intermediate,0.4761669632169956
C00293,batch3,Intermediate,0.4285396081429238
C00294,batch2,Intermediate,0.42373744297044735
C00295,batch2,Intermediate,0.5863003535907844
C00296,batch1,Progenitor,0.12269066017607344
C00297,batch2,Mature,0.9337689099568427
C00298,batch1,Mature,0.684050448075033
C00299,batch1,Mature,0.8237813583927717
C00300,batch2,Mature,0.8968012322637599
C00301,batch2,Intermediate,0.5833200469234759
C00302,batch3,Progenitor,0.0402182209046007
C00303,batch3,Mature,0.711486824117758
C00304,batch1,Intermediate,0.5690258542633582
C00305,batch3,Mature,0.8259572221703992
C00306,batch3,Intermediate,0.5321604734743441
C00307,batch1,Mature,0.8132440953641924
C00308,batch3,Mature,0.9970102930724918
C00309,batch2,Intermediate,0.35055481136788813
C00310,batch3,Progenitor,0.1710214400206741
C00311,batch3,Intermediate,0.3916747994539028
C00312,batch1,Mature,0.7530499898656764
C00313,batch1,Intermediate,0.43922893185830647
C00314,batch2,Intermediate,0.5883801094292148
C00315,batch1,Progenitor,0.12735847192167105
C00316,batch2,Mature,0.7261235109339803
C00317,batch1,Progenitor,0.28008240186649946
C00318,batch1,Progenitor,0.19061756040401823
C00319,batch1,Mature,0.8629499985831945
C00320,batch3,Intermediate,0.5644128211205941
C00321,batch1,Intermediate,0.48449894234625035
C00322,batch1,Mature,0.8988237652484845
C00323,batch2,Progenitor,0.08601243606100262
C00324,batch1,Mature,0.6961544503408927
C00325,batch1,Progenitor,0.32798228976460253
C00326,batch1,Progenitor,0.17540974998508108
C00327,batch2,Mature,0.6747986499672789
C00328,batch3,Intermediate,0.3628219508629361
C00329,batch3,Progenitor,0.32989583249393584
C00330,batch2,Mature,0.9436777652291878
C00331,batch2,Progenitor,0.19929834067948615
C00332,batch2,Intermediate,0.512173657837735
C00333,batch1,Progenitor,0.024013200671349266
C00334,batch2,Progenitor,0.16336809113695616
C00335,batch2,Mature,0.8834187336335619
C00336,batch1,Mature,0.7892475482526763
C00337,batch1,Intermediate,0.5568354900539902
C00338,batch3,Progenitor,0.22245339599136027
C00339,batch3,Intermediate,0.5577475826213064
C00340,batch1,Progenitor,0.012146526113612555
C00341,batch2,Mature,0.7129936309379207
C00342,batch3,Mature,0.7167506805637281
C00343,batch3,Intermediate,0.6460450235663548
C00344,batch1,Intermediate,0.6113386842752012
C00345,batch3,Progenitor,0.07371643262453753
C00346,batch3,Progenitor,0.24640596905097556
C00347,batch1,Intermediate,0.5743780480979319
C00348,batch3,Intermediate,0.3941867660288976
C00349,batch2,Mature,0.992023228581445
C00350,batch2,Mature,0.9237453573751813
C00351,batch3,Progenitor,0.15200790252253704
C00352,batch2,Intermediate,0.5899605926495307
C00353,batch3,Mature,0.6962151061034566
C00354,batch3,Progenitor,0.13654341430088612
C00355,batch3,Progenitor,0.31259564710117127
C00356,batch1,Mature,0.7159178469254943
C00357,batch1,Mature,0.9011080934228366
C00358,batch2,Intermediate,0.34174265020613526
C00359,batch1,Progenitor,0.2389437116912806
C00360,batch2,Mature,0.8217920027302146
C00361,batch1,Intermediate,0.5849826802256783
C00362,batch1,Intermediate,0.4765884217057704
C00363,batch2,Progenitor,0.25615002142789234
C00364,batch1,Progenitor,0.07265834864832099
C00365,batch1,Progenitor,0.017891420896975263
C00366,batch2,Intermediate,0.5799701805640948
C00367,batch1,Progenitor,0.1911102734600748
C00368,batch3,Mature,0.9755329784268204
C00369,batch1,Progenitor,0.10747722838614726
C00370,batch1,Intermediate,0.4520887883271084
C00371,batch2,Intermediate,0.39465979707096
C00372,batch2,Progenitor,0.23231147528553098
C00373,batch1,Mature,0.7487557250039351
C00374,batch1,Intermediate,0.6437047620803104
C00375,batch3,Mature,0.7257576850518699
C00376,batch3,Progenitor,0.08280857589649471
C00377,batch2,Intermediate,0.3527434156964051
C00378,batch2,Intermediate,0.5198330743342318
C00379,batch2,Intermediate,0.42672114373024106
C00380,batch2,Progenitor,0.040617561872745234
C00381,batch3,Progenitor,0.1940274549007932
C00382,batch1,Mature,0.9450246483046265
C00383,batch3,Progenitor,0.1625697247533182
C00384,batch2,Mature,0.8520523324627752
C00385,batch2,Mature,0.8221371590644401
C00386,batch3,Intermediate,0.391293757078108
C00387,batch2,Intermediate,0.4667835198442635
C00388,batch1,Mature,0.8240018076499193
C00389,batch2,Mature,0.6806863255702125
C00390,batch3,Mature,0.8369437364290709
C00391,batch1,Mature,0.7575965858321237
C00392,batch3,Mature,0.6912714794406046
C00393,batch3,Mature,0.9129741060068781
C00394,batch1,Mature,0.8228071330945887
C00395,batch2,Progenitor,0.17906268758299326
C00396,batch2,Mature,0.7482242750812449
C00397,batch3,Progenitor,0.0866813231145428
C00398,batch3,Intermediate,0.4258562402940216
C00399,batch3,Intermediate,0.39675188715342524
C00400,batch3,Progenitor,0.20216809397548463
C00401,batch1,Mature,0.9379051086359893
C00402,batch1,Progenitor,0.09477667836116699
C00403,batch3,Progenitor,0.004899414988575601
C00404,batch1,Progenitor,0.32292080366397835
C00405,batch2,Mature,0.990744718241222
C00406,batch3,Progenitor,0.2646951283884399
C00407,batch2,Mature,0.830694265517731
C00408,batch1,Progenitor,0.17311363702046545
C00409,batch1,Intermediate,0.5863783547983777
C00410,batch1,Mature,0.958409335179392
C00411,batch1,Mature,0.7165132345658071
C00412,batch3,Mature,0.9805079751784863
C00413,batch3,Intermediate,0.5745566490890397
C00414,batch1,Mature,0.9833347065534214
C00415,batch2,Mature,0.8370470317200038
C00416,batch3,Mature,0.7782482261019282
C00417,batch1,Mature,0.8884898869115002
C00418,batch1,Intermediate,0.6314915172616167
C00419,batch2,Intermediate,0.35636454637657144
C00420,batch2,Intermediate,0.528282440056993
C00421,batch3,Progenitor,0.22650039568236358
C00422,batch1,Mature,0.7775441238817054
C00423,batch2,Progenitor,0.17007850161486648
C00424,batch3,Intermediate,0.5771979489865907
C00425,batch2,Intermediate,0.5358989295791143
C00426,batch1,Mature,0.6719028034776905
C00427,batch2,Mature,0.76048659866525
C00428,batch3,Progenitor,0.10982788606390892
C00429,batch1,Intermediate,0.6249409616679835
C00430,batch3,Intermediate,0.41395588246519277
C00431,batch3,Intermediate,0.6142014356679537
C00432,batch1,Mature,0.6939845431464953
C00433,batch1,Intermediate,0.5854795857606219
C00434,batch2,Mature,0.7328860768587152
C00435,batch2,Intermediate,0.520025257204648
C00436,batch3,Intermediate,0.4628678091292717
C00437,batch3,Progenitor,0.2867688654485352
C00438,batch2,Progenitor,0.22915166999670655
C00439,batch3,Mature,0.6953021060918184
C00440,batch1,Mature,0.6957113528124577
C00441,batch2,Progenitor,0.19548251297659636
C00442,batch2,Mature,0.9718374166111121
C00443,batch3,Mature,0.671150780289396
C00444,batch2,Intermediate,0.5312161232098263
C00445,batch1,Mature,0.8411753515449676
C00446,batch3,Intermediate,0.48652043330315486
C00447,batch1,Intermediate,0.4759448701003268
C00448,batch1,Progenitor,0.2582744000775369
C00449,batch2,Progenitor,0.15613548139069233
C00450,batch2,Mature,0.7116205788809175
C00451,batch2,Mature,0.8441109682390425
C00452,batch2,Mature,0.677798778095959
C00453,batch3,Intermediate,0.3688215166959502
C00454,batch2,Intermediate,0.5757220912190522
C00455,batch1,Intermediate,0.5634124736739899
C00456,batch1,Mature,0.9365660834742939
C00457,batch2,Intermediate,0.3876742119556893
C00458,batch2,Progenitor,0.1647826520660035
C00459,batch2,Mature,0.8769328933290108
C00460,batch2,Mature,0.8947284968868684
C00461,batch2,Progenitor,0.04826559500189531
C00462,batch2,Progenitor,0.19822403083948237
C00463,batch3,Intermediate,0.6362836535994598
C00464,batch3,Mature,0.7888451556348379
C00465,batch1,Intermediate,0.6066925067405504
C00466,batch3,Progenitor,0.19158919612655823
C00467,batch1,Progenitor,0.1176415752621991
C00468,batch1,Intermediate,0.5059726340651836
C00469,batch3,Mature,0.8155104066590114
C00470,batch2,Progenitor,0.2170671810721262
C00471,batch3,Progenitor,0.07513269487278362
C00472,batch2,Intermediate,0.5510449957933047
C00473,batch2,Progenitor,0.19181714813525463
C00474,batch1,Progenitor,0.06742372048426959
C00475,batch3,Mature,0.7732645980412682
C00476,batch3,Mature,0.8212266060779224
C00477,batch1,Intermediate,0.3983355510982354
C00478,batch1,Progenitor,0.2940763601682844
C00479,batch3,Progenitor,0.2771208894369578
C00480,batch1,Intermediate,0.36097142582835084
C00481,batch1,Intermediate,0.5769076431162621
C00482,batch2,Intermediate,0.5278200781124773
C00483,batch1,Intermediate,0.3553491811726963
C00484,batch3,Intermediate,0.6374209792381814
C00485,batch1,Mature,0.67576744194746
C00486,batch2,Intermediate,0.5582789479750343
C00487,batch2,Intermediate,0.38729491505187397
C00488,batch1,Intermediate,0.6239027819391343
C00489,batch1,Intermediate,0.5919027832141105
C00490,batch2,Intermediate,0.3403238573806664
C00491,batch1,Progenitor,0.30320101266424526
C00492,batch1,Intermediate,0.5457488790192866
C00493,batch1,Intermediate,0.6123417390018507
C00494,batch3,Intermediate,0.6107984389218087
C00495,batch3,Intermediate,0.3828380088978549
C00496,batch2,Intermediate,0.5657739072162552
C00497,batch3,Mature,0.9857696351964191
C00498,batch1,Intermediate,0.42802451904395167
C00499,batch3,Mature,0.8430147145899906
C00500,batch2,Progenitor,0.08132369130695694
C00501,batch1,Mature,0.8752282537019719
C00502,batch1,Mature,0.9417061555298863
C00503,batch3,Progenitor,0.26186401585393726
C00504,batch1,Progenitor,0.012101415672192695
C00505,batch2,Intermediate,0.4830084134337993
C00506,batch1,Progenitor,0.18271225766227794
C00507,batch2,Mature,0.9716312542852679
C00508,batch2,Mature,0.8976984351175483
C00509,batch1,Mature,0.9606648859302717
C00510,batch1,Intermediate,0.6038696577407527
C00511,batch3,Intermediate,0.5151603669026421
C00512,batch1,Mature,0.8327178493802309
C00513,batch3,Intermediate,0.6523489656890211
C00514,batch1,Progenitor,0.24855767636724513
C00515,batch2,Mature,0.9342860382578622
C00516,batch2,Intermediate,0.43969944996553134
C00517,batch2,Mature,0.773556228309299
C00518,batch3,Intermediate,0.5009379569884868
C00519,batch3,Progenitor,0.18335624310512755
C00520,batch1,Progenitor,0.2959268470094133
C00521,batch2,Intermediate,0.5744107688028172
C00522,batch3,Progenitor,0.14300208426428052
C00523,batch3,Progenitor,0.013737858616478582
C00524,batch1,Intermediate,0.43389122434993144
C00525,batch3,Mature,0.7621971718592196
C00526,batch1,Intermediate,0.614157273742888
C00527,batch3,Progenitor,0.32414637580737604
C00528,batch1,Mature,0.7172409392954933
C00529,batch1,Intermediate,0.4845146331098733
C00530,batch3,Mature,0.9995013522570269
C00531,batch3,Mature,0.7760316524447806
C00532,batch1,Mature,0.830631441271759
C00533,batch1,Progenitor,0.2595489061387781
C00534,batch3,Progenitor,0.15229496284881394
C00535,batch2,Progenitor,0.19930390910700002
C00536,batch3,Intermediate,0.43226496434626605
C00537,batch3,Intermediate,0.5121491196209004
C00538,batch1,Progenitor,0.19460934773223448
C00539,batch2,Mature,0.7799447709885816
C00540,batch2,Mature,0.8684311544172296
C00541,batch1,Progenitor,0.31600498576024083
C00542,batch2,Intermediate,0.50806419675629
C00543,batch1,Intermediate,0.5943746025127589
C00544,batch2,Mature,0.7223781739311237
C00545,batch1,Progenitor,0.1474724544653564
C00546,batch3,Progenitor,0.28087106140315643
C00547,batch2,Mature,0.7307059958584028
C00548,batch3,Intermediate,0.5681923142926266
C00549,batch3,Mature,0.8999457934389484
C00550,batch1,Intermediate,0.4478583619887434
C00551,batch3,Intermediate,0.406612845033848
C00552,batch2,Progenitor,0.3065072175307022
C00553,batch1,Progenitor,0.23137257265474553
C00554,batch3,Intermediate,0.6507663347633983
C00555,batch2,Progenitor,0.2646860018226955
C00556,batch1,Mature,0.8622755206430474
C00557,batch1,Progenitor,0.2706483956521083
C00558,batch3,Mature,0.6733596312251477
C00559,batch2,Intermediate,0.5681841419017319
C00560,batch1,Intermediate,0.6284587978789083
C00561,batch2,Mature,0.8954167756318381
C00562,batch1,Progenitor,0.16998845146941277
C00563,batch3,Progenitor,0.1498155458754621
C00564,batch1,Progenitor,0.12190222133530626
C00565,batch3,Progenitor,0.07643902091821697
C00566,batch2,Intermediate,0.5342310236037406
C00567,batch3,Progenitor,0.16573115195227217
C00568,batch2,Mature,0.8071679300934899
C00569,batch1,Progenitor,0.022610530546880114
C00570,batch2,Intermediate,0.3746069717348577
C00571,batch3,Intermediate,0.47320397138856884
C00572,batch1,Progenitor,0.2165283006768245
C00573,batch2,Intermediate,0.3559062195172905
C00574,batch2,Progenitor,0.22279143552845215
C00575,batch2,Progenitor,0.28182810633472577
C00576,batch2,Mature,0.9268710607285915
C00577,batch2,Intermediate,0.4171753663098261
C00578,batch3,Intermediate,0.38586494126072
C00579,batch3,Intermediate,0.6111744524341742
C00580,batch2,Intermediate,0.6641418567485056
C00581,batch1,Intermediate,0.6602765449276847
C00582,batch2,Progenitor,0.08475896722401388
C00583,batch2,Intermediate,0.5819025790346892
C00584,batch2,Mature,0.7359235998979756
C00585,batch3,Mature,0.7955683661434495
C00586,batch2,Intermediate,0.5885342519393526
C00587,batch1,Progenitor,0.1305730582345579
C00588,batch3,Progenitor,0.08374032389677899
C00589,batch1,Progenitor,0.3230536931058179
C00590,batch2,Mature,0.9275588094659627
C00591,batch2,Intermediate,0.4726175288334824
C00592,batch2,Mature,0.8954739071476481
C00593,batch3,Intermediate,0.4596749532770249
C00594,batch2,Mature,0.755118106560127
C00595,batch2,Intermediate,0.48512717568964037
C00596,batch3,Mature,0.7087022614323838
C00597,batch3,Progenitor,0.3171792766671796
C00598,batch2,Mature,0.8898652636367038
C00599,batch2,Progenitor,0.26570806873658315
C00600,batch3,Progenitor,0.0061768287842781655
C00601,batch3,Mature,0.721165786116842
C00602,batch2,Mature,0.6766044632445796
C00603,batch3,Intermediate,0.6569014499256771
C00604,batch3,Mature,0.6874150023133265
C00605,batch2,Intermediate,0.5862642110184831
C00606,batch2,Progenitor,0.11527895307851443
C00607,batch3,Mature,0.6692037223800513
C00608,batch3,Progenitor,0.006598523780704801
C00609,batch2,Progenitor,0.18284287895470064
C00610,batch2,Intermediate,0.42087840519534825
C00611,batch3,Intermediate,0.37836938040865464
C00612,batch2,Progenitor,0.1189651624145176
C00613,batch1,Intermediate,0.42695760403988736
C00614,batch1,Intermediate,0.6236172436233424
C00615,batch2,Intermediate,0.377463431532434
C00616,batch1,Mature,0.7084994832867091
C00617,batch1,Progenitor,0.23092209537827701
C00618,batch2,Progenitor,0.14382527227092345
C00619,batch1,Mature,0.7488998444884865
C00620,batch1,Mature,0.6687281297620549
C00621,batch1,Intermediate,0.4293706932947625
C00622,batch1,Progenitor,0.13676728481771305
C00623,batch1,Intermediate,0.6636837393289772
C00624,batch1,Mature,0.7499557499262143
C00625,batch2,Progenitor,0.16394265320782597
C00626,batch1,Mature,0.6893017369301842
