# synthetic, for demo only -- module 563 CONCORD
,TruePC1,TruePC2,TruePC3,TruePC4,TruePC5,TruePC6,TruePC7,TruePC8,TruePC9,TruePC10,TruePC11,TruePC12,TruePC13,TruePC14,TruePC15,TruePC16,TruePC17,TruePC18,TruePC19,TruePC20
C00010,19.95136,-3.1506357,-0.86323524,2.688376,0.9112829,0.34190446,0.12782452,-0.13682258,0.06115675,0.007063593,0.0040670643,-0.0025785258,0.00090572034,0.00015221706,-7.688784e-05,5.4639684e-05,1.2573723e-05,5.4899087e-06,-6.928975e-07,-1.4429658e-07
C00011,-20.074244,-15.76991,-8.658088,-3.2963824,2.739634,-1.459944,-0.5855293,-0.41838902,-0.11640331,0.0743392,0.012277108,0.010804249,0.00400127,-0.0011805453,0.00044055,0.00011359278,1.1038393e-05,-3.667915e-05,-1.48161835e-05,7.5892746e-07
C00012,21.316788,-6.5434766,1.1164917,1.7121485,0.98213464,0.7989473,-0.14591242,-0.028083356,0.04481912,0.019814268,-0.009760672,3.7232705e-05,0.00022136373,0.0004581576,0.00016864165,-2.9800376e-05,1.2898679e-05,-2.8441707e-06,-4.8867387e-06,-1.3032354e-07
C00013,-20.535294,-14.531263,-7.507294,-2.3173163,1.6436113,-0.5629531,-0.12103637,0.01788157,0.025344882,-0.035256222,-0.006875307,-0.007086068,-0.0025672575,0.00063765113,-0.00019463597,-2.3077842e-05,1.2076271e-05,-4.556538e-06,-4.9323435e-06,3.2819614e-07
C00014,15.366915,4.0300894,-4.063188,2.2444701,-0.18288206,-0.69799846,0.21361086,0.016266055,-0.05420663,-0.016889827,0.00090090797,0.002492452,-0.00092779077,-0.0001179042,0.00010366617,-4.4695953e-05,1.225629e-05,-2.388244e-06,-3.7631082e-06,-2.235233e-07
C00015,-20.384106,-6.1674957,0.30650535,1.5629445,-1.343687,0.5206794,0.02750413,-0.11849326,-0.053539235,0.020754874,0.0014778696,-0.0022970496,-0.0011112832,0.00015805915,3.518292e-05,3.9043865e-05,1.2902738e-05,-1.496867e-05,-3.182348e-06,3.8957467e-08
C00016,21.454863,-6.9899335,1.3905447,1.5184228,0.95486104,0.833999,-0.18315257,-0.005914263,0.036460508,0.019509107,-0.011024893,0.0006306871,-4.65467e-06,0.00039484672,0.00019147652,-5.6344554e-05,1.2304879e-05,-3.983909e-06,-2.0977554e-06,3.9821947e-07
C00017,0.67560846,12.229512,-1.6018704,-2.473411,-0.24597363,0.6521207,-0.10236645,-0.12484062,0.038797732,-0.014101663,0.006359312,0.0024026085,-0.0010845005,5.616771e-05,0.00017604143,6.7546775e-06,1.2459379e-05,1.4804916e-05,-3.218846e-07,-3.3042687e-07
C00018,-16.72416,2.6165762,5.5426188,1.8060429,0.14961766,-0.75019765,-0.25230637,0.05269958,0.06308681,-0.015054105,0.0027979643,0.003784192,0.00020136905,0.00045439904,-0.00015517861,-1.99176e-06,1.2561483e-05,-1.5641504e-05,-2.8209438e-06,-1.4053585e-06
C00019,-9.13994,9.636239,3.936146,-1.0694174,1.0916643,0.08568464,0.28320384,0.041620195,-0.052174475,0.010893067,-0.004829427,-0.0028193784,0.0007157204,-0.00035462485,-5.739993e-05,-5.1817526e-05,1.2280442e-05,1.5005418e-06,-2.6667908e-06,-3.622195e-07
C00020,-20.468462,-14.7598095,-7.723934,-2.4863672,1.8306509,-0.7036997,-0.19030151,-0.039106794,0.008479709,-0.02556528,-0.005225508,-0.006447259,-0.0025449244,0.00074004085,-0.00025147435,-4.460422e-05,1.3562716e-05,9.915576e-06,2.1043168e-06,5.983641e-08
C00021,-20.885084,-9.601251,-2.766885,0.4312874,-0.9048044,0.74256605,0.2890315,0.11315253,0.0005184934,0.025070505,0.006221991,0.003963042,0.0005333558,0.00027530728,-0.00016669132,-5.4627042e-05,1.2255167e-05,1.8140692e-05,1.0363665e-06,5.10501e-07
C00022,11.240008,8.133986,-4.786733,0.5728645,-0.8522133,-0.67424846,-0.0917334,0.15288399,-0.042681184,0.009763617,-0.009956915,-0.0002334084,0.0007371106,0.00048537683,3.868826e-06,5.554374e-05,1.2829205e-05,9.059271e-06,2.404371e-06,7.959815e-08
C00023,9.445077,9.424994,-4.6710563,-0.18179853,-0.9629667,-0.4775099,-0.20187181,0.15053064,-0.010088688,0.01900142,-0.007716277,-0.0020980863,0.0011702022,0.00026053956,-0.00012245834,4.7322592e-05,1.2563761e-05,4.4461854e-07,5.870177e-06,8.297764e-07
C00024,6.900656,10.8063,-4.154316,-1.1392344,-0.94128036,-0.11191805,-0.2828249,0.0920155,0.035358243,0.021085497,-0.0005032028,-0.0029801987,0.00079061725,-0.00020641313,-0.00015858213,-9.232489e-06,1.2809895e-05,-1.2550142e-05,2.1552196e-06,-1.8077816e-07
C00025,-11.945692,7.760992,5.1948657,-0.03524963,1.0976077,-0.38048026,0.16538201,0.14906305,-0.0064369035,0.026683269,0.0030194856,-0.0023335412,-0.00064141466,-0.00030497578,0.0001429994,4.332036e-06,1.2797212e-05,1.1608128e-05,5.2726284e-07,3.7820905e-07
C00026,20.924986,-14.324531,5.7083654,-4.8916783,-1.8134836,-1.5897816,0.6284564,-0.3040348,0.1374348,0.04407308,-0.029341053,0.0061613456,-0.0024022185,-0.0012799315,-0.0004254063,0.00013053574,1.2640675e-05,2.1655851e-05,-9.466265e-06,2.3692037e-06
C00027,21.348425,-13.780094,5.4796076,-4.0831947,-1.3498472,-0.97045976,0.29791385,-0.09732129,0.030126046,0.0007035715,0.0031269265,-0.0019449048,0.0007829164,0.0005928332,0.00022612314,-7.968423e-05,1.3304818e-05,-1.780888e-05,7.358233e-06,-1.1052407e-06
C00028,12.340673,7.202494,-4.7397547,1.0455271,-0.7291338,-0.74999577,-0.0096655805,0.13500899,-0.05732628,0.0020634548,-0.009250559,0.0010296261,0.00025339468,0.00047966168,8.415636e-05,4.06849e-05,1.2400947e-05,1.1141042e-05,-1.1614138e-06,1.6187249e-07
C00029,9.699962,9.258221,-4.7009926,-0.07736137,-0.9539007,-0.50976515,-0.18856958,0.15310843,-0.015029158,0.018040398,-0.008240523,-0.0018806785,0.0011398633,0.00030919563,-0.000114965595,5.5288237e-05,1.2401232e-05,-2.799736e-06,4.806536e-06,1.05779996e-07
C00030,12.550839,7.011924,-4.7196965,1.135228,-0.7008418,-0.7595795,0.0066890977,0.12989701,-0.059372477,0.00051649375,-0.008921815,0.0012546807,0.00014885377,0.0004590794,0.00010185362,3.292355e-05,1.2154867e-05,1.6693584e-05,-1.3851829e-06,1.2456072e-06
C00031,-11.587523,8.035896,5.059945,-0.17618851,1.1149219,-0.322172,0.18796638,0.1387748,-0.013918025,0.025859088,0.0019505293,-0.0026446644,-0.00046298164,-0.00035668595,0.00013238256,-1.2280222e-05,1.25581855e-05,1.4615461e-05,5.2839404e-08,-5.472031e-07
C00032,-20.823101,-8.907416,-2.120627,0.70650584,-1.0674881,0.7461758,0.2506093,0.061128218,-0.01671908,0.03072628,0.0066434047,0.0029099148,-4.018895e-05,0.00042180732,-0.00018594274,-4.3879576e-05,1.27611265e-05,3.9420165e-06,9.995013e-07,1.4382202e-06
C00033,14.835245,4.657944,-4.246859,2.0559993,-0.29895204,-0.7398298,0.17976151,0.042920563,-0.060395047,-0.014611224,-0.001507473,0.0025940654,-0.0008239874,2.1966607e-05,0.00013482342,-3.395505e-05,1.2740465e-05,5.0374974e-06,-4.771027e-06,6.5307084e-08
C00034,-0.704639,12.2075815,-0.8654941,-2.5332396,-0.023904745,0.7216072,-0.018130071,-0.15021382,0.018660394,-0.021180807,0.0037748045,0.0032255142,-0.00089042546,0.0002831659,0.00015091301,3.5123256e-05,1.2149285e-05,1.4579993e-05,1.4135247e-06,4.3590776e-07
C00035,-16.229462,3.3236787,5.696653,1.6447939,0.3212119,-0.77654624,-0.21155079,0.088689186,0.06486287,-0.0072098,0.0047530523,0.003686882,-0.00022239848,0.00051512994,-0.00010939485,1.958676e-05,1.2428599e-05,-1.5631398e-05,-6.011998e-07,1.5866482e-06
C00036,-4.062702,11.685448,1.056641,-2.308904,0.5201432,0.67824394,0.17996044,-0.14054728,-0.035514142,-0.02375725,-0.0043411413,0.00235577,0.00035563097,0.00044414378,-7.0751696e-05,4.309527e-05,1.2561592e-05,-9.557718e-06,4.3796535e-06,6.9534645e-09
C00037,21.914656,-8.914728,2.5935059,0.48577538,0.7103384,0.866675,-0.3156991,0.096652694,-0.013027001,0.010471806,-0.011292644,0.002767942,-0.00094531744,-0.00013675993,7.3262076e-05,-6.336753e-05,1.2836316e-05,-9.057218e-06,2.9597552e-06,8.453262e-07
C00038,22.047077,-11.672453,4.315402,-1.662346,-0.11482689,0.35509473,-0.2738129,0.17015076,-0.07796312,-0.019722292,0.008268321,0.00020455994,-0.00018864867,-0.00041573332,-0.00018647284,6.425727e-05,1.2506447e-05,1.1925567e-05,-3.108718e-06,-1.5489878e-06
C00039,-13.616584,6.3130045,5.678607,0.63867867,0.93055916,-0.6228932,0.034599688,0.17242254,0.030169707,0.023398364,0.0069424375,-4.8320453e-05,-0.0011844492,7.7544006e-05,0.00014891777,4.6996483e-05,1.3142158e-05,2.865135e-06,3.0138865e-06,-5.846519e-07
C00040,3.2419615,11.956412,-2.8329313,-2.1261098,-0.61380196,0.40624467,-0.23011628,-0.044347655,0.059291422,0.0031968495,0.00734689,-0.00022367843,-0.00068217126,-0.0003295635,7.810802e-05,-3.965856e-05,1.2634361e-05,5.7844754e-06,-3.1273446e-06,3.201798e-07
C00041,-15.647557,4.08773,5.8004136,1.4377376,0.49896982,-0.7797082,-0.1582286,0.12268031,0.06250688,0.0017646269,0.0064378367,0.0031841062,-0.00065165793,0.00050441135,-5.2205356e-05,4.829339e-05,1.2807928e-05,-1.3845755e-05,6.3895214e-08,-6.234257e-07
C00042,5.158939,11.4707575,-3.599555,-1.6755543,-0.8222167,0.1488545,-0.2811044,0.029331347,0.054686237,0.014884692,0.0043141088,-0.0021126154,8.7016735e-05,-0.00038712184,-6.516895e-05,-3.8931485e-05,1.2447041e-05,-5.446541e-06,-2.1319267e-06,-9.179012e-08
C00043,-14.783667,5.108801,5.8281193,1.1073205,0.71676606,-0.739588,-0.074813984,0.15632398,0.05219874,0.013211391,0.007609997,0.0019454191,-0.0010718739,0.000371469,5.0897557e-05,6.181468e-05,1.2167829e-05,-8.938091e-06,4.1694007e-06,7.946353e-08
C00044,-11.40083,8.174713,4.986024,-0.24885538,1.1216124,-0.29130358,0.19889368,0.13284925,-0.017687414,0.025253195,0.0013884889,-0.0027784181,-0.00036795845,-0.00037613488,0.00011173525,-1.3846355e-05,1.23924565e-05,1.1597135e-05,-2.9871244e-06,1.9646109e-07
C00045,21.924059,-8.969206,2.627869,0.45155105,0.70004475,0.8640975,-0.3183266,0.09946563,-0.0146437725,0.010029683,-0.011134851,0.002801551,-0.0009628405,-0.00014768633,5.3598935e-05,-5.7534504e-05,1.2924051e-05,-1.8723014e-05,5.158806e-06,1.5068563e-06
C00046,-19.32229,-2.5018506,3.092527,2.144537,-1.0096886,-0.08566226,-0.24862881,-0.17501885,-0.01863966,-0.022123909,-0.0067933924,-0.002361821,0.0005999388,-0.0005003845,0.0001224337,-1.0789135e-05,1.2959432e-05,1.382706e-05,4.912357e-06,1.036578e-06
C00047,7.5349493,10.508882,-4.3180223,-0.9176008,-0.96483254,-0.20763853,-0.27188322,0.11132987,0.025369802,0.021879775,-0.002454881,-0.0030080127,0.0009799768,-9.9907484e-05,-0.0001728904,7.713747e-06,1.2522851e-05,-1.1350751e-05,3.2906407e-06,1.0401073e-06
C00048,-20.91933,-12.0056715,-5.0672693,-0.71991384,0.0066385604,0.4446054,0.28799796,0.23633434,0.06140949,-0.020096047,-0.0020186773,0.0019982173,0.0013061108,-0.00047118493,0.00014591808,1.4890301e-05,1.2640158e-05,1.6462921e-07,4.030249e-06,-5.192611e-07
C00049,20.579327,-4.552761,-0.07036583,2.3865793,0.9937062,0.5608841,0.022563884,-0.106645346,0.0643622,0.01476655,-0.0017594559,-0.0020512256,0.000885325,0.00040593251,4.836838e-05,2.9808694e-05,1.2281289e-05,1.0146381e-05,-3.4741072e-06,1.1818925e-06
C00050,18.65664,-0.7061315,-2.1365283,2.898819,0.63301617,-0.07178356,0.25326014,-0.1355223,0.029739058,-0.00810123,0.009998316,-0.0015149143,0.0002063331,-0.00035095544,-0.00016378908,2.2111934e-05,1.2744075e-05,-3.4578354e-06,6.3932384e-06,1.2787698e-06
C00051,-18.980066,-1.6239355,3.652549,2.1854193,-0.8464398,-0.2374511,-0.28693908,-0.1537325,-0.0017095249,-0.028543502,-0.0068710446,-0.001140757,0.0009875157,-0.00044236577,5.332841e-05,-3.8845305e-05,1.2398863e-05,1.760569e-05,3.485098e-06,5.7977044e-08
C00052,21.722448,-7.9872627,2.0104318,1.0249804,0.8557167,0.878284,-0.25967383,0.04696936,0.0130998,0.016471121,-0.01237915,0.0018972411,-0.000536769,0.0001699102,0.00013894084,-5.9897004e-05,1.32529085e-05,-1.8308046e-05,-8.828496e-07,-4.524731e-07
C00053,-20.784027,-13.3541565,-6.3755717,-1.5158296,0.78552717,0.018785546,0.14111072,0.19493484,0.06820407,-0.045470495,-0.007816719,-0.003835511,-0.0005458601,-0.00023645094,0.0001389084,7.2233044e-05,1.2161343e-05,-1.44966125e-05,-1.1051735e-05,1.1283141e-06
C00054,-14.883775,4.9966674,5.831662,1.1466156,0.69424045,-0.74657464,-0.084522806,0.15342787,0.053725783,0.012039373,0.00754941,0.0021071022,-0.0010396091,0.00039067605,4.7511978e-05,5.895692e-05,1.256845e-05,-7.883052e-06,4.660998e-06,4.746939e-07
C00055,-20.69748,-7.9046836,-1.206713,1.0620137,-1.2325697,0.70228356,0.17776649,-0.012973212,-0.036745124,0.032379497,0.0057611954,0.0009053149,-0.0007299838,0.0004612423,-0.00013674481,-1.3886501e-05,1.2482192e-05,-4.077739e-06,-2.623098e-06,-1.4653152e-06
C00056,-6.9806757,10.6999445,2.7576418,-1.7148143,0.91195756,0.4015748,0.28271428,-0.05210611,-0.060515538,-0.0072229477,-0.0074256654,-0.00083851884,0.0010809717,8.843336e-06,-0.00016347857,-2.3995433e-05,1.2815413e-05,-1.03154025e-05,-1.791217e-06,-8.85667e-08
C00057,19.100622,-1.4923837,-1.743843,2.873446,0.73823005,0.06135216,0.22254385,-0.14320096,0.04260475,-0.0034275553,0.008884436,-0.002088336,0.0005052455,-0.00021018015,-0.00016503985,4.6033452e-05,1.3013993e-05,-1.5821261e-07,4.109622e-06,-3.287027e-07
C00058,-19.228354,-2.251227,3.2573078,2.160201,-0.96559244,-0.12961662,-0.26100203,-0.17015329,-0.013950516,-0.024241555,-0.0069086403,-0.0020434007,0.0007186129,-0.00048971927,0.00010072566,-1.9684268e-05,1.3310163e-05,1.4685961e-05,1.0057499e-06,1.9231807e-06
C00059,-20.729856,-13.677162,-6.6879888,-1.7250001,1.0038168,-0.11896415,0.08348572,0.16282274,0.062482476,-0.047483396,-0.008495525,-0.00529018,-0.001211742,-1.6215083e-05,8.881308e-05,4.2132862e-05,1.23032105e-05,-2.6773725e-05,-5.1027387e-06,-1.9472993e-06
C00060,-10.4836035,8.814692,4.591233,-0.596294,1.1328304,-0.13723543,0.2438909,0.09923954,-0.034434747,0.020743083,-0.0013706187,-0.0031346541,0.000111870504,-0.0004277004,4.6734756e-05,-3.621718e-05,1.2808905e-05,5.971546e-06,-2.9565542e-06,5.458505e-07
C00061,-19.98615,-4.5552692,1.6105434,1.8989049,-1.2780147,0.27367586,-0.110823706,-0.17367354,-0.048098955,0.001249627,-0.0032476124,-0.003581446,-0.0005630765,-0.00026629568,0.00015613924,4.8945818e-05,1.2199465e-05,1.6270396e-06,2.4531678e-06,7.718828e-07
C00062,-20.934944,-11.625142,-4.698915,-0.5160699,-0.17644615,0.5267896,0.30673334,0.22842982,0.053776592,-0.011280099,-0.00018057818,0.0030820016,0.001469921,-0.00039678693,9.437056e-05,-2.83838e-06,1.2993937e-05,7.82483e-06,7.981217e-06,9.910656e-07
C00063,3.986683,11.797339,-3.148335,-1.9696429,-0.7030818,0.31193253,-0.25543138,-0.016111355,0.0596784,0.008138748,0.0065305885,-0.001025781,-0.00041101105,-0.00038045557,2.3504417e-05,-4.5318175e-05,1.2523508e-05,-1.0147206e-06,-3.636398e-06,3.1520733e-07
C00064,-16.770254,2.5476713,5.5247817,1.8202089,0.13265868,-0.7464963,-0.2557967,0.049031157,0.0627215,-0.015772995,0.0025927369,0.0037741035,0.00023993615,0.00044466104,-0.00015644933,-5.32806e-06,1.2381144e-05,-1.3054321e-05,-3.0576819e-06,4.508947e-07
C00065,11.342564,8.05182,-4.7863407,0.61689013,-0.84253174,-0.6829753,-0.08443504,0.1518542,-0.044283006,0.009090274,-0.009966104,-0.00011239183,0.0006975113,0.00048867095,1.0262366e-05,5.5836666e-05,1.2858604e-05,1.0245095e-05,2.0900118e-06,-1.4461353e-09
C00066,-19.966087,-4.483852,1.665693,1.9109049,-1.271858,0.26165733,-0.1165214,-0.17501478,-0.04743906,0.00033842894,-0.0034336606,-0.0035912562,-0.0005278911,-0.0002835392,0.00015831039,4.6598892e-05,1.1901315e-05,4.443035e-06,2.2061126e-06,-7.172567e-07
C00067,21.985226,-12.095232,4.5682745,-2.080116,-0.30880934,0.18115312,-0.21650247,0.15502036,-0.07697054,-0.023190172,0.012180718,-0.0010226521,0.00029440504,-0.00019207284,-0.00014133382,6.556974e-05,1.1974195e-05,9.459333e-06,-5.8628702e-06,-1.0468731e-06
C00068,-13.161237,6.736828,5.573912,0.4536573,0.9911975,-0.5634371,0.07396297,0.17077066,0.020295769,0.025560873,0.006132531,-0.0007799156,-0.0010997299,-4.7061694e-05,0.00015937949,4.3573047e-05,1.26817595e-05,9.158959e-06,5.073883e-06,4.705523e-07
C00069,-20.939312,-10.760825,-3.8669875,-0.084188275,-0.5362873,0.6609783,0.320298,0.19038717,0.032115933,0.0073023024,0.0034159366,0.004382857,0.0013402422,-0.000110137415,-4.390732e-05,-4.291801e-05,1.2516859e-05,1.9702416e-05,4.0996974e-06,-2.3627537e-07
C00070,8.012171,10.2649355,-4.426531,-0.74270403,-0.97490364,-0.27844784,-0.25952658,0.124052025,0.017083561,0.021907223,-0.0039051785,-0.0029195952,0.0010859158,-1.009041e-05,-0.00017426042,2.102333e-05,1.2686826e-05,-1.0745917e-05,5.0948424e-06,9.2721683e-07
C00071,22.079441,-11.292216,4.0836616,-1.3096727,0.041620623,0.48398644,-0.30952552,0.1745397,-0.07448507,-0.015627546,0.0045219325,0.0011569109,-0.0005527629,-0.0005258661,-0.0001905699,4.813776e-05,1.2095743e-05,2.8341938e-06,1.2215145e-06,-7.219553e-07
C00072,-7.772304,10.344603,3.2028542,-1.4965477,0.99167365,0.29436496,0.29150727,-0.019074535,-0.06041676,-0.0007065857,-0.006965518,-0.0017079902,0.0010466428,-0.0001372564,-0.00014623579,-3.7153884e-05,1.2412339e-05,-1.1422908e-05,-4.7085937e-06,-5.690244e-07
C00073,21.839956,-12.700314,4.9177895,-2.730653,-0.6279833,-0.13502161,-0.094016,0.10796295,-0.06261057,-0.024318798,0.015867958,-0.0027781678,0.0010108248,0.00025253627,4.5618594e-06,3.7406437e-05,1.23884765e-05,1.2329815e-05,-6.890427e-06,1.7578722e-06
C00074,-2.8763485,11.944626,0.36367548,-2.4469507,0.3327392,0.7286983,0.115259044,-0.15609564,-0.017436892,-0.025596775,-0.001590933,0.003134565,-0.0001360252,0.00047182737,1.609506e-05,5.508443e-05,1.2246231e-05,2.1273206e-06,4.3972123e-06,3.9537156e-07
C00075,-8.946716,9.743854,3.835989,-1.1333411,1.0807923,0.1166218,0.2862733,0.03297936,-0.05396255,0.009298631,-0.0052290712,-0.00270348,0.0007786863,-0.00032571447,-7.679714e-05,-5.166419e-05,1.3001462e-05,-4.6019945e-06,-4.1504845e-06,6.850811e-07
C00076,7.293904,10.625482,-4.2583756,-1.0033377,-0.9572199,-0.17140906,-0.27678028,0.10428735,0.02931541,0.021680687,-0.0017091918,-0.0030189496,0.00091157167,-0.0001424867,-0.00017246576,4.2071433e-06,1.2958338e-05,-1.2412426e-05,2.8710413e-06,9.613897e-08
C00077,20.984285,-14.259659,5.684071,-4.7895412,-1.753747,-1.5063281,0.58243144,-0.2739048,0.12133429,0.036995053,-0.02374186,0.0046159024,-0.0017867216,-0.0008749784,-0.00026927525,7.1337985e-05,1.2435771e-05,1.0242019e-05,-3.537177e-06,-2.572667e-07
C00078,21.913052,-12.433817,4.765993,-2.4359825,-0.48094228,0.015015252,-0.15459251,0.13300037,-0.071198225,-0.024566008,0.014674121,-0.0020442856,0.00070557557,4.380887e-05,-6.77639e-05,5.3366686e-05,1.2281149e-05,1.108513e-05,-6.0624525e-06,3.020474e-07
C00079,-6.1965337,11.014157,2.306701,-1.9081279,0.81996775,0.4955018,0.26510578,-0.081806995,-0.057414427,-0.013058189,-0.0072857356,8.598178e-05,0.0010019211,0.00015986543,-0.00016350031,-6.5884833e-06,1.2789335e-05,-1.2268984e-05,-2.0904247e-06,9.244569e-08
C00080,17.079994,1.7686062,-3.2486749,2.7269,0.2325295,-0.45298928,0.28158256,-0.07342482,-0.017818144,-0.017962325,0.00815045,0.0009192118,-0.0007047374,-0.00046124306,-5.8439316e-05,-3.815169e-05,1.2595215e-05,-1.5734786e-05,2.7915744e-06,-6.1370844e-07
C00081,-3.0859022,11.904746,0.4853802,-2.4271479,0.36651635,0.7225651,0.12732534,-0.15431152,-0.020817477,-0.025497776,-0.0021082112,0.003029992,-5.0498715e-05,0.00047482154,1.8215991e-06,5.334598e-05,1.2360626e-05,-1.4739587e-07,4.180259e-06,2.1706074e-07
C00082,-0.36558396,12.223587,-1.0502808,-2.52685,-0.079301335,0.70905477,-0.039267275,-0.14542617,0.023986308,-0.019692378,0.004507001,0.0030805834,-0.0009644191,0.00023116164,0.00016058983,3.1299027e-05,1.2832761e-05,1.45199265e-05,1.5395641e-06,7.422663e-07
C00083,18.591385,-0.59437615,-2.1909287,2.8992412,0.61703205,-0.090457015,0.25681466,-0.13390663,0.02775764,-0.008727893,0.0100952815,-0.0014204343,0.00016505361,-0.0003677893,-0.0001668313,2.28847e-05,1.2669488e-05,-2.7751428e-06,3.002904e-06,-4.6171064e-07
C00084,-9.742821,9.2838,4.2397184,-0.8630475,1.1178999,-0.01302611,0.26947653,0.068223156,-0.04532975,0.01565511,-0.0034083948,-0.0030745592,0.00046844583,-0.00040600754,-1.1945082e-05,-4.9285172e-05,1.22203555e-05,2.7382087e-06,-3.5270566e-06,-2.692781e-07
C00085,15.674488,3.651767,-3.9428356,2.3465827,-0.11248085,-0.6666402,0.23101212,0.00023783662,-0.049463,-0.017847437,0.0023183615,0.0023470835,-0.00095506775,-0.0001953934,8.426387e-05,-5.1668012e-05,1.2436417e-05,-5.3710746e-06,-2.096887e-06,-2.755396e-07
C00086,14.142129,5.429147,-4.4423947,1.7918811,-0.438348,-0.7719304,0.1303084,0.074726634,-0.06463784,-0.010687568,-0.0043845796,0.0024625051,-0.0005954218,0.00019865423,0.0001558308,-2.0477779e-05,1.2660984e-05,9.041016e-06,-4.8675465e-06,2.5131442e-07
C00087,22.058338,-11.564767,4.2501326,-1.5603372,-0.068863675,0.3940793,-0.28532025,0.17217863,-0.07734117,-0.018635955,0.007216935,0.00049265294,-0.00029863248,-0.00045711923,-0.00019728519,6.859787e-05,1.25076185e-05,1.3358084e-05,-3.3830117e-06,1.00450805e-07
C00088,-20.920504,-10.186048,-3.318939,0.18019417,-0.7346484,0.714249,0.3108016,0.15455413,0.016329892,0.017349653,0.005139825,0.0044332626,0.0009908008,0.00010179972,-0.00012090326,-5.4374388e-05,1.2315393e-05,1.7411267e-05,1.2122118e-06,1.4173397e-06
C00089,15.325744,4.0798774,-4.078501,2.2303882,-0.19213459,-0.70179,0.21115373,0.018382587,-0.05477825,-0.016741581,0.0007119034,0.0025071823,-0.000920097,-0.0001022651,0.000108326065,-4.6154975e-05,1.2750497e-05,-4.9280757e-06,-3.0457456e-06,8.978548e-07
C00090,22.078537,-11.307415,4.0929885,-1.3233724,0.035676263,0.47928444,-0.30835333,0.17450419,-0.07468416,-0.01580669,0.0046714935,0.0011222315,-0.0005396291,-0.00052601617,-0.00019454422,4.991526e-05,1.2480579e-05,7.88281e-06,3.020552e-07,-1.0523737e-06
