# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,CD3,CD4,CD8A,CD19,CD14,CD56,CD16,CD25,CD27,CD45RA,CD127,HLA-DR,PD1,CD38
CELL0164,309,4957,558,915,230,515,276,4,4945,1144,13,1761,7,7
CELL0165,455,5099,35,524,623,318,441,7,4882,713,8,4101,4,25
CELL0166,2020,464,59,27,923,3273,3,37,147,3,12,108,9,37
CELL0167,333,766,1802,4209,2525,56,743,15,1578,631,12,96,16,15
CELL0168,445,1447,4491,5021,1250,101,1102,10,3027,1928,11,598,4,30
CELL0169,260,1816,3361,1839,2271,16,172,16,120,2708,9,1429,19,9
CELL0170,450,674,1321,2892,1970,23,3291,18,3193,299,14,83,18,25
CELL0171,739,655,218,1721,2292,821,212,19,87,3421,24,685,17,10
CELL0172,134,5142,240,429,1188,680,867,3,1400,3193,15,748,6,7
CELL0173,349,775,1082,2776,4955,107,1394,29,651,166,15,62,11,9
CELL0174,544,944,2890,4518,5022,214,933,10,1895,404,11,566,5,15
CELL0175,716,619,4882,1105,3217,220,326,6,3717,2407,5,268,21,29
CELL0176,178,4,1485,457,592,1368,178,1,342,5023,41,603,12,4
CELL0177,96,383,1563,507,1447,22,37,5,238,4923,36,2620,8,7
CELL0178,410,287,4959,1583,1569,243,264,31,2197,616,26,90,36,18
CELL0179,538,758,1869,2278,1473,33,565,5,175,238,25,236,10,13
CELL0180,251,4935,9,283,386,1659,748,9,1233,1021,10,3064,19,16
CELL0181,3045,1544,3,70,159,1245,5,14,531,3,13,9,21,17
CELL0182,706,339,248,5020,4926,652,3651,10,590,615,15,132,19,7
CELL0183,1251,2010,4983,4894,3684,828,572,26,2862,379,37,2494,13,26
CELL0184,107,260,1714,3147,5009,96,4796,18,588,352,31,1,16,16
CELL0185,2200,313,2384,1835,5011,100,2077,14,1443,625,11,177,7,22
CELL0186,487,470,5097,4972,4817,466,802,14,1169,1224,7,954,11,12
CELL0187,645,4959,15,736,2601,1420,696,7,425,1003,14,728,37,12
CELL0188,231,181,4100,2499,1116,1681,207,7,432,2735,23,4925,8,8
CELL0189,53,743,5029,4818,775,813,564,10,700,551,12,589,13,4
CELL0190,317,565,1368,570,509,110,59,32,179,3618,24,738,3,9
CELL0191,2323,1948,179,46,220,400,157,20,333,49,5,84,13,12
CELL0192,549,1254,2002,1035,1744,1803,708,22,1021,1128,51,379,16,10
CELL0193,2273,1424,213,74,380,1736,333,30,213,78,9,106,12,8
CELL0194,687,1987,1370,1247,4933,734,1806,21,2580,146,57,67,20,8
CELL0195,4957,1408,409,4,488,1254,11,50,490,63,9,2,31,17
CELL0196,5099,457,75,115,246,746,328,15,360,176,27,6,30,12
CELL0197,6,554,1016,1147,807,12,214,16,335,2099,102,2527,13,25
CELL0198,162,731,804,1364,3850,775,3643,8,224,644,12,116,8,25
CELL0199,302,7,1118,5023,2572,23,107,6,419,4867,13,460,49,19
CELL0200,96,8,1053,1165,3554,890,113,27,760,1037,8,1374,14,15
CELL0201,754,331,4967,1384,4902,829,4445,17,597,1124,8,4943,14,2
CELL0202,2165,323,758,83,172,3148,355,19,693,215,13,8,9,26
CELL0203,610,2197,391,5018,4999,960,376,51,879,486,5,68,16,30
CELL0204,380,585,4864,3280,3075,58,1003,25,332,1151,7,667,12,13
CELL0205,208,277,2661,3480,2884,383,4870,22,4460,457,16,99,28,18
CELL0206,3145,349,72,18,28,1049,3,37,5,70,13,2,6,18
CELL0207,2387,628,63,165,352,1265,127,8,328,72,33,117,20,10
CELL0208,674,248,4981,707,1052,393,1207,3,1106,745,49,252,11,13
CELL0209,83,143,2618,1549,2038,405,311,17,441,5008,9,239,64,5
CELL0210,3215,1111,3,42,58,659,5,29,206,2,15,142,20,7
CELL0211,329,1683,572,2669,504,348,98,12,513,2750,9,1481,29,23
CELL0212,27,2,3,1696,1448,20,3,2,573,898,18,2493,12,21
CELL0213,947,374,407,1568,4517,28,984,24,1002,78,5,239,7,17
CELL0214,2563,480,619,1222,4956,309,1012,11,4984,179,9,239,18,7
CELL0215,264,801,1436,1190,1421,11,384,25,313,2362,17,1775,31,30
CELL0216,355,4983,19,1611,131,653,190,5,1566,542,14,707,5,13
CELL0217,2375,4919,419,1344,1400,387,328,7,1510,1285,4,3640,3,7
CELL0218,238,212,1082,4327,5019,917,2311,11,3894,512,6,111,61,11
CELL0219,29,14,1248,200,1320,26,585,5,466,2482,14,1992,38,6
CELL0220,127,183,3297,1309,469,16,189,4,278,1438,31,205,110,15
CELL0221,193,383,1652,861,1634,18,80,16,613,4114,14,1524,21,21
CELL0222,406,1680,1655,2832,3715,30,1388,20,476,884,11,373,9,22
CELL0223,515,542,3818,5055,4506,63,1514,8,287,191,8,99,17,13
CELL0224,948,1539,5002,3146,1632,205,3284,8,799,1726,5,1358,2,7
CELL0225,898,290,1583,3644,2700,1247,1837,5,350,806,11,2171,10,20
CELL0226,174,5,4964,770,1044,489,104,14,40,2888,10,3693,28,4
CELL0227,254,251,1759,3186,4921,80,2288,14,2656,228,6,539,2,16
CELL0228,441,358,5000,2607,4509,430,428,17,1857,965,15,964,14,10
CELL0229,86,522,4917,4975,4904,342,1144,14,961,1203,7,1574,14,9
CELL0230,365,916,766,393,491,324,93,32,182,4923,35,1875,12,7
CELL0231,922,5000,32,186,813,2314,863,0,856,1262,12,1098,16,1
CELL0232,717,1771,883,5090,4916,643,3393,28,1083,46,26,471,18,32
CELL0233,540,89,3987,2805,682,346,917,7,780,1155,50,3111,20,5
CELL0234,477,450,429,3062,5041,1054,4985,48,2183,691,21,69,21,6
CELL0235,52,468,2023,2252,1556,646,281,6,43,512,23,1276,50,15
CELL0236,73,36,545,994,5067,13,85,15,836,5015,35,543,41,4
CELL0237,422,436,1259,840,383,1083,128,25,559,4216,34,1227,12,16
CELL0238,248,490,1133,1124,2582,777,36,29,785,3394,3,653,24,10
CELL0239,890,659,4185,1740,4340,175,719,19,1459,338,10,2115,21,20
CELL0240,866,12,1046,1753,634,1135,508,10,280,2753,47,4419,11,46
CELL0241,717,312,3181,2102,5155,632,2375,25,685,128,46,1281,30,8
CELL0242,1291,5066,631,479,1603,832,141,14,1719,3683,8,2040,3,14
CELL0243,168,487,488,355,358,268,271,17,273,4168,11,735,21,3
CELL0244,475,10,2899,1728,376,636,76,7,218,1998,8,574,12,4
CELL0245,310,387,390,458,2050,844,192,43,121,4385,14,1999,45,9
CELL0246,184,820,1844,1167,4587,49,1022,21,1867,91,6,122,9,42
CELL0247,541,506,2661,2233,4890,23,1096,18,824,395,9,125,11,13
CELL0248,739,533,4637,1094,4958,2505,634,9,1947,882,10,2551,20,8
CELL0249,731,288,331,1786,759,737,106,16,452,5024,5,465,15,9
CELL0250,272,4894,1,536,652,1074,428,6,844,1808,30,926,12,10
CELL0251,621,33,2028,1317,4902,120,1537,6,580,608,15,513,24,3
CELL0252,307,589,6,0,527,661,9,23,57,5,14,11,18,13
CELL0253,1058,157,752,2453,4251,110,2616,64,3426,125,29,455,20,47
CELL0254,533,1161,5076,2980,1093,1245,12,15,1235,1236,11,1238,23,37
CELL0255,309,1245,2123,1051,3798,65,4282,40,1552,112,12,50,11,11
CELL0256,279,1225,2094,1196,1914,22,22,15,640,3536,9,594,83,8
CELL0257,393,441,1462,1647,742,1145,120,1,294,1618,22,726,32,8
CELL0258,5009,1485,33,62,126,5073,3,30,463,6,3,18,32,13
CELL0259,117,297,260,1355,583,1441,167,22,670,1842,8,948,27,24
CELL0260,674,2009,134,214,353,1167,12,27,1471,41,6,175,59,35
CELL0261,1561,948,5012,3290,2542,377,919,30,1779,332,12,346,8,9
CELL0262,1842,460,5,59,188,1483,65,34,430,7,2,5,12,21
CELL0263,308,5049,573,252,174,1038,716,19,1994,1390,10,2200,6,4
CELL0264,1754,260,2823,2022,3119,514,3220,6,1168,585,13,291,8,10
CELL0265,169,168,2469,2869,1305,356,84,23,832,5011,5,2520,10,6
CELL0266,128,755,4992,3325,2277,546,304,12,382,873,24,611,7,18
CELL0267,379,196,4170,518,3958,804,318,3,535,995,9,240,7,15
CELL0268,391,1098,4924,2289,2789,259,241,6,348,642,19,377,13,31
CELL0269,201,2226,2143,1214,782,34,191,20,63,2383,60,18,22,9
CELL0270,600,13,4885,1046,2433,2856,614,4,1914,512,17,365,11,27
CELL0271,129,2282,5094,923,1550,1107,666,37,1010,1152,29,433,19,40
CELL0272,217,1775,3230,5029,3587,94,2104,41,1676,190,8,84,6,18
CELL0273,347,37,1408,3027,698,10,213,10,377,4967,22,1084,6,21
CELL0274,4287,247,157,59,379,316,4,11,5,6,10,97,19,35
CELL0275,2168,2521,4,8,380,769,106,78,700,251,16,4,1,13
CELL0276,400,324,1086,2523,2349,1748,1207,25,1577,309,14,703,7,24
CELL0277,177,368,5003,1823,494,712,168,3,432,5102,22,626,30,28
CELL0278,474,4172,13,505,1101,2240,234,16,1086,1679,1,2097,1,15
CELL0279,206,573,944,4143,5013,128,2387,15,4623,417,12,512,22,31
CELL0280,1067,1175,4381,5095,2370,261,285,13,364,790,41,1718,19,26
CELL0281,194,6,2394,862,1007,949,118,21,107,3155,6,1999,14,8
CELL0282,2467,790,1103,5036,4868,22,2007,16,931,246,13,106,52,4
CELL0283,515,606,1017,3260,4916,1022,1023,11,1068,44,49,888,12,21
CELL0284,187,526,1486,2336,4169,998,164,7,455,3051,6,369,15,5
CELL0285,406,1077,353,1424,5058,25,1893,13,1552,449,8,636,4,9
CELL0286,289,1259,1995,3718,4429,957,4992,18,500,96,29,458,39,35
CELL0287,824,2261,4918,1454,220,264,593,28,252,366,12,368,8,8
CELL0288,5,293,2114,1213,1562,369,129,53,357,1948,20,933,38,20
CELL0289,720,1388,4957,1767,2492,593,2059,28,879,613,24,586,16,13
CELL0290,312,12,961,4966,2271,2916,987,21,2881,249,56,30,15,27
CELL0291,64,243,1194,923,2840,14,360,18,189,2907,32,825,32,18
CELL0292,672,5016,798,335,231,4793,1300,10,2755,1859,5,4145,27,7
CELL0293,2226,3882,1917,1599,4171,754,1208,4,1181,90,10,356,8,15
CELL0294,182,412,1662,568,352,96,260,13,44,2316,23,844,65,11
CELL0295,568,314,4978,1645,1310,547,2023,11,386,1085,26,782,9,26
CELL0296,600,59,1308,4605,4994,401,4994,21,1851,254,27,347,24,19
CELL0297,97,1054,4521,2035,4943,245,19,12,628,760,55,599,20,8
CELL0298,614,261,780,1095,1842,453,263,23,592,4971,9,1831,23,17
CELL0299,208,1039,2746,727,2177,221,322,9,182,2043,9,900,34,13
CELL0300,211,47,1103,1558,2478,31,38,8,1012,3083,24,2076,23,23
CELL0301,2509,2478,9,50,293,1333,3,78,883,4,35,29,12,16
CELL0302,1037,1439,2698,2662,4978,284,1588,14,824,592,24,641,31,38
CELL0303,73,8,4901,1122,831,174,300,20,1437,3237,10,947,22,10
CELL0304,1024,725,3090,5042,5036,2297,3222,24,1463,132,14,346,10,4
CELL0305,257,168,5160,818,1829,10,305,9,514,3226,28,1066,32,25
CELL0306,306,879,2044,1906,4978,570,3989,15,1012,91,18,191,26,9
CELL0307,4814,663,73,187,384,786,2,24,89,9,1,126,19,10
CELL0308,196,1479,2195,2669,3739,180,51,8,2329,1832,5,1115,32,19
CELL0309,3420,4510,59,45,775,863,7,41,472,12,10,189,14,8
CELL0310,268,3,1665,758,1278,22,160,38,4,2961,5,559,39,5
CELL0311,593,779,5059,966,4484,328,137,5,2533,798,26,1793,9,44
CELL0312,538,1241,4965,2080,2714,833,959,6,2812,670,19,781,17,11
CELL0313,2890,1358,44,31,240,1199,92,27,199,70,16,29,38,13
CELL0314,169,374,1141,1906,1738,2630,3373,12,2196,392,11,995,14,14
CELL0315,533,504,4926,4484,2043,161,157,13,828,562,21,209,4,0
CELL0316,369,1030,1620,2069,2898,13,104,16,79,4962,16,476,22,18
CELL0317,135,935,711,4939,1895,255,109,11,1049,5014,16,637,17,7
CELL0318,1758,582,312,1,383,4996,3,25,167,105,7,244,6,26
CELL0319,561,677,5111,1585,5057,492,817,20,1081,1878,17,717,19,8
CELL0320,637,750,5079,1777,2750,348,286,11,916,1004,4,961,20,7
CELL0321,311,5049,19,152,1852,2582,1399,7,1078,1051,5,879,5,14
CELL0322,119,1350,2041,3015,1084,9,162,13,457,3994,36,1632,25,15
CELL0323,376,363,1243,4985,2500,72,1588,25,1311,126,5,509,21,11
CELL0324,173,3,603,4920,321,22,210,7,352,3749,25,1252,35,13
CELL0325,744,4332,191,109,2443,519,468,18,1296,4867,14,3362,13,14
CELL0326,2079,781,5020,929,2252,257,2034,20,491,475,19,149,12,5
CELL0327,253,1162,4996,2862,2290,185,592,43,2971,3307,11,395,9,25
CELL0328,1096,3913,578,719,939,373,910,5,440,2467,10,488,28,10
CELL0329,273,3679,5019,4548,1535,471,286,17,1205,1265,10,907,30,12
CELL0330,1702,2322,1620,5055,2577,818,5037,30,1096,357,5,368,41,7
CELL0331,1673,362,1639,3239,1623,26,289,3,1023,140,25,65,13,14
CELL0332,291,5050,17,623,190,1371,754,8,1441,1993,14,979,8,9
CELL0333,206,1530,1863,2822,4985,1677,1168,20,2552,64,16,114,4,16
CELL0334,204,14,1844,3645,201,481,132,6,425,5101,34,2778,35,15
CELL0335,47,14,1349,1456,4953,34,5022,21,367,438,8,375,7,17
CELL0336,1122,1648,5163,4155,4072,2077,1802,12,757,701,64,373,7,27
CELL0337,159,641,4344,2516,450,318,1108,41,217,852,31,521,58,25
CELL0338,278,551,2252,844,749,24,157,17,97,2921,8,1873,13,7
CELL0339,443,6,1890,1016,507,40,2,5,104,1052,11,10,5,35
CELL0340,2078,1799,7,41,278,1796,4,24,103,109,8,2,4,20
CELL0341,348,229,1102,2508,1143,39,197,14,777,3243,34,2825,15,9
CELL0342,253,673,1837,2193,590,1659,111,22,400,2103,4,546,23,1
CELL0343,1317,2196,3791,4870,4974,36,4151,7,2667,549,16,355,59,16
CELL0344,201,245,647,685,1588,483,4,12,245,2250,12,1584,16,8
CELL0345,1120,662,689,5075,4965,1684,1990,18,2270,345,4,138,14,18
CELL0346,314,626,1227,10,3531,1414,348,16,464,2703,27,682,23,6
CELL0347,5019,562,61,45,483,642,3,24,281,5,7,24,29,27
CELL0348,56,240,913,2670,380,18,73,8,720,3560,51,2173,17,9
CELL0349,530,1161,341,25,545,3144,6,28,333,160,17,4,11,40
CELL0350,168,396,5110,1536,2915,613,496,9,326,1455,12,711,13,5
CELL0351,164,593,4594,2547,3136,523,572,9,605,912,27,368,13,13
CELL0352,164,5100,10,127,307,470,801,6,475,1775,7,1997,15,36
CELL0353,706,687,636,1501,2020,53,2098,3,1264,114,59,294,11,19
CELL0354,231,1033,1670,1031,939,509,451,7,526,5056,18,1228,20,8
CELL0355,270,341,5019,999,5066,869,987,21,1884,1842,18,379,11,11
CELL0356,43,1552,1091,5099,1606,248,126,11,380,5050,30,1797,41,3
CELL0357,663,1777,2600,1142,802,1225,141,10,819,2442,29,533,15,9
CELL0358,5101,1805,3,32,436,3240,5,23,102,81,10,2,8,10
CELL0359,216,4,799,3267,1401,6,77,18,1338,1421,30,2064,7,12
CELL0360,64,17,1542,575,903,10,369,19,299,1926,34,1628,18,14
CELL0361,1264,2171,3129,5055,5010,71,428,5,527,187,2,2162,8,11
