# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0010,7,8,2,1,5,1,0,12,3,2,2,2,15,0,20,1,1,7,0,6,25,5,3,2,3,3,1,3,0,3,9,3,2,0,3,0,0,5,5,4,6,0,4,2,2,5,14,16,1,0,3,1,3,2,16,5,0,0,9,9,25,16,30,10,8,9,11,0,1,8,2,18,1,2,5,0,24,12,3,10
CELL0011,0,1,0,4,20,0,6,4,3,3,2,3,15,1,6,7,0,2,1,1,2,1,5,11,1,11,6,0,4,1,0,0,12,0,1,6,49,8,3,1,3,1,0,3,2,0,1,2,1,2,1,0,0,4,4,0,0,5,1,0,7,4,6,6,2,0,1,2,0,3,0,0,2,2,1,0,5,8,2,0
CELL0012,2,6,17,8,16,4,3,3,4,14,2,5,4,5,3,6,0,0,3,7,2,1,16,11,1,5,5,1,2,0,9,4,1,1,1,0,0,6,6,1,9,1,11,1,1,0,1,13,4,4,0,8,6,19,4,2,19,1,1,4,58,7,6,1,13,16,9,1,4,5,1,53,1,1,2,38,0,2,3,6
CELL0013,0,4,5,8,2,1,4,1,7,3,10,2,9,2,6,0,16,5,2,17,0,2,3,2,3,0,20,1,0,8,0,1,0,0,0,3,2,0,1,0,1,2,0,8,7,0,3,1,1,7,22,1,3,2,3,1,10,2,1,8,3,3,4,3,7,8,8,5,4,2,1,0,2,17,14,3,3,4,0,13
CELL0014,3,1,8,12,10,2,6,2,13,3,8,10,13,2,9,1,12,12,10,20,5,0,7,4,4,2,27,6,4,12,0,3,1,2,9,2,0,3,1,1,1,3,4,38,3,0,4,5,0,13,31,1,5,9,3,1,19,4,0,11,5,3,4,9,6,12,14,6,2,3,1,0,5,17,23,3,3,6,5,19
CELL0015,4,2,9,13,37,0,15,4,14,7,8,5,40,3,17,6,0,2,2,0,6,10,11,33,0,16,13,1,16,0,1,1,27,2,1,19,123,6,0,2,7,5,5,1,7,0,3,6,9,6,5,1,0,9,3,10,5,7,1,2,17,9,6,13,2,1,3,3,0,3,1,0,19,6,1,0,2,18,1,0
CELL0016,9,16,2,1,10,7,0,18,2,1,0,1,8,2,27,3,1,1,1,4,29,9,4,1,2,2,1,1,0,5,13,1,5,1,3,0,1,4,5,7,12,0,1,9,0,12,14,9,3,1,3,1,10,5,27,2,3,2,15,9,20,17,30,16,16,9,17,2,2,7,3,8,2,1,1,2,14,24,4,12
CELL0017,8,22,2,2,10,9,1,16,3,0,2,1,16,3,41,3,1,7,6,14,51,17,1,1,4,4,2,4,0,3,14,0,4,1,5,0,4,5,4,7,12,1,0,11,2,18,13,30,2,2,5,4,20,9,25,6,0,1,13,13,27,22,54,22,30,15,23,1,10,5,7,13,1,1,2,2,30,19,4,14
CELL0018,3,2,5,3,5,0,3,1,6,7,4,5,8,1,6,1,16,9,3,22,1,1,5,4,5,4,19,4,4,8,0,1,0,2,5,6,0,2,0,1,0,1,4,22,2,2,5,3,1,7,24,0,3,7,3,4,13,3,1,20,4,1,6,3,8,5,16,4,1,2,2,0,2,13,24,4,1,1,1,18
CELL0019,4,12,2,2,8,6,0,18,0,0,0,1,5,3,28,2,2,1,2,8,25,11,3,0,4,2,0,2,0,2,12,0,3,1,0,0,0,1,3,4,6,3,2,4,1,5,13,21,1,0,3,2,7,3,19,3,0,0,7,9,19,21,25,10,11,6,10,2,2,1,7,8,4,1,5,0,18,10,1,5
CELL0020,3,2,2,9,4,1,5,1,7,6,13,3,9,1,10,2,22,2,10,20,2,1,7,4,5,3,19,4,3,12,0,2,0,2,4,2,2,4,0,1,3,3,6,35,6,1,3,1,2,11,28,3,1,6,3,3,11,7,0,14,5,1,5,7,3,8,16,6,2,4,3,1,4,15,29,3,5,5,6,14
CELL0021,4,0,9,4,5,0,3,1,2,8,11,1,7,0,7,1,11,4,3,13,3,1,3,4,5,2,20,6,5,13,0,3,1,2,2,2,0,2,1,2,3,0,5,30,4,2,4,0,0,10,31,3,2,4,1,1,10,3,0,18,1,5,5,7,3,2,13,4,1,3,2,0,2,22,28,3,3,4,4,21
CELL0022,1,1,12,4,7,2,4,0,6,10,10,6,19,2,8,0,20,10,11,25,6,1,7,5,2,3,23,6,7,15,0,2,2,1,3,3,1,2,0,0,2,1,6,29,3,2,2,4,1,8,37,2,3,6,2,1,20,0,0,21,7,4,10,8,3,6,12,4,4,2,8,0,4,21,29,7,3,6,2,21
CELL0023,2,1,7,4,6,0,2,3,8,5,6,7,20,0,5,0,24,11,13,24,5,1,8,6,9,4,40,2,5,14,0,5,1,4,10,3,2,2,0,7,1,1,6,27,5,4,2,6,1,14,26,0,3,6,6,2,19,3,0,16,5,6,12,3,6,8,13,7,3,4,4,1,3,25,24,6,2,5,4,25
CELL0024,4,3,19,19,9,4,1,2,6,22,7,4,3,6,11,1,2,4,1,6,6,1,14,5,0,5,6,1,2,2,10,4,2,2,0,2,1,6,6,0,6,1,10,2,0,2,2,4,3,10,4,7,4,16,1,2,22,2,0,2,50,5,11,3,14,20,13,3,5,3,1,51,0,2,9,35,0,2,1,2
CELL0025,7,7,9,23,62,0,22,5,13,13,13,7,54,5,22,8,5,6,4,0,6,11,17,37,2,17,17,0,25,10,0,0,37,1,4,24,186,13,5,7,16,5,4,2,20,1,1,6,12,5,10,1,2,13,9,4,5,18,4,2,13,7,26,17,1,5,5,8,0,2,2,1,10,7,1,1,6,23,10,2
CELL0026,6,2,11,30,13,2,3,6,9,19,3,1,0,13,3,7,1,2,1,7,3,2,18,14,0,13,8,3,2,1,8,4,5,0,0,1,3,7,3,0,10,3,19,2,1,1,0,16,4,6,1,6,8,23,0,2,19,2,0,8,68,4,17,2,25,12,20,3,5,2,1,64,1,2,7,42,1,5,5,12
CELL0027,3,1,4,11,4,0,3,1,1,9,7,2,10,0,7,0,21,10,9,18,3,0,6,2,5,3,30,2,4,9,0,4,1,1,3,7,3,3,0,3,2,2,0,10,3,4,1,1,1,10,20,0,1,5,2,0,7,1,1,12,4,2,1,5,6,10,12,5,2,7,2,0,2,15,12,4,2,3,0,18
CELL0028,1,0,1,7,4,0,2,1,3,4,3,6,5,1,2,1,8,4,3,15,1,0,3,6,0,3,27,0,1,6,0,2,0,1,5,3,0,1,0,1,1,1,2,18,0,1,2,1,0,6,11,0,2,5,2,0,9,1,0,10,2,1,7,2,2,5,5,1,3,2,1,0,3,10,13,1,1,3,2,8
CELL0029,21,21,5,12,5,24,5,0,22,8,0,7,3,4,1,2,7,2,17,2,1,1,1,10,1,1,13,32,2,46,3,12,7,4,1,3,3,4,3,3,21,14,1,2,3,6,4,16,2,28,26,23,8,4,2,1,8,3,14,11,1,9,3,2,9,0,1,3,11,0,17,21,0,1,4,23,0,14,7,5
CELL0030,1,0,17,14,14,3,3,2,3,12,4,3,1,5,0,4,0,4,3,9,3,3,13,6,1,3,1,1,5,3,4,2,6,1,2,2,4,3,3,0,4,1,20,0,2,5,0,10,2,7,3,5,5,12,2,1,13,1,0,3,53,1,8,0,20,8,16,1,7,5,1,47,1,1,6,37,1,1,0,4
CELL0031,5,1,6,8,5,0,4,2,5,6,4,5,12,0,1,3,12,1,7,16,4,1,7,5,4,3,19,3,6,8,0,3,0,3,7,2,0,2,0,0,2,2,9,24,2,3,0,1,0,14,24,4,6,2,3,1,9,5,2,9,3,2,9,5,5,5,11,5,2,2,4,1,3,20,14,8,1,3,0,16
CELL0032,2,2,19,30,13,12,4,9,6,25,4,11,4,9,4,8,1,5,1,10,2,3,22,8,4,11,9,4,5,2,8,7,5,4,1,4,4,5,1,0,9,3,17,1,2,3,0,19,3,14,4,5,7,22,3,4,26,3,0,7,103,7,19,1,34,31,17,3,6,8,7,85,0,5,10,62,2,2,4,7
CELL0033,4,12,3,2,6,3,0,11,5,0,0,0,10,2,35,4,2,2,0,4,38,11,4,1,4,3,1,1,1,2,12,1,7,1,3,2,2,3,10,2,10,0,4,6,0,4,20,14,3,1,0,2,13,17,26,5,2,1,11,5,16,16,35,10,18,10,19,1,3,9,9,10,1,0,6,0,24,13,5,7
CELL0034,2,4,3,6,4,0,1,1,7,12,8,3,9,0,7,0,15,3,4,20,6,0,7,6,1,1,17,1,2,9,0,3,0,4,6,1,4,1,0,0,2,2,4,20,4,2,0,4,0,6,16,1,3,4,3,1,10,1,0,7,1,4,4,0,0,6,12,3,2,0,8,1,5,16,23,9,3,7,0,16
CELL0035,8,1,8,6,8,2,3,2,10,12,14,2,13,3,13,1,27,9,12,17,5,0,10,9,2,5,34,4,6,24,0,5,1,6,6,11,5,4,0,0,1,3,4,43,6,3,4,11,1,17,36,0,4,6,4,2,17,4,0,21,6,3,10,10,4,7,21,8,5,1,10,1,1,33,31,11,0,6,4,28
CELL0036,14,7,0,7,1,13,4,0,13,3,1,3,0,1,0,2,4,1,8,0,0,0,0,7,3,1,12,13,0,26,1,3,5,2,1,1,3,0,3,2,15,6,1,0,2,1,4,8,1,12,12,7,5,3,0,1,3,1,11,2,0,5,0,2,4,1,3,0,7,0,4,13,2,1,3,9,0,10,2,1
CELL0037,6,1,4,10,5,1,2,1,8,9,9,6,17,2,11,1,11,15,5,16,5,2,15,10,7,3,27,3,6,12,0,5,1,3,10,4,1,3,1,2,3,4,6,38,1,5,3,4,0,15,32,2,4,10,2,1,23,1,1,13,3,0,7,7,3,6,23,4,3,5,8,2,6,26,35,2,0,1,1,22
CELL0038,6,2,4,9,40,0,6,0,5,6,6,1,33,9,13,5,1,2,0,0,1,1,13,14,0,11,12,0,17,1,0,1,26,1,0,21,69,7,3,0,7,6,2,0,8,1,1,0,6,1,3,0,1,6,7,2,3,5,1,0,9,7,12,7,0,5,3,4,0,5,2,0,6,3,1,0,2,11,3,0
CELL0039,3,3,20,17,14,7,4,6,8,17,5,6,3,6,1,4,0,4,1,17,4,3,24,13,1,11,5,6,5,2,11,6,4,3,1,2,3,2,2,1,5,4,19,1,2,3,0,7,1,9,0,14,7,22,0,2,13,2,0,2,86,3,10,1,23,29,14,1,11,7,5,59,0,3,9,53,0,3,3,4
CELL0040,31,20,0,8,4,15,7,0,16,7,1,7,2,0,4,1,4,3,11,1,0,1,1,10,3,1,13,23,1,35,6,13,2,3,3,1,1,2,2,2,20,19,2,0,5,1,5,13,1,13,22,24,9,2,2,0,2,6,16,6,2,6,0,2,8,0,4,1,12,1,15,15,1,2,6,11,2,15,4,1
CELL0041,8,5,22,37,21,5,6,3,10,26,4,9,6,11,7,6,1,6,4,20,7,2,28,16,4,15,13,0,6,1,10,2,7,3,0,5,2,7,7,0,10,3,25,0,2,4,1,9,7,10,2,17,6,26,3,11,27,1,0,6,103,13,21,0,39,29,28,1,4,6,4,84,0,3,11,61,0,2,4,15
CELL0042,4,10,0,7,6,1,0,10,2,1,0,0,7,2,18,0,0,3,2,8,28,4,2,1,4,5,0,1,1,1,7,1,3,0,3,0,3,2,2,4,10,0,1,3,2,6,17,7,1,1,2,3,6,5,17,3,2,1,7,7,22,14,18,11,15,3,13,0,0,6,5,10,1,1,6,1,14,19,3,7
CELL0043,2,3,4,16,28,1,3,2,5,11,5,3,52,4,18,5,1,2,3,0,3,6,5,24,1,11,12,0,17,2,1,0,28,0,2,18,87,7,5,1,6,4,1,1,11,0,4,4,4,4,2,0,2,3,4,4,6,7,4,3,14,3,11,10,2,4,3,6,0,5,1,0,14,8,2,1,5,8,2,0
CELL0044,5,12,1,0,9,6,0,10,3,1,0,1,16,2,30,0,3,3,2,8,39,5,2,0,0,1,0,0,1,1,4,1,4,1,3,0,2,2,2,3,4,2,1,6,0,7,11,16,1,1,2,3,6,6,14,3,0,0,8,7,17,7,25,8,17,15,8,1,4,7,2,27,4,0,4,1,14,11,2,4
CELL0045,7,4,15,26,53,3,16,1,11,17,4,9,54,12,36,6,2,8,2,3,1,7,18,38,1,26,15,0,28,2,1,2,62,1,3,27,176,15,10,4,20,15,5,6,12,1,2,7,12,6,10,3,7,18,11,7,3,14,9,5,20,8,23,18,4,6,5,3,1,2,7,0,17,9,2,0,7,31,2,3
CELL0046,7,3,6,15,9,1,2,1,13,7,16,6,17,2,18,0,25,10,9,18,5,3,19,11,6,3,33,8,7,16,0,3,3,4,11,2,1,3,0,1,3,0,8,37,4,1,3,7,2,16,36,0,3,13,6,2,25,3,0,32,8,3,9,10,5,16,28,9,1,3,6,0,5,26,34,11,6,3,4,23
CELL0047,2,8,0,3,11,2,2,13,1,2,0,0,14,1,36,1,1,3,3,9,42,6,1,2,3,1,2,2,1,1,9,1,2,0,2,0,0,3,3,6,9,1,4,3,3,11,15,20,1,0,3,3,6,4,20,5,0,1,9,3,16,14,18,16,16,8,11,1,4,6,3,11,2,1,6,0,14,7,4,10
CELL0048,0,0,2,1,11,1,1,0,3,4,5,1,8,1,2,1,8,7,5,14,5,1,6,3,3,3,15,1,2,9,0,2,0,0,4,2,0,1,0,0,2,2,4,15,1,4,2,5,1,6,11,0,0,7,1,0,8,0,0,3,2,2,7,4,2,3,11,5,2,2,5,0,1,12,7,3,2,3,0,9
CELL0049,32,27,1,12,8,13,7,0,16,6,2,6,1,3,1,2,8,2,12,0,0,0,0,8,1,0,17,24,2,43,2,10,4,1,0,6,0,5,7,1,23,9,0,0,0,4,3,9,0,15,20,10,5,0,0,1,4,4,19,8,1,17,0,2,3,0,1,0,11,0,6,26,0,0,3,16,0,13,4,4
CELL0050,7,4,4,16,22,3,8,2,6,3,7,2,35,8,15,4,0,4,3,0,3,4,11,24,0,3,11,0,20,4,0,1,28,2,0,11,103,7,0,1,5,8,2,4,8,0,1,4,6,4,3,0,2,7,5,3,3,5,3,3,8,7,18,8,5,5,1,6,0,5,3,0,10,5,1,0,4,9,3,1
CELL0051,2,2,6,0,7,0,1,1,3,5,6,5,11,0,10,1,16,6,7,22,5,2,7,8,9,1,26,1,4,4,1,1,1,3,6,3,1,3,1,1,2,2,1,20,1,1,0,1,0,5,25,1,3,9,1,2,13,1,2,15,3,1,3,5,3,4,12,2,3,0,3,3,2,14,15,1,2,1,3,19
CELL0052,12,11,3,1,16,1,0,20,3,2,0,2,11,2,40,4,2,3,3,14,34,16,2,0,1,4,1,0,0,1,8,2,7,1,2,2,2,3,3,5,9,1,1,6,1,11,17,15,5,1,2,0,19,9,30,6,4,0,17,7,28,22,32,13,21,12,14,4,7,8,9,12,1,0,7,1,22,14,3,4
CELL0053,16,23,5,1,14,8,0,18,7,2,0,1,20,4,29,5,1,2,3,11,51,16,2,1,3,1,1,1,0,8,11,0,7,0,5,1,1,3,5,9,11,1,2,8,2,11,26,20,2,3,7,2,17,11,29,11,2,1,14,8,28,18,51,19,31,15,14,0,8,12,10,17,5,0,3,0,29,29,3,15
CELL0054,3,1,9,7,6,1,1,2,7,10,1,5,13,0,8,2,10,9,8,18,5,0,6,6,3,10,24,4,4,14,0,2,0,5,7,5,2,0,0,0,1,2,1,32,4,1,8,8,1,15,31,2,6,6,2,3,15,2,1,18,5,1,8,8,9,7,23,5,3,2,3,0,4,19,19,5,2,2,5,17
CELL0055,2,4,0,3,6,2,1,15,2,0,0,1,10,0,14,2,1,1,3,8,27,6,0,0,1,1,0,1,0,0,4,0,2,1,1,0,0,0,6,1,5,2,1,1,0,2,5,13,0,0,2,2,7,6,13,5,1,2,13,2,13,10,25,5,16,7,7,0,1,9,3,9,1,1,2,0,8,4,4,5
CELL0056,3,2,17,33,17,7,4,5,6,25,2,10,3,10,11,7,1,2,9,13,5,1,18,12,2,12,13,3,5,2,11,2,6,2,2,2,5,7,5,1,10,6,31,2,1,4,0,10,4,12,0,14,10,36,2,3,22,2,2,8,99,15,20,1,38,26,26,0,7,7,4,75,2,4,8,67,1,2,5,8
CELL0057,8,5,24,29,19,8,6,3,12,24,5,7,4,12,3,5,2,3,3,16,5,4,25,10,3,18,4,3,5,1,11,4,5,4,2,1,4,10,5,0,18,1,43,0,0,6,0,13,6,24,2,13,5,22,3,2,24,3,1,12,111,9,17,1,46,27,20,2,14,5,4,84,2,1,7,65,2,4,4,19
CELL0058,3,3,14,26,12,3,1,2,7,9,6,1,0,5,3,4,1,3,4,13,5,0,18,4,0,10,8,8,5,4,9,2,2,1,0,1,4,2,4,0,9,1,12,0,0,2,1,4,7,1,4,14,11,18,1,2,18,2,0,9,67,3,8,0,21,20,16,2,6,8,4,49,1,3,8,41,1,0,2,5
CELL0059,7,12,3,1,6,2,0,19,1,0,0,0,10,0,27,0,2,2,3,3,30,11,2,0,2,3,2,0,0,2,9,1,4,0,1,1,1,3,4,5,6,1,3,5,0,11,13,14,3,1,3,5,4,7,18,3,0,2,10,5,17,5,18,12,8,9,11,0,3,2,2,8,2,1,6,0,15,11,4,11
CELL0060,3,2,3,5,9,1,4,3,5,7,6,8,7,1,4,1,16,9,8,12,6,0,4,6,4,1,31,2,5,10,0,3,0,3,6,3,1,4,1,2,1,2,3,28,3,2,2,1,1,11,20,1,1,9,2,2,14,3,1,16,4,3,6,10,3,4,21,9,1,1,4,0,3,25,17,5,2,8,4,30
CELL0061,1,2,6,4,7,2,4,2,3,10,5,5,6,2,9,2,21,5,6,14,2,1,9,3,5,3,23,5,2,12,0,1,0,3,7,2,1,2,1,0,2,2,4,33,5,0,1,5,2,7,24,1,2,4,3,2,12,1,1,17,4,3,8,2,3,3,12,4,2,4,4,1,4,21,16,6,2,4,0,13
CELL0062,1,1,1,7,9,0,3,1,5,6,9,7,5,2,7,1,12,7,10,9,2,1,6,5,5,1,27,4,2,12,0,2,2,0,3,1,1,2,0,0,2,2,3,33,1,2,2,6,0,8,33,2,5,3,4,2,19,1,0,21,2,1,3,2,2,4,16,4,2,3,5,0,1,18,15,5,0,3,3,19
CELL0063,3,3,5,5,7,0,1,1,5,9,11,2,15,0,4,1,11,4,7,14,5,0,6,6,3,1,25,4,3,11,1,4,0,1,2,5,4,1,1,0,1,1,1,19,2,1,2,3,1,8,17,1,2,4,2,1,6,3,0,9,4,2,0,3,1,7,7,5,2,1,4,1,2,17,14,2,0,1,1,11
CELL0064,28,25,0,5,5,16,7,0,17,6,3,3,1,0,2,1,9,2,10,2,2,2,3,7,1,3,11,22,1,27,3,12,7,3,1,2,4,9,0,1,18,11,1,0,4,1,3,6,0,20,21,19,4,2,0,2,7,3,5,4,1,5,3,0,6,1,3,0,7,1,11,18,0,3,6,16,1,13,4,4
CELL0065,5,2,17,22,15,6,4,5,7,14,3,5,1,9,2,13,0,5,3,7,7,4,22,4,4,8,6,4,4,1,5,5,5,3,0,1,4,8,6,0,9,4,22,2,0,2,1,11,4,7,1,11,1,13,4,0,11,4,1,6,89,4,15,0,25,22,15,1,12,3,1,54,0,1,6,48,1,0,1,7
CELL0066,4,2,11,16,16,4,1,4,4,17,3,1,2,5,4,2,0,4,2,10,3,2,17,7,0,8,4,1,5,0,7,2,3,4,1,2,2,3,1,1,8,1,17,1,0,5,0,7,6,10,0,7,8,19,2,6,13,0,2,6,68,10,12,1,19,17,13,2,3,1,2,46,0,2,9,31,1,1,3,3
CELL0067,5,18,0,1,5,5,0,11,3,0,2,1,12,0,22,2,2,2,2,13,39,9,1,2,5,3,0,2,1,3,4,3,3,1,4,1,2,1,3,3,9,0,4,5,1,3,16,21,2,0,4,3,6,6,15,4,0,1,8,8,23,12,26,10,17,10,15,3,2,4,6,15,0,2,1,1,11,20,6,9
CELL0068,2,0,12,18,42,0,7,1,7,10,5,1,38,9,15,3,5,4,2,0,3,3,19,23,0,21,17,0,13,5,0,1,28,1,1,20,129,11,4,1,14,7,3,6,10,1,1,6,9,4,5,3,1,8,7,3,3,6,5,7,12,10,14,13,5,3,3,5,0,3,2,0,8,3,0,0,5,21,4,3
CELL0069,17,14,0,6,1,15,8,0,15,6,1,4,1,1,2,0,6,1,2,0,0,1,1,5,1,1,13,19,0,20,3,8,1,5,0,5,3,2,2,0,19,8,2,1,1,5,2,4,1,11,9,11,8,4,1,0,2,0,10,4,0,7,2,0,10,0,0,1,5,1,9,19,2,1,0,13,0,4,3,3
CELL0070,4,3,11,8,7,1,2,2,8,6,9,3,14,1,7,2,18,7,9,16,4,0,4,6,6,8,29,6,5,3,1,3,1,1,7,2,1,2,2,3,3,4,4,24,5,1,9,5,0,8,25,1,3,7,4,0,16,0,0,19,3,1,5,9,3,7,19,7,2,4,2,1,3,23,20,6,4,4,2,22
CELL0071,5,9,1,3,5,4,2,18,2,1,0,0,7,0,26,4,1,0,3,4,25,9,0,0,5,1,0,0,0,6,7,0,4,0,2,0,0,4,4,7,8,0,3,5,1,8,12,13,0,1,2,0,6,2,12,4,0,1,7,4,14,11,33,9,15,9,12,0,1,8,3,10,3,0,1,1,20,8,2,12
CELL0072,28,20,2,10,6,10,4,0,17,12,0,2,1,2,2,3,5,1,13,2,2,1,0,5,3,3,15,23,0,24,2,4,0,6,1,2,1,1,5,1,17,16,1,1,5,1,6,6,0,9,13,11,6,2,0,0,3,1,12,7,1,8,1,0,6,0,3,2,4,0,9,14,0,1,0,12,2,13,2,0
CELL0073,2,2,3,1,1,1,2,2,4,4,3,3,9,1,5,0,9,3,3,13,1,1,4,3,1,1,16,2,6,6,1,3,0,2,2,3,1,1,0,1,2,2,0,20,2,0,1,2,1,9,14,2,2,2,2,1,7,0,0,6,5,0,1,2,4,6,9,4,2,2,3,0,2,13,10,5,1,1,2,13
CELL0074,17,10,1,9,3,9,5,0,13,6,2,8,4,0,0,1,5,3,12,1,2,1,0,8,4,0,16,25,2,31,2,10,6,5,1,1,1,0,3,0,14,12,0,1,5,2,5,11,1,15,18,14,9,2,1,2,5,4,15,2,0,7,1,2,12,0,2,3,5,1,15,21,2,2,2,12,3,16,10,8
CELL0075,12,20,1,1,11,3,0,19,5,2,2,0,8,4,35,4,0,1,3,12,24,9,5,0,2,2,1,2,1,2,8,3,4,0,2,0,1,4,7,5,9,0,1,8,3,6,12,12,1,0,3,1,9,4,18,1,1,1,15,7,26,13,31,21,19,14,14,2,7,13,8,11,0,1,5,2,26,13,1,8
CELL0076,3,3,8,17,28,0,8,5,11,6,2,2,36,7,18,4,3,2,5,0,2,3,12,26,1,8,11,1,11,5,1,1,35,0,1,14,116,6,2,0,5,5,0,5,4,0,3,4,5,0,7,1,0,8,6,2,2,6,3,3,11,3,9,6,0,4,7,3,0,3,2,0,6,2,0,0,7,13,2,0
CELL0077,10,2,23,23,59,0,20,4,16,13,17,7,68,7,30,12,1,11,1,0,2,8,24,42,1,35,24,1,28,8,1,2,63,2,1,39,224,11,5,6,19,13,8,5,16,0,2,2,9,17,7,0,6,8,8,9,7,10,4,7,23,12,20,18,6,6,3,8,1,9,2,0,12,10,2,0,10,25,1,2
CELL0078,2,2,17,28,12,7,4,4,7,26,4,3,1,5,2,3,1,6,2,14,0,3,8,13,0,14,11,3,3,0,6,3,4,2,0,3,3,5,7,0,12,3,22,2,1,4,1,8,6,2,5,7,3,19,2,4,12,0,1,5,76,10,18,1,31,25,19,2,6,6,5,61,0,2,9,49,2,6,2,6
