# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
cell,cell_type
CELL0132,Mono
CELL0133,Bcell
CELL0134,CD4T
CELL0135,CD4T
CELL0136,CD4T
CELL0137,Mono
CELL0138,CD8T
CELL0139,CD8T
CELL0140,Mono
CELL0141,Bcell
CELL0142,Mono
CELL0143,CD4T
CELL0144,Mono
CELL0145,Bcell
CELL0146,CD8T
CELL0147,Mono
CELL0148,CD8T
CELL0149,NK
CELL0150,CD8T
CELL0151,CD8T
CELL0152,CD8T
CELL0153,Mono
CELL0154,Bcell
CELL0155,CD4T
CELL0156,CD4T
CELL0157,CD8T
CELL0158,CD4T
CELL0159,NK
CELL0160,CD8T
CELL0161,Bcell
CELL0162,CD4T
CELL0163,CD4T
CELL0164,NK
CELL0165,NK
CELL0166,Bcell
CELL0167,CD8T
CELL0168,Mono
CELL0169,CD4T
CELL0170,CD8T
CELL0171,CD4T
CELL0172,NK
CELL0173,CD8T
CELL0174,Mono
CELL0175,Mono
CELL0176,CD4T
CELL0177,CD4T
CELL0178,Mono
CELL0179,CD8T
CELL0180,NK
CELL0181,Bcell
CELL0182,CD8T
CELL0183,Mono
CELL0184,CD8T
CELL0185,CD8T
CELL0186,Mono
CELL0187,NK
CELL0188,CD4T
CELL0189,Mono
CELL0190,CD4T
CELL0191,Bcell
CELL0192,CD8T
CELL0193,Bcell
CELL0194,CD8T
CELL0195,Bcell
CELL0196,Bcell
CELL0197,CD4T
CELL0198,CD8T
CELL0199,CD4T
CELL0200,CD4T
CELL0201,Mono
CELL0202,Bcell
CELL0203,CD8T
CELL0204,Mono
CELL0205,CD8T
CELL0206,Bcell
CELL0207,Bcell
CELL0208,Mono
CELL0209,CD4T
CELL0210,Bcell
CELL0211,CD4T
CELL0212,CD4T
CELL0213,CD8T
CELL0214,CD8T
CELL0215,CD4T
CELL0216,NK
CELL0217,NK
CELL0218,CD8T
CELL0219,CD4T
CELL0220,CD4T
CELL0221,CD4T
CELL0222,CD8T
CELL0223,CD8T
CELL0224,Mono
CELL0225,Mono
CELL0226,CD4T
CELL0227,CD8T
CELL0228,Mono
CELL0229,Mono
CELL0230,CD4T
CELL0231,NK
CELL0232,CD8T
CELL0233,Mono
CELL0234,CD8T
CELL0235,CD4T
CELL0236,CD4T
CELL0237,CD4T
CELL0238,CD4T
CELL0239,Mono
CELL0240,CD4T
CELL0241,CD8T
CELL0242,NK
CELL0243,CD4T
CELL0244,CD4T
CELL0245,CD4T
CELL0246,CD8T
CELL0247,CD8T
CELL0248,Mono
CELL0249,CD4T
CELL0250,NK
CELL0251,CD8T
CELL0252,Bcell
CELL0253,CD8T
CELL0254,Mono
CELL0255,CD8T
CELL0256,CD4T
CELL0257,CD4T
CELL0258,Bcell
CELL0259,CD4T
CELL0260,Bcell
CELL0261,Mono
CELL0262,Bcell
CELL0263,NK
CELL0264,Mono
CELL0265,CD4T
CELL0266,Mono
CELL0267,Mono
CELL0268,Mono
CELL0269,CD4T
CELL0270,Mono
CELL0271,Mono
CELL0272,CD8T
CELL0273,CD4T
CELL0274,Bcell
CELL0275,Bcell
CELL0276,CD8T
CELL0277,CD4T
CELL0278,NK
CELL0279,CD8T
CELL0280,Mono
CELL0281,CD4T
CELL0282,CD8T
CELL0283,CD8T
CELL0284,CD4T
CELL0285,CD8T
CELL0286,CD8T
CELL0287,Mono
CELL0288,CD4T
CELL0289,Mono
CELL0290,CD8T
CELL0291,CD4T
CELL0292,NK
CELL0293,CD8T
CELL0294,CD4T
CELL0295,Mono
CELL0296,CD8T
CELL0297,Mono
CELL0298,CD4T
CELL0299,CD4T
CELL0300,CD4T
CELL0301,Bcell
CELL0302,Mono
CELL0303,CD4T
CELL0304,CD8T
CELL0305,CD4T
CELL0306,CD8T
CELL0307,Bcell
CELL0308,CD4T
CELL0309,Bcell
CELL0310,CD4T
CELL0311,Mono
CELL0312,Mono
CELL0313,Bcell
CELL0314,CD8T
CELL0315,Mono
CELL0316,CD4T
CELL0317,CD4T
CELL0318,Bcell
CELL0319,Mono
CELL0320,Mono
CELL0321,NK
CELL0322,CD4T
CELL0323,CD8T
CELL0324,CD4T
CELL0325,NK
CELL0326,Mono
CELL0327,Mono
CELL0328,NK
CELL0329,Mono
CELL0330,CD8T
CELL0331,CD8T
CELL0332,NK
CELL0333,CD8T
CELL0334,CD4T
CELL0335,CD8T
CELL0336,CD8T
CELL0337,Mono
CELL0338,CD4T
CELL0339,CD4T
CELL0340,Bcell
CELL0341,CD4T
CELL0342,CD4T
CELL0343,CD8T
CELL0344,CD4T
CELL0345,CD8T
CELL0346,CD4T
CELL0347,Bcell
CELL0348,CD4T
CELL0349,Bcell
CELL0350,Mono
CELL0351,Mono
CELL0352,NK
CELL0353,CD8T
CELL0354,CD4T
CELL0355,Mono
CELL0356,CD4T
CELL0357,CD4T
CELL0358,Bcell
CELL0359,CD4T
CELL0360,CD4T
CELL0361,Mono
CELL0362,Mono
CELL0363,Bcell
CELL0364,Bcell
CELL0365,Mono
CELL0366,Bcell
CELL0367,NK
CELL0368,CD4T
CELL0369,CD8T
CELL0370,CD4T
CELL0371,CD4T
CELL0372,Mono
CELL0373,Bcell
CELL0374,CD4T
CELL0375,CD4T
CELL0376,CD8T
CELL0377,CD4T
CELL0378,Mono
CELL0379,CD4T
CELL0380,NK
CELL0381,Bcell
CELL0382,CD8T
CELL0383,NK
CELL0384,Mono
CELL0385,Mono
CELL0386,CD8T
CELL0387,Mono
CELL0388,CD8T
CELL0389,CD8T
CELL0390,CD8T
CELL0391,CD8T
CELL0392,CD4T
CELL0393,Mono
CELL0394,CD4T
CELL0395,Bcell
CELL0396,CD4T
CELL0397,CD4T
CELL0398,CD4T
CELL0399,Bcell
CELL0400,CD8T
CELL0401,Mono
CELL0402,Bcell
CELL0403,CD8T
CELL0404,Mono
CELL0405,CD8T
CELL0406,CD4T
CELL0407,Mono
CELL0408,CD4T
CELL0409,CD8T
CELL0410,CD4T
CELL0411,Mono
CELL0412,CD4T
CELL0413,Bcell
CELL0414,CD4T
CELL0415,CD8T
CELL0416,Bcell
CELL0417,Bcell
CELL0418,CD8T
CELL0419,CD4T
CELL0420,CD8T
CELL0421,CD8T
CELL0422,Mono
CELL0423,CD8T
CELL0424,NK
CELL0425,CD4T
CELL0426,Bcell
CELL0427,CD4T
CELL0428,CD4T
CELL0429,Mono
CELL0430,Mono
CELL0431,NK
CELL0432,Mono
CELL0433,CD4T
CELL0434,CD4T
CELL0435,CD4T
CELL0436,CD4T
CELL0437,CD8T
CELL0438,CD4T
CELL0439,CD4T
CELL0440,Bcell
CELL0441,CD4T
CELL0442,NK
CELL0443,CD4T
CELL0444,Bcell
CELL0445,CD4T
CELL0446,CD4T
CELL0447,CD4T
CELL0448,NK
CELL0449,Bcell
CELL0450,CD8T
CELL0451,Mono
CELL0452,Mono
CELL0453,NK
CELL0454,CD8T
CELL0455,CD4T
CELL0456,Mono
CELL0457,CD4T
CELL0458,Bcell
CELL0459,Mono
CELL0460,NK
CELL0461,CD8T
CELL0462,CD8T
CELL0463,CD4T
CELL0464,CD4T
CELL0465,Mono
CELL0466,Bcell
CELL0467,CD8T
CELL0468,CD4T
CELL0469,Mono
CELL0470,Mono
CELL0471,CD8T
CELL0472,NK
CELL0473,Bcell
CELL0474,NK
CELL0475,CD4T
CELL0476,Bcell
CELL0477,CD8T
CELL0478,CD4T
CELL0479,CD4T
CELL0480,NK
CELL0481,CD8T
CELL0482,Bcell
CELL0483,CD4T
CELL0484,Mono
CELL0485,CD8T
CELL0486,Mono
CELL0487,Mono
CELL0488,CD8T
CELL0489,Mono
CELL0490,Bcell
CELL0491,Mono
CELL0492,Bcell
CELL0493,NK
CELL0494,CD4T
CELL0495,CD4T
CELL0496,CD4T
CELL0497,NK
CELL0498,CD4T
CELL0499,Bcell
CELL0500,CD8T
CELL0501,CD4T
CELL0502,CD4T
CELL0503,Bcell
CELL0504,Mono
CELL0505,CD4T
CELL0506,Bcell
CELL0507,CD8T
CELL0508,Mono
CELL0509,CD8T
CELL0510,CD4T
CELL0511,CD8T
CELL0512,Bcell
CELL0513,CD4T
CELL0514,CD4T
CELL0515,Bcell
CELL0516,CD4T
CELL0517,CD8T
CELL0518,Mono
CELL0519,Bcell
CELL0520,CD8T
CELL0521,Bcell
CELL0522,Bcell
CELL0523,CD8T
CELL0524,NK
CELL0525,CD4T
CELL0526,NK
CELL0527,NK
CELL0528,Mono
CELL0529,CD8T
CELL0530,CD8T
CELL0531,CD4T
CELL0532,Mono
CELL0533,CD4T
CELL0534,CD4T
CELL0535,CD4T
CELL0536,Bcell
CELL0537,CD4T
CELL0538,Bcell
CELL0539,Mono
CELL0540,CD8T
CELL0541,CD4T
CELL0542,Mono
CELL0543,Mono
CELL0544,CD8T
CELL0545,Mono
CELL0546,Bcell
CELL0547,NK
CELL0548,CD4T
CELL0549,Mono
CELL0550,NK
CELL0551,CD8T
CELL0552,Mono
CELL0553,CD4T
CELL0554,CD4T
CELL0555,Mono
CELL0556,Mono
CELL0557,CD8T
CELL0558,NK
CELL0559,CD4T
CELL0560,Mono
CELL0561,NK
CELL0562,Bcell
CELL0563,NK
CELL0564,CD4T
CELL0565,NK
CELL0566,CD8T
CELL0567,Bcell
CELL0568,CD8T
CELL0569,NK
CELL0570,CD4T
CELL0571,CD8T
CELL0572,CD4T
CELL0573,Mono
CELL0574,Mono
CELL0575,NK
CELL0576,CD8T
CELL0577,CD4T
CELL0578,CD8T
CELL0579,Bcell
CELL0580,Mono
CELL0581,CD4T
CELL0582,Mono
CELL0583,NK
CELL0584,Mono
CELL0585,Mono
CELL0586,Mono
CELL0587,Bcell
CELL0588,Mono
CELL0589,NK
CELL0590,Mono
CELL0591,Mono
CELL0592,Mono
CELL0593,NK
CELL0594,Bcell
CELL0595,Mono
CELL0596,Bcell
CELL0597,CD4T
CELL0598,CD8T
CELL0599,Mono
CELL0600,CD4T
CELL0601,Bcell
CELL0602,Bcell
CELL0603,NK
CELL0604,CD8T
CELL0605,CD8T
CELL0606,CD8T
CELL0607,CD8T
CELL0608,CD8T
CELL0609,NK
CELL0610,Mono
CELL0611,CD4T
CELL0612,CD4T
CELL0613,CD4T
CELL0614,Bcell
CELL0615,CD4T
CELL0616,CD4T
CELL0617,CD4T
CELL0618,Mono
CELL0619,NK
CELL0620,CD4T
CELL0621,Bcell
CELL0622,CD8T
CELL0623,CD4T
CELL0624,Bcell
CELL0625,Bcell
CELL0626,Bcell
CELL0627,CD4T
CELL0628,CD8T
CELL0629,CD8T
CELL0630,NK
CELL0631,CD4T
CELL0632,Mono
CELL0633,CD4T
CELL0634,CD4T
CELL0635,Mono
CELL0636,CD8T
CELL0637,CD4T
CELL0638,CD4T
CELL0639,NK
CELL0640,CD8T
CELL0641,CD4T
CELL0642,Bcell
CELL0643,CD8T
CELL0644,Mono
CELL0645,Mono
CELL0646,CD8T
CELL0647,CD4T
CELL0648,CD8T
CELL0649,Bcell
CELL0650,Mono
CELL0651,CD8T
CELL0652,CD8T
CELL0653,CD4T
CELL0654,Bcell
CELL0655,CD4T
CELL0656,Mono
CELL0657,Mono
CELL0658,CD8T
CELL0659,CD8T
CELL0660,Mono
CELL0661,CD4T
CELL0662,CD4T
CELL0663,Mono
CELL0664,CD8T
CELL0665,Mono
CELL0666,CD8T
CELL0667,CD4T
CELL0668,CD8T
CELL0669,CD4T
CELL0670,CD4T
CELL0671,CD8T
CELL0672,CD8T
CELL0673,Mono
CELL0674,CD4T
CELL0675,Mono
CELL0676,Mono
CELL0677,CD8T
CELL0678,NK
CELL0679,Mono
CELL0680,CD4T
CELL0681,Bcell
CELL0682,CD4T
CELL0683,CD4T
CELL0684,CD8T
CELL0685,Bcell
CELL0686,CD8T
CELL0687,CD4T
CELL0688,Bcell
CELL0689,CD4T
CELL0690,CD8T
CELL0691,Mono
CELL0692,CD8T
CELL0693,Mono
CELL0694,CD4T
CELL0695,CD8T
CELL0696,Mono
CELL0697,Mono
CELL0698,CD8T
CELL0699,CD8T
CELL0700,CD4T
CELL0701,Bcell
CELL0702,CD4T
CELL0703,CD8T
CELL0704,NK
CELL0705,CD4T
CELL0706,Mono
CELL0707,CD4T
CELL0708,CD8T
CELL0709,CD4T
CELL0710,CD4T
CELL0711,Mono
CELL0712,CD4T
CELL0713,Mono
CELL0714,NK
CELL0715,NK
CELL0716,CD8T
CELL0717,CD8T
CELL0718,CD8T
CELL0719,CD4T
CELL0720,CD4T
CELL0721,Mono
CELL0722,CD8T
CELL0723,CD4T
CELL0724,Mono
CELL0725,Mono
CELL0726,CD8T
CELL0727,CD4T
CELL0728,CD8T
CELL0729,Bcell
CELL0730,CD4T
CELL0731,CD8T
CELL0732,Mono
CELL0733,CD4T
CELL0734,CD8T
CELL0735,CD4T
CELL0736,NK
CELL0737,CD4T
CELL0738,CD8T
CELL0739,NK
CELL0740,Mono
CELL0741,CD4T
CELL0742,Mono
CELL0743,NK
CELL0744,CD4T
CELL0745,Mono
CELL0746,CD4T
CELL0747,NK
CELL0748,CD8T
CELL0749,Mono
CELL0750,NK
CELL0751,CD4T
CELL0752,CD8T
CELL0753,CD8T
CELL0754,NK
CELL0755,CD4T
CELL0756,CD4T
CELL0757,Bcell
CELL0758,Mono
CELL0759,CD8T
CELL0760,NK
CELL0761,CD4T
CELL0762,CD8T
CELL0763,CD4T
CELL0764,Mono
CELL0765,NK
CELL0766,CD8T
CELL0767,Mono
CELL0768,Bcell
CELL0769,CD4T
CELL0770,Mono
CELL0771,CD8T
CELL0772,Mono
CELL0773,Mono
CELL0774,CD4T
CELL0775,Mono
CELL0776,Bcell
CELL0777,Bcell
CELL0778,Bcell
CELL0779,NK
CELL0780,CD4T
CELL0781,CD4T
CELL0782,Mono
CELL0783,Bcell
CELL0784,CD4T
CELL0785,CD4T
CELL0786,CD4T
CELL0787,Mono
CELL0788,CD4T
CELL0789,CD4T
CELL0790,CD4T
CELL0791,CD4T
CELL0792,CD4T
CELL0793,CD8T
CELL0794,Mono
CELL0795,Mono
CELL0796,CD4T
CELL0797,Mono
CELL0798,Mono
CELL0799,CD4T
CELL0800,Mono
CELL0801,Mono
CELL0802,CD8T
CELL0803,CD4T
CELL0804,CD4T
CELL0805,Mono
CELL0806,Mono
CELL0807,Mono
CELL0808,CD4T
CELL0809,Bcell
CELL0810,Mono
CELL0811,Bcell
CELL0812,CD4T
CELL0813,Bcell
CELL0814,CD8T
CELL0815,Mono
CELL0816,Mono
CELL0817,CD8T
CELL0818,CD8T
CELL0819,CD8T
CELL0820,CD8T
CELL0821,Mono
CELL0822,Bcell
CELL0823,CD4T
CELL0824,Mono
CELL0825,Bcell
CELL0826,Bcell
CELL0827,CD8T
CELL0828,NK
CELL0829,Mono
CELL0830,Mono
CELL0831,CD8T
CELL0832,NK
CELL0833,Mono
CELL0834,Bcell
CELL0835,Mono
CELL0836,NK
CELL0837,CD4T
CELL0838,Mono
CELL0839,CD4T
CELL0840,CD8T
CELL0841,Mono
CELL0842,Mono
CELL0843,CD8T
CELL0844,Mono
CELL0845,Bcell
CELL0846,CD8T
CELL0847,CD8T
CELL0848,CD8T
CELL0849,CD4T
CELL0850,CD4T
CELL0851,NK
CELL0852,CD8T
CELL0853,CD4T
CELL0854,CD4T
CELL0855,CD4T
CELL0856,CD8T
CELL0857,Mono
CELL0858,NK
CELL0859,Mono
CELL0860,CD4T
CELL0861,CD4T
CELL0862,Bcell
CELL0863,Mono
CELL0864,CD4T
CELL0865,CD4T
CELL0866,CD4T
CELL0867,CD8T
CELL0868,Mono
CELL0869,NK
CELL0870,CD8T
CELL0871,CD4T
CELL0872,Mono
CELL0873,CD4T
CELL0874,Mono
CELL0875,CD8T
CELL0876,CD4T
CELL0877,CD4T
CELL0878,CD8T
CELL0879,CD8T
CELL0880,CD8T
CELL0881,Mono
CELL0882,Bcell
CELL0883,CD8T
CELL0884,CD8T
CELL0885,NK
CELL0886,CD8T
CELL0887,Bcell
CELL0888,Mono
CELL0889,Bcell
CELL0890,CD4T
CELL0891,Bcell
CELL0892,CD4T
CELL0893,NK
CELL0894,NK
CELL0895,CD4T
CELL0896,NK
CELL0897,CD4T
CELL0898,CD8T
CELL0899,Mono
