"location_name","year","sdi"
"Region03",1990,0.534545454545455
"Region03",1991,0.538545454545455
"Region03",1992,0.542545454545455
"Region03",1993,0.546545454545455
"Region03",1994,0.550545454545455
"Region03",1995,0.554545454545455
"Region03",1996,0.558545454545455
"Region03",1997,0.562545454545455
"Region03",1998,0.566545454545455
"Region03",1999,0.570545454545455
"Region03",2000,0.574545454545455
"Region03",2001,0.578545454545455
"Region03",2002,0.582545454545455
"Region03",2003,0.586545454545455
"Region03",2004,0.590545454545455
"Region03",2005,0.594545454545454
"Region03",2006,0.598545454545454
"Region03",2007,0.602545454545454
"Region03",2008,0.606545454545454
"Region03",2009,0.610545454545455
"Region03",2010,0.614545454545455
"Region03",2011,0.618545454545455
"Region03",2012,0.622545454545455
"Region03",2013,0.626545454545455
"Region03",2014,0.630545454545455
"Region03",2015,0.634545454545455
"Region03",2016,0.638545454545455
"Region03",2017,0.642545454545455
"Region03",2018,0.646545454545455
"Region03",2019,0.650545454545455
"Region03",2020,0.654545454545455
"Region03",2021,0.658545454545455
"Region04",1990,0.572727272727273
"Region04",1991,0.576727272727273
"Region04",1992,0.580727272727273
"Region04",1993,0.584727272727273
"Region04",1994,0.588727272727273
"Region04",1995,0.592727272727273
"Region04",1996,0.596727272727273
"Region04",1997,0.600727272727273
"Region04",1998,0.604727272727273
"Region04",1999,0.608727272727273
"Region04",2000,0.612727272727273
"Region04",2001,0.616727272727273
"Region04",2002,0.620727272727273
"Region04",2003,0.624727272727273
"Region04",2004,0.628727272727273
"Region04",2005,0.632727272727273
"Region04",2006,0.636727272727273
"Region04",2007,0.640727272727273
"Region04",2008,0.644727272727273
"Region04",2009,0.648727272727273
"Region04",2010,0.652727272727273
"Region04",2011,0.656727272727273
"Region04",2012,0.660727272727273
"Region04",2013,0.664727272727273
"Region04",2014,0.668727272727273
"Region04",2015,0.672727272727273
"Region04",2016,0.676727272727273
"Region04",2017,0.680727272727273
"Region04",2018,0.684727272727273
"Region04",2019,0.688727272727273
"Region04",2020,0.692727272727273
"Region04",2021,0.696727272727273
"Region05",1990,0.610909090909091
"Region05",1991,0.614909090909091
"Region05",1992,0.618909090909091
"Region05",1993,0.622909090909091
"Region05",1994,0.626909090909091
"Region05",1995,0.630909090909091
"Region05",1996,0.634909090909091
"Region05",1997,0.638909090909091
"Region05",1998,0.642909090909091
"Region05",1999,0.646909090909091
"Region05",2000,0.650909090909091
"Region05",2001,0.654909090909091
"Region05",2002,0.658909090909091
"Region05",2003,0.662909090909091
"Region05",2004,0.666909090909091
"Region05",2005,0.670909090909091
"Region05",2006,0.674909090909091
"Region05",2007,0.678909090909091
"Region05",2008,0.682909090909091
"Region05",2009,0.686909090909091
"Region05",2010,0.690909090909091
"Region05",2011,0.694909090909091
"Region05",2012,0.698909090909091
"Region05",2013,0.702909090909091
"Region05",2014,0.706909090909091
"Region05",2015,0.710909090909091
"Region05",2016,0.714909090909091
"Region05",2017,0.718909090909091
"Region05",2018,0.722909090909091
"Region05",2019,0.726909090909091
"Region05",2020,0.730909090909091
"Region05",2021,0.734909090909091
"Region06",1990,0.649090909090909
"Region06",1991,0.653090909090909
"Region06",1992,0.657090909090909
"Region06",1993,0.661090909090909
"Region06",1994,0.665090909090909
"Region06",1995,0.669090909090909
"Region06",1996,0.673090909090909
"Region06",1997,0.677090909090909
"Region06",1998,0.681090909090909
"Region06",1999,0.685090909090909
"Region06",2000,0.689090909090909
"Region06",2001,0.693090909090909
"Region06",2002,0.697090909090909
"Region06",2003,0.701090909090909
"Region06",2004,0.705090909090909
"Region06",2005,0.709090909090909
"Region06",2006,0.713090909090909
"Region06",2007,0.717090909090909
"Region06",2008,0.721090909090909
"Region06",2009,0.725090909090909
"Region06",2010,0.729090909090909
"Region06",2011,0.733090909090909
"Region06",2012,0.737090909090909
"Region06",2013,0.741090909090909
"Region06",2014,0.745090909090909
"Region06",2015,0.749090909090909
"Region06",2016,0.753090909090909
"Region06",2017,0.757090909090909
"Region06",2018,0.761090909090909
"Region06",2019,0.765090909090909
"Region06",2020,0.769090909090909
"Region06",2021,0.773090909090909
"Region07",1990,0.687272727272727
"Region07",1991,0.691272727272727
"Region07",1992,0.695272727272727
"Region07",1993,0.699272727272727
"Region07",1994,0.703272727272727
"Region07",1995,0.707272727272727
"Region07",1996,0.711272727272727
"Region07",1997,0.715272727272727
"Region07",1998,0.719272727272727
"Region07",1999,0.723272727272727
"Region07",2000,0.727272727272727
"Region07",2001,0.731272727272727
"Region07",2002,0.735272727272727
"Region07",2003,0.739272727272727
"Region07",2004,0.743272727272727
"Region07",2005,0.747272727272727
"Region07",2006,0.751272727272727
"Region07",2007,0.755272727272727
"Region07",2008,0.759272727272727
"Region07",2009,0.763272727272727
"Region07",2010,0.767272727272727
"Region07",2011,0.771272727272727
"Region07",2012,0.775272727272727
"Region07",2013,0.779272727272727
"Region07",2014,0.783272727272727
"Region07",2015,0.787272727272727
"Region07",2016,0.791272727272727
"Region07",2017,0.795272727272727
"Region07",2018,0.799272727272727
"Region07",2019,0.803272727272727
"Region07",2020,0.807272727272727
"Region07",2021,0.811272727272727
"Region08",1990,0.725454545454545
"Region08",1991,0.729454545454545
"Region08",1992,0.733454545454545
"Region08",1993,0.737454545454545
"Region08",1994,0.741454545454545
"Region08",1995,0.745454545454545
"Region08",1996,0.749454545454545
"Region08",1997,0.753454545454545
"Region08",1998,0.757454545454545
"Region08",1999,0.761454545454545
"Region08",2000,0.765454545454545
"Region08",2001,0.769454545454545
"Region08",2002,0.773454545454545
"Region08",2003,0.777454545454545
"Region08",2004,0.781454545454545
"Region08",2005,0.785454545454545
"Region08",2006,0.789454545454545
"Region08",2007,0.793454545454545
"Region08",2008,0.797454545454545
"Region08",2009,0.801454545454545
"Region08",2010,0.805454545454545
"Region08",2011,0.809454545454545
"Region08",2012,0.813454545454545
"Region08",2013,0.817454545454545
"Region08",2014,0.821454545454545
"Region08",2015,0.825454545454545
"Region08",2016,0.829454545454545
"Region08",2017,0.833454545454545
"Region08",2018,0.837454545454545
"Region08",2019,0.841454545454545
"Region08",2020,0.845454545454545
"Region08",2021,0.849454545454545
"Region09",1990,0.763636363636364
"Region09",1991,0.767636363636364
"Region09",1992,0.771636363636364
"Region09",1993,0.775636363636364
"Region09",1994,0.779636363636364
"Region09",1995,0.783636363636364
"Region09",1996,0.787636363636364
"Region09",1997,0.791636363636364
"Region09",1998,0.795636363636364
"Region09",1999,0.799636363636364
"Region09",2000,0.803636363636364
"Region09",2001,0.807636363636364
"Region09",2002,0.811636363636364
"Region09",2003,0.815636363636364
"Region09",2004,0.819636363636364
"Region09",2005,0.823636363636364
"Region09",2006,0.827636363636364
"Region09",2007,0.831636363636364
"Region09",2008,0.835636363636364
"Region09",2009,0.839636363636364
"Region09",2010,0.843636363636364
"Region09",2011,0.847636363636364
"Region09",2012,0.851636363636364
"Region09",2013,0.855636363636364
"Region09",2014,0.859636363636364
"Region09",2015,0.863636363636364
"Region09",2016,0.867636363636364
"Region09",2017,0.871636363636364
"Region09",2018,0.875636363636364
"Region09",2019,0.879636363636364
"Region09",2020,0.883636363636364
"Region09",2021,0.887636363636364
"Region10",1990,0.801818181818182
"Region10",1991,0.805818181818182
"Region10",1992,0.809818181818182
"Region10",1993,0.813818181818182
"Region10",1994,0.817818181818182
"Region10",1995,0.821818181818182
"Region10",1996,0.825818181818182
"Region10",1997,0.829818181818182
"Region10",1998,0.833818181818182
"Region10",1999,0.837818181818182
"Region10",2000,0.841818181818182
"Region10",2001,0.845818181818182
"Region10",2002,0.849818181818182
"Region10",2003,0.853818181818182
"Region10",2004,0.857818181818182
"Region10",2005,0.861818181818182
"Region10",2006,0.865818181818182
"Region10",2007,0.869818181818182
"Region10",2008,0.873818181818182
"Region10",2009,0.877818181818182
"Region10",2010,0.881818181818182
"Region10",2011,0.885818181818182
"Region10",2012,0.889818181818182
"Region10",2013,0.893818181818182
"Region10",2014,0.897818181818182
"Region10",2015,0.901818181818182
"Region10",2016,0.905818181818182
"Region10",2017,0.909818181818182
"Region10",2018,0.913818181818182
"Region10",2019,0.917818181818182
"Region10",2020,0.921818181818182
"Region10",2021,0.925818181818182
"Region11",1990,0.84
"Region11",1991,0.844
"Region11",1992,0.848
"Region11",1993,0.852
"Region11",1994,0.856
"Region11",1995,0.86
"Region11",1996,0.864
"Region11",1997,0.868
"Region11",1998,0.872
"Region11",1999,0.876
"Region11",2000,0.88
"Region11",2001,0.884
"Region11",2002,0.888
"Region11",2003,0.892
"Region11",2004,0.896
"Region11",2005,0.9
"Region11",2006,0.904
"Region11",2007,0.908
"Region11",2008,0.912
"Region11",2009,0.916
"Region11",2010,0.92
"Region11",2011,0.924
"Region11",2012,0.928
"Region11",2013,0.932
"Region11",2014,0.936
"Region11",2015,0.94
"Region11",2016,0.944
"Region11",2017,0.948
"Region11",2018,0.95
"Region11",2019,0.95
"Region11",2020,0.95
"Region11",2021,0.95
