"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre"
"LOC100129404",8.497,8.557,10.096,8.731,10.519,10.672,6.754,7.886,9.564,9.303,6.609,4.426,5.086,5.249,10.843,7.39,3.483,6.719,5.814,5.382
"LOC127400261",10.685,7.992,6.1,8.993,7.377,10.364,8.871,8.183,7.713,6.376,7.447,9.995,9.703,9.989,8.996,5.386,8.605,6,7.507,6.798
"ZNF596",4.39,11.145,8.084,9.204,9.463,7.19,5.429,7.16,8.623,9.099,8.535,12.278,11.368,9.517,11.862,10.468,9.305,9.687,8.363,12.154
"LOC102723803",8.732,6.806,9.519,8.33,10.187,7.945,3.511,6.387,7.645,8.413,10.717,8.189,7.197,10.111,6.485,8.491,12.577,7.853,9.366,9.97
"LOC127830072",7.368,10.273,7.254,9.998,6.194,12.739,8.868,5.043,9.182,4.414,8.391,8.933,11.996,10.727,6.244,8.466,8.511,5.107,8.565,8.413
"LOC127892114",7.119,8.203,7.803,7.121,9.362,4.553,5.326,12.049,5.101,7.246,6.709,6.113,8.595,6.025,6.145,9.328,8.253,8.073,9.286,8.387
"LOC126861458",7.756,7.658,8.689,10.239,6.364,8.945,11.419,5.225,6.389,11.35,9.867,8.652,8.923,6.484,6.675,6.049,10.907,7.79,8.255,5.53
"LOC114004413",12.005,10.567,5.457,8.537,9.078,6.12,8.802,8.302,8.113,9.831,8.597,8.067,8.763,10.104,7.873,6.866,6.57,5.533,7.454,6.589
"LOC129994068",8.694,10.241,4.551,5.38,7.869,6.809,8.579,6.995,10.046,7.624,6.382,10.77,5.161,9.237,6.761,7.667,8.494,8.38,7.956,11.477
"LOC129994696",7.454,7.029,7.804,8.476,7.515,9.531,9.057,9.01,10.062,5.708,9.238,7.367,6.373,8.453,10.806,9.384,10.783,9.095,5.511,6.009
"LOC129935437",6.055,7.194,5.66,9.473,6.24,8.701,9.197,6.526,8.95,5.28,6.479,11.923,6.269,7.319,8.09,7.148,5.419,7.547,6.766,7.331
"LOC111365218",11.229,6.219,7.994,4.928,9.631,6.402,7.86,9.195,10.844,10.096,6.135,7.074,7.708,5.248,7.893,9.305,7.578,8.468,8.632,6.754
"LOC130005680",6.46,7.364,10.475,6.278,6.932,10.936,8.569,6.914,4.401,10.013,5.155,6.77,8.364,6.582,8.293,7.493,11.48,9.006,8.084,8.365
"LOC129999723",8.655,7.179,9.502,8.966,6.031,6.216,8.858,7.364,8.996,8.078,7.871,7.063,9.676,8.489,10.609,11.557,6.434,9.122,7.091,8.231
"LOC115995522",9.256,8.183,9.084,7.847,7.98,7.202,7.246,10.496,8.613,8.87,11.254,8.541,10.135,6.411,8.661,6.721,4.695,7.746,9.178,7.278
"LOC126862401",9.141,9.596,10.336,10.909,8.105,8.518,8.934,8.274,8.879,6.626,8.767,8.222,9.731,7.389,5.701,9.521,10.418,6.814,9.348,7.712
"LOC129929297",6.932,7.797,7.392,8.294,10.078,7.555,5.485,13.436,8.883,9.84,3.586,5.914,6.459,5.935,5.723,6.777,6.363,2.527,8.029,5.318
"LOC129932975",6.634,8.393,7.455,4.659,9.755,8.266,7.388,8.244,7.878,9.475,6.017,6.751,8.185,8.724,7.61,7.551,8.43,9.427,7.878,9.481
"LOC127276003",6.227,5.823,7.926,6.714,7.488,9.139,11.842,7.671,7.68,8.753,9.881,5.56,6.396,9.707,8.502,7.043,7.254,9.157,8.708,7.179
"LOC127894488",8.508,5.792,9.218,10.136,6.947,8.23,7.663,7.542,10.371,10.43,9.99,10.449,8.46,8.001,7.732,7.27,4.743,7.887,8.646,8.905
"EMCN",8.454,6.953,10.476,8.017,9.009,9.191,8.281,10.806,11.852,5.944,10.793,10.08,6.809,5.504,10.435,9.784,6.533,5.114,9.678,9.762
"LOC127458427",7.701,9.193,7.618,9.05,7.797,5.417,6.604,5.812,6.811,7.975,7.5,9.023,8.539,5.182,9.425,6.293,7.762,8.589,6.529,7.091
"LINC01664",5.956,8.769,13.858,9.189,7.433,8.101,7.417,7.817,7.371,5.379,10.237,7.205,5.393,11.676,6.983,9.575,4.882,7.807,10.117,6.577
"DLX6-AS1",5.57,11.541,11.767,8.637,8.814,5.959,5.039,13.455,10.069,6.145,7.52,10.629,9.03,7.291,7.669,7.042,6.666,6.371,7.087,6.346
"MAP3K3",9.847,8.608,7.234,7.234,9.57,7.421,8.693,7.458,7.529,7.832,5.814,8.129,9.18,6.596,6.46,9.161,7.847,5.923,8.624,8.886
"RNU6-715P",7.94,8.613,7.404,5.507,6.326,9.517,4.461,8.064,5.652,11.294,8.512,8.286,10.878,9.041,8.835,4.264,8.491,7.834,9.519,6.532
"LOC125371438",8.184,6.289,8.088,7.847,5.677,5.014,8.87,7.557,8.933,8.972,7.2,9.928,9.456,6.379,8.393,11.029,5.374,9.316,7.606,5.432
"LOC130059958",9.417,7.255,7.393,10.11,6.172,11.395,8.178,10.258,6.858,7.154,9.664,9.875,6.466,11.291,7.324,9.311,8.005,10.23,7.925,7.808
"PCBD1",8.753,8.561,6.551,7.709,6.497,6.145,9.098,7.654,7.731,6.652,5.88,8.369,6.828,7.356,6.905,9.874,8.581,6.986,8.553,6.761
"NAMPTP2",6.498,8.086,10.569,8.799,7.395,7.294,9.172,8.535,5.28,10.624,9.827,6.423,6.812,5.62,8.697,6.367,8.242,8.849,8.762,6.869
"LOC129937520",6.104,9.406,8.593,10.321,8.371,7.952,8.553,6.802,10.239,9.175,6.903,9.556,9.961,6.958,6.914,5.745,6.376,8.237,7.209,7.421
"FOXC2-AS1",5.437,7.646,8.829,5.582,7.512,9.518,9.259,6.087,6.966,6.757,6.302,9.958,9.054,6.361,7.967,12.104,8.085,6.123,9.365,5.413
"APLP2",6.316,9.055,5.883,6.811,8.301,7.181,9.378,8.776,11.351,7.424,5.67,7.154,8.36,6.704,8.511,6.625,5.457,8.76,9.803,7.283
"LOC127404741",8.194,9.857,5.813,7.966,9.489,8.141,7.304,8.902,4.012,11.449,7.865,7.749,9.187,6.968,5.851,7.234,8.244,8.46,11.725,8.234
"CFAP100",8.507,9.314,8.536,8.798,5.898,7.771,8.933,9.03,8.541,7.292,6.743,8.374,7.267,8.217,6.554,10.975,9.559,10.756,8.519,8.896
"LOC130006258",6.384,8.812,9.398,8.73,7.579,9.055,6.535,7.037,9.371,4.465,6.487,8.718,4.905,7.419,7.955,7.328,8.538,7.707,8.793,9.166
"RPS18",10.391,8.224,9.858,7.617,8.181,9.428,8.708,6.328,6.299,9.296,6.803,5.05,5.224,4.813,5.854,6.677,4.401,3.695,3.009,5.089
"LOC102724684",8.614,7.205,7.586,6.489,4.941,10.041,7.247,7.315,8.296,8.3,6.483,7.187,9.291,6.814,9.294,6.875,7.132,8.779,6.071,8.976
"LETM1",11.737,4.118,7.945,8.111,7.505,5.29,8.028,7.05,6.994,7.244,12.799,6.643,6.823,11.354,8.453,8.254,9.178,7.275,8.277,6.618
"LOC129999308",9.253,9.424,5.962,9.437,9.249,9.022,8.373,8.665,10.351,5.835,8.1,9.075,6.816,7.079,9.812,8.948,7.02,7.73,6.699,7.838
"LOC127820367",7.829,11.024,5.987,7.7,11.608,8.313,9.555,6.454,7.928,8.894,9.343,7.645,10.408,10.46,7.635,7.675,8.985,9.137,7.76,8.48
"FCGR2B",9.554,7.741,6.149,8.567,9.912,8.081,4.726,7.347,11.073,8.602,6.621,6.467,6.841,4.609,8.306,8.354,7.831,7.644,6.913,8.707
"LOC127404554",8.587,10.232,7.873,8.78,7.323,6.581,4.921,10.036,8.854,7.102,10.426,8.477,9.298,8.215,9.994,8.828,7.797,10.656,11.572,8.81
"PREPL",8.792,5.57,9.825,6.929,7.862,7.135,6.875,8.813,9.941,8.985,9.305,5.759,11.261,6.826,6.631,7.931,11.716,6.003,7.754,9.031
"LOC129935412",10.1,5.587,10.344,8.226,7.763,7.167,8.24,6.953,11.983,5.957,7.997,8.775,8.774,5.149,7.942,8.822,6.45,7.256,8.498,6.425
"IZUMO3",10.481,7.965,8.672,8.054,12.018,9.176,7.095,9.764,6.849,7.896,8.216,6.795,7.906,8.09,8.662,6.886,5.807,7.999,8.122,9.298
"OR1D5",8.109,8.334,10.307,4.936,7.208,6.729,9.418,8.625,7.332,9.134,8.287,9.594,8.274,9.049,6.924,10.888,10.577,10.706,9.101,9.089
"LOC127823338",8.12,8.496,8.238,8.838,8.122,9.011,7.845,7.917,9.461,6.513,6.6,6.132,6.093,8.379,9.019,8.467,6.362,10.094,5.734,8.079
"LOC127408863",8.76,7.038,4.446,6.973,8.76,6.864,10.114,7.74,6.836,4.966,8.938,8.999,6.148,8.832,8.459,6.833,8.55,7.667,6.889,8.117
"LOC132090496",7.044,12.242,10.317,5.838,9.941,7.367,7.903,9.82,7.339,10.429,9.591,8.999,8.094,7.29,7.736,5.71,5.658,8.277,7.208,7.644
"LOC127459918",10.428,6.613,7.569,8.655,7.585,9.67,9.254,9.029,8.586,9.139,9.189,9.777,8.36,9.678,9.323,7.569,6.471,10.089,8.467,9.195
"SLC44A1",9.419,6.798,7.218,7.293,7.975,10.178,5.481,9.227,6.731,11.357,8.367,9.647,8.25,5.822,8.433,10.471,9.626,7.524,8.972,8.06
"LOC127895662",6.35,9.213,5.543,7.88,8.818,10.462,10.042,7.204,10.675,9.782,10.17,6.885,7.228,5.503,6.571,8.231,9.184,9.078,7.385,7.231
"ZSCAN25",7.58,8.451,9.263,8.856,6.768,8.207,7.133,8.857,8.141,7.384,5.755,8.601,6.768,6.778,8.369,8.611,8.978,8.066,7.467,8.435
"LOC127887083",8.189,4.073,9.821,12.42,8.52,6.991,12.119,5.359,7.762,9.392,5.991,9.344,8.612,7.177,6.535,9.12,8.241,6.302,5.569,7.68
"RNA5SP272",9.816,8.847,8.138,7.825,6.74,8.121,7.541,7.763,6.042,9.537,10.208,10.118,7.55,5.106,6.957,10.344,9.852,6.851,8.942,7.667
"LOC127893955",9.576,7.878,8.161,6.426,6.418,5.697,6.298,9.819,8.222,10.603,8.577,7.02,11.333,10.916,6.798,8.257,9.661,9.838,9.168,8.402
"LOC130000630",10.142,8.3,11.968,9.023,6.366,4.737,9.208,10.695,6.203,8.86,6.628,8.066,9.672,7.081,10.389,9.056,7.598,5.008,6.076,8.776
"TBC1D30",10.473,8.566,4.294,10.512,8.987,7.901,8.855,8.917,8.304,7.441,7.312,9.222,6.857,8.035,6.952,8.333,7.315,7.708,9.327,4.496
"LOC129933340",8.525,8.424,3.842,9.355,9.054,6.354,3.955,5.041,9.558,8.356,6.359,8.769,4.204,10.483,7.304,6.636,6.828,5.367,5.933,7.5
"LOC130005428",8.043,8.116,8.091,6.667,8.008,7.641,7.143,6.909,8.545,7.493,6.974,5.433,6.382,5.693,6.082,4.647,7.763,6.071,1.839,3.768
"LOC127820649",7.788,7.105,7.572,6.392,10.544,8.128,10.922,4.164,7.46,8.817,6.852,7.793,8.592,7.342,7.965,10.704,6.287,9.96,6.502,6.879
"LOC130066131",7.684,8.939,7.601,7.882,8.155,7.203,10.425,8.446,6.408,7.828,10.207,8.606,10.657,6.704,7.309,4.582,8.425,6.958,7.438,6.803
"LOC127897730",10.416,12.163,8.102,5.042,6.554,10.986,5.383,11.22,7.53,5.837,8.236,8.369,6.131,8.543,11.5,7.628,5.971,8.878,9.126,8.849
"LOC126860339",11.516,7.636,8.988,11.502,11.08,6.216,8.442,8.953,8.592,6.687,10.676,6.997,9.85,8.181,9.43,9.064,8.908,6.426,11.991,7.07
"LOC130056542",10.044,9.222,5.895,6.663,8.837,8.564,9.262,5.492,8.727,10.487,4.074,5.714,5.408,6.012,7.668,7.014,4.751,6.19,3.778,6.281
"THAP9-AS1",9.206,8.493,10.47,8.353,8.729,8.539,11.515,8.816,7.634,8.445,7.623,9.14,6.178,10.3,7.664,7.751,9.84,4.874,6.318,8.167
"LOC127825667",11.442,10.06,9.318,6.523,7.964,6.255,8.757,6.162,4.777,7.371,8.497,9.238,7.481,8.177,8.194,7.873,8.88,8.355,7.673,10.363
"LOC127405604",7.786,8.622,6.133,5.49,6.154,7.621,11.743,9.653,8.724,10.941,6.944,9.435,6.269,6.681,6.572,6.193,10.087,5.777,7.267,8.424
"CYP4F35P",5.67,7.55,5.551,8.465,9.836,7.579,8.455,6.337,9.804,8.016,10.452,9.792,7.827,9.114,6.99,8.486,6.755,8.748,8.623,6.351
"LOC124906347",4.533,7.52,7.906,8.865,8.687,10.496,7.508,9.782,6.252,8.826,8.3,6.7,8.485,6.286,8.236,9.766,8.894,11.267,5.131,8.245
"LOC127817994",7.375,9.382,6.78,5.635,8.756,7.764,6.565,8.269,7.196,8.075,9.323,9.043,11.317,5.168,8.193,9.037,5.269,5.648,11.982,8.806
"LOC129389042",7.277,8.186,6.74,9.355,6.362,12.882,6.122,7.477,5.879,9.181,6.773,7.083,8.565,9.115,8.27,9.417,9.084,6.872,6.687,8.244
"LOC130006574",7.448,9.719,5.751,8.13,9.51,10.507,8.046,6.678,10.235,5.575,10.05,8.941,10.897,13.95,11.201,8.161,12.088,8.105,9.818,10.008
"LOC127457296",7.434,5.885,9.078,8.806,7.615,6.602,8.792,8.847,6.855,10.475,3.252,7.047,8.467,4.94,4.225,6.665,5.516,6.593,4.13,8.292
"LOC126861723",7.436,9.753,7.07,6.792,5.692,9.076,7.303,8.498,9.61,7.809,8.321,7.866,5.078,8.224,5.511,7.223,8.657,11.053,9.607,9.299
"ECTD8",6.095,10.558,7.76,9.513,8.266,9.836,7.088,9.112,8.807,7.982,8.236,9.972,8.021,6.238,8.022,4.413,10.039,7.337,8.488,9.268
"RN7SL560P",9.881,8.619,5.782,8.692,6.897,6.066,10.315,7.86,12.254,7.95,9.837,7.393,10.191,7.561,8.456,5.374,7.437,7.327,6.394,6.16
"LOC126863187",7.086,8.706,9.012,5.514,8.904,9.428,8.644,6.249,5.953,10.678,8.448,8.247,8.528,9.24,9.809,10.242,4.941,6.679,5.353,7.536
"LOC130002822",7.582,11.736,7.255,9.745,7.2,6.697,8.601,7.648,8.689,9.491,6.628,4.989,6.794,8.286,8.8,7.547,5.008,7.494,8.108,8.974
"LOC127818209",6.559,10.375,7.139,5.348,8.486,6.284,8.706,8.746,6.522,8.964,12.173,8.623,5.229,7.251,6.939,4.766,9.675,8.746,5.762,8.78
"LOC124903009",4.423,6.101,6.793,5.153,10.653,7.302,8.304,7.431,9.469,8.463,10.512,5.836,9.377,8.423,6.186,5.135,7.48,5.776,8.403,7.814
"LOC127814551",8.382,9.074,7.508,6.465,8.704,8.006,7.337,7.44,9.464,7.17,11.984,9.14,11.578,9.446,10.125,9.727,9.733,12.222,10.446,6.63
"LOC100422493",9.151,8.44,5.049,8.738,10.133,6.655,10,8.371,8.022,8.631,7.543,6.171,8.166,7.042,8.505,6.843,6.065,8.833,8.129,8.722
"RAPSN",6.939,7.98,8.557,8.404,5.238,9.637,8.497,10.793,9.92,8.162,6.469,3.989,6.995,6.94,7.353,10.37,8.367,6.589,9.136,7.301
"LOC130059501",10.41,9.215,10.408,7.821,8.398,7.006,5.636,7.068,7.6,11.515,4.737,4.387,7.768,7.206,6.43,12.337,5.983,9.735,7.394,8.698
"LOC112841600",8.837,6.813,5.803,9.353,6.724,8.223,9.565,7.696,9.431,6.9,5.661,7.481,8.918,7.59,7.738,7.288,8.445,10.582,8.94,8.197
"LOC127829005",5.104,7.848,8.079,5.94,8.023,9.882,8.831,5.939,6.925,8.63,10.358,7.991,9.691,7.485,4.832,6.596,6.949,9.964,10.518,8.785
"LOC127739471",9.897,7.876,8.935,7.119,6.069,8.14,4.528,7.941,6.717,7.177,8.155,9.04,8.245,6.804,7.542,8.662,10.214,9.482,6.384,5.757
"LOC129997427",11.357,8.984,6.226,5.472,10.574,10.213,7.697,6.496,9.655,6.341,7.216,5.768,6.753,8.823,9.156,9.753,8.443,9.561,10.181,6.652
"SNORD116-5",6.67,8.476,7.022,9.362,6.494,8.813,9.184,8.951,9.036,8.857,7.238,8.632,8.954,7.93,10.032,9.389,8.158,8.095,7.771,7.809
"DFNB40",6.418,10.05,10.697,7.746,9.811,5.504,6.203,8.215,8.573,6.392,5.266,5.091,4.412,8.071,4.748,1.907,8.576,4.365,4.132,3.886
"LOC124908611",8.074,10.496,7.12,6.891,8.68,4.505,5.463,7.394,9.388,8.687,4.176,4.08,6.779,8.399,6.933,7.607,5.642,6.121,3.095,7.874
"CFAP251",8.392,9.911,8.959,7.286,6.285,7.325,9.283,8.243,9.843,7.01,7.484,7.735,8.905,9.705,10.4,5.577,6.865,8.515,5.915,8.702
"LOC130063261",7.542,11.41,8.442,9.114,9.845,6.752,9.356,5.867,9.264,6.517,8.398,7.365,9.371,6.179,4.919,8.214,11.981,6.711,10.28,7.537
"RN7SKP28",7.7,10.857,6.747,6.924,7.919,8.033,9.193,8.732,7.767,6.409,7.363,7.626,6.712,6.946,7.098,7.061,7.792,9.001,4.94,8.66
"LOC127823096",7.596,9.473,8.627,8.768,7.221,10.534,9.742,8.899,10.546,10.034,8.897,8.139,9.721,11.294,9.142,7.647,8.91,6.242,7.326,9.273
"LOC130064172",8.919,7.452,9.768,6.966,5.578,7.567,9.268,10.029,9.355,10.363,9.451,9.137,9.177,6.867,10.541,7.555,8.214,10.152,8.003,6.883
"LOC129993372",8.856,7.207,9.095,9.862,8.29,6.285,6.494,8.986,10.116,6.899,7.864,9.135,6.493,8.118,7.412,6.609,7.51,4.438,7.459,8.995
"LOC130004213",8.496,9.543,6.619,6.419,9.768,9.11,7.671,9.981,6.955,7.894,8.608,6.233,9.167,5.745,8.237,8.452,6.325,6.847,5.38,8.045
"CCNG2P1",8.424,8.815,7.396,8.8,7.848,4.542,8.557,5.703,8.346,7.754,7.003,8.016,7.214,8.185,9.476,6.01,7.121,8.487,6.772,10.166
"LOC127885651",7.883,9.345,6.157,9.978,7.814,7.129,5.82,10.512,8.803,6.718,8.441,7.944,8.955,11.063,6.05,9.454,6.221,6.749,8.778,8.095
"LOC130008906",8.351,9.03,7.715,5.982,6.755,6.392,10.215,5.608,8.341,10.197,9.962,9.456,6.167,7.462,6.425,8.372,4.72,6.21,5.901,10.627
"LOC132090923",10.2,10.275,6.747,9.011,7.632,8.409,8.522,8.473,9.982,5.572,8.798,6.441,4.656,8.745,7.196,7.101,6.574,7.355,7.701,7.175
"LOC130055375",9.754,8.213,8.861,5.545,7.172,7.015,6.197,9.373,9.54,9.657,6.834,5.612,8.653,7.973,7.431,6.179,6.348,4.813,6.905,5.511
"LOC127828338",6.213,11.393,6.668,7.812,7.938,9.015,7.548,9.717,10.361,9.222,7.897,6.953,9.602,5.753,8.421,8.137,8.339,6.499,7.388,7.598
"LOC110120757",9.291,8.659,8.168,6.883,5.843,10.356,7.323,7.345,9.333,6.403,8.63,7.579,8.842,9.218,7.866,7.94,7.778,5.23,6.144,6.12
"LOC127406899",6.257,10.234,7.687,7.482,3.867,8.818,7.197,6.139,9.803,5.051,8.612,7.57,8.192,8.788,8.337,6.775,10.298,11.061,9.848,5.175
"LOC127407210",7.285,7.347,6.553,8.849,6.374,9.359,6.22,8.183,10.496,7.02,6.401,8.49,7.37,10.459,6.725,7.542,5.276,6.179,9.24,8.297
"LOC127895404",9.664,8.679,6.541,8.787,6.577,7.904,9.74,4.258,8.533,8.205,9.757,6.621,8.393,6.631,7.486,8.083,9.091,9.677,5.563,7.693
"LOC127270808",8.34,7.172,9.954,7.942,8.707,7.262,4.264,7.566,8.251,7.102,6.475,8.083,8.09,9.145,7.013,8.982,7.902,8.337,10.502,9.287
"LOC127892170",9.654,5.519,8.727,5.331,7.375,10.251,7.24,10.079,8.608,10.122,8.082,5.402,9.465,7.898,9.755,9.476,7.071,5.025,9.159,7.499
"RN7SL438P",7.523,6.034,5.909,8.47,7.179,6.394,8.853,6.647,8.094,7.362,7.299,10.326,9.945,6.082,10.42,5.113,6.8,8.792,4.36,7.419
"LOC129663920",8.019,11.34,7.46,8.342,12.101,7.935,7.717,5.491,6.583,9.462,7.154,10.217,11.102,9.218,7.274,5.807,7.92,4.838,9.231,7.327
"TRBV4-3",3.74,6.435,6.335,9.735,6.639,8.908,5.962,7.968,10.748,9.46,11.626,11.314,12.042,9.22,14.472,12.407,11.095,9.596,9.498,10.221
"LOC127883227",8.208,4.939,6.067,6.731,9.022,8.51,6.333,9.692,4.688,6.028,3.524,7.787,5.936,4.932,5.193,4.909,4.23,6.211,5.445,5.826
"LOC130000320",8.581,7.532,6.033,7.028,7.681,6.648,9.818,8.632,10.86,8.091,1.082,6.206,6.781,3.18,7.62,4.398,3.055,3.797,4.606,7.789
"ATP5MC1P4",10.316,6.786,10.463,8.163,8.41,6.901,7.896,7.778,7.774,7.266,8.527,8.519,9.779,5.578,7.972,10.815,5.784,7.13,7.644,6.242
"ABHD2",11.999,9.056,8.751,5.598,9.22,7.284,6.699,9.05,9.204,9.483,7.93,6.716,6.302,9.669,8.246,6.672,6.353,8.059,10.721,11.262
"LOC124906971",8.117,7.762,5.877,8.898,10.178,6.236,7.267,8.058,6.32,6.878,6.569,8.895,10.238,9.174,7.956,9.094,7.469,6.376,7.776,8.94
"LOC127882544",6.795,8.291,9.498,7.956,6.173,7.482,7.571,8.27,9.614,6.498,6.602,4.605,9.07,7.699,6.167,6.685,7.411,6.897,7.01,8.295
"LOC130009436",8.255,7.551,7.271,6.517,9.762,9.278,6.127,6.765,9.247,8.896,4.704,8.593,5.276,4.817,5.844,4.89,4.895,4.772,0.209,5.318
"LOC127405289",6.082,8.056,10.81,6.376,6.724,5.023,6.025,7.248,8.456,7.999,7.643,7.76,9.684,7.447,8.514,5.283,8.164,5.563,8.558,11.073
"LOC127822612",8.257,8.965,8.631,8.306,9.546,5.906,7.025,7.505,7.181,10.386,9.092,9.227,9.576,9.289,6.636,6.559,5.175,7.372,4.139,5.965
"FABP4",7.837,9.47,9.827,10.462,6.104,7.628,7.305,7.366,10.931,8.847,8.736,8.614,7.71,6.575,8.473,5.967,8.677,9.413,8.737,8.513
"LOC130008253",9.084,6.858,8.41,5.975,5.287,8.391,5.457,4.069,5.629,8.968,8.544,8.779,9.354,7.547,8.435,8.67,8.063,4.085,6.044,10.054
"LOC127824033",7.704,11.154,7.394,8.096,6.859,10.643,9.139,7.553,11.719,9.27,9.231,5.234,8.793,9.556,5.915,7.535,5.941,7.809,8.001,8.088
"DTNB",8.562,9.829,7.534,6.922,9.599,9.166,3.124,9.121,8.541,10.088,7.405,9.067,8.146,8.421,8.851,9.988,8.513,8.897,6.515,7.252
"LOC129937329",10.424,7.34,9.912,9.171,5.028,8.703,9.261,7.405,6.461,6.964,7.434,7.741,7.486,8.508,7.067,5.78,7.275,5.195,4.12,4.361
"LOC128316846",7.683,6.721,5.299,11.523,7.802,7.688,7.761,8.332,6.711,11.253,5.488,4.377,9.086,5.068,7.261,5,10.628,7.666,10.498,7.488
"LOC129993758",7.36,9.154,6.265,8.995,9.011,6.745,5.515,13.284,5.981,5.936,10.234,7.718,7.134,9.921,5.527,7.385,3.76,7.838,10.026,8.152
"LOC129996268",9.27,6.743,6.39,9.084,7.864,7.417,9.545,7.644,7.184,9.447,8.454,5.717,10.064,3.364,5.614,9.272,7.5,8.426,7.529,9.326
"LOC127815578",5.232,6.191,7.437,9.012,8.943,10.282,8.855,9.606,6.559,7.661,8.305,5.439,6.834,6.497,8.439,7.108,6.83,10.159,8.399,8.045
"LOC126862654",7.873,5.649,9.741,7.196,8.429,5.681,4.099,9.703,8.371,4.618,8.678,8.058,8.168,4.874,8.416,6.536,10.374,6.069,9.199,8.962
"LOC129664851",5.029,8.497,10.263,6.74,7.951,5.466,10.441,6.2,9.972,11.45,9.047,4.546,7.737,5.617,8.759,8.011,11.467,6.603,7.98,6.633
"LOC129936211",6.944,9.159,7.221,10.6,7.304,7.762,11.617,6.151,7.989,8.966,7.222,5.09,8.81,8.215,7.359,9.995,4.918,7.733,7.357,8.625
"MMP10",11.394,6.934,8.477,5.872,8.405,7.552,9.03,8.416,7.796,6.251,8.871,8.1,7.734,10.174,8.616,5.997,8.853,9.909,6.681,7.122
"LOC127399338",10.401,10.179,6.912,6.779,7.174,7.553,8.238,6.064,9.12,9.633,9.553,4.76,10.162,5.752,9.325,6.401,4.802,6.079,7.535,4.758
"LOC127275342",10.259,5.2,9.711,7.895,10.084,5.537,9.78,10.901,7.399,9.424,8.862,7.142,7.768,8.351,6.934,8.064,8.541,8.702,5.991,10.314
"RNU4-73P",10.033,6.737,9.309,11.112,8.144,8.557,7.944,7.975,6.583,10.371,7.757,7.514,6.426,8.179,10.168,10.521,9.984,6.608,9.125,6.193
"SNX5P1",9.363,8,10.662,10.786,8.531,7.915,6.073,7.236,7.862,8.993,9.014,10.009,10.02,6.757,7.606,5.394,5.243,5.987,6.779,9.006
"FREM3",5.676,8.316,5.741,10.687,8.888,9.634,10.257,11.744,8.959,8.013,10.26,8.51,6.906,8.147,7.117,4.319,6.259,7.526,6.933,8.561
