# synthetic, for demo only -- generated by _make_example_data.py (seed=2026)
cell,x,y,true_time,cluster
C0130,2.989,10.036,0.2161,early
C0131,2.933,8.797,0.4265,mid
C0132,17.849,12.137,0.8444,late
C0133,12.259,5.035,0.505,mid
C0134,7.126,4.147,0.256,early
C0135,13.795,8.719,0.5155,mid
C0136,14.992,9.716,0.6418,mid
C0137,10.959,0.778,0.3202,early
C0138,12.906,12.887,0.7177,late
C0139,9.078,13.903,0.609,mid
C0140,0.828,7.007,0.2757,early
C0141,19.445,16.074,0.9536,late
C0142,17.708,4.014,0.5909,mid
C0143,18.386,17.025,0.9911,late
C0144,10.192,0.167,0.2453,early
C0145,11.178,2.158,0.3753,mid
C0146,18.042,7.972,0.6604,late
C0147,16.958,0.018,0.4181,mid
C0148,19.064,9.809,0.8374,late
C0149,18.958,14.994,0.9495,late
C0150,2.016,3.954,0.1902,early
C0151,17.121,5.984,0.6766,late
C0152,1.944,-0.186,0.0721,early
C0153,5.883,15.034,0.6216,mid
C0154,0.018,15.694,0.3767,mid
C0155,0.139,10.895,0.289,early
C0156,-0.135,8.167,0.2367,early
C0157,2.175,12.893,0.352,mid
C0158,13.947,17.816,0.8053,late
C0159,19.122,5.136,0.5809,mid
C0160,16.934,8.209,0.6989,late
C0161,9.138,11.981,0.5373,mid
C0162,3.108,14.752,0.4883,mid
C0163,15.961,0.038,0.4522,mid
C0164,17.998,9.307,0.7142,late
C0165,19.047,14.055,0.8748,late
C0166,6.801,10.972,0.4795,mid
C0167,12.882,3.352,0.4535,mid
C0168,14.938,11.018,0.753,late
C0169,14.182,6.098,0.4841,mid
C0170,12.788,18.096,0.8201,late
C0171,1.107,9.973,0.2385,early
C0172,5.07,16.016,0.6308,mid
C0173,16.792,14.915,0.747,late
C0174,3.003,3.912,0.197,early
C0175,17.081,3.15,0.5165,mid
C0176,8.041,7.944,0.3977,mid
C0177,6.204,16.021,0.6244,mid
C0178,15.053,13.885,0.791,late
C0179,9.967,17.15,0.67,late
C0180,11.112,4.972,0.4514,mid
C0181,8.001,18.03,0.7029,late
C0182,3.859,14.972,0.4636,mid
C0183,14.923,12.792,0.6609,late
C0184,4.023,15.978,0.5699,mid
C0185,13.78,4.881,0.5301,mid
C0186,15.987,2.566,0.5186,mid
C0187,13.028,4.04,0.4282,mid
C0188,6.097,7.911,0.4338,mid
C0189,6.787,19.094,0.8541,late
C0190,11.794,13.081,0.6661,late
C0191,1.899,5.848,0.2363,early
C0192,9.044,18.168,0.679,late
C0193,12.976,16.963,0.7507,late
C0194,4.747,12.125,0.5353,mid
C0195,7.011,14.959,0.6941,late
C0196,9.196,-0.235,0.2294,early
C0197,17.924,1.001,0.4698,mid
C0198,-0.044,16.635,0.3956,mid
C0199,14.052,-0.005,0.3444,mid
C0200,6.152,5.306,0.3093,early
C0201,15.972,15.058,0.7569,late
C0202,4.038,11.025,0.3658,mid
C0203,7.979,9.058,0.4993,mid
C0204,12.169,6.873,0.4965,mid
C0205,15.285,7.076,0.5528,mid
C0206,0.045,0.663,0.0,early
C0207,4.998,17.854,0.6572,mid
C0208,13.086,11.143,0.5882,mid
C0209,3.172,6.975,0.2647,early
C0210,1.989,11.066,0.3974,mid
C0211,11.685,0.935,0.3632,mid
C0212,17.919,15.078,0.8838,late
C0213,1.931,2.112,0.127,early
C0214,2.971,11.128,0.3281,early
C0215,16.333,19.234,0.9008,late
C0216,15.142,12.172,0.6976,late
C0217,12.945,9.884,0.4609,mid
C0218,14.873,2.029,0.4277,mid
C0219,15.221,17.891,0.8674,late
C0220,4.07,6.813,0.2869,early
C0221,-0.182,12.129,0.3127,early
C0222,18.897,6.893,0.691,late
C0223,6.296,12.01,0.4986,mid
C0224,17.993,5.966,0.7142,late
C0225,13.062,13.894,0.7192,late
C0226,7.009,18.163,0.7072,late
C0227,4.952,12.643,0.4372,mid
C0228,2.902,19.115,0.5986,mid
C0229,1.168,5.055,0.1838,early
C0230,0.214,17.844,0.4677,mid
C0231,12.192,18.031,0.7122,late
C0232,2.101,18.571,0.4806,mid
C0233,18.134,0.035,0.5044,mid
C0234,6.286,14.028,0.5357,mid
C0235,15.854,1.88,0.4585,mid
C0236,15.061,19.046,0.8653,late
C0237,0.905,18.84,0.5279,mid
C0238,1.227,3.964,0.1714,early
C0239,9.99,10.92,0.6467,mid
C0240,11.21,6.167,0.4611,mid
C0241,4.847,-0.011,0.1252,early
C0242,17.862,13.278,0.8355,late
C0243,8.066,12.958,0.6155,mid
C0244,12.949,0.082,0.4635,mid
C0245,12.963,12.231,0.6947,late
C0246,1.861,6.815,0.1631,early
C0247,4.212,5.936,0.2746,early
C0248,1.213,12.132,0.3005,early
C0249,11.796,1.909,0.3185,early
C0250,12.007,7.967,0.6208,mid
C0251,11.045,12.908,0.6174,mid
C0252,17.987,10.15,0.7086,late
C0253,10.2,8.881,0.5758,mid
C0254,4.965,3.981,0.2464,early
C0255,2.798,13.141,0.3689,mid
C0256,1.085,11.078,0.3298,early
C0257,12.983,6.131,0.4391,mid
C0258,3.145,17.174,0.4974,mid
C0259,-0.026,15.052,0.4112,mid
C0260,12.942,7.952,0.4282,mid
C0261,5.147,10.008,0.441,mid
C0262,11.977,0.09,0.3373,mid
C0263,9.1,18.887,0.783,late
C0264,0.903,1.107,0.0422,early
C0265,6.079,6.969,0.3715,mid
C0266,19.179,2.985,0.5397,mid
C0267,15.71,4.881,0.5018,mid
C0268,5.779,18.172,0.6409,mid
C0269,19.076,2.018,0.5624,mid
C0270,8.652,9.778,0.491,mid
C0271,2.977,5.733,0.3047,early
C0272,9.141,5.985,0.3914,mid
C0273,16.979,6.99,0.6588,mid
C0274,13.857,18.844,0.882,late
C0275,9.715,8.004,0.4809,mid
C0276,10.061,12.964,0.6323,mid
C0277,3.958,0.859,0.049,early
C0278,17.038,4.632,0.5487,mid
C0279,0.834,15.901,0.5023,mid
C0280,3.924,10.033,0.3599,mid
C0281,6.971,0.023,0.2274,early
C0282,4.187,19.206,0.645,mid
C0283,1.097,0.187,0.0,early
C0284,16.259,17.056,0.8155,late
C0285,2.79,14.151,0.4194,mid
C0286,12.851,15.279,0.7113,late
C0287,17.259,15.922,0.855,late
C0288,18.835,12.897,0.8179,late
C0289,0.99,13.192,0.3398,mid
C0290,13.815,16.132,0.7595,late
C0291,4.69,8.182,0.2486,early
C0292,6.991,12.03,0.6038,mid
C0293,11.984,4.14,0.5006,mid
C0294,11.056,14.253,0.7151,late
C0295,-0.266,-0.136,0.0,early
C0296,14.798,9.108,0.5891,mid
C0297,6.747,5.365,0.4478,mid
C0298,12.014,17.183,0.7258,late
C0299,11.855,3.029,0.4701,mid
C0300,13.094,6.894,0.5475,mid
C0301,17.966,18.234,0.9104,late
C0302,19.19,12.087,0.7864,late
C0303,11.296,2.708,0.3544,mid
C0304,5.044,10.943,0.3961,mid
C0305,0.214,19.166,0.4453,mid
C0306,5.175,13.91,0.5295,mid
C0307,16.084,6.162,0.5451,mid
C0308,16.195,6.861,0.6503,mid
C0309,5.898,9.037,0.3908,mid
C0310,8.209,7.093,0.4164,mid
C0311,14.206,16.707,0.8234,late
C0312,-0.041,10.075,0.2521,early
C0313,9.04,7.716,0.4425,mid
C0314,18.165,7.052,0.6773,late
C0315,4.93,17.18,0.7028,late
C0316,7.741,15.923,0.5637,mid
C0317,5.133,6.056,0.2665,early
C0318,18.966,5.977,0.642,mid
C0319,1.965,15.13,0.3931,mid
C0320,2.954,3.102,0.1005,early
C0321,18.687,4.184,0.5292,mid
C0322,10.366,7.075,0.4615,mid
C0323,16.987,12.92,0.7635,late
C0324,18.105,15.902,0.9059,late
C0325,9.877,4.681,0.3173,early
C0326,17.036,10.956,0.6954,late
C0327,16.965,17.0,0.9417,late
C0328,0.894,6.028,0.2263,early
C0329,13.838,10.983,0.5789,mid
C0330,5.958,10.744,0.4857,mid
C0331,8.818,4.911,0.3392,mid
C0332,3.916,8.039,0.2647,early
C0333,2.939,1.992,0.1727,early
C0334,1.939,4.611,0.2236,early
C0335,6.981,5.874,0.2189,early
C0336,3.976,11.885,0.4651,mid
C0337,8.098,14.993,0.5859,mid
C0338,12.106,12.117,0.6141,mid
C0339,11.915,15.122,0.695,late
C0340,10.034,9.841,0.5797,mid
C0341,13.983,7.014,0.6182,mid
C0342,9.19,2.948,0.3401,mid
C0343,19.236,1.115,0.5768,mid
C0344,7.683,4.845,0.4394,mid
C0345,8.088,13.782,0.5762,mid
C0346,0.071,6.207,0.1186,early
C0347,16.96,1.211,0.5065,mid
C0348,2.199,17.992,0.5682,mid
C0349,2.995,12.027,0.3901,mid
C0350,4.067,2.766,0.1742,early
C0351,10.978,15.749,0.8114,late
C0352,14.948,5.967,0.5394,mid
C0353,4.727,8.81,0.3147,early
C0354,10.94,4.324,0.2705,early
C0355,2.792,18.019,0.5905,mid
C0356,5.866,-0.056,0.2209,early
C0357,16.148,10.047,0.6321,mid
C0358,16.064,18.073,0.9274,late
C0359,2.086,7.676,0.244,early
C0360,4.058,16.987,0.5594,mid
C0361,1.06,15.125,0.3997,mid
C0362,7.062,9.104,0.4281,mid
C0363,4.824,3.067,0.2555,early
C0364,11.984,5.987,0.4506,mid
C0365,2.195,13.927,0.3938,mid
C0366,3.9,8.803,0.288,early
C0367,17.956,5.161,0.6669,late
C0368,12.75,9.038,0.5344,mid
C0369,8.62,6.896,0.443,mid
C0370,18.066,13.919,0.7806,late
C0371,4.82,18.945,0.5214,mid
C0372,7.148,1.224,0.1972,early
C0373,2.227,16.102,0.4973,mid
C0374,16.054,13.148,0.8241,late
C0375,11.827,13.855,0.7176,late
C0376,9.194,15.128,0.6584,mid
C0377,14.131,10.033,0.5139,mid
C0378,16.876,3.838,0.5721,mid
C0379,11.141,12.162,0.542,mid
C0380,15.832,11.889,0.6965,late
C0381,-0.015,14.131,0.4647,mid
C0382,11.949,9.872,0.6271,mid
C0383,13.148,5.09,0.4296,mid
C0384,8.896,1.901,0.2716,early
C0385,9.166,12.808,0.6205,mid
C0386,14.956,16.067,0.8107,late
C0387,6.025,10.139,0.4186,mid
C0388,2.743,1.003,0.0487,early
C0389,10.045,19.05,0.7945,late
C0390,8.087,16.825,0.6917,late
C0391,16.217,14.068,0.7591,late
C0392,19.084,8.913,0.638,mid
C0393,6.027,1.2,0.286,early
C0394,10.998,17.029,0.705,late
C0395,15.048,4.755,0.5457,mid
C0396,8.974,11.104,0.4895,mid
C0397,18.927,16.994,0.9094,late
C0398,10.995,8.763,0.5716,mid
C0399,4.121,-0.203,0.0938,early
