"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S11_con","S12_con","S13_con","S14_con","S15_con","S16_con","S17_con","S18_con","S19_con","S20_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre","S11_tre","S12_tre","S13_tre","S14_tre","S15_tre","S16_tre","S17_tre","S18_tre","S19_tre","S20_tre"
"LOC126860433",8.54,9.761,7.481,8.51,4.659,5.702,7.578,8.45,6.378,7.497,7.09,4.067,8.28,9.271,4.175,5.582,7.951,6.683,7.699,8.81,11.357,8.807,11.168,7.976,9.659,7.209,6.235,10.183,7.838,8.87,7.764,5.888,5.612,6.458,9.676,8.483,8.395,9.217,9.78,7.659
"LOC126653372",6.154,7.389,6.078,7.386,7.314,5.952,8.588,6.146,5.483,5.787,7.692,7.595,5.877,6.202,7.735,8.003,5.833,8.648,5.243,5.949,6.03,8.063,8.804,7.273,6.399,5.362,5.833,5.372,3.904,8.234,5.579,7.033,8.654,3.852,6.49,8.23,8.866,7.46,7.268,7.243
"COL1A2-AS1",8.674,5.928,5.675,7.649,5.479,6.41,8.033,5.526,6.138,3.547,6.982,6.486,8.785,6.428,5.827,7.797,9.344,9.353,5.763,8.314,8.847,6.505,7.698,8.739,6.7,5.344,6.813,7.819,10.261,6.394,8.596,8.846,5.672,8.469,10.566,5.971,6.621,6.869,8.623,5.29
"LOC129995489",7.701,8.982,4.867,6.849,6.318,6.755,6.34,4.462,8.375,6.911,6.064,6.284,6.807,5.397,7.592,6.871,4.841,8.128,9.138,8.191,7.165,8.525,5.768,5.702,8.312,5.602,4.563,5.662,6.311,6.84,7.196,8.092,6.923,5.985,6.337,5.193,9.319,9.521,6.286,5.623
"LOC100129404",7.033,6.201,7.888,9.833,8.993,7.24,7.502,5.297,8.157,5.933,8.135,6.802,7.14,4.636,8.762,7.076,7.19,7.131,7.658,4.971,6.722,7.614,5.72,5.569,7.519,5.683,6.36,8.562,5.408,7.56,6.025,9.413,5.817,4.214,7.786,7.867,8.485,6.278,8.819,7.066
"LOC127400261",8.513,6.402,6.023,8.33,9.284,7.213,7.044,6.063,6.35,5.967,6.538,10.254,6.943,7.285,6.311,6.927,5.869,7.172,8.856,4.304,9.085,8.636,9.504,5.476,7.223,9.994,8.289,7.988,5.974,4.934,7.369,7.723,4.829,5.342,7.427,5.125,6.043,9.827,7.436,5.545
"ZNF596",6.522,7.577,7.931,5.277,8.401,8.008,9.296,6.269,7.291,8.815,7.475,7.564,7.267,5.008,8.783,7.308,6.299,6.068,7.504,7.692,8.821,8.404,5.149,8.543,6.952,6.082,6.801,6.566,6.553,4.198,7.45,6.313,9.867,7.223,6.719,4.68,7.716,8.333,4.871,7.12
"LOC102723803",6.528,5.185,9.594,5.214,7.224,5.963,5.303,7.323,7.292,7.732,6.952,6.556,7.447,7.933,6.344,6.804,6.241,5.06,6.248,5.092,6.211,7.804,7.85,7.208,4.361,3.732,9.048,9.935,7.668,6.841,7.517,5.947,6.711,8.069,7.155,4.737,7.132,8.387,7.386,8.127
"LOC127830072",6.991,6.347,8.75,6.984,6.223,8.253,7.342,5.918,9.739,8.14,5.864,5.42,5.91,4.346,9.197,8.671,8.628,8.856,6.277,7.689,6.345,3.838,10.369,7.41,6.667,5.787,7.242,9.053,4.978,5.099,6.85,4.322,5.684,8.546,6.008,5.822,7.655,7.285,8.197,5.992
"LOC127892114",6.869,5.621,5.925,6.563,7.629,7.652,5.961,6.631,5.372,9.059,4.014,9.623,7.482,6.066,8.084,5.004,5.85,7.01,6.749,5.815,3.256,3.888,3.535,4.278,3.789,3.393,6.363,5.12,2.248,4.698,3.025,4.905,4.926,3.336,4.908,2.384,5.11,4.918,2.207,5.357
"LOC126861458",6.807,8.527,8.48,7.315,8.086,5.004,4.723,5.66,6.614,5.681,6.391,5.748,5.416,7.702,7.163,7.921,7.825,8.591,5.477,5.334,6.483,4.882,8.651,6.356,6.891,9.076,4.371,6.844,9.352,9.011,6.262,7.698,8.14,10.505,8.061,7.335,5.343,7.107,5.601,5.861
"LOC114004413",6.762,7.429,6.128,6.453,8.138,5.29,6.378,5.552,7.318,6.954,7.25,7.532,8.305,6.708,7.626,7.709,7.567,9.612,8.308,8.734,6.333,5.488,6.04,7.935,7.303,6.483,7.095,4.918,9.556,8.22,5.317,6.599,7.055,7.14,7.993,7.87,6.589,7.035,7.785,6.099
"LOC129994068",5.884,6.625,7.375,6.277,5.365,9.016,5.69,6.566,5.984,8.352,6.606,8.02,8.74,7.796,6.941,6.225,9.403,7.03,5.883,7.333,7.149,6.402,6.085,6.811,6.51,5.92,7.434,7.649,7.25,7.881,7.181,7.342,6.915,5.877,6.569,6.529,7.791,7.078,6.876,7.042
"LOC129994696",8.246,8.718,7.213,8.259,5.513,7.231,7.068,5.196,6.955,7.427,5.895,7.927,7.654,7.211,7.204,5.827,8.132,7.666,8.494,6.435,8.297,6.888,6.553,7.401,7.341,6.537,7.716,8.317,8.306,8.898,5.227,5.196,7.335,5.978,9.306,7.311,6.897,5.503,9.363,8.077
"LOC129935437",5.909,6.941,7.707,8.192,5.859,6.59,7.511,6.065,5.739,6.352,4.975,6.132,5.529,6.966,6.846,7.005,4.186,5.718,9.016,6.333,6.835,6.702,7.195,4.798,7.832,8.895,6.919,6.816,7.481,6.506,7.367,8.167,7.138,7.959,6.458,7.726,7.026,8.086,7.239,6.879
"LOC111365218",6.012,6.721,7.012,7.913,7.519,7.325,7.13,10.159,6.763,6.915,7.035,5.89,6.191,9.346,6.066,7.476,8.059,7.589,7.841,7.418,7.319,8.937,6.311,9.338,9.527,7.045,7.777,7.906,6.866,6.557,9.31,8.578,5.29,8.66,9.286,6.078,8.657,6.552,4.286,6.907
"LOC130005680",5.874,7.175,7.379,6.965,5.194,5.281,6.992,7.241,8.281,5.415,7.093,5.56,4.65,5.622,9.041,8.315,8.549,6.456,6.391,7.74,5.231,7.178,5.769,8.5,8.565,7.477,6.057,8.368,8.603,6.94,4.957,8.082,5.882,4.279,8.072,6.919,7.254,5.421,5.955,9.328
"LOC129999723",9.157,6.162,7.822,8.089,8.055,6.658,7.895,6.195,6.993,8.208,8.705,7.413,8.462,6.815,5.557,6.74,5.875,5.77,3.431,8.146,5.206,9.008,7.677,9.198,8.627,6.601,8.305,7.909,7.936,7.99,5.186,6.663,6.878,6.84,9.08,4.845,5.076,7.347,8.735,6.956
"LOC115995522",7.724,7.074,4.241,4.972,5.057,7.905,6.373,6.933,7.094,8.069,7.166,7.369,6.498,5.901,8.06,7.875,7.997,6.893,6.869,7.653,6.149,7.507,7.724,7.567,8.167,7.27,6.361,9.795,9.064,9.012,7.181,6.536,4.988,7.965,7.908,8.09,7.631,6.294,7.014,6.976
"LOC126862401",7.782,8.211,6.645,5.229,7.539,6.316,3.495,7.9,6.885,6.08,8.909,6.757,7.534,5.871,9.578,5.216,4.627,5.57,7.694,5.018,7.969,6.72,7.329,7.188,7.215,8.514,9.361,7.441,7.599,6.689,9.92,5.866,7.552,6.348,5.714,8.45,8.199,10.902,7.853,6.035
"LOC129929297",4.439,7.265,7.493,8.528,6.869,6.129,8.464,7.396,5.762,8.899,7.031,5.34,6.584,6.565,4.984,5.705,6.484,7.375,8.246,5.027,7.625,7.386,8.255,7.249,6.113,6.589,7.135,5.623,6.123,11.76,6.455,7.358,7.705,7.04,6.435,7.92,8.063,9.308,7.966,5.895
"LOC129932975",6.506,9.114,7.27,6.419,7.115,5.985,6.851,6.727,4.006,8.693,6.393,5.025,5.875,5.729,5.622,6.231,7.098,7.192,8.704,5.946,9.877,4.482,5.953,7.195,6.897,6.445,6.756,8.928,6.435,10.06,6.573,6.783,8.699,6.463,7.364,6.793,6.3,7.067,7.518,6.463
"LOC127276003",8.505,6.229,7.169,7.373,9.488,8.843,7.958,5.142,7.44,5.071,7.412,8.5,6.087,7.925,5.474,6.67,7.551,7.955,8.761,9.074,7.494,8.778,7.228,6.835,9.487,6.524,7.185,6.324,8.411,6.378,7.195,7.069,7.611,8.032,7.69,8.904,7.664,7.356,6.378,7.79
"LOC127894488",8.807,6.599,9.248,9.377,6.877,7.625,7.702,6.631,5.76,9.25,6.921,6.951,7.201,8.065,7.02,6.872,7.607,7.511,8.583,7.779,5.485,4.953,8.447,4.216,5.069,4.696,5.378,4.569,4.722,4.502,5.327,6.231,5.362,2.616,4.161,5.268,5.43,4.312,2.961,4.819
"EMCN",4.385,8.737,6.829,6.465,6.997,5.051,6.816,8.495,3.546,6.656,6.883,7.149,6.418,7.502,6.311,6.18,8.207,5.332,7.406,8.361,5.61,8.418,3.762,7.322,6.579,7.279,5.223,6.407,6.237,7.071,5.714,6.126,6.671,7.057,6.911,9.204,6.832,8.3,6.876,8.203
"LOC127458427",3.963,5.432,7.117,5.643,6.557,6.11,7.863,7.133,6.753,8.793,5.258,8.152,7.015,4.427,8.121,7.482,6.172,4.022,8.609,7.04,6.394,7.668,5.958,6.605,7.081,7.17,7.739,6.617,7.865,6.507,7.848,8.737,8.324,8.191,5.447,9.424,9.242,6.106,8.715,5.813
"LINC01664",5.221,5.168,6.841,3.147,7.991,4.377,5.328,7.5,5.602,4.749,6.544,7.612,6.252,6.338,8.549,8.641,5.371,8.406,5.917,8.223,7.456,7.118,8.355,7.946,6.005,7.629,10.299,9.353,7.647,5.822,5.884,6.107,6.613,6.692,6.926,5.94,6.946,5.856,6.763,6.685
"DLX6-AS1",5.215,7.838,10.052,6.758,8.822,7.026,7.628,7.09,7.02,7.007,4.978,5.78,6.647,7.446,9.178,6.078,8.006,8.082,7.131,5.657,7.07,6.925,7.641,6.977,7.519,5.532,6.306,6.472,7.594,9.088,7.259,5.941,7.224,6.15,9.077,6.387,7.984,8.274,7.649,6.819
"MAP3K3",7.959,6.468,6.191,6.76,5.685,7.323,8.652,7.775,6.552,7.17,6.415,5.46,9.182,6.699,6.43,6.358,6.947,7.622,7.563,7.141,8.142,8.423,7,6.551,6.901,5.64,8.039,6.84,5.471,7.482,6.504,8.395,5.24,7.639,6.818,7.102,5.968,6.653,8.886,7.057
"RNU6-715P",7.591,5.727,8.425,8.243,7.346,6.638,8.99,9.416,7.134,6.526,8.193,4.917,7.121,8.768,6.883,4.516,5.868,5.545,7.713,8.762,6.713,6.989,4.899,7.222,6.427,9.025,7.845,7.498,6.602,7.673,8.378,8.274,5.248,8.719,7.562,7.586,7.485,6.816,5.035,7.911
"LOC125371438",9.31,5.795,8.479,6.31,4.875,5.535,6.386,7.693,8.289,7.615,2.223,5.631,7.358,6.403,6.969,6.495,8.385,5.843,6.735,5.436,7.858,6.481,6.728,7.095,3.978,7.111,5.074,6.337,6.709,5.28,6.283,8.76,7.15,5.078,7.358,10.069,5.562,7.875,6.034,7.752
"LOC130059958",7.253,8.031,6.037,6.61,9.042,4.695,6.618,5.068,5.694,5.813,6.06,7.157,7.243,6.752,5.494,7.779,6.72,6.056,8.18,9.068,8.509,8.479,7.14,6.175,7.362,8.195,6.396,5.786,5.607,5.223,6.732,6.166,8.311,5.746,5.493,5.399,6.644,4.076,6.972,6.812
"PCBD1",6.552,6.104,8.609,6.824,7.613,6.281,8.388,7.433,7.893,6.59,6.559,7.412,7.352,7.279,5.246,6.157,7.75,7.104,7.257,7.361,8.068,6.97,7.361,7.14,7.904,10.052,7.637,5.971,6.697,7.436,7.509,10.208,5.835,7.655,7.176,7.779,4.293,6.474,7.648,5.885
"NAMPTP2",9.096,6.946,7.767,7.445,8.977,3.952,6.295,6.47,6.827,5.647,5.413,5.687,8.292,7.53,5.41,5.144,6.682,8.95,6.177,8.212,7.66,6.976,6.445,6.929,6.244,9.367,7.52,7.293,3.689,8.136,7.398,5.298,7.477,8.521,6.304,3.5,6.304,6.488,7.593,4.206
"LOC129937520",8.008,5.979,8.31,7.824,6.381,8.285,7.708,7.137,6.18,7.199,5.209,8.942,7.696,7.469,6.747,5.293,8.142,8.992,9.372,6.677,7.182,7.959,7.512,7.944,7.589,7.792,8.347,9.236,7.776,8.51,8.44,6.158,7.033,6.968,6.83,8.452,6.399,6.979,6.689,6.871
"FOXC2-AS1",7.916,7.565,4.721,6.107,7.376,6.086,6.691,6.167,6.143,6.745,9.342,7.499,4.874,6.265,6.55,7.816,8.419,7.446,6.492,7.779,6.354,8.046,6.944,7.168,7.635,8.11,7.636,5.527,6.811,6.663,7.842,7.675,6.952,9.441,6.346,5.183,5.307,8.636,5.772,8.189
"APLP2",8.394,6.135,5.995,7.369,8.58,3.509,6.111,8.626,6.321,6.916,7.932,10.036,8.111,8.79,7.132,8.465,6.16,5.672,6.682,7.365,3.846,7.333,8.805,6.697,6.79,6.537,7.329,6.919,5.553,6.956,7.105,7.635,7.14,8.697,9.354,5.585,8.681,5.64,7.09,7.7
"LOC127404741",6.722,7.585,6.497,7.458,7.729,8.335,7.076,6.988,6.185,7.916,5.539,8.018,6.421,7.503,6.663,5.959,6.886,8.208,8.06,6.044,8.157,7.49,9.738,7.694,7.057,5.923,8.054,8.206,8.524,5.344,6.491,8.201,7.114,6.31,8.932,5.079,6.463,7.921,8.168,8.24
"CFAP100",7.473,6.288,7.245,7.094,8.155,7.439,6.802,7.675,5.291,6.358,7.262,6.861,7.632,7.417,5.455,8.096,8.111,6.656,6.76,6.125,9.457,7.912,6.567,8.24,6.079,6.281,7.168,5.257,6.713,5.364,7.424,7.549,7.174,7.284,7.337,6.076,5.751,7.074,6.756,5.455
"LOC130006258",8.409,9.414,6.919,8.834,8.66,3.417,6.458,6.428,6.237,6.596,6.315,8.263,6.5,5.641,4.486,6.109,7.912,5.238,6.145,7.122,4.822,5.852,3.87,5.64,5.165,4.71,4.303,4.904,5.28,3.528,4.106,5.216,8.485,4.081,5.895,3.803,6.42,4.427,5.492,4.471
"RPS18",4.462,7.523,6.807,4.689,6.608,6.637,6.238,10.195,7.612,6.955,5.666,7.477,5.775,5.693,5.536,5.8,7.194,5.733,9.783,7.823,11.097,7.299,10.839,8.681,7.791,8.75,6.97,9.469,10.977,9.18,8.234,9.569,13.975,10.438,8.176,10.051,9.459,8.271,9.917,9.525
"LOC102724684",7.02,4.576,7.779,7.801,7.174,5.647,7.912,6.82,6.555,6.691,7.668,7.644,6.339,6.09,7.876,8.422,6.614,6.18,7.998,8.378,5.025,7.869,6.497,5.742,8.415,5.738,6.3,10.559,8.135,8.483,5.826,6.333,8.315,8.403,6.832,7.314,6.285,7.707,6.13,6.371
"LETM1",5.868,8.787,8.188,8.598,7.107,8.724,9.315,7.582,6.009,8.132,7.916,8.706,6.045,6.1,5.106,8.706,7.991,6.58,5.99,7.062,5.039,6.734,6.363,5.206,7.613,8.123,9.239,6.56,5.031,8.905,6.846,8.57,7.982,9.116,7.106,7.593,4.586,6.395,7.183,7.448
"LOC129999308",5.829,6.903,9.167,5.383,6.431,9.468,6.488,6.57,7.586,8.265,5.638,9.015,6.832,8.076,7.386,6.765,5.62,8.754,6.361,6.839,6.971,5.101,5.554,7.913,6.165,7.08,8.499,7.88,6.635,7.546,8.195,5.069,6.993,7.751,7.549,7.46,8.081,5.588,7.044,8
"LOC127820367",5.991,7.296,7.785,7.189,4.342,7.188,5.459,6.34,5.821,9.531,9.861,7.089,6.702,8.094,6.257,5.252,5.519,8.052,7.395,6.934,7.271,5.018,6.794,6.127,7.219,9.419,5.068,7.036,7.968,8.874,6.192,5.66,6.677,7.402,4.84,5.345,7.015,4.115,4.511,7.054
"FCGR2B",7.47,8.805,5.489,5.734,6.271,8.288,5.827,7.072,6.076,6.578,5.582,7.097,5.547,7.967,6.422,7.198,5.019,6.737,7.5,7.156,7.403,5.624,6.704,8.765,7.878,6.432,8.1,5.075,6.722,7.193,7.204,8.811,5.673,8.796,8.034,7.921,7.048,6.541,7.681,4.189
"LOC127404554",6.977,7.528,5.216,6.535,8.955,8.908,7.257,8.622,7.321,9.222,8.103,7.618,7.944,6.826,7.779,5.293,8.04,9.284,6.194,7.068,6.218,9.015,5.23,8.051,6.88,6.844,6.331,7.751,9.674,4.112,9.225,5.893,6.422,7.806,4.702,7.534,8.752,8.448,6.166,6.704
"PREPL",5.546,10.33,8.734,7.046,9.995,6.415,7.02,9.029,6.326,7.226,6.993,6.223,7.901,6.026,6.364,7.28,9.419,9.033,7.391,7.237,10.446,8.066,9.278,6.214,7.102,6.983,7.332,9.316,4.617,8.883,7.455,5.989,4.093,7.22,7.528,7.984,7.767,6.203,5.243,8.449
"LOC129935412",7.763,6.316,6.488,6.784,5.698,7.632,5.594,6.779,7.11,4.417,6.449,8.973,6.659,4.913,7.833,8.57,7.538,6.997,4.838,7.264,8.123,8.986,7.728,9.406,7.141,12.024,8.429,10.832,8.577,8.899,9.523,6.735,9.419,6.72,9.046,8.978,10.282,9.252,9.782,9.184
"IZUMO3",7.632,7.458,7.46,9.546,6.172,6.676,7.294,7.028,5.523,5.115,6.84,8.153,4.866,5.274,8.767,6.729,8.741,6.654,6.594,6.908,6.023,8.019,7.575,9.622,5.852,8.066,5.209,4.29,4.072,6.365,7.878,7.082,6.791,9.525,5.711,8.338,7.259,6.616,6.426,6.541
"OR1D5",7.616,7.618,7.52,6.881,4.294,6.216,6.87,8.505,6.173,5.449,8.823,5.659,5.818,8.93,8.524,6.82,8.252,8.434,5.846,5.384,7.986,6.927,6.518,7.572,7.372,7.64,7.772,7.552,9.867,5.004,8.131,6.155,5.83,5.698,6.435,6.813,6.106,7.442,6.902,6.512
"LOC127823338",7.47,8.029,7.867,5.24,7.352,7.48,7.407,8.995,8.277,5.493,8.639,6.658,7.796,5.896,5.742,4.513,5.983,11.016,6.402,7.039,7.366,4.014,6.669,8.429,7.553,8.555,6.449,4.406,4.961,8.026,7.003,4.98,6.225,6.777,6.37,7.633,6.206,9.588,7.695,7.764
"LOC127408863",8.583,8.081,6.454,6.018,6.334,6.65,6.854,6.503,6.822,7.285,7.018,7.153,6.775,5.718,7.248,6.238,7.193,3.796,7.628,7.311,3.809,7.486,6.259,6.694,5.801,9.613,7.775,6.642,6.892,8.479,7.226,7.685,9.922,6.571,8.564,6.57,6.918,5.478,10.591,7.154
"LOC132090496",6.125,7.713,6.573,6.584,5.412,8.15,5.097,6.793,8.073,9.128,8.226,8.475,8.191,6.21,7.304,8.884,5.45,6.273,9.044,9.16,7.688,7.286,4.796,8.16,7.053,7.57,7.221,6.05,6.299,7.112,6.33,6.119,6.289,4.404,8.402,10.274,8.067,8.702,6.858,8.505
"LOC127459918",6.221,5.385,7.569,6.416,6.613,6.504,8.794,8.533,5.65,7.341,6.907,8.28,6.323,5.706,5.403,5.148,8.245,6.397,7.473,6.906,6.901,7.797,8.806,7.378,5.214,9.21,8.349,7.443,7.307,7.131,6.471,7.619,3.924,7.642,9.095,6.011,8.528,6.346,5.721,8.341
"SLC44A1",7.957,6.463,5.981,7.81,5.735,5.678,8.778,7.488,5.744,6.529,8.236,8.74,6.76,5.894,6.492,7.434,8.116,9.055,7.593,5.932,7.243,6.114,7.879,10.445,7.806,9.057,5.156,6.887,5.889,10.224,10.141,6.015,7.283,10.867,6.509,7.695,7.631,5.991,7.832,7.095
"LOC127895662",7.782,7.092,6.705,6.108,8.242,7.653,7.054,5.841,6.902,6.022,6.831,9.01,5.115,9.275,8.255,5.889,7.446,8.94,6.156,4.015,7.46,8.077,8.558,6.081,5.23,7.503,9.897,5.884,5.928,3.989,7.805,7.111,6.903,8.232,7.437,5.868,6.539,7.708,9.041,3.537
"ZSCAN25",8.442,6.357,6.243,7.712,7.55,8.136,9.019,8.019,8.135,8.864,9.081,7.427,8.491,6.013,8.013,5.671,6.828,7.04,7.971,6.979,7.344,6.636,7.252,6.376,8.639,7.474,7.093,7.904,4.145,3.622,5.572,5.095,5.141,6.747,5.687,4.375,6.944,5.686,8.101,10.668
"LOC127887083",6.985,7.419,5.572,6.577,7.138,5.018,8.194,3.396,5.871,6.263,4.652,7.035,6.984,6.335,7.284,8.896,7.563,6.155,7.764,3.894,7.094,6.177,5.045,6.817,8.634,8.578,5.007,6.741,6.843,7.074,7.169,9.648,6.482,8.025,9.311,6.593,5.827,7.61,5.917,9.966
"RNA5SP272",7.787,5.965,7.211,5.507,8.191,5.206,5.701,8.196,6.271,8.036,8.748,6.828,7.004,6.863,7.387,4.22,5.077,6.423,8.051,5.723,6.273,5.422,6.39,7.029,8.402,6.983,6.733,7.032,7.919,6.652,7.292,6.737,6.404,5.467,6.458,8.498,7.19,5.809,5.693,6.195
"LOC127893955",8.461,8.179,7.586,6.912,7.662,7.13,8.092,7.628,8.065,5.403,7.267,6.743,4.86,9.55,6.242,9.158,7.391,7.622,5.258,4.435,9.304,9.115,8.968,8.567,5.649,9.965,8.735,7.592,10.097,8.216,8.867,7.58,7.587,9.466,10.39,8.341,9.546,9.991,8.445,8.827
"LOC130000630",6.083,7.27,7.128,6.181,3.939,7.167,5.55,7.679,7.643,6.271,8.404,8.963,7.747,6.439,7.685,5.314,9.853,7.68,6.658,6.593,10.382,5.442,3.613,6.369,6.065,7.318,7.234,6.755,7.02,7.083,11.095,6.613,7.206,7.143,6.348,6.972,8.283,6.99,4.597,6.783
"TBC1D30",9.291,7.712,7.434,7.018,7.366,6.239,6.561,7.807,6.734,5.111,9.38,9.857,4.888,7.301,7.487,5.091,5.99,5.21,6.361,8.193,6.704,6.283,5.527,8.119,9.651,7.081,5.26,6.852,8.549,7.803,7.452,8.46,7.356,6.48,7.033,6.548,7.921,8.406,9.845,10.176
"LOC129933340",6.051,6.712,6.883,9.117,7.655,8.931,7.633,6.542,6.847,6.234,8.421,8.661,10.73,7.397,7.204,7.383,4.913,7.162,4.706,8.042,7.993,9.549,6.906,8.113,6.495,7.353,6.684,6.965,7.317,5.289,8.466,6.626,7.618,8.238,7.486,6.61,5.812,6.575,5.914,4.559
"LOC130005428",4.876,6.114,6.772,6.878,7.422,4.858,8.74,6.894,7.951,8.486,9.758,7.98,7.664,6.564,8.6,7.164,6.059,7.547,6.956,5.734,7.401,5.273,5.75,8.254,3.706,5.304,5.956,5.821,9.143,9.007,4.491,6.978,8.214,5.986,6.989,6.95,9.133,6.74,7.287,5.265
"LOC127820649",6.839,8.898,4.958,6.796,6.218,5.078,6.003,5.839,9.373,6.535,7.876,9.797,5.392,4.1,6.319,5.827,8.38,6.813,5.982,7.405,8.674,7.042,6.047,5.406,6.143,7.414,5.386,6.672,7.545,8.071,7.996,7.791,6.658,10.104,6.989,5.164,6.071,7.307,5.8,7.928
"LOC130066131",7.265,5.879,8.575,5.091,7.169,6.5,7.306,5.219,7.12,7.839,4.499,6.826,6.419,8.763,5.84,5.329,7.217,7.637,5.874,6.074,7.506,7.991,6.915,6.399,6.235,6.446,7.334,4.189,8.22,5.483,8.407,6.187,6.462,5.056,6.874,8.149,7.033,6.613,4.96,6.734
"LOC127897730",6.112,5.96,8.895,7.289,6.794,7.219,8.553,7.811,7.674,4.718,6.293,5.107,6.903,6.732,7.092,5.691,5.839,5.726,6.478,7.899,6.634,7.72,5.505,7.465,7.1,5.354,6.405,6.559,8.131,5.01,6.206,7.975,6.392,6.017,6.654,6.66,6.361,6.562,7.378,7.466
"LOC126860339",5.679,6.109,8.125,6.767,5.482,5.517,7.049,5.625,7.185,6.569,8.394,4.183,7.077,7.561,6.218,8.456,5.579,6.463,7.092,6.382,6.61,6.303,5.859,6.293,7.806,4.733,9.552,5.422,5.047,6.924,10.86,7.245,6.683,8.57,5.01,4.009,9.621,7.312,7.703,8.095
"LOC130056542",6.127,9.368,7.767,8.92,9.557,8.335,4.663,8.75,7.646,6.923,6.304,6.492,7.248,6.026,5.476,6.799,6.222,10.206,5.405,7.763,8.123,7.301,8.806,7.232,4.344,4.783,5.248,6.582,6.218,6.009,8.48,6,8.156,6.433,6.053,7.772,7.302,9.467,5.078,7.044
