,Epithelial_prog00,Epithelial_prog01,Epithelial_prog02,Epithelial_prog03,Epithelial_prog04,Epithelial_prog05,Epithelial_prog06,Epithelial_prog07,Epithelial_prog08,Epithelial_prog09,Fibroblast_prog00,Fibroblast_prog01,Fibroblast_prog02,Fibroblast_prog03,Fibroblast_prog04,Fibroblast_prog05,Fibroblast_prog06,Fibroblast_prog07,Fibroblast_prog08,Fibroblast_prog09,Myeloid_prog00,Myeloid_prog01,Myeloid_prog02,Myeloid_prog03,Myeloid_prog04,Myeloid_prog05,Myeloid_prog06,Myeloid_prog07,Myeloid_prog08,Myeloid_prog09,Tcell_prog00,Tcell_prog01,Tcell_prog02,Tcell_prog03,Tcell_prog04,Tcell_prog05,Tcell_prog06,Tcell_prog07,Tcell_prog08,Tcell_prog09,NicheResp00,NicheResp01,NicheResp02,NicheResp03,NicheResp04,NicheResp05,NicheResp06,NicheResp07,NicheResp08,NicheResp09,NicheResp10,NicheResp11,NicheResp12,NicheResp13,NicheResp14,NicheResp15,NicheResp16,NicheResp17,NicheResp18,NicheResp19
SP0010,1,4,2,2,3,1,1,2,1,1,4,2,10,7,6,7,15,13,4,4,4,0,1,2,1,0,0,1,3,2,1,0,1,1,1,1,1,1,3,3,0,0,1,1,1,0,1,3,0,3,0,1,2,4,3,3,0,1,2,2
SP0011,8,10,10,4,8,12,9,6,7,7,0,0,0,2,0,4,1,0,1,1,5,1,3,0,0,3,0,2,2,2,1,1,1,2,1,1,1,2,1,2,3,0,1,0,1,1,2,0,2,2,0,2,2,1,7,2,2,2,3,4
SP0012,0,0,1,0,1,1,4,1,0,3,0,4,0,1,2,0,4,3,1,2,6,4,10,8,17,13,12,12,8,10,1,1,2,2,2,0,1,1,1,1,3,3,0,1,1,1,0,2,1,1,5,1,1,2,2,3,3,1,2,2
SP0013,0,0,4,2,0,2,3,1,0,1,8,12,5,8,14,20,13,8,9,7,1,0,0,2,2,2,1,0,1,1,1,5,0,1,1,2,2,4,1,1,2,1,0,3,1,0,0,2,3,3,0,3,6,0,4,3,1,5,2,1
SP0014,0,1,1,2,3,0,2,0,1,0,2,2,3,1,1,4,0,0,1,2,2,0,1,1,1,0,2,3,1,1,9,10,13,10,11,7,8,10,10,7,2,3,0,2,1,2,0,2,0,0,1,1,2,4,4,3,0,3,3,0
SP0015,13,9,10,6,10,14,9,5,10,8,3,0,0,3,0,2,0,2,1,0,1,2,0,2,1,1,5,3,2,1,0,2,0,1,2,5,2,1,2,2,2,6,1,3,1,1,0,1,1,2,1,2,0,1,1,2,1,2,0,1
SP0016,2,1,4,1,2,2,2,1,1,2,3,0,3,0,1,0,1,1,1,0,0,0,4,2,2,4,2,1,2,0,4,2,8,9,8,7,10,4,8,5,3,0,3,1,3,1,0,2,2,0,0,1,0,0,1,1,3,2,0,0
SP0017,1,2,1,5,2,1,0,0,1,0,0,3,3,0,1,3,0,3,1,2,0,0,1,0,3,0,1,1,1,0,9,10,12,10,13,16,5,8,2,8,1,3,0,2,0,0,2,2,1,1,1,1,1,2,1,1,1,1,0,1
SP0018,3,0,0,0,1,2,2,2,1,3,4,2,1,1,2,1,2,2,0,2,2,1,0,0,3,0,1,0,1,3,10,16,14,5,5,9,10,15,8,5,1,3,2,0,1,2,2,3,2,0,0,3,1,2,1,1,1,3,1,1
SP0019,3,2,2,1,2,1,1,4,2,1,18,9,3,7,5,7,9,8,10,12,0,3,3,0,0,1,1,5,2,1,3,2,0,0,0,0,1,1,2,0,0,2,0,1,1,1,2,1,5,0,2,1,2,2,1,5,1,1,1,1
SP0020,0,0,2,0,1,1,2,3,1,1,4,1,2,1,1,1,1,1,1,1,1,3,4,0,1,2,0,5,2,0,8,7,5,4,7,8,8,7,11,9,1,3,2,2,3,1,5,0,0,0,0,0,1,2,1,1,5,2,1,3
SP0021,11,9,7,11,14,11,4,11,8,10,0,2,0,1,0,0,2,2,1,2,2,3,0,0,0,3,0,3,0,1,1,2,0,3,1,0,1,1,1,0,6,4,4,1,5,3,0,2,3,1,2,0,2,1,2,2,0,1,2,1
SP0022,0,3,3,1,0,2,0,0,3,2,6,10,7,10,6,11,6,7,19,9,1,0,1,0,0,2,1,1,0,1,0,1,0,4,3,1,1,3,3,1,0,1,1,3,2,1,1,1,1,1,2,1,4,0,1,0,1,0,0,2
SP0023,10,6,10,14,6,5,6,15,5,5,2,2,1,1,2,0,1,0,1,0,0,3,1,0,0,1,1,1,1,1,1,1,1,1,3,1,0,1,2,2,6,0,5,3,2,2,1,0,3,1,0,2,2,1,2,4,0,2,0,0
SP0024,0,0,1,2,3,1,1,1,3,2,2,2,1,1,1,1,1,1,0,1,1,0,1,1,2,4,1,0,2,1,13,9,13,7,8,14,11,11,11,9,2,2,2,5,1,2,1,2,1,1,2,3,0,1,3,1,1,0,3,1
SP0025,10,7,7,8,11,10,8,8,10,11,2,0,0,1,2,2,1,1,0,3,1,0,2,1,1,0,1,1,2,3,2,0,1,1,0,2,2,3,0,1,2,0,4,2,0,0,0,1,6,1,2,4,3,0,4,0,0,0,1,0
SP0026,1,0,3,4,2,1,1,1,2,2,1,0,3,1,1,3,1,1,1,2,2,0,0,0,0,1,4,3,3,1,14,11,11,4,13,4,8,7,10,8,2,4,1,2,1,3,1,3,3,4,0,2,1,2,0,2,1,0,0,1
SP0027,0,1,5,3,3,0,0,2,1,2,1,2,2,2,1,2,1,2,2,1,1,1,4,2,0,1,1,2,2,1,10,5,6,5,2,10,11,9,6,8,2,1,2,4,1,0,3,1,0,3,3,0,4,4,2,2,2,2,0,3
SP0028,2,4,0,3,0,1,0,0,1,2,1,2,3,2,0,2,0,3,2,1,1,1,2,5,0,0,0,4,5,1,6,12,10,11,4,5,6,7,7,14,2,0,2,3,1,4,1,3,0,0,0,1,2,2,0,0,1,1,0,1
SP0029,1,2,0,0,3,2,2,2,1,1,5,0,4,2,3,1,0,0,3,0,0,2,1,3,1,1,1,1,0,1,7,12,5,12,3,10,7,6,13,7,1,2,1,0,0,4,0,2,1,2,1,1,2,3,4,1,4,1,2,1
SP0030,0,0,1,3,0,2,2,0,3,2,10,5,14,16,13,9,13,8,10,10,0,1,0,1,3,0,0,0,0,1,0,1,0,3,2,3,2,1,3,2,0,1,0,2,1,0,0,0,1,1,2,0,1,3,0,1,4,2,0,2
SP0031,1,1,2,1,1,2,0,0,1,2,1,0,1,2,1,1,1,1,1,1,4,8,12,15,8,14,8,5,12,8,1,0,0,2,3,1,0,2,4,0,2,1,3,3,2,2,0,0,0,0,1,1,1,2,1,1,2,1,1,4
SP0032,1,4,0,0,3,1,0,0,2,1,0,2,2,3,2,3,0,0,1,3,7,11,6,10,10,11,7,8,10,14,1,0,1,0,2,0,1,0,2,0,1,0,4,2,1,0,1,0,0,1,2,0,2,0,4,2,1,0,2,2
SP0033,3,2,0,2,2,1,2,2,2,2,0,0,0,3,2,4,2,1,0,3,0,1,2,1,0,2,1,1,2,1,6,8,11,7,9,14,8,11,8,13,1,0,2,1,2,1,2,1,2,2,3,1,3,2,5,2,3,3,1,6
SP0034,2,2,2,2,1,0,1,0,1,3,11,11,12,10,15,5,10,2,8,14,5,3,1,2,0,2,1,1,2,0,1,0,2,0,1,0,2,0,3,1,3,0,1,1,4,3,1,3,2,2,0,2,3,3,1,2,1,0,3,0
SP0035,0,1,2,3,0,1,1,0,1,0,12,8,4,23,7,7,6,4,5,4,1,0,1,0,1,3,2,0,1,1,1,2,1,0,3,1,5,1,1,0,0,1,0,1,4,1,0,2,0,3,2,0,2,1,0,2,1,2,1,0
SP0036,8,5,12,5,9,10,7,6,16,7,1,1,2,2,3,0,3,0,1,0,2,1,0,0,0,2,0,4,0,2,2,1,1,2,2,1,2,3,0,1,1,2,4,2,3,2,4,6,0,2,0,2,0,0,2,1,2,1,3,0
SP0037,6,15,8,13,8,10,9,7,7,14,0,4,1,3,2,1,3,0,2,0,3,0,2,1,1,3,2,1,2,0,0,2,0,0,1,3,0,2,2,3,3,2,2,1,0,4,2,1,1,3,2,2,4,0,2,1,1,0,0,0
SP0038,1,0,1,0,0,0,5,4,2,1,0,3,0,3,3,0,3,1,1,0,9,11,17,5,6,8,8,10,12,4,1,1,1,0,2,1,3,0,0,2,2,2,0,1,1,3,0,1,0,6,2,1,2,1,2,3,1,2,1,2
SP0039,4,1,0,0,0,1,1,1,0,3,0,1,1,2,3,5,2,0,3,3,13,3,11,7,9,8,7,10,9,8,1,1,1,0,0,1,2,3,0,1,0,3,1,5,3,0,3,1,1,1,2,4,0,3,2,3,5,3,0,0
SP0040,1,4,1,1,2,3,0,2,2,0,3,2,1,0,2,0,0,1,2,0,2,3,4,3,3,1,2,2,1,0,9,9,6,8,12,9,12,10,10,6,0,2,0,1,0,1,0,1,2,2,2,2,5,1,3,3,2,2,2,1
SP0041,3,1,0,0,0,1,1,1,0,0,0,0,1,3,2,1,2,2,1,1,14,13,14,7,9,3,6,10,5,14,0,2,2,2,3,2,4,3,1,1,0,0,2,0,2,1,0,3,2,1,2,1,2,3,0,2,2,0,2,0
SP0042,1,1,2,0,1,1,1,3,2,3,2,1,2,1,3,0,1,0,0,3,0,1,1,0,3,1,1,1,1,3,14,17,5,11,12,11,14,11,6,8,1,3,2,3,1,0,1,1,1,0,0,3,1,1,1,2,1,3,3,1
SP0043,3,1,1,1,1,1,0,1,0,0,3,1,2,1,3,2,0,2,1,2,2,7,6,10,7,15,15,15,12,12,1,0,0,1,0,2,1,1,2,1,1,0,0,4,1,2,1,2,3,2,2,8,2,1,2,3,0,0,1,3
SP0044,1,1,2,3,0,0,2,1,4,0,0,0,3,1,0,4,1,4,0,1,10,7,8,17,12,7,13,5,12,11,2,1,1,0,1,1,0,1,3,0,3,2,5,1,3,1,3,3,8,2,3,4,1,3,1,2,0,3,3,2
SP0045,0,2,1,1,2,1,1,1,0,1,9,12,14,11,5,5,15,6,3,8,1,1,2,5,1,2,5,1,1,3,1,0,0,1,1,1,2,6,0,0,6,1,0,2,3,4,1,1,0,4,4,0,1,0,1,0,0,0,1,0
SP0046,9,6,17,6,10,9,9,11,7,7,1,2,1,3,1,3,1,1,0,2,1,1,3,2,1,0,4,3,1,0,3,2,3,1,1,3,3,7,2,1,1,0,2,0,0,0,0,0,2,2,0,3,2,3,2,3,5,2,1,1
SP0047,6,8,4,13,6,7,8,9,10,15,2,0,1,1,0,2,1,0,1,0,1,3,1,2,2,3,2,1,0,1,3,1,1,2,2,2,2,0,2,2,1,1,3,2,2,0,1,3,3,0,3,1,0,1,0,3,2,1,2,2
SP0048,1,4,2,1,1,2,1,1,4,3,7,8,12,8,14,7,5,2,7,13,0,2,2,1,0,1,1,1,4,1,2,2,0,2,1,2,1,4,2,1,3,0,1,2,1,3,2,1,3,2,0,0,1,2,3,0,1,2,1,1
SP0049,1,2,2,1,2,2,1,2,0,0,3,1,0,0,5,3,0,2,1,2,6,11,5,16,10,8,8,7,9,10,1,3,0,2,0,1,2,2,3,2,1,3,2,2,2,1,1,4,2,2,4,4,0,3,2,0,3,2,2,1
SP0050,2,1,0,0,2,2,0,1,0,4,1,4,0,4,1,1,2,0,1,1,11,18,17,7,15,17,9,8,15,14,4,1,3,4,4,1,3,4,3,3,2,0,1,1,0,4,1,4,3,4,1,2,2,1,2,3,2,1,1,1
SP0051,0,1,1,1,2,0,2,1,1,1,11,7,7,8,14,13,4,4,11,12,2,1,3,2,0,0,3,1,0,4,1,1,0,2,0,2,2,1,2,2,1,6,0,4,1,2,1,2,2,1,2,1,3,4,1,2,2,1,3,0
SP0052,1,0,1,1,1,1,2,0,0,1,2,2,1,1,1,3,3,1,5,1,1,2,1,2,0,0,1,1,2,3,11,3,12,5,11,4,13,9,10,17,5,0,3,4,2,4,3,0,2,4,2,4,1,0,2,0,2,3,2,1
SP0053,0,1,3,0,2,2,2,1,2,1,0,0,0,1,0,5,1,1,0,1,2,0,4,2,3,1,0,1,2,2,5,6,10,6,15,9,13,5,10,9,2,0,0,0,2,1,0,0,0,0,1,2,3,2,1,3,3,1,0,1
SP0054,3,1,2,3,2,0,1,1,2,1,1,0,0,2,2,1,4,3,2,0,12,19,3,2,11,16,13,10,9,7,3,0,2,2,6,0,0,1,0,1,1,2,0,1,0,1,0,4,0,0,2,3,0,1,2,2,2,1,0,1
SP0055,9,8,7,16,4,8,12,7,7,8,0,2,2,0,0,0,2,4,1,0,1,2,0,1,3,0,0,0,0,3,3,0,1,2,0,2,3,0,1,0,2,1,3,3,3,4,1,2,1,1,0,2,0,1,0,3,2,0,4,2
SP0056,2,1,3,3,2,0,0,3,2,4,3,0,1,3,2,2,1,5,2,0,0,2,0,0,4,4,0,1,3,0,9,13,9,9,8,9,3,8,11,8,1,1,2,0,1,2,0,1,1,1,1,2,0,3,1,2,0,2,0,1
SP0057,2,0,1,1,0,4,2,2,1,0,0,1,0,1,1,0,0,1,2,1,8,9,6,8,10,11,7,9,12,12,3,2,3,0,0,4,0,0,0,2,3,2,3,1,0,2,1,1,3,3,0,3,1,0,3,1,1,0,3,2
SP0058,9,16,9,8,12,7,6,6,13,8,2,0,2,2,4,0,0,2,0,0,0,5,1,1,2,2,0,1,2,2,3,2,3,2,1,0,1,0,0,3,2,1,2,2,0,2,1,4,1,2,1,3,0,3,2,1,1,2,2,2
SP0059,3,1,0,1,2,1,1,1,6,3,1,1,0,1,6,1,1,1,1,2,4,1,3,1,0,0,1,1,2,2,10,4,5,12,8,9,7,5,10,4,1,4,2,3,2,1,0,1,1,1,3,0,5,2,5,1,5,1,0,2
SP0060,7,8,21,9,10,10,10,9,6,7,2,0,2,0,0,1,0,2,2,2,2,2,3,1,1,2,3,0,3,2,1,1,2,2,1,3,0,2,2,0,1,2,3,0,0,2,0,3,0,0,2,1,1,2,1,1,2,0,1,2
SP0061,0,2,1,1,1,1,3,1,2,2,12,8,7,13,12,11,15,11,7,11,2,0,2,2,0,1,1,4,1,1,2,0,5,1,1,0,1,2,0,0,0,0,4,1,1,2,3,3,0,1,0,1,2,1,0,1,1,5,0,2
SP0062,1,0,1,1,0,0,2,3,2,2,10,7,13,13,5,5,10,11,6,4,0,2,1,0,3,1,1,0,1,3,1,0,2,2,2,2,3,2,3,2,1,0,1,1,3,4,1,3,2,1,1,3,2,1,0,0,0,3,3,4
SP0063,11,9,14,12,7,11,10,6,10,8,0,0,1,2,0,1,5,1,3,1,5,2,1,2,1,0,2,2,4,2,1,0,1,2,3,2,1,1,3,1,2,1,2,3,0,1,1,0,1,5,1,1,2,1,1,4,4,3,2,0
SP0064,0,2,0,2,1,3,1,0,2,1,3,0,1,0,2,3,1,0,0,0,1,1,2,5,2,2,2,3,0,1,8,6,12,10,14,9,15,7,8,9,1,0,1,1,2,1,2,1,3,0,2,1,0,2,2,1,0,3,0,0
SP0065,2,3,1,0,1,2,1,2,0,1,3,1,3,0,1,2,2,3,2,1,7,4,6,3,9,6,9,7,3,15,2,2,1,0,1,1,2,4,0,2,1,0,2,2,4,2,3,1,1,0,2,1,3,0,1,4,1,1,0,2
SP0066,8,12,13,10,18,9,4,11,11,25,3,0,2,0,1,2,3,1,1,0,0,0,3,2,1,5,0,1,1,6,1,1,3,0,2,0,1,2,1,2,1,2,0,0,2,3,1,1,2,1,1,2,2,0,1,0,3,0,1,1
SP0067,1,3,3,0,1,1,0,1,2,2,1,5,2,0,0,2,2,0,2,1,1,2,3,1,4,1,3,1,0,4,8,15,4,10,10,3,12,10,7,9,0,2,0,1,1,1,3,1,2,0,1,1,1,3,0,3,1,1,2,1
SP0068,2,0,1,1,1,0,1,2,0,0,9,4,11,18,9,13,8,6,5,6,0,1,0,1,2,2,0,3,3,0,1,0,1,0,0,5,0,0,1,2,5,1,2,0,4,1,1,4,3,4,2,0,2,1,1,0,0,1,1,0
SP0069,2,0,4,1,2,1,0,0,0,2,0,1,2,0,0,2,2,0,1,1,2,2,1,2,0,1,2,1,0,0,2,9,13,8,8,12,11,8,13,6,1,1,2,4,0,2,4,2,0,1,2,2,2,0,0,2,1,2,1,4
SP0070,3,1,1,3,0,0,1,0,3,1,3,1,4,1,3,3,0,1,0,2,13,9,6,12,6,9,12,14,12,9,0,2,3,0,0,1,1,1,0,0,2,1,0,2,3,1,1,1,2,1,1,0,2,1,3,0,4,1,3,3
SP0071,3,0,1,1,1,0,0,2,2,1,2,2,1,0,0,3,0,8,0,0,1,1,2,1,0,0,1,0,1,5,8,4,11,15,5,11,9,10,10,10,3,2,1,3,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,3
SP0072,3,2,3,1,1,2,0,2,1,1,1,2,2,1,1,1,4,2,1,2,9,11,11,9,9,9,6,16,3,20,0,1,1,2,2,2,1,2,2,0,4,4,1,3,2,1,0,3,1,2,1,0,0,4,0,2,0,3,0,0
SP0073,1,0,0,1,0,0,1,2,1,2,8,4,10,14,9,11,7,9,9,11,1,1,0,1,2,2,2,0,2,2,0,1,4,1,1,0,0,6,1,1,4,2,1,2,2,3,1,1,4,1,1,2,1,3,0,5,1,4,1,1
SP0074,10,10,6,6,6,8,7,12,13,11,2,1,3,0,1,4,3,0,3,3,6,2,2,1,1,1,3,2,4,2,0,2,1,2,1,1,0,2,1,0,1,0,2,3,4,3,2,2,0,0,1,1,2,0,2,0,3,3,0,1
SP0075,4,1,1,3,0,4,0,1,1,2,0,3,1,1,1,1,3,3,0,2,3,0,1,0,2,2,0,3,1,1,8,14,8,4,4,8,7,8,12,8,3,0,3,1,0,2,0,3,1,4,1,1,2,5,0,0,0,0,2,1
SP0076,0,2,2,1,2,2,1,0,0,2,4,1,4,1,0,1,2,3,4,1,0,0,0,0,0,2,0,0,1,0,6,4,4,7,7,6,10,11,7,4,1,3,2,3,1,2,3,1,2,2,6,1,1,2,1,1,1,0,1,1
SP0077,0,1,1,0,1,2,2,2,1,3,8,3,4,7,11,10,10,4,5,10,2,6,2,2,0,0,0,2,2,0,0,1,3,0,1,1,1,3,3,2,0,2,4,1,1,1,3,3,4,2,0,2,2,1,1,1,1,1,1,1
SP0078,4,1,1,0,2,3,4,4,1,0,5,13,13,12,8,10,4,12,5,10,1,5,3,1,2,2,1,0,1,3,1,1,4,2,0,1,1,3,0,1,2,0,4,3,1,3,2,0,1,1,0,1,1,0,1,2,1,1,4,0
SP0079,2,1,0,3,1,0,2,1,1,2,0,1,1,0,1,1,5,2,2,2,0,0,1,2,3,2,0,2,3,1,12,6,6,7,12,9,9,15,10,6,2,1,3,2,1,0,1,3,1,2,0,1,3,1,3,0,2,5,0,2
SP0080,0,3,0,0,7,1,2,7,3,4,1,0,1,0,1,1,2,0,0,1,7,5,4,6,5,9,9,12,10,6,1,1,0,1,1,7,0,1,2,2,1,1,3,3,0,1,2,4,5,4,2,2,1,2,1,4,0,0,2,1
SP0081,2,0,2,0,2,0,0,3,2,1,7,5,4,10,11,12,9,9,5,8,3,1,4,1,1,3,1,0,2,1,3,2,4,1,2,3,1,0,1,1,2,2,0,1,0,0,0,1,2,0,2,1,2,4,0,2,0,2,1,1
SP0082,1,0,1,3,2,1,0,1,2,1,3,3,5,2,2,1,4,1,0,0,1,1,1,1,0,3,0,2,0,3,14,10,12,9,19,14,4,1,14,6,1,0,2,0,3,2,1,3,3,1,2,1,1,2,1,2,4,1,1,0
SP0083,7,8,8,3,7,9,13,8,12,16,0,2,2,0,0,0,3,0,4,1,2,1,3,1,1,4,3,0,3,3,1,0,1,1,1,1,1,0,2,1,0,0,0,0,0,1,2,1,1,2,2,0,3,4,1,1,2,2,1,0
SP0084,4,0,2,2,1,1,1,1,2,1,5,6,8,5,6,13,12,13,16,5,1,3,1,3,2,1,3,2,0,2,2,0,0,2,1,1,2,3,4,2,5,2,0,1,1,1,5,2,3,1,2,1,2,1,2,0,1,2,0,1
SP0085,18,10,8,9,4,12,11,10,14,21,2,4,0,0,0,1,2,1,3,1,3,3,3,1,1,1,0,4,2,0,0,4,0,0,0,1,0,2,2,2,0,5,2,1,2,2,4,1,0,0,0,2,1,2,1,3,0,2,1,1
SP0086,0,2,0,0,5,1,0,1,0,2,1,1,1,1,2,2,1,4,1,5,0,4,2,1,2,1,1,2,4,0,18,14,10,11,8,12,11,7,7,8,4,1,0,2,3,2,4,3,1,1,1,3,1,3,2,3,2,3,0,3
SP0087,2,1,0,0,2,3,0,0,0,1,8,5,11,7,10,8,9,15,13,7,0,1,1,1,3,3,2,0,5,1,3,0,0,2,2,2,0,2,2,1,3,1,1,3,5,2,0,4,0,0,1,3,2,1,5,0,1,1,0,2
SP0088,12,12,8,6,6,7,4,16,7,11,3,1,0,1,2,2,2,0,2,2,0,3,1,1,1,4,0,2,0,0,0,0,2,2,0,1,2,3,0,1,3,0,4,1,1,3,0,1,1,1,1,1,1,1,2,0,1,1,3,2
SP0089,1,1,0,0,1,1,2,0,1,0,5,4,7,6,10,7,11,4,15,14,1,1,3,2,2,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,2,1,0,1,1,3,3,0,2,0,5,2,0,0,2,0,2,1,0,1
SP0090,2,1,1,2,1,1,0,1,2,0,7,18,9,10,13,8,11,12,7,9,2,1,2,2,1,1,0,1,0,4,0,3,1,4,1,3,0,2,2,0,2,1,3,2,1,1,0,0,1,2,0,0,3,3,2,1,3,2,0,1
SP0091,13,14,9,19,5,10,10,12,6,13,0,2,0,2,2,2,1,1,2,3,2,3,0,0,0,2,1,1,0,0,2,0,0,2,4,0,1,2,0,1,3,1,1,3,1,2,2,1,3,1,0,2,2,0,1,4,3,2,1,0
SP0092,8,12,6,10,8,11,11,9,6,11,2,1,0,0,2,1,1,2,3,4,1,1,0,1,0,2,2,3,3,3,2,3,2,1,0,2,2,3,1,1,0,2,0,1,1,1,0,0,4,1,0,1,1,4,3,1,2,1,2,0
SP0093,17,11,9,9,3,8,8,11,13,11,1,2,0,1,2,2,2,2,2,0,1,0,1,2,0,1,1,1,1,1,0,0,3,0,1,0,2,2,1,2,1,2,0,1,4,1,2,1,0,1,1,0,2,1,0,2,0,0,2,0
SP0094,3,0,2,2,1,1,1,2,4,1,1,4,2,3,2,1,0,1,2,1,3,2,2,3,1,0,0,2,1,2,7,10,8,10,7,6,8,14,5,15,0,3,0,1,1,1,0,1,1,0,4,0,0,3,4,6,4,1,1,1
SP0095,0,0,0,0,1,3,0,0,3,0,2,3,1,3,1,2,1,4,0,0,14,5,7,15,9,9,14,8,13,12,2,2,3,1,2,2,1,1,3,1,1,2,1,2,3,2,0,2,1,5,0,0,4,2,4,1,2,3,1,0
SP0096,0,2,0,1,2,0,2,2,0,0,8,10,11,11,8,14,11,8,10,13,5,0,2,2,1,2,0,1,1,0,3,3,2,1,2,2,0,0,0,1,0,0,1,1,1,1,1,0,3,1,0,0,3,2,0,1,5,0,0,1
SP0097,2,3,2,1,0,2,0,0,0,2,1,1,1,2,2,0,3,2,2,2,0,2,5,0,1,1,2,0,4,0,14,9,10,13,13,15,8,11,12,2,3,1,1,2,2,1,0,1,1,2,3,1,2,1,3,0,4,2,1,3
SP0098,1,0,2,2,2,2,0,2,3,2,0,3,1,2,1,1,0,4,2,0,1,0,2,1,0,2,2,3,0,1,6,4,7,11,10,4,12,7,7,14,2,0,0,1,3,2,1,0,0,1,1,2,3,3,1,2,5,1,0,1
SP0099,1,1,0,2,0,1,1,2,1,3,6,4,10,9,8,4,8,22,15,9,1,0,0,0,5,0,1,1,1,1,1,3,0,0,0,2,4,0,2,3,1,1,2,5,1,1,1,0,1,3,2,5,0,0,0,2,0,1,0,2
SP0100,5,9,11,3,7,11,8,18,12,12,2,1,2,2,3,0,0,3,1,2,1,0,2,1,3,0,0,2,0,3,1,1,2,1,1,0,1,1,0,0,2,6,0,3,1,1,4,1,1,1,0,2,1,1,1,2,1,0,0,0
SP0101,5,9,6,8,8,4,4,9,4,4,2,1,2,2,1,0,0,0,1,2,3,0,1,1,1,2,2,0,0,2,0,1,1,1,2,3,2,1,1,2,6,5,1,3,2,3,1,3,4,2,6,2,2,5,0,0,3,2,2,0
SP0102,1,1,1,0,1,3,2,2,1,3,0,1,2,4,1,1,2,0,1,2,0,3,1,0,1,1,0,1,1,1,8,7,15,8,8,8,4,4,8,10,2,1,2,3,2,1,0,0,2,1,1,1,0,2,3,1,0,4,2,2
