,Epithelial_prog00,Epithelial_prog01,Epithelial_prog02,Epithelial_prog03,Epithelial_prog04,Epithelial_prog05,Epithelial_prog06,Epithelial_prog07,Epithelial_prog08,Epithelial_prog09,Fibroblast_prog00,Fibroblast_prog01,Fibroblast_prog02,Fibroblast_prog03,Fibroblast_prog04,Fibroblast_prog05,Fibroblast_prog06,Fibroblast_prog07,Fibroblast_prog08,Fibroblast_prog09,Myeloid_prog00,Myeloid_prog01,Myeloid_prog02,Myeloid_prog03,Myeloid_prog04,Myeloid_prog05,Myeloid_prog06,Myeloid_prog07,Myeloid_prog08,Myeloid_prog09,Tcell_prog00,Tcell_prog01,Tcell_prog02,Tcell_prog03,Tcell_prog04,Tcell_prog05,Tcell_prog06,Tcell_prog07,Tcell_prog08,Tcell_prog09,NicheResp00,NicheResp01,NicheResp02,NicheResp03,NicheResp04,NicheResp05,NicheResp06,NicheResp07,NicheResp08,NicheResp09,NicheResp10,NicheResp11,NicheResp12,NicheResp13,NicheResp14,NicheResp15,NicheResp16,NicheResp17,NicheResp18,NicheResp19
RF0032,2,4,1,1,3,1,0,0,1,0,11,12,8,8,7,9,14,6,11,9,0,2,1,1,2,1,1,0,0,2,1,0,0,0,2,0,1,1,3,2,1,0,3,2,2,3,3,2,0,1,2,2,1,4,1,1,2,1,2,0
RF0033,0,2,3,1,0,3,0,1,1,2,2,3,1,2,1,2,1,2,1,1,3,2,0,0,0,2,2,1,2,1,9,15,5,7,14,4,14,6,11,5,2,1,0,0,3,0,2,3,3,3,3,1,0,1,1,2,3,2,1,1
RF0034,4,2,1,2,1,3,2,1,0,2,3,2,0,2,2,3,0,1,1,3,13,7,15,11,8,5,14,9,7,3,0,0,4,4,1,1,0,3,1,2,1,1,1,3,1,2,1,2,0,0,2,0,1,0,0,1,2,0,2,0
RF0035,9,15,6,6,9,11,3,19,7,10,1,3,0,1,1,0,1,5,2,1,2,3,2,2,0,0,2,2,1,5,2,1,1,1,2,1,0,2,0,3,2,0,3,1,1,0,0,2,0,4,0,0,0,0,0,0,1,1,1,2
RF0036,0,0,4,0,0,2,2,0,2,1,2,1,2,1,1,2,2,1,0,2,9,10,12,10,3,7,8,6,13,13,1,3,3,2,2,0,1,1,4,3,1,0,0,3,2,0,0,1,2,1,0,0,1,3,1,1,0,1,2,2
RF0037,1,3,1,2,0,2,3,0,1,0,4,0,3,0,1,1,1,0,2,0,6,14,11,4,8,13,8,4,8,13,1,0,0,0,3,0,1,1,1,2,3,1,1,0,1,0,6,1,0,0,2,1,3,1,1,0,2,0,0,2
RF0038,0,2,1,1,0,3,0,4,1,3,1,1,1,0,2,0,0,4,0,2,11,14,13,6,13,7,6,7,8,15,4,2,1,3,3,1,0,1,3,1,1,1,2,0,4,1,5,2,0,3,0,5,0,1,0,3,4,2,2,1
RF0039,0,1,2,1,0,3,0,2,4,1,1,1,2,4,1,3,0,1,3,4,11,13,12,10,10,7,17,8,14,12,3,3,1,2,4,0,2,2,1,2,0,2,1,1,1,0,1,1,0,1,3,3,3,1,1,2,0,1,4,0
RF0040,17,6,10,4,9,9,12,6,23,9,3,2,2,4,0,0,0,0,1,1,3,1,1,1,2,3,2,2,0,1,0,0,4,0,0,2,2,1,0,1,0,1,1,0,3,2,0,0,2,4,2,0,1,0,2,2,2,3,1,0
RF0041,5,5,8,6,9,7,13,9,10,9,1,2,4,1,0,1,1,1,4,2,2,0,1,4,1,0,4,2,1,3,4,0,2,0,1,0,1,3,2,1,1,1,2,1,6,0,2,2,1,3,0,0,1,3,1,5,0,1,2,1
RF0042,1,0,2,1,1,1,1,1,4,2,3,3,0,0,3,2,1,2,2,1,1,0,0,1,1,0,1,2,2,2,5,10,11,7,12,5,5,5,15,6,1,2,0,0,2,1,5,1,0,2,0,1,0,3,2,0,0,2,1,4
RF0043,3,0,1,1,1,3,1,1,0,1,0,1,1,1,0,2,2,2,1,1,13,5,8,9,8,5,6,7,5,1,0,0,1,0,2,1,1,1,0,2,3,0,3,0,3,0,1,1,0,0,4,1,2,1,1,1,0,1,1,0
RF0044,14,8,13,12,12,6,15,11,14,15,0,1,2,0,6,1,1,3,2,0,5,3,1,0,1,0,0,2,2,2,2,3,1,2,0,2,0,1,0,1,2,0,2,2,3,0,0,2,3,0,2,0,0,2,2,1,1,1,0,1
RF0045,1,1,0,3,1,1,0,3,4,0,10,5,18,14,3,7,11,12,10,6,1,1,0,1,1,1,3,2,0,0,1,0,0,1,3,0,3,2,1,0,1,2,0,1,1,2,1,0,2,0,0,1,1,1,3,0,1,1,2,0
RF0046,3,1,2,1,6,2,0,3,3,2,1,0,1,1,1,2,2,0,1,2,3,4,3,0,3,1,3,2,3,1,8,7,13,10,7,5,10,13,7,11,2,0,0,2,2,1,0,2,1,1,2,0,1,1,3,1,3,0,0,1
RF0047,5,2,2,2,2,3,1,3,3,0,10,21,3,18,9,4,17,6,18,15,2,1,3,0,2,2,1,2,0,2,3,0,0,2,0,3,3,3,0,0,2,1,2,1,0,1,2,2,4,1,0,2,0,0,3,1,1,2,1,0
RF0048,20,20,12,9,9,11,3,14,9,12,2,3,3,0,1,2,3,2,0,2,2,3,3,0,1,1,2,2,1,1,4,3,1,0,0,1,1,1,0,2,0,1,2,3,1,1,2,2,0,4,2,1,1,1,0,3,0,2,3,0
RF0049,1,0,2,1,2,4,2,2,1,1,5,3,0,0,0,2,0,2,2,1,2,2,3,0,3,1,1,4,1,0,5,9,7,5,8,15,15,7,18,7,2,1,1,1,0,1,4,1,1,4,1,0,2,0,3,1,1,1,0,1
RF0050,2,1,1,0,3,0,2,1,2,2,1,0,0,3,2,1,1,1,0,1,13,8,11,7,4,12,9,12,12,10,4,1,3,0,2,0,1,0,1,0,2,2,0,1,1,0,2,2,0,3,0,2,2,0,3,0,2,1,0,2
RF0051,8,12,4,11,9,7,12,10,11,15,1,1,2,1,0,2,0,0,1,2,0,1,1,2,0,0,0,0,1,3,1,1,2,1,2,1,3,1,3,2,1,0,1,2,3,1,1,2,1,2,1,2,1,1,1,2,2,4,0,0
RF0052,6,7,11,11,9,10,12,7,10,9,1,3,0,0,1,0,1,2,1,2,3,1,1,2,1,1,1,0,0,1,1,3,0,1,4,0,0,0,2,1,1,1,2,1,5,3,1,2,4,5,0,0,4,0,0,0,2,1,1,1
RF0053,6,13,9,8,9,10,8,10,8,4,2,1,1,1,1,0,1,1,0,0,0,1,1,1,2,1,1,1,4,4,1,0,2,0,1,1,0,0,1,1,1,1,0,1,3,0,0,4,1,1,0,2,1,1,2,1,1,1,2,1
RF0054,15,12,12,12,5,14,10,12,5,6,1,3,1,2,0,2,1,0,3,1,1,1,1,4,1,1,0,3,0,3,1,2,0,2,0,1,1,1,1,3,3,2,2,1,2,1,2,1,1,0,1,4,3,2,2,2,1,2,0,2
RF0055,5,10,5,14,20,9,13,11,7,3,2,0,1,3,0,1,1,1,0,2,1,0,2,0,1,2,2,1,1,2,5,1,1,0,4,0,2,2,2,2,2,1,2,2,2,5,5,2,1,2,2,2,1,2,3,3,3,2,3,1
RF0056,3,0,2,1,4,2,0,0,0,0,0,0,0,2,2,1,1,1,3,0,12,9,6,9,10,8,15,12,8,6,0,0,1,2,2,2,0,1,2,1,3,1,0,1,1,2,2,1,1,3,0,0,0,0,0,3,0,3,0,1
RF0057,0,1,2,2,1,1,2,0,2,0,5,6,2,10,9,12,15,4,13,16,2,3,2,2,4,3,2,2,0,1,1,1,1,3,1,0,0,3,0,1,1,1,0,1,3,2,2,1,0,3,3,0,1,1,0,0,1,1,3,2
RF0058,3,1,2,1,3,0,3,0,2,0,2,0,1,2,1,1,1,1,2,1,16,11,4,8,2,11,11,4,5,14,1,1,2,3,0,0,3,3,1,1,1,1,2,1,2,3,2,1,2,1,0,4,1,2,0,1,0,1,1,3
RF0059,4,1,1,3,5,3,2,1,4,0,2,0,3,2,0,0,2,1,1,1,3,0,1,1,0,1,2,1,0,1,14,8,15,3,10,9,4,11,9,8,2,0,1,0,2,2,2,3,2,0,1,1,0,1,2,2,1,0,3,4
RF0060,0,1,2,0,1,2,3,1,0,1,1,2,5,2,5,1,1,3,1,1,1,2,1,0,1,2,2,2,4,0,8,8,5,6,9,12,8,10,7,12,1,0,2,3,5,1,1,2,1,0,0,2,1,0,1,0,1,2,2,4
RF0061,2,2,1,2,0,2,2,1,4,1,1,2,2,0,0,2,1,2,1,2,14,6,7,10,8,12,10,7,5,8,3,1,1,3,2,0,1,1,1,2,1,3,1,0,5,2,4,3,2,1,2,1,2,1,0,0,1,0,1,1
RF0062,0,2,0,1,2,0,3,1,1,1,10,5,10,5,6,10,8,7,7,13,1,2,0,0,1,2,1,1,1,0,2,2,2,1,1,1,4,4,1,0,2,2,1,0,0,2,1,3,1,2,0,1,2,0,3,1,2,1,1,1
RF0063,2,1,1,4,1,2,2,3,1,0,1,0,0,6,0,1,0,1,1,2,2,2,2,2,1,2,0,0,4,1,5,7,6,6,19,5,6,5,6,10,0,1,1,1,1,2,2,1,1,1,1,0,2,1,1,1,3,1,0,4
RF0064,8,13,8,14,8,8,10,7,6,4,0,1,3,4,1,2,2,2,1,5,0,2,0,1,1,1,0,1,1,2,1,3,1,1,4,0,3,2,0,0,1,1,3,2,0,8,1,0,0,2,1,2,3,1,0,0,1,1,0,2
RF0065,6,3,1,0,2,1,4,2,0,1,2,2,0,1,1,0,2,2,2,3,1,1,4,1,0,2,1,0,1,0,11,6,9,3,4,6,8,11,8,14,1,1,1,0,4,1,3,3,0,2,0,1,1,1,1,1,2,1,1,0
RF0066,8,12,6,4,19,7,13,13,21,13,2,0,1,1,2,1,0,1,2,1,0,1,2,1,0,0,2,0,0,2,1,2,1,1,0,0,1,0,2,1,2,0,4,0,2,2,0,0,0,2,1,2,1,1,0,1,0,0,2,2
RF0067,1,0,1,0,2,0,3,3,1,1,2,2,1,4,0,0,4,2,3,5,0,5,0,1,0,0,3,1,1,1,14,8,9,7,5,11,9,7,6,5,3,1,1,0,1,4,3,1,1,4,0,3,1,0,1,5,1,1,1,0
RF0068,9,4,5,3,18,15,10,11,5,11,3,3,1,0,3,1,3,2,2,3,4,1,5,0,1,0,2,2,3,0,1,1,0,2,2,2,2,4,2,1,1,2,1,0,6,0,1,0,0,1,2,3,0,4,1,1,3,2,3,1
RF0069,3,0,0,3,1,2,1,1,1,1,10,12,13,17,12,9,7,12,9,5,0,1,0,1,0,1,0,1,1,0,0,1,0,1,2,1,2,2,2,2,4,1,0,2,1,1,0,0,2,1,1,2,1,2,1,1,2,1,1,0
RF0070,1,2,1,0,2,1,0,5,2,1,2,3,1,2,2,2,1,1,1,2,1,3,2,2,0,0,0,1,2,1,10,8,10,6,11,10,6,10,4,10,2,0,3,2,3,3,2,0,2,1,1,3,1,5,0,0,2,1,0,0
RF0071,1,0,1,2,3,1,0,1,1,0,12,8,13,17,1,9,16,6,27,10,2,2,1,2,1,1,4,4,5,0,2,1,3,0,4,0,2,1,0,1,2,1,1,4,0,0,6,3,6,1,1,0,2,0,4,0,1,3,0,2
RF0072,1,3,1,1,3,0,2,5,1,2,17,6,7,12,8,11,13,9,19,6,0,0,1,3,2,4,1,1,2,0,0,1,0,2,1,1,5,1,0,3,2,1,3,0,0,1,0,0,1,1,2,3,1,0,2,1,1,1,0,2
RF0073,12,13,7,8,10,12,8,6,10,18,3,0,1,1,1,1,1,2,0,1,1,4,0,1,4,2,4,2,0,2,3,0,2,0,0,1,0,1,3,4,3,0,5,1,4,0,2,1,1,2,1,1,1,2,4,0,1,0,1,1
RF0074,16,4,10,11,9,13,9,10,10,5,2,0,0,3,4,1,0,1,3,2,0,2,3,1,2,0,0,0,1,0,2,0,1,1,2,0,1,1,1,1,3,2,0,2,2,3,1,1,6,1,1,1,2,2,1,2,1,2,1,1
RF0075,2,0,0,1,1,3,2,1,1,2,3,3,3,2,3,1,2,1,4,2,3,1,3,0,4,1,1,2,0,4,22,8,9,9,4,6,11,9,5,11,0,0,0,0,0,5,0,0,2,2,0,2,3,3,0,0,2,5,0,4
RF0076,0,3,4,2,2,2,0,0,1,1,2,2,1,4,0,0,1,0,2,2,8,5,10,10,3,4,16,7,5,20,0,0,3,3,2,0,0,0,0,0,3,1,1,2,1,2,2,3,0,2,0,1,1,0,1,1,1,1,1,1
RF0077,2,4,1,2,2,1,3,1,1,4,1,0,1,0,3,2,1,0,1,1,1,1,0,1,0,2,4,1,1,3,8,6,5,9,16,2,8,7,10,10,0,1,0,1,1,1,2,1,2,2,2,0,2,2,1,0,1,3,0,0
RF0078,3,1,2,3,1,1,0,2,3,0,1,1,1,1,1,3,3,3,0,1,0,0,1,1,0,3,1,1,0,0,6,9,8,12,14,12,13,9,8,5,2,1,1,1,2,3,1,2,1,1,4,0,0,0,2,2,1,2,1,3
RF0079,4,9,12,7,9,6,19,19,5,8,1,2,1,1,1,1,0,2,0,1,2,3,0,0,2,2,2,0,1,0,1,0,0,2,1,3,4,2,0,0,1,1,2,1,2,0,1,2,1,0,2,2,1,1,1,2,3,1,1,1
RF0080,17,8,14,6,14,12,9,19,7,9,2,0,2,3,2,1,2,1,0,3,1,1,1,1,2,0,0,1,1,1,2,3,3,0,5,3,0,1,2,1,1,1,1,4,2,4,1,2,1,1,4,1,4,2,0,1,0,2,3,5
RF0081,10,8,16,11,8,8,8,12,17,6,0,2,1,1,0,1,5,3,1,0,1,0,0,0,1,3,0,1,4,2,3,0,2,1,1,0,1,2,0,1,3,2,2,0,0,1,0,1,0,1,1,3,2,0,1,2,3,0,1,1
RF0082,12,1,11,13,8,12,6,9,13,11,2,2,2,1,2,1,1,1,1,2,2,1,0,1,1,1,0,0,2,1,2,1,2,1,2,0,2,3,2,0,0,1,3,0,1,3,2,3,0,2,2,2,2,5,2,1,1,4,3,2
RF0083,1,1,2,2,2,1,2,0,4,2,0,3,2,1,4,1,1,2,2,0,0,3,0,1,1,2,1,3,0,2,9,12,6,10,13,6,5,12,16,5,2,1,0,1,1,2,3,0,3,0,1,3,1,1,3,1,2,5,0,0
RF0084,6,8,14,13,11,5,6,7,9,6,2,1,3,2,0,1,1,1,2,1,1,2,3,1,2,1,1,1,2,1,0,0,2,2,2,1,2,0,1,2,5,2,1,5,3,1,2,3,0,2,3,0,0,3,1,1,2,1,1,1
RF0085,0,3,0,2,1,3,0,3,0,2,3,2,4,1,1,2,1,3,0,4,0,1,1,3,1,1,1,0,2,2,10,8,11,6,8,12,9,6,12,3,1,0,0,2,3,3,1,0,1,3,3,1,1,2,0,1,2,1,0,4
RF0086,9,14,7,10,16,13,6,4,13,13,0,0,1,1,3,0,3,4,3,3,0,3,2,1,2,2,2,2,2,4,1,0,0,0,6,1,1,3,2,0,3,0,2,1,2,1,2,2,0,0,1,3,1,2,0,3,1,3,0,0
RF0087,1,0,0,1,1,4,0,1,1,0,4,3,1,0,1,1,0,1,1,0,1,0,1,0,1,1,3,1,1,2,12,11,8,14,11,11,7,2,7,8,1,1,1,0,1,4,2,3,2,2,3,1,0,1,0,2,0,2,1,0
RF0088,18,8,4,9,16,14,8,12,6,8,0,2,2,0,0,2,1,0,0,5,1,1,1,2,3,0,1,1,0,0,0,2,3,4,1,1,0,3,1,0,2,2,1,0,1,1,1,2,1,0,0,3,1,0,2,1,0,1,0,3
RF0089,1,1,2,3,1,2,2,3,3,0,0,1,2,3,2,2,0,2,5,2,1,1,3,2,3,1,2,1,0,3,5,7,8,5,12,5,9,12,12,8,0,0,2,2,5,1,1,1,0,1,0,2,0,0,1,1,0,1,0,1
RF0090,0,5,3,2,1,2,0,2,3,0,11,10,5,10,12,6,10,3,17,9,0,0,0,1,1,1,2,0,1,2,1,2,4,1,0,2,1,1,2,0,2,1,0,1,1,0,2,1,3,1,2,3,0,0,1,0,2,1,0,2
RF0091,1,0,1,2,0,2,0,1,2,3,1,2,0,3,1,0,0,2,3,1,5,6,13,8,11,7,6,10,7,5,0,4,0,3,1,0,0,1,1,0,2,1,2,1,0,1,0,0,0,1,1,2,3,1,1,1,5,1,2,0
RF0092,1,2,2,2,1,1,1,0,0,2,3,7,7,7,15,5,9,2,11,15,5,1,4,0,0,1,0,2,0,1,0,3,2,2,3,0,4,0,0,3,1,2,0,0,3,3,4,1,1,1,1,1,2,1,2,2,0,3,0,1
RF0093,1,2,1,4,0,5,1,0,1,6,1,1,4,0,0,0,1,1,1,0,1,5,3,0,2,0,0,2,3,1,1,10,8,15,9,9,17,4,12,11,4,1,1,4,3,3,1,4,1,0,2,4,0,0,3,4,4,1,0,0
RF0094,1,2,2,1,3,0,0,0,1,3,0,1,2,2,0,1,1,1,3,1,7,6,9,14,16,13,9,9,10,8,0,2,1,1,2,1,0,3,1,0,3,3,2,2,3,1,2,1,2,4,2,1,2,0,2,0,1,1,0,3
RF0095,23,15,1,5,10,8,16,11,12,11,0,1,3,1,2,1,1,1,1,6,6,2,1,3,4,1,1,0,2,1,1,0,2,1,2,1,1,0,1,2,1,2,2,0,1,1,2,0,1,2,2,0,2,3,0,1,1,2,0,0
RF0096,10,3,10,15,10,6,9,3,5,6,1,1,1,3,1,0,0,2,0,0,1,0,1,1,2,0,2,1,2,1,1,0,1,1,3,1,3,4,3,1,3,3,2,3,4,1,1,0,0,3,0,1,0,0,0,1,0,2,0,3
RF0097,9,23,14,14,8,6,13,10,10,9,1,1,1,1,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,2,0,1,1,1,2,2,0,2,0,3,0,3,1,1,2,0,1,2,1,1,1,3,3,3,4,1,0,1,2,0
RF0098,1,3,1,1,0,2,2,0,2,2,12,8,5,11,9,10,12,7,9,3,0,2,1,3,1,1,1,1,1,3,1,2,0,0,3,1,5,1,0,1,1,2,1,2,0,4,0,0,2,1,0,3,2,4,0,0,2,1,3,1
RF0099,15,12,17,6,13,12,7,10,14,9,3,0,1,1,1,2,3,1,2,1,1,2,5,3,0,1,1,0,2,0,0,0,0,2,1,1,0,1,2,1,0,1,1,0,6,1,2,0,4,1,1,0,1,2,2,6,2,1,2,1
RF0100,3,2,0,0,0,0,3,0,1,1,3,0,5,0,0,1,1,0,1,1,1,1,3,3,4,0,1,2,1,2,11,6,11,8,8,10,6,4,15,9,1,1,1,0,0,1,1,0,4,2,0,0,2,3,1,3,1,2,4,0
RF0101,2,2,3,1,2,3,3,2,1,2,12,10,13,12,8,11,9,12,10,23,1,1,0,2,1,2,2,1,1,1,2,4,1,0,1,3,0,6,0,2,2,0,2,3,1,0,2,6,0,1,1,1,1,1,2,1,0,0,0,3
RF0102,2,1,3,1,1,2,0,1,4,4,5,1,4,1,1,1,1,0,3,0,10,9,11,10,3,6,13,11,13,3,1,1,0,1,2,1,0,2,1,3,1,0,1,0,2,1,3,0,2,1,1,0,3,1,2,2,1,2,0,5
