"","Drug01","Drug02","Drug03","Drug04","Drug05","Drug06","Drug07","Drug08","Drug09","Drug10","Drug11","Drug12","Drug13","Drug14","Drug15","Drug16","Drug17","Drug18","Drug19","Drug20"
"G021",-2.3393,1.3989,-0.3841,-0.3489,-1.0781,0.1676,-0.3556,-0.5643,-0.1315,0.4557,1.7732,0.6305,0.23,-0.0559,0.7025,1.3999,-1.3673,-0.4996,-0.9915,-0.2347
"G022",-0.1038,-0.2477,-1.1764,-1.8461,-0.7738,-1.064,0.6185,-1.3257,-0.2935,1.0042,1.3386,0.4373,0.1069,-0.0687,-0.6744,0.6768,1.0226,2.2766,0.0152,0.4058
"G023",1.315,-0.2496,-2.1136,-0.3974,-1.2054,0.6652,0.1892,1.148,0.8952,0.8058,0.379,1.414,0.9655,-0.2431,1.386,0.8011,1.5762,-0.8369,-0.9341,-0.0053
"G024",-0.0143,-0.469,1.6396,-1.4149,0.9842,0.4353,-1.1613,-0.9978,0.5202,-1.2304,0.2872,-0.9992,-0.4209,1.706,0.2112,-1.3996,-1.1378,0.341,-0.4751,1.6245
"G025",-0.7893,0.7234,0.2977,0.3921,0.1431,0.5397,-0.01,-0.7843,-2.4382,-1.1337,1.3624,1.4283,0.0809,-0.0241,1.4867,-1.0686,-1.2239,-1.13,-0.8693,-0.9772
"G026",0.3622,0.2104,-1.1219,-1.1263,0.116,-1.6712,-0.8836,-0.6252,-0.373,1.1928,-0.1961,0.7578,0.2717,-0.8197,-0.8284,-0.264,-0.4749,-0.5876,1.9514,-0.5426
"G027",1.028,0.416,0.3617,0.397,-0.8767,-0.5064,0.389,-1.003,-0.4253,-0.0146,-2.412,-0.839,0.6251,-0.187,-0.2893,0.7481,1.1899,0.0401,-0.2233,-1.9253
"G028",1.1412,-0.2488,-0.1071,0.5669,-0.2499,-0.9148,-0.5336,0.2936,-0.5886,-0.5866,2.0101,0.1722,0.0214,0.0161,0.0852,0.0467,0.0476,-0.1755,-0.1143,-0.3891
"G029",0.2448,1.2426,-1.0287,1.7269,1.6375,0.5349,-0.0715,0.3272,0.4307,0.8966,-0.1795,-0.3257,-0.9771,1.0179,0.1388,1.7626,-0.3408,-0.8929,1.1758,-2.2415
"G030",-0.1969,0.0809,0.1004,0.5237,0.197,0.1086,0.6402,0.3217,1.3613,-0.2905,1.8759,-0.5819,0.6276,-0.6107,-0.118,-1.7861,0.1527,-0.0839,0.5047,1.798
"G031",-0.7952,0.397,-0.9721,-0.454,1.8848,-0.5266,0.4277,-0.1107,-1.8873,-0.7303,0.2192,-0.0688,0.2943,-0.5214,0.6679,1.3178,0.2181,-2.0597,-1.6349,-0.9116
"G032",-0.3255,0.6457,-0.2127,-1.114,-1.1009,-0.3792,0.5473,1.1022,-1.3689,1.9096,-0.1268,-0.5248,1.0067,0.8016,0.7785,-1.1788,-0.318,0.5607,0.2318,0.2717
"G033",0.1643,1.2426,0.3521,-1.5865,0.6918,-1.3467,0.9305,0.2566,-1.8915,-0.2336,-1.2029,-0.184,1.3121,0.2976,1.8829,0.2624,-0.0904,0.4156,-1.5037,2.6086
"G034",0.9334,1.1142,0.5404,0.0371,-0.0741,-0.2195,-1.459,-0.0995,-0.6988,1.255,1.0738,-0.0607,-0.6863,1.2537,-0.1089,-0.6715,-0.3114,-1.7603,-0.4106,0.7225
"G035",1.0406,1.6211,0.28,0.5817,-0.0413,-0.6266,-0.4867,0.5719,-0.0627,-0.1287,-0.1771,0.4131,0.497,-0.5562,-1.0072,0.1665,-1.2218,1.1029,-0.3748,0.8229
"G036",0.7968,-1.123,0.6036,-0.069,-0.2107,0.5895,0.3651,-0.6489,0.4577,0.3123,-0.148,-0.3654,-1.1317,-0.8954,-0.3911,0.1358,1.837,0.2671,-0.4967,-0.5678
"G037",1.0358,1.7392,-0.2982,-0.9723,-0.6655,-1.3295,0.9193,0.23,-0.6058,1.4559,-0.1859,-1.0587,-1.0324,-0.9275,1.079,-0.2992,-0.2297,-0.1539,-0.9491,-1.2303
"G038",-0.7923,0.1359,1.6486,1.3026,-2.5477,1.0518,-0.0909,-0.5695,-1.8721,-0.6009,-0.8927,-1.4215,-1.4303,1.4315,-1.1989,0.4191,-0.1335,-0.1013,0.8037,-0.2809
"G039",0.5525,-0.1252,-0.4017,-0.6524,1.7073,1.8914,-0.4717,0.5378,-0.614,0.1438,-1.3568,-0.5388,-0.5296,1.2853,-0.6711,0.5969,-1.0245,0.8519,-0.1265,-0.5548
"G040",-0.0085,-0.879,-0.9913,0.3232,0.7484,-0.3481,0.3778,0.6502,-1.0708,0.9425,-0.4197,1.671,1.1872,0.7431,-0.1151,0.4219,-1.0458,-0.1602,-1.8128,-0.8437
"G041",0.415,0.0034,-1.0439,-1.6115,-0.0968,0.5062,-0.3196,-0.4716,0.8456,1.1325,0.3283,0.0898,-0.5446,0.1735,1.4556,-0.2341,-0.5467,0.7592,1.7393,0.1174
"G042",0.445,0.1584,-0.6322,-0.9839,0.9261,0.8252,-0.2701,-0.9173,1.0286,-0.8637,-1.4057,-0.5287,0.6726,1.5573,-0.5226,-1.5073,-1.266,-1.146,0.6199,-1.2253
"G043",1.0107,0.64,0.1393,-0.0881,-0.4486,0.8405,-0.9867,-0.8176,-1.7615,-0.0373,-0.0368,0.0321,-0.8974,0.5526,-0.2441,-0.627,-0.858,-0.1109,-0.8701,0.9818
"G044",0.086,-0.6332,-1.1164,-0.7864,-1.734,-1.8288,0.1197,-1.0971,-2.1206,1.9515,-0.3596,-0.3231,-1.5233,-0.9711,0.0489,1.5623,-0.1219,1.6488,1.4539,-0.7333
"G045",0.4437,-1.1213,-1.3446,1.1903,-0.2119,-0.9193,-1.0523,0.2768,-0.1433,-0.2728,-0.3885,-0.2018,1.4732,-0.3158,-0.9914,1.905,-1.1409,0.6747,0.0691,-0.5365
"G046",-0.0326,0.1755,0.0083,0.1502,1.7255,-0.3636,-1.1219,0.3029,-0.0016,0.6956,-2.0834,-1.1718,0.8427,2.3605,0.3975,0.4552,-0.7765,-1.7555,1.9908,-0.6292
"G047",0.5495,-0.5378,-0.8385,1.3243,0.8846,-1.2042,1.1081,-0.9862,-1.0475,2.0522,0.834,0.3372,0.4929,-0.0888,0.3932,1.0982,1.4579,-0.7609,-1.2831,0.2535
"G048",0.2868,2.609,-0.5052,-0.7762,-1.0463,0.8443,0.3223,-1.4796,1.852,-1.0761,0.464,-0.7391,-1.2746,1.3449,-1.5151,0.2457,1.3858,1.8597,0.2235,1.5205
"G049",-0.8449,-0.3964,-0.7574,1.4939,-0.1917,-0.5498,-1.2943,0.4101,0.2568,0.7234,0.3759,-0.7893,-1.2204,0.8247,-1.4968,-1.1492,-0.3002,1.8282,2.2081,0.2213
"G050",-0.2523,-1.4952,0.9623,1.1625,0.5591,-1.1227,1.026,0.367,-1.0643,-0.2671,0.0673,-0.5483,2.1035,2.0208,1.0415,-1.2955,0.3656,-0.219,-0.4861,-0.6899
"G051",0.3801,0.5601,-0.968,-0.2815,-1.6773,-2.6881,1.9771,0.4433,2.1136,-1.5841,1.6325,0.8191,-0.416,0.3726,-0.8664,1.886,1.1767,-1.3568,0.0032,0.2826
"G052",-0.0324,0.2556,-0.3953,0.8917,0.4236,0.7218,0.3492,-0.0258,-0.4259,1.1015,-1.4957,-0.4439,1.2476,-1.279,0.4184,1.5743,1.3123,0.6024,-0.8463,-0.5891
"G053",-0.9143,-1.0386,-0.5132,-0.3043,1.1127,0.4358,1.0247,-1.06,1.0413,-0.0065,0.9623,0.104,-1.8535,-0.3878,0.3483,1.7251,0.4516,1.4951,0.6498,0.5447
"G054",-1.6437,0.127,0.3116,-0.2577,0.5613,-1.3432,-0.1656,0.3136,-0.1324,-0.145,-1.3233,0.6547,-0.8326,-0.3172,1.0601,-0.4242,0.3224,-0.6191,-1.0528,-0.4371
"G055",-0.0166,0.858,-0.1253,-2.4586,0.2145,0.3802,-0.7973,-0.8544,-0.9814,-0.3254,-0.744,-0.1366,0.4047,0.4044,-0.222,-0.7212,-0.4974,0.5337,-1.1876,-2.1502
"G056",0.6272,-0.278,-0.1412,-0.3204,0.3458,0.7116,0.5245,-1.279,1.2249,-1.4102,0.1025,0.3781,-1.3018,-1.6408,-0.4705,0.0062,0.5097,-0.9995,0.5884,1.0376
"G057",-0.7222,0.2942,-0.3688,1.0688,0.5714,-0.0394,1.2016,0.3715,-1.8299,-2.5465,0.9352,1.2261,-0.7004,1.4602,-2.1523,-0.7869,-0.6631,-1.857,1.6222,-0.9716
"G058",0.4999,0.3721,1.1667,-1.0575,-0.8232,-0.097,-0.061,0.3562,1.7339,-0.9603,0.4074,-1.3133,1.6223,-1.6518,-1.1518,-0.8968,-0.4757,0.2154,0.1314,1.0522
"G059",1.7802,-0.2396,0.0819,0.7142,0.1427,1.7909,0.8846,0.181,2.5944,-0.8776,0.3355,0.4143,1.8832,-0.5828,-1.074,-0.2245,-0.0463,-1.2615,-0.4478,0.409
"G060",-0.3952,-0.1945,-0.1696,-2.2441,0.3231,0.249,0.6123,1.3059,-0.3817,1.0481,-1.5389,-0.4273,0.1507,0.4732,0.1297,0.1542,0.385,0.7197,0.2946,-0.0888
"G061",0.2251,0.3916,0.3473,0.0442,-2.7063,-0.077,-0.8734,0.9539,-1.538,-0.1592,-0.1117,-1.4159,-0.8993,-2.2657,0.1979,1.4546,0.4915,0.7018,-0.1238,1.7516
"G062",0.8411,0.2375,0.84,2.0649,-0.4408,-0.0691,0.8591,-0.5151,0.8701,0.9105,-1.2891,0.4326,0.2223,0.5839,0.4884,0.8767,0.0859,0.0508,-0.4554,-0.6177
"G063",-0.395,1.9101,0.7701,0.7011,-0.9105,0.6826,0.7353,-1.3111,0.9579,-0.6644,1.2418,0.4832,-0.7432,-0.7895,-0.2637,-0.6076,-2.1471,-1.0998,0.0326,-0.8711
"G064",2.7047,0.5913,0.325,-0.6797,-0.6889,-0.6238,-0.9789,0.9173,-1.5891,-0.4932,1.1019,0.4639,-0.4146,0.3061,0.1409,0.862,-0.0841,1.7223,0.9195,1.648
"G065",0.6932,-0.7758,0.8836,-1.3445,0.2618,-0.1979,0.4122,1.0106,-0.4284,-0.5869,-1.4483,-0.4625,0.9624,1.7469,0.6765,0.2469,0.9492,1.0141,0.6602,0.1703
"G066",-0.0392,-0.5213,2.312,0.5594,1.3959,-0.9673,0.3788,0.177,-0.1281,1.1683,0.0508,-0.8515,2.5194,1.2739,-0.6153,1.0564,0.4537,-1.0382,-0.3164,1.016
"G067",0.2481,2.0836,-0.4438,0.7697,-0.0858,-0.52,-1.569,0.4492,0.057,0.349,-1.0672,-1.1692,-0.1205,0.0224,-0.5413,0.7765,-0.5717,-0.3719,0.192,-0.6733
"G068",-0.2679,0.9556,-0.3605,0.6021,-0.1144,0.9851,-0.67,-0.6987,-2.2461,0.4403,0.88,0.2497,1.0005,0.9742,1.7008,1.0611,-1.0609,0.0012,2.7975,-0.0549
"G069",0.3333,-0.3247,-0.0222,-0.2988,-0.1071,0.7508,1.5162,1.0539,-0.9703,-0.3117,2e-04,2.1561,0.4859,-0.602,-1.1547,-1.4492,0.1948,-0.1931,-0.8749,0.1461
"G070",0.2368,-2.1136,0.2322,0.6338,-0.0997,-1.8857,-1.1481,-1.3304,-0.8862,0.1922,-0.8171,0.1052,-1.0155,-0.6477,-1.2147,1.2034,0.6628,0.0652,-0.6865,-0.5614
"G071",0.6566,0.9626,0.6284,0.1788,-0.6165,-0.6893,-0.1652,-0.404,0.1214,-1.3064,0.446,0.6816,1.5565,0.234,-0.9432,-1.1458,-0.789,1.1466,1.3814,0.4885
"G072",-0.1851,-0.1958,-0.8105,0.7914,-1.2417,0.6492,-1.5083,-0.3403,-0.4804,0.9492,-0.7357,-1.3969,-0.7354,0.9983,0.7215,1.8041,-1.1854,-0.6889,-0.0645,-0.9067
"G073",-0.3957,0.2809,0.9843,1.9325,-0.8268,-0.5711,-0.5946,1.2148,-0.1496,2.0521,0.6127,0.522,0.5348,1.7482,-0.1314,-0.607,0.1067,0.8276,1.1137,-1.5561
"G074",-0.1635,-1.3454,-1.4359,-0.2996,-0.1513,0.6783,-1.1863,-0.1845,-1.1517,-1.0257,1.4868,1.5063,0.4518,0.6887,0.4546,0.7353,0.5462,0.5494,1.1091,1.4607
"G075",0.6351,0.012,-0.7434,-0.235,0.8043,-0.9464,-1.0013,-0.6366,0.1776,1.5489,-0.1086,-0.8539,2.1129,-0.7817,-0.105,1.03,1.2431,-0.6923,-0.9383,-0.1261
"G076",-0.4842,-1.1566,-0.252,-0.3532,0.9824,-1.0415,-0.5926,0.6894,0.1737,1.3027,0.6035,0.4826,-0.0165,-0.0334,1.1379,0.4576,0.4291,1.0205,0.7175,0.7432
"G077",0.2299,0.1298,0.6694,-0.4479,0.4559,-1.3255,-0.594,-0.0291,-0.0418,0.2349,-0.395,-0.7055,-1.0433,1.4737,0.4005,0.4863,0.3197,1.5133,-1.8125,0.6721
"G078",0.7581,2.4882,0.4001,0.6067,-0.0757,-2.6594,0.5109,-0.0469,-0.8052,-0.1459,-1.4421,0.7854,0.0562,0.3562,1.2223,-3.2517,0.5447,-0.5625,1.8974,-1.2603
"G079",2.0851,-0.9631,-0.8427,-1.2027,-1.7191,-1.7605,0.5052,-0.8354,-0.6438,0.5057,-0.5955,-0.3058,0.6581,1.4085,0.1335,0.0149,1.335,-0.9728,1.9342,0.1921
"G080",0.1538,-0.5339,-1.0849,-0.9472,-0.3134,-0.6206,-0.2706,-0.1296,-0.6436,-1.2456,-1.6194,1.1092,1.2405,0.4359,0.3246,-1.4087,1.9429,-1.1822,-0.2616,0.7695
"G081",-0.0068,-0.2459,-0.0557,-0.1649,0,0.7826,0.2326,-1.254,-0.6951,0.0836,0.3779,0.0859,0.4146,0.9447,1.3461,0.1681,-0.2777,1.1909,-0.5022,0.8053
"G082",1.7402,1.5454,0.1851,0.4404,1.2511,-0.5678,-0.6806,-0.1611,-2.2691,-0.4141,-0.0422,0.006,0.0317,-0.0718,1.1519,-2.0164,0.7994,-0.2425,0.4895,-0.3496
"G083",0.3859,-2.65,-0.4215,2.0833,0.9079,0.547,-0.3712,0.0464,-1.6327,-1.0712,1.1958,-0.683,2.6388,1.0763,-0.1095,0.1789,0.8053,1.4528,1.9647,0.551
"G084",-0.4006,0.4726,0.9948,-0.9492,0.2174,0.9982,-0.9103,-0.517,1.0417,0.7943,-0.7318,0.2856,1.3046,-0.5033,-0.4059,-0.3641,0.6546,0.5185,-0.5647,-1.4853
"G085",0.4717,-0.3958,0.7052,1.8443,1.7877,0.5255,0.3783,1.0608,1.1538,1.385,-2.726,-0.1961,-0.9232,-0.1614,0.8546,-0.6667,1.2435,-0.5452,0.9729,1.0079
"G086",-0.8228,1.1402,-0.2647,-0.0575,-1.4234,-0.7791,0.6031,0.1661,0.8912,-0.9668,-0.3354,-0.9487,0.2308,-0.0727,-0.1685,-0.3978,-0.0358,-0.9296,0.476,0.8247
"G087",-0.6554,-0.3998,-1.4916,0.1342,-1.3899,-0.669,-0.2312,-0.1888,-1.3146,0.4645,0.7613,0.0731,0.4388,0.3383,-0.7684,-1.8261,0.0949,-0.4396,1.1933,0.6457
"G088",0.4475,-0.2603,0.6054,-0.2266,-0.5565,-2.5215,-0.8347,-0.5204,0.3393,0.592,-0.901,-0.2281,-0.1146,1.4537,0.029,-0.1243,0.2618,-1.0396,-1.7931,0.3093
"G089",-0.4303,-0.6442,0.584,-1.4088,1.1658,0.2693,-1.0029,-1.3778,-0.6998,-0.3335,0.2076,-0.4734,-0.678,-0.2855,-0.9315,0.8451,0.3826,0.7671,0.9862,-0.9524
"G090",0.5913,0.2943,0.1844,-1.6006,0.1313,0.346,-2.4928,-0.052,-0.6285,-0.003,1.7541,-0.3665,-0.517,-1.1536,-1.079,0.6968,-0.1537,-1.1832,-1.1782,0.7261
"G091",-1.3196,-0.2391,-0.0298,1.0261,-0.7773,0.6502,0.1677,-0.9858,-0.4425,1.4951,0.4282,1.1577,-0.699,-0.4554,-1.9566,-0.6225,0.3271,0.9407,-0.0181,-2.2964
"G092",0.844,1.9956,0.1021,-0.7839,-0.7361,-0.1774,0.5995,1.6895,-0.6088,0.1945,1.1245,-0.2672,0.0847,-0.3392,-0.5344,-0.2529,0.0132,-1.6509,0.5226,1.7561
"G093",0.7194,0.4959,-0.5777,-0.2045,-1.6434,-0.2481,0.1668,-1.7617,-0.3802,-0.3251,1.1156,1.5308,-0.5793,-0.1539,0.1559,-0.5199,-0.7956,-1.0568,1.3007,-0.5108
"G094",2.7362,1.7458,-0.5816,-1.1056,-0.2726,2.4155,1.0417,-0.3299,-0.566,1.1978,0.0302,-0.1335,1.1948,0.3113,-0.4981,1.1268,1.6972,0.7389,0.671,-0.4404
"G095",1.0713,-1.4228,-1.4638,0.612,-0.0245,-0.5409,2.0621,0.2266,-2.0176,1.4444,0.5645,0.302,0.7234,0.4836,0.0249,0.4306,-0.7869,-0.4937,-0.1377,0.8532
"G096",2.8784,-0.9688,1.7663,1.9114,-0.1962,0.0656,-0.5312,-0.149,0.1915,-0.0355,0.2972,-0.2355,0.9193,-1.2875,0.0047,1.353,-0.8987,-1.3825,-1.2675,-0.3734
"G097",-1.2313,-0.056,0.9963,1.0758,-0.2894,-0.407,0.9611,0.579,0.0458,-0.4209,0.5036,-0.2234,-2.6984,-0.7965,-2.1037,1.5449,-1.0126,0.6565,1.4832,-0.0973
"G098",2.2949,-0.7813,0.0447,0.0135,-0.4146,-1.0927,-0.2446,-0.8725,1.7367,-0.4866,-0.3754,0.1773,-0.0303,0.2947,-0.6375,0.3014,0.17,-1.8242,0.0641,1.3473
"G099",-1.3192,-1.2016,0.5614,0.2745,0.3675,0.001,0.5507,0.2335,0.6641,0.6468,-0.1129,-0.1341,2.1392,-1.7291,1.2104,-0.8191,2.2008,0.1813,3.0889,-1.8038
"G100",-0.5544,1.6244,0.5451,-0.1881,-0.7314,0.1099,-0.8429,1.4204,-0.3364,-0.1087,-0.8139,-0.7182,0.3801,1.0013,0.4107,-0.7333,-1.1221,-1.4239,0.0843,0.562
"G101",0.354,0.2469,-0.0682,-1.5448,1.7845,1.4186,-2.1417,0.3463,-0.8723,-0.345,-0.5114,0.7947,0.6856,-0.1002,0.351,-0.9731,-1.0996,-0.4112,0.9668,-0.5999
"G102",1.8757,1.0818,-1.694,0.1861,-0.0688,1.566,0.5537,-0.6356,0.2629,-2.0911,0.5538,0.4486,0.8786,-1.0031,0.1155,1.5657,0.292,0.5298,0.2929,-0.5017
"G103",-0.3021,0.7963,-1.4521,-0.4964,-1.4028,-1.1601,0.2913,1.4565,0.6308,0.877,-1.239,-1.5571,-0.7122,0.6056,1.9282,-0.3418,-1.9339,-0.099,-0.3192,0.9041
"G104",0.4442,1.1502,-2.6297,-0.6134,-2.2931,1.708,-0.847,0.488,-0.9489,0.4941,-0.0549,-0.7584,0.8176,-0.3411,1.177,-1.2411,0.0343,-2.0284,-0.1298,-0.3155
"G105",-0.2458,-0.6378,-0.3339,2.0779,0.8968,0.9752,-0.0925,-0.8988,-0.8585,0.6888,1.0285,-0.15,0.1666,0.5749,-1.2898,-0.3199,0.5128,0.9727,-0.23,-1.2113
"G106",-1.368,-1.0473,-1.1166,-0.2995,-1.1593,0.5869,1.1538,-1.5466,1.7092,-0.7558,-2.4942,-0.885,0.4095,-1.9702,-1.8078,-0.5864,-0.4183,2.0957,-0.0487,1.0172
"G107",-1.2134,-1.3015,0.5198,0.0994,-0.1869,-1.103,0.0221,0.1888,0.4568,-2.2488,0.8909,1.1996,0.8058,-0.2037,0.3301,1.8926,1.1958,-0.0247,0.3003,-1.0994
"G108",-1.8351,-1.0547,-0.0405,-1.2328,-1.2323,0.2633,0.4935,-0.4964,0.4762,0.3424,0.5782,-0.7466,-1.3375,-0.0234,-0.7778,-0.5824,-0.3259,-0.8937,-0.6992,-0.2817
"G109",-1.1915,-1.0899,-0.7086,-0.0125,0.2899,1.8761,-0.9693,-1.4471,-0.7472,-0.3752,0.1422,0.3076,0.6521,0.5185,-0.2899,0.1085,1.0256,1.4772,0.8863,0.384
"G110",-0.0966,-0.7645,0.5463,0.8659,0.9914,-1.0888,1.1145,-0.0837,1.3073,0.8647,1.3045,0.0595,0.5778,0.8787,1.7842,-0.0725,0.4348,-0.2481,-0.4875,0.7202
"G111",0.131,0.5067,-0.1644,-0.3059,-1.9536,-0.3779,-0.3324,-0.6787,-0.4222,-0.8574,-0.1035,0.166,-0.1221,1.0042,-0.3415,1.2195,1.6446,-0.3141,-0.1791,0.5816
"G112",0.0907,0.4201,-0.0025,-1.6145,2.026,0.6287,-0.5878,1.0826,-0.1695,-0.6364,0.6873,-0.8387,0.7501,0.1886,-1.3077,0.875,-0.8713,0.8917,-0.8764,-0.5792
"G113",-0.0891,-0.5835,1.8158,-0.846,1.4374,0.3556,0.0649,-1.2649,1.2934,-0.2798,-0.3348,-0.2166,0.0716,-1.3901,2.6179,-0.3353,-0.2387,0.2291,0.5851,0.0561
"G114",-0.0261,-0.5629,0.1713,-1.7002,-0.1998,0.2177,-0.9885,-0.0456,1.2562,-1.1298,0.9728,-0.3895,-0.1607,-0.7158,-0.8903,-0.799,-1.0551,0.412,0.9764,0.1943
"G115",0.8824,-0.7137,0.9306,0.2789,-0.4265,0.6467,0.1214,-0.1448,0.0956,1.2231,0.3418,-0.2492,-0.7585,0.6193,1.5064,-0.1013,0.8506,0.5601,0.3872,0.5392
"G116",-0.6294,1.1948,-1.0448,-0.9136,1.0815,-0.9072,0.0548,2.2179,-1.4505,0.5996,-0.0066,0.9249,1.2254,0.3467,0.4547,0.1517,-0.8451,-0.3422,1.8331,0.364
"G117",-0.8519,0.2646,1.6773,0.2915,-0.0704,-0.391,-1.6501,0.1482,-1.6302,0.6525,-1.0937,1.1566,1.3117,-1.0164,0.4274,-0.2388,-1.1745,-0.213,-0.3368,0.1271
"G118",0.4488,-0.0535,1.2973,0.9079,0.5767,-0.2603,-0.0181,1.035,-0.6316,-1.1562,-0.8008,-1.1541,0.3978,-0.5104,1.0879,-1.1565,0.7002,-0.1598,0.2762,-1.8156
"G119",1.3349,0.5189,-0.4237,-0.7178,-1.8223,-0.0382,0.267,-0.0708,-0.0531,-1.0748,-1.2444,-0.69,0.1405,0.2099,0.7942,-0.7422,0.5226,1.3237,0.0725,0.0036
"G120",0.9131,-0.6996,-0.3236,-0.0828,0.3094,-0.2724,1.028,-0.8733,-1.1671,-0.9373,-1.7966,-0.1558,0.1102,0.5149,0.3559,-0.5346,-0.9974,1.4574,-0.9771,-0.4392
"G121",2.3928,-0.1835,1.168,1.189,0.5014,-0.7068,1.701,0.2908,1.7934,0.9265,1.0651,-0.521,0.082,0.4759,1.0965,1.0949,2.0719,-0.8505,2.3493,1.3738
"G122",-0.8212,-0.3293,0.2114,-0.1786,0.8933,-0.2595,-0.9236,-1.2946,-0.2992,0.0639,0.2419,-0.8711,2.2572,0.4435,-1.6807,-0.7988,-0.9023,-1.0902,0.8275,-0.7439
