"cell","cell_type","disease"
"C0088","Astrocyte","Disease"
"C0089","Astrocyte","Disease"
"C0090","Astrocyte","Disease"
"C0091","Astrocyte","Control"
"C0092","Astrocyte","Control"
"C0093","Astrocyte","Control"
"C0094","Astrocyte","Control"
"C0095","Astrocyte","Control"
"C0096","Astrocyte","Control"
"C0097","Astrocyte","Control"
"C0098","Astrocyte","Control"
"C0099","Astrocyte","Control"
"C0100","Astrocyte","Control"
"C0101","Astrocyte","Control"
"C0102","Astrocyte","Control"
"C0103","Astrocyte","Control"
"C0104","Astrocyte","Control"
"C0105","Astrocyte","Control"
"C0106","Astrocyte","Control"
"C0107","Astrocyte","Control"
"C0108","Astrocyte","Control"
"C0109","Astrocyte","Control"
"C0110","Astrocyte","Control"
"C0111","Astrocyte","Control"
"C0112","Astrocyte","Control"
"C0113","Astrocyte","Control"
"C0114","Astrocyte","Control"
"C0115","Astrocyte","Control"
"C0116","Astrocyte","Control"
"C0117","Astrocyte","Control"
"C0118","Astrocyte","Control"
"C0119","Astrocyte","Control"
"C0120","Astrocyte","Control"
"C0121","Oligodendrocyte","Disease"
"C0122","Oligodendrocyte","Disease"
"C0123","Oligodendrocyte","Disease"
"C0124","Oligodendrocyte","Disease"
"C0125","Oligodendrocyte","Disease"
"C0126","Oligodendrocyte","Disease"
"C0127","Oligodendrocyte","Disease"
"C0128","Oligodendrocyte","Disease"
"C0129","Oligodendrocyte","Disease"
"C0130","Oligodendrocyte","Disease"
"C0131","Oligodendrocyte","Disease"
"C0132","Oligodendrocyte","Disease"
"C0133","Oligodendrocyte","Disease"
"C0134","Oligodendrocyte","Disease"
"C0135","Oligodendrocyte","Disease"
"C0136","Oligodendrocyte","Disease"
"C0137","Oligodendrocyte","Disease"
"C0138","Oligodendrocyte","Disease"
"C0139","Oligodendrocyte","Disease"
"C0140","Oligodendrocyte","Disease"
"C0141","Oligodendrocyte","Disease"
"C0142","Oligodendrocyte","Disease"
"C0143","Oligodendrocyte","Disease"
"C0144","Oligodendrocyte","Disease"
"C0145","Oligodendrocyte","Disease"
"C0146","Oligodendrocyte","Disease"
"C0147","Oligodendrocyte","Disease"
"C0148","Oligodendrocyte","Disease"
"C0149","Oligodendrocyte","Disease"
"C0150","Oligodendrocyte","Disease"
"C0151","Oligodendrocyte","Control"
"C0152","Oligodendrocyte","Control"
"C0153","Oligodendrocyte","Control"
"C0154","Oligodendrocyte","Control"
"C0155","Oligodendrocyte","Control"
"C0156","Oligodendrocyte","Control"
"C0157","Oligodendrocyte","Control"
"C0158","Oligodendrocyte","Control"
"C0159","Oligodendrocyte","Control"
"C0160","Oligodendrocyte","Control"
"C0161","Oligodendrocyte","Control"
"C0162","Oligodendrocyte","Control"
"C0163","Oligodendrocyte","Control"
"C0164","Oligodendrocyte","Control"
"C0165","Oligodendrocyte","Control"
"C0166","Oligodendrocyte","Control"
"C0167","Oligodendrocyte","Control"
"C0168","Oligodendrocyte","Control"
"C0169","Oligodendrocyte","Control"
"C0170","Oligodendrocyte","Control"
"C0171","Oligodendrocyte","Control"
"C0172","Oligodendrocyte","Control"
"C0173","Oligodendrocyte","Control"
"C0174","Oligodendrocyte","Control"
"C0175","Oligodendrocyte","Control"
"C0176","Oligodendrocyte","Control"
"C0177","Oligodendrocyte","Control"
"C0178","Oligodendrocyte","Control"
"C0179","Oligodendrocyte","Control"
"C0180","Oligodendrocyte","Control"
"C0181","Neuron","Disease"
"C0182","Neuron","Disease"
"C0183","Neuron","Disease"
"C0184","Neuron","Disease"
"C0185","Neuron","Disease"
"C0186","Neuron","Disease"
"C0187","Neuron","Disease"
"C0188","Neuron","Disease"
"C0189","Neuron","Disease"
"C0190","Neuron","Disease"
"C0191","Neuron","Disease"
"C0192","Neuron","Disease"
"C0193","Neuron","Disease"
"C0194","Neuron","Disease"
"C0195","Neuron","Disease"
"C0196","Neuron","Disease"
"C0197","Neuron","Disease"
"C0198","Neuron","Disease"
"C0199","Neuron","Disease"
"C0200","Neuron","Disease"
"C0201","Neuron","Disease"
"C0202","Neuron","Disease"
"C0203","Neuron","Disease"
"C0204","Neuron","Disease"
"C0205","Neuron","Disease"
"C0206","Neuron","Disease"
"C0207","Neuron","Disease"
"C0208","Neuron","Disease"
"C0209","Neuron","Disease"
"C0210","Neuron","Disease"
"C0211","Neuron","Control"
"C0212","Neuron","Control"
"C0213","Neuron","Control"
"C0214","Neuron","Control"
"C0215","Neuron","Control"
"C0216","Neuron","Control"
"C0217","Neuron","Control"
"C0218","Neuron","Control"
"C0219","Neuron","Control"
"C0220","Neuron","Control"
"C0221","Neuron","Control"
"C0222","Neuron","Control"
"C0223","Neuron","Control"
"C0224","Neuron","Control"
"C0225","Neuron","Control"
"C0226","Neuron","Control"
"C0227","Neuron","Control"
"C0228","Neuron","Control"
"C0229","Neuron","Control"
"C0230","Neuron","Control"
"C0231","Neuron","Control"
"C0232","Neuron","Control"
"C0233","Neuron","Control"
"C0234","Neuron","Control"
"C0235","Neuron","Control"
"C0236","Neuron","Control"
"C0237","Neuron","Control"
"C0238","Neuron","Control"
"C0239","Neuron","Control"
"C0240","Neuron","Control"
"C0241","Tcell","Disease"
"C0242","Tcell","Disease"
"C0243","Tcell","Disease"
"C0244","Tcell","Disease"
"C0245","Tcell","Disease"
"C0246","Tcell","Disease"
"C0247","Tcell","Disease"
"C0248","Tcell","Disease"
"C0249","Tcell","Disease"
"C0250","Tcell","Disease"
"C0251","Tcell","Disease"
"C0252","Tcell","Disease"
"C0253","Tcell","Disease"
"C0254","Tcell","Disease"
"C0255","Tcell","Disease"
"C0256","Tcell","Disease"
"C0257","Tcell","Disease"
"C0258","Tcell","Disease"
"C0259","Tcell","Disease"
"C0260","Tcell","Disease"
"C0261","Tcell","Disease"
"C0262","Tcell","Disease"
"C0263","Tcell","Disease"
"C0264","Tcell","Disease"
"C0265","Tcell","Disease"
"C0266","Tcell","Disease"
"C0267","Tcell","Disease"
"C0268","Tcell","Disease"
"C0269","Tcell","Disease"
"C0270","Tcell","Disease"
"C0271","Tcell","Control"
"C0272","Tcell","Control"
"C0273","Tcell","Control"
"C0274","Tcell","Control"
"C0275","Tcell","Control"
"C0276","Tcell","Control"
"C0277","Tcell","Control"
"C0278","Tcell","Control"
"C0279","Tcell","Control"
"C0280","Tcell","Control"
"C0281","Tcell","Control"
"C0282","Tcell","Control"
"C0283","Tcell","Control"
"C0284","Tcell","Control"
"C0285","Tcell","Control"
"C0286","Tcell","Control"
"C0287","Tcell","Control"
"C0288","Tcell","Control"
"C0289","Tcell","Control"
"C0290","Tcell","Control"
"C0291","Tcell","Control"
"C0292","Tcell","Control"
"C0293","Tcell","Control"
"C0294","Tcell","Control"
"C0295","Tcell","Control"
"C0296","Tcell","Control"
"C0297","Tcell","Control"
"C0298","Tcell","Control"
"C0299","Tcell","Control"
"C0300","Tcell","Control"
"C0301","Endothelial","Disease"
"C0302","Endothelial","Disease"
"C0303","Endothelial","Disease"
"C0304","Endothelial","Disease"
"C0305","Endothelial","Disease"
"C0306","Endothelial","Disease"
"C0307","Endothelial","Disease"
"C0308","Endothelial","Disease"
"C0309","Endothelial","Disease"
"C0310","Endothelial","Disease"
"C0311","Endothelial","Disease"
"C0312","Endothelial","Disease"
"C0313","Endothelial","Disease"
"C0314","Endothelial","Disease"
"C0315","Endothelial","Disease"
"C0316","Endothelial","Disease"
"C0317","Endothelial","Disease"
"C0318","Endothelial","Disease"
"C0319","Endothelial","Disease"
"C0320","Endothelial","Disease"
"C0321","Endothelial","Disease"
"C0322","Endothelial","Disease"
"C0323","Endothelial","Disease"
"C0324","Endothelial","Disease"
"C0325","Endothelial","Disease"
"C0326","Endothelial","Disease"
"C0327","Endothelial","Disease"
"C0328","Endothelial","Disease"
"C0329","Endothelial","Disease"
"C0330","Endothelial","Disease"
"C0331","Endothelial","Control"
"C0332","Endothelial","Control"
"C0333","Endothelial","Control"
"C0334","Endothelial","Control"
"C0335","Endothelial","Control"
"C0336","Endothelial","Control"
"C0337","Endothelial","Control"
"C0338","Endothelial","Control"
"C0339","Endothelial","Control"
"C0340","Endothelial","Control"
"C0341","Endothelial","Control"
"C0342","Endothelial","Control"
"C0343","Endothelial","Control"
"C0344","Endothelial","Control"
"C0345","Endothelial","Control"
"C0346","Endothelial","Control"
"C0347","Endothelial","Control"
"C0348","Endothelial","Control"
"C0349","Endothelial","Control"
"C0350","Endothelial","Control"
"C0351","Endothelial","Control"
"C0352","Endothelial","Control"
"C0353","Endothelial","Control"
"C0354","Endothelial","Control"
"C0355","Endothelial","Control"
"C0356","Endothelial","Control"
"C0357","Endothelial","Control"
"C0358","Endothelial","Control"
"C0359","Endothelial","Control"
"C0360","Endothelial","Control"
