,Gene000,Gene001,Gene002,Gene003,Gene004,Gene005,Gene006,Gene007,Gene008,Gene009,Gene010,Gene011,Gene012,Gene013,Gene014,Gene015,Gene016,Gene017,Gene018,Gene019,Gene020,Gene021,Gene022,Gene023,Gene024,Gene025,Gene026,Gene027,Gene028,Gene029,Gene030,Gene031,Gene032,Gene033,Gene034,Gene035,Gene036,Gene037,Gene038,Gene039,Gene040,Gene041,Gene042,Gene043,Gene044,Gene045,Gene046,Gene047,Gene048,Gene049,Gene050,Gene051,Gene052,Gene053,Gene054,Gene055,Gene056,Gene057,Gene058,Gene059
spot0010,9.0,17.0,17.0,13.0,16.0,19.0,7.0,12.0,11.0,15.0,18.0,14.0,10.0,17.0,20.0,7.0,9.0,13.0,4.0,5.0,14.0,20.0,10.0,15.0,24.0,28.0,5.0,11.0,24.0,10.0,12.0,5.0,13.0,6.0,16.0,8.0,10.0,7.0,8.0,5.0,7.0,7.0,5.0,5.0,7.0,4.0,7.0,6.0,3.0,3.0,13.0,5.0,2.0,2.0,5.0,2.0,12.0,14.0,6.0,17.0
spot0011,13.0,12.0,16.0,10.0,19.0,22.0,7.0,15.0,9.0,19.0,14.0,22.0,13.0,22.0,15.0,9.0,4.0,11.0,7.0,6.0,15.0,20.0,10.0,8.0,18.0,32.0,11.0,20.0,16.0,14.0,7.0,4.0,6.0,6.0,15.0,7.0,7.0,4.0,4.0,9.0,4.0,13.0,5.0,4.0,13.0,5.0,9.0,8.0,4.0,3.0,14.0,2.0,4.0,4.0,3.0,5.0,18.0,6.0,5.0,16.0
spot0012,8.0,16.0,18.0,16.0,20.0,23.0,11.0,13.0,9.0,17.0,7.0,10.0,16.0,14.0,10.0,13.0,7.0,16.0,11.0,5.0,15.0,25.0,6.0,12.0,28.0,32.0,11.0,18.0,17.0,16.0,9.0,6.0,4.0,4.0,10.0,7.0,11.0,2.0,4.0,5.0,7.0,7.0,6.0,2.0,11.0,8.0,6.0,7.0,8.0,5.0,13.0,4.0,1.0,14.0,1.0,7.0,9.0,12.0,6.0,12.0
spot0013,10.0,20.0,16.0,20.0,10.0,15.0,16.0,18.0,21.0,12.0,13.0,20.0,10.0,15.0,12.0,4.0,6.0,18.0,10.0,3.0,10.0,27.0,11.0,13.0,16.0,30.0,6.0,13.0,15.0,29.0,4.0,5.0,6.0,7.0,11.0,6.0,7.0,6.0,5.0,11.0,4.0,8.0,3.0,4.0,9.0,2.0,3.0,6.0,7.0,3.0,12.0,6.0,3.0,8.0,3.0,4.0,8.0,12.0,9.0,17.0
spot0014,16.0,14.0,13.0,14.0,24.0,27.0,18.0,7.0,17.0,15.0,23.0,9.0,21.0,16.0,17.0,9.0,8.0,9.0,9.0,8.0,16.0,21.0,11.0,9.0,19.0,26.0,11.0,13.0,13.0,16.0,5.0,10.0,10.0,4.0,9.0,10.0,9.0,8.0,6.0,6.0,2.0,3.0,3.0,6.0,8.0,5.0,6.0,6.0,9.0,1.0,22.0,4.0,0.0,9.0,2.0,6.0,5.0,15.0,9.0,21.0
spot0015,10.0,20.0,16.0,6.0,18.0,22.0,18.0,14.0,12.0,11.0,29.0,13.0,23.0,19.0,15.0,8.0,14.0,13.0,11.0,11.0,19.0,17.0,13.0,19.0,20.0,28.0,16.0,16.0,15.0,9.0,10.0,4.0,5.0,10.0,15.0,5.0,10.0,10.0,9.0,9.0,7.0,9.0,7.0,8.0,8.0,4.0,7.0,4.0,8.0,5.0,18.0,5.0,0.0,3.0,1.0,4.0,8.0,16.0,12.0,14.0
spot0016,19.0,7.0,18.0,12.0,18.0,18.0,9.0,13.0,18.0,11.0,21.0,18.0,17.0,18.0,15.0,8.0,9.0,13.0,11.0,7.0,7.0,24.0,12.0,14.0,20.0,25.0,11.0,21.0,15.0,18.0,8.0,4.0,4.0,3.0,16.0,11.0,6.0,4.0,3.0,4.0,5.0,8.0,7.0,10.0,12.0,4.0,5.0,6.0,4.0,6.0,16.0,9.0,2.0,4.0,4.0,2.0,9.0,6.0,6.0,11.0
spot0017,15.0,11.0,17.0,13.0,11.0,28.0,12.0,14.0,12.0,15.0,15.0,16.0,8.0,21.0,12.0,6.0,7.0,7.0,6.0,8.0,14.0,28.0,6.0,13.0,26.0,33.0,8.0,16.0,17.0,20.0,11.0,10.0,5.0,3.0,17.0,7.0,5.0,4.0,11.0,3.0,5.0,5.0,7.0,8.0,5.0,2.0,6.0,8.0,12.0,2.0,19.0,1.0,1.0,9.0,0.0,6.0,10.0,12.0,11.0,25.0
spot0018,14.0,13.0,12.0,10.0,9.0,24.0,14.0,9.0,17.0,21.0,17.0,14.0,14.0,15.0,14.0,5.0,10.0,16.0,9.0,13.0,14.0,15.0,9.0,6.0,24.0,18.0,7.0,24.0,17.0,15.0,2.0,8.0,5.0,3.0,25.0,5.0,6.0,6.0,10.0,7.0,4.0,4.0,5.0,4.0,4.0,1.0,7.0,4.0,5.0,2.0,19.0,4.0,2.0,6.0,4.0,6.0,9.0,7.0,10.0,16.0
spot0019,14.0,8.0,13.0,10.0,17.0,28.0,16.0,10.0,10.0,29.0,16.0,17.0,11.0,14.0,19.0,8.0,0.0,10.0,7.0,8.0,5.0,16.0,1.0,12.0,20.0,30.0,7.0,20.0,21.0,15.0,10.0,5.0,8.0,3.0,10.0,4.0,9.0,3.0,7.0,4.0,7.0,10.0,7.0,5.0,10.0,2.0,3.0,4.0,6.0,5.0,15.0,3.0,1.0,5.0,8.0,2.0,7.0,18.0,4.0,21.0
spot0020,13.0,13.0,12.0,14.0,25.0,28.0,13.0,11.0,10.0,12.0,9.0,8.0,10.0,19.0,13.0,9.0,6.0,13.0,14.0,7.0,17.0,20.0,12.0,9.0,25.0,32.0,17.0,18.0,20.0,16.0,6.0,2.0,14.0,5.0,17.0,7.0,8.0,1.0,6.0,5.0,6.0,4.0,8.0,9.0,10.0,2.0,4.0,3.0,9.0,1.0,16.0,8.0,2.0,6.0,7.0,5.0,8.0,11.0,8.0,19.0
spot0021,12.0,12.0,16.0,13.0,17.0,23.0,6.0,15.0,10.0,14.0,19.0,13.0,15.0,13.0,11.0,14.0,8.0,18.0,8.0,4.0,8.0,23.0,7.0,10.0,28.0,15.0,8.0,14.0,13.0,14.0,9.0,4.0,9.0,3.0,11.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,3.0,4.0,6.0,5.0,7.0,3.0,25.0,6.0,0.0,8.0,8.0,8.0,12.0,14.0,2.0,16.0
spot0022,10.0,12.0,18.0,12.0,20.0,27.0,16.0,13.0,11.0,19.0,18.0,15.0,19.0,16.0,13.0,8.0,7.0,16.0,6.0,8.0,14.0,21.0,8.0,8.0,18.0,32.0,10.0,17.0,18.0,20.0,7.0,5.0,6.0,4.0,13.0,8.0,6.0,4.0,8.0,8.0,2.0,2.0,3.0,8.0,8.0,3.0,3.0,4.0,6.0,5.0,15.0,5.0,0.0,4.0,6.0,1.0,10.0,7.0,8.0,13.0
spot0023,9.0,10.0,19.0,12.0,15.0,13.0,21.0,7.0,16.0,22.0,14.0,19.0,14.0,10.0,12.0,8.0,14.0,11.0,14.0,5.0,6.0,17.0,9.0,9.0,27.0,25.0,11.0,7.0,18.0,10.0,12.0,5.0,8.0,7.0,23.0,8.0,1.0,4.0,8.0,8.0,4.0,4.0,4.0,3.0,4.0,2.0,10.0,5.0,8.0,6.0,13.0,4.0,2.0,5.0,3.0,5.0,6.0,15.0,8.0,12.0
spot0024,13.0,12.0,13.0,14.0,15.0,19.0,12.0,11.0,15.0,16.0,13.0,18.0,20.0,17.0,10.0,4.0,11.0,11.0,9.0,10.0,20.0,18.0,8.0,10.0,31.0,28.0,11.0,18.0,17.0,21.0,8.0,4.0,4.0,3.0,12.0,7.0,6.0,2.0,4.0,5.0,2.0,4.0,8.0,8.0,10.0,2.0,8.0,7.0,7.0,6.0,10.0,11.0,0.0,2.0,6.0,4.0,12.0,10.0,9.0,13.0
spot0025,11.0,8.0,15.0,12.0,16.0,27.0,9.0,9.0,11.0,12.0,16.0,11.0,18.0,15.0,25.0,11.0,10.0,14.0,11.0,10.0,17.0,23.0,9.0,13.0,19.0,36.0,8.0,22.0,15.0,10.0,11.0,7.0,5.0,3.0,9.0,7.0,9.0,4.0,13.0,11.0,2.0,9.0,8.0,3.0,5.0,7.0,3.0,2.0,8.0,5.0,10.0,4.0,5.0,7.0,6.0,11.0,8.0,9.0,9.0,17.0
spot0026,13.0,11.0,13.0,17.0,17.0,38.0,14.0,19.0,13.0,25.0,8.0,18.0,14.0,15.0,10.0,2.0,9.0,10.0,10.0,5.0,9.0,29.0,12.0,11.0,23.0,30.0,9.0,20.0,12.0,20.0,12.0,3.0,5.0,1.0,12.0,6.0,9.0,3.0,6.0,9.0,2.0,4.0,3.0,2.0,6.0,3.0,5.0,4.0,5.0,4.0,13.0,3.0,1.0,8.0,5.0,1.0,11.0,5.0,18.0,5.0
spot0027,8.0,12.0,10.0,16.0,24.0,17.0,12.0,10.0,18.0,21.0,17.0,17.0,13.0,22.0,10.0,12.0,7.0,13.0,3.0,8.0,15.0,22.0,4.0,17.0,24.0,27.0,13.0,15.0,13.0,16.0,9.0,5.0,10.0,7.0,15.0,7.0,7.0,2.0,11.0,4.0,3.0,8.0,7.0,9.0,13.0,4.0,6.0,10.0,7.0,3.0,12.0,4.0,2.0,4.0,9.0,3.0,6.0,7.0,9.0,9.0
spot0028,17.0,19.0,11.0,14.0,23.0,19.0,16.0,14.0,15.0,20.0,15.0,22.0,19.0,19.0,7.0,11.0,8.0,16.0,7.0,12.0,5.0,16.0,9.0,15.0,29.0,27.0,14.0,11.0,15.0,10.0,12.0,7.0,5.0,5.0,11.0,17.0,6.0,4.0,11.0,10.0,3.0,6.0,5.0,3.0,5.0,2.0,6.0,8.0,2.0,2.0,16.0,8.0,1.0,4.0,5.0,5.0,7.0,13.0,8.0,17.0
spot0029,12.0,6.0,13.0,20.0,18.0,16.0,12.0,11.0,17.0,19.0,22.0,9.0,11.0,15.0,17.0,9.0,8.0,8.0,6.0,8.0,19.0,17.0,7.0,14.0,24.0,36.0,11.0,13.0,14.0,18.0,10.0,7.0,12.0,5.0,16.0,10.0,4.0,9.0,6.0,5.0,4.0,6.0,5.0,7.0,7.0,2.0,6.0,5.0,4.0,5.0,15.0,4.0,1.0,2.0,6.0,10.0,12.0,12.0,5.0,14.0
spot0030,16.0,10.0,14.0,9.0,15.0,25.0,9.0,13.0,17.0,14.0,7.0,15.0,13.0,10.0,12.0,6.0,9.0,8.0,7.0,10.0,11.0,26.0,10.0,17.0,22.0,24.0,6.0,20.0,19.0,20.0,9.0,3.0,7.0,4.0,9.0,6.0,6.0,3.0,2.0,13.0,8.0,13.0,7.0,6.0,10.0,5.0,9.0,9.0,5.0,2.0,13.0,7.0,4.0,6.0,6.0,3.0,12.0,14.0,7.0,22.0
spot0031,12.0,16.0,15.0,16.0,21.0,19.0,15.0,24.0,15.0,13.0,19.0,17.0,15.0,23.0,13.0,6.0,11.0,11.0,5.0,8.0,9.0,21.0,10.0,8.0,27.0,27.0,2.0,15.0,26.0,20.0,8.0,5.0,5.0,4.0,6.0,4.0,7.0,4.0,4.0,6.0,5.0,2.0,3.0,5.0,7.0,3.0,6.0,5.0,3.0,2.0,19.0,9.0,3.0,3.0,2.0,5.0,11.0,8.0,14.0,15.0
spot0032,9.0,15.0,12.0,18.0,8.0,21.0,9.0,20.0,17.0,22.0,16.0,14.0,10.0,14.0,9.0,16.0,7.0,15.0,12.0,7.0,18.0,27.0,12.0,13.0,25.0,30.0,11.0,13.0,17.0,11.0,10.0,5.0,6.0,5.0,14.0,10.0,7.0,7.0,3.0,8.0,6.0,8.0,4.0,2.0,10.0,6.0,7.0,8.0,4.0,4.0,12.0,2.0,1.0,5.0,4.0,3.0,8.0,13.0,8.0,17.0
spot0033,11.0,20.0,16.0,15.0,14.0,18.0,8.0,13.0,18.0,20.0,17.0,10.0,17.0,20.0,14.0,6.0,10.0,9.0,6.0,5.0,9.0,24.0,8.0,12.0,22.0,39.0,7.0,15.0,14.0,16.0,12.0,2.0,11.0,6.0,14.0,9.0,8.0,6.0,3.0,7.0,2.0,5.0,2.0,8.0,12.0,5.0,3.0,5.0,1.0,1.0,18.0,10.0,3.0,4.0,4.0,9.0,10.0,12.0,9.0,14.0
spot0034,10.0,11.0,17.0,11.0,18.0,22.0,13.0,22.0,11.0,18.0,16.0,20.0,16.0,16.0,8.0,4.0,7.0,13.0,7.0,3.0,10.0,20.0,7.0,13.0,21.0,34.0,10.0,12.0,11.0,14.0,10.0,5.0,5.0,5.0,15.0,7.0,3.0,3.0,5.0,6.0,4.0,7.0,8.0,3.0,8.0,0.0,10.0,5.0,2.0,3.0,14.0,2.0,2.0,8.0,2.0,9.0,10.0,12.0,4.0,22.0
spot0035,18.0,18.0,21.0,16.0,26.0,20.0,8.0,16.0,13.0,19.0,20.0,12.0,14.0,18.0,9.0,8.0,11.0,9.0,4.0,12.0,17.0,16.0,11.0,12.0,16.0,34.0,7.0,18.0,15.0,14.0,6.0,3.0,5.0,2.0,14.0,8.0,11.0,9.0,11.0,6.0,4.0,11.0,6.0,6.0,9.0,5.0,8.0,6.0,4.0,1.0,13.0,7.0,0.0,6.0,4.0,1.0,7.0,10.0,10.0,18.0
spot0036,10.0,15.0,11.0,15.0,19.0,35.0,4.0,10.0,13.0,18.0,16.0,11.0,12.0,12.0,11.0,4.0,11.0,8.0,4.0,11.0,13.0,30.0,8.0,10.0,23.0,41.0,11.0,16.0,18.0,20.0,11.0,4.0,13.0,4.0,12.0,8.0,10.0,7.0,13.0,10.0,5.0,10.0,1.0,6.0,12.0,4.0,9.0,10.0,5.0,1.0,14.0,5.0,2.0,11.0,3.0,4.0,8.0,6.0,7.0,15.0
spot0037,11.0,14.0,15.0,19.0,26.0,22.0,12.0,20.0,10.0,25.0,14.0,14.0,13.0,6.0,10.0,11.0,8.0,17.0,5.0,7.0,11.0,24.0,9.0,7.0,17.0,21.0,12.0,14.0,20.0,14.0,3.0,5.0,11.0,3.0,15.0,10.0,10.0,6.0,6.0,12.0,9.0,5.0,4.0,6.0,9.0,4.0,6.0,8.0,6.0,1.0,15.0,2.0,0.0,1.0,3.0,5.0,8.0,9.0,6.0,25.0
spot0038,16.0,20.0,15.0,14.0,18.0,29.0,12.0,13.0,16.0,20.0,9.0,15.0,10.0,14.0,21.0,7.0,6.0,12.0,8.0,12.0,15.0,21.0,8.0,12.0,26.0,34.0,4.0,10.0,15.0,20.0,5.0,2.0,4.0,5.0,10.0,4.0,2.0,4.0,6.0,2.0,5.0,7.0,7.0,2.0,7.0,2.0,9.0,6.0,6.0,4.0,20.0,3.0,4.0,9.0,3.0,6.0,11.0,9.0,11.0,17.0
spot0039,9.0,13.0,16.0,12.0,17.0,19.0,12.0,15.0,9.0,14.0,24.0,16.0,17.0,17.0,13.0,10.0,5.0,11.0,11.0,9.0,17.0,24.0,12.0,13.0,27.0,34.0,8.0,23.0,12.0,6.0,6.0,4.0,9.0,4.0,16.0,9.0,5.0,3.0,5.0,7.0,4.0,5.0,2.0,3.0,7.0,2.0,7.0,5.0,3.0,1.0,12.0,4.0,2.0,4.0,8.0,7.0,1.0,8.0,5.0,11.0
spot0040,9.0,11.0,22.0,16.0,10.0,21.0,13.0,10.0,10.0,19.0,24.0,23.0,10.0,18.0,7.0,5.0,16.0,11.0,6.0,11.0,19.0,22.0,7.0,10.0,23.0,29.0,7.0,21.0,13.0,16.0,9.0,5.0,6.0,5.0,12.0,13.0,11.0,5.0,4.0,5.0,6.0,8.0,4.0,8.0,3.0,6.0,6.0,9.0,7.0,0.0,11.0,4.0,0.0,2.0,5.0,10.0,12.0,13.0,10.0,20.0
spot0041,16.0,13.0,11.0,17.0,15.0,23.0,9.0,12.0,13.0,15.0,23.0,16.0,17.0,22.0,11.0,8.0,11.0,15.0,8.0,8.0,15.0,20.0,14.0,5.0,22.0,37.0,8.0,15.0,9.0,15.0,5.0,2.0,7.0,5.0,8.0,8.0,10.0,2.0,7.0,7.0,3.0,9.0,3.0,2.0,8.0,1.0,6.0,8.0,4.0,3.0,22.0,6.0,4.0,7.0,6.0,9.0,10.0,12.0,8.0,11.0
spot0042,23.0,11.0,13.0,17.0,12.0,26.0,14.0,14.0,9.0,16.0,12.0,12.0,16.0,14.0,12.0,9.0,7.0,7.0,12.0,12.0,11.0,26.0,7.0,14.0,11.0,26.0,7.0,9.0,17.0,19.0,6.0,1.0,8.0,7.0,10.0,7.0,8.0,3.0,6.0,5.0,4.0,8.0,5.0,5.0,10.0,1.0,3.0,8.0,5.0,4.0,19.0,5.0,1.0,6.0,6.0,4.0,6.0,11.0,11.0,17.0
spot0043,10.0,8.0,17.0,10.0,18.0,24.0,8.0,17.0,16.0,14.0,16.0,19.0,19.0,16.0,10.0,14.0,16.0,12.0,10.0,9.0,10.0,21.0,13.0,10.0,25.0,25.0,9.0,6.0,18.0,11.0,8.0,6.0,5.0,5.0,16.0,7.0,9.0,5.0,10.0,9.0,7.0,7.0,6.0,2.0,13.0,2.0,5.0,10.0,8.0,4.0,23.0,6.0,2.0,6.0,8.0,4.0,7.0,8.0,10.0,19.0
spot0044,16.0,15.0,18.0,12.0,16.0,26.0,9.0,10.0,8.0,28.0,26.0,13.0,16.0,17.0,13.0,8.0,7.0,20.0,6.0,6.0,11.0,19.0,12.0,18.0,29.0,17.0,5.0,17.0,16.0,19.0,11.0,7.0,2.0,4.0,17.0,7.0,7.0,5.0,8.0,8.0,5.0,3.0,4.0,6.0,5.0,5.0,5.0,3.0,5.0,4.0,19.0,4.0,1.0,5.0,4.0,5.0,7.0,9.0,4.0,11.0
spot0045,12.0,16.0,18.0,17.0,19.0,22.0,9.0,11.0,12.0,26.0,21.0,12.0,10.0,13.0,9.0,8.0,9.0,9.0,6.0,5.0,17.0,25.0,5.0,14.0,21.0,32.0,8.0,20.0,18.0,16.0,6.0,4.0,6.0,2.0,13.0,5.0,5.0,3.0,5.0,11.0,8.0,9.0,4.0,7.0,6.0,1.0,7.0,3.0,11.0,3.0,12.0,4.0,3.0,4.0,4.0,6.0,11.0,11.0,5.0,12.0
spot0046,5.0,20.0,18.0,5.0,15.0,17.0,14.0,13.0,11.0,14.0,16.0,11.0,13.0,15.0,8.0,6.0,6.0,9.0,6.0,11.0,16.0,31.0,5.0,7.0,29.0,30.0,10.0,12.0,16.0,10.0,8.0,5.0,4.0,4.0,16.0,5.0,6.0,4.0,6.0,9.0,12.0,7.0,2.0,4.0,4.0,4.0,4.0,8.0,4.0,3.0,19.0,8.0,6.0,9.0,3.0,5.0,4.0,7.0,3.0,6.0
spot0047,14.0,15.0,17.0,9.0,11.0,21.0,11.0,11.0,16.0,11.0,12.0,13.0,22.0,17.0,16.0,5.0,5.0,14.0,10.0,6.0,3.0,20.0,12.0,13.0,20.0,32.0,14.0,18.0,11.0,18.0,8.0,3.0,5.0,2.0,12.0,7.0,7.0,4.0,8.0,8.0,9.0,7.0,6.0,5.0,5.0,5.0,6.0,8.0,7.0,1.0,18.0,9.0,4.0,4.0,1.0,6.0,6.0,11.0,9.0,18.0
spot0048,14.0,15.0,15.0,13.0,7.0,29.0,13.0,15.0,13.0,22.0,15.0,15.0,15.0,17.0,11.0,10.0,7.0,9.0,7.0,5.0,10.0,19.0,12.0,13.0,22.0,29.0,9.0,18.0,13.0,19.0,15.0,6.0,8.0,3.0,12.0,8.0,7.0,5.0,3.0,9.0,5.0,6.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,2.0,13.0,5.0,0.0,6.0,6.0,1.0,6.0,12.0,8.0,14.0
spot0049,7.0,19.0,14.0,13.0,18.0,25.0,16.0,11.0,14.0,20.0,17.0,11.0,16.0,17.0,10.0,8.0,6.0,18.0,8.0,9.0,19.0,16.0,3.0,13.0,19.0,32.0,12.0,13.0,17.0,14.0,8.0,4.0,7.0,7.0,16.0,8.0,11.0,4.0,5.0,3.0,5.0,9.0,5.0,5.0,7.0,1.0,6.0,9.0,5.0,1.0,12.0,6.0,2.0,5.0,4.0,3.0,7.0,8.0,9.0,19.0
spot0050,10.0,10.0,18.0,10.0,18.0,21.0,9.0,8.0,12.0,25.0,15.0,13.0,13.0,16.0,16.0,7.0,11.0,13.0,6.0,11.0,16.0,28.0,8.0,13.0,22.0,25.0,9.0,22.0,12.0,13.0,10.0,6.0,15.0,6.0,14.0,5.0,10.0,2.0,11.0,8.0,10.0,2.0,4.0,4.0,14.0,3.0,9.0,12.0,8.0,4.0,13.0,6.0,0.0,4.0,4.0,5.0,10.0,9.0,4.0,18.0
spot0051,12.0,14.0,19.0,15.0,14.0,17.0,10.0,13.0,21.0,14.0,18.0,14.0,13.0,18.0,11.0,9.0,5.0,11.0,11.0,4.0,16.0,21.0,8.0,12.0,31.0,36.0,11.0,15.0,19.0,16.0,10.0,4.0,7.0,4.0,13.0,9.0,8.0,2.0,5.0,5.0,8.0,1.0,4.0,6.0,10.0,1.0,5.0,6.0,8.0,1.0,26.0,3.0,1.0,5.0,7.0,3.0,8.0,5.0,8.0,13.0
spot0052,13.0,12.0,8.0,7.0,15.0,20.0,11.0,11.0,11.0,14.0,17.0,21.0,19.0,16.0,19.0,5.0,10.0,13.0,4.0,7.0,20.0,16.0,8.0,11.0,19.0,34.0,6.0,17.0,10.0,14.0,9.0,7.0,9.0,2.0,13.0,7.0,7.0,5.0,9.0,6.0,6.0,5.0,4.0,7.0,7.0,4.0,8.0,7.0,5.0,3.0,10.0,5.0,2.0,5.0,1.0,9.0,3.0,13.0,7.0,17.0
spot0053,12.0,13.0,23.0,10.0,15.0,20.0,16.0,10.0,14.0,20.0,15.0,12.0,15.0,13.0,14.0,5.0,11.0,12.0,8.0,8.0,6.0,24.0,8.0,12.0,36.0,27.0,14.0,17.0,19.0,15.0,6.0,5.0,8.0,9.0,14.0,7.0,7.0,5.0,4.0,1.0,7.0,9.0,5.0,4.0,7.0,4.0,10.0,3.0,8.0,6.0,19.0,2.0,3.0,12.0,3.0,2.0,7.0,10.0,10.0,12.0
