spot,x,y,layer
spot0200,4.0,14,L6
spot0201,5.0,14,L6
spot0202,6.0,14,L6
spot0203,7.0,14,L6
spot0204,8.0,14,L6
spot0205,9.0,14,L6
spot0206,10.0,14,L6
spot0207,11.0,14,L6
spot0208,12.0,14,L6
spot0209,13.0,14,L6
spot0210,0.5,15,L6
spot0211,1.5,15,L6
spot0212,2.5,15,L6
spot0213,3.5,15,L6
spot0214,4.5,15,L6
spot0215,5.5,15,L6
spot0216,6.5,15,L6
spot0217,7.5,15,L6
spot0218,8.5,15,L6
spot0219,9.5,15,L6
spot0220,10.5,15,L6
spot0221,11.5,15,L6
spot0222,12.5,15,L6
spot0223,13.5,15,L6
