,Gene000,Gene001,Gene002,Gene003,Gene004,Gene005,Gene006,Gene007,Gene008,Gene009,Gene010,Gene011,Gene012,Gene013,Gene014,Gene015,Gene016,Gene017,Gene018,Gene019,Gene020,Gene021,Gene022,Gene023,Gene024,Gene025,Gene026,Gene027,Gene028,Gene029,Gene030,Gene031,Gene032,Gene033,Gene034,Gene035,Gene036,Gene037,Gene038,Gene039,Gene040,Gene041,Gene042,Gene043,Gene044,Gene045,Gene046,Gene047,Gene048,Gene049,Gene050,Gene051,Gene052,Gene053,Gene054,Gene055,Gene056,Gene057,Gene058,Gene059
rna0010,6.0,11.0,13.0,0.0,2.0,6.0,0.0,0.0,6.0,12.0,0.0,5.0,10.0,6.0,7.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,0.0,8.0,3.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,4.0,1.0,3.0,4.0,1.0,4.0,11.0
rna0011,14.0,32.0,9.0,2.0,5.0,6.0,0.0,0.0,12.0,0.0,4.0,12.0,6.0,0.0,7.0,0.0,9.0,11.0,0.0,15.0,0.0,0.0,6.0,20.0,11.0,7.0,5.0,14.0,0.0,28.0,23.0,7.0,28.0,15.0,0.0,24.0,18.0,24.0,42.0,14.0,18.0,10.0,9.0,0.0,11.0,0.0,7.0,0.0,0.0,13.0,6.0,0.0,3.0,0.0,2.0,13.0,14.0,10.0,13.0,17.0
rna0012,7.0,19.0,5.0,2.0,6.0,7.0,1.0,0.0,0.0,0.0,9.0,3.0,7.0,3.0,2.0,0.0,2.0,5.0,4.0,4.0,0.0,11.0,1.0,12.0,0.0,2.0,2.0,0.0,18.0,9.0,4.0,8.0,10.0,4.0,0.0,14.0,9.0,0.0,12.0,3.0,0.0,9.0,3.0,3.0,0.0,3.0,12.0,0.0,9.0,7.0,4.0,0.0,0.0,2.0,0.0,8.0,11.0,4.0,10.0,0.0
rna0013,11.0,0.0,0.0,4.0,0.0,9.0,5.0,0.0,0.0,9.0,10.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,10.0,2.0,7.0,13.0,4.0,3.0,9.0,3.0,14.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,0.0,6.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0
rna0014,8.0,24.0,16.0,0.0,5.0,12.0,5.0,0.0,0.0,0.0,3.0,7.0,4.0,8.0,9.0,23.0,0.0,8.0,6.0,11.0,0.0,28.0,4.0,19.0,0.0,17.0,8.0,20.0,0.0,22.0,13.0,9.0,0.0,4.0,0.0,15.0,0.0,25.0,0.0,13.0,0.0,8.0,12.0,12.0,0.0,8.0,0.0,8.0,12.0,10.0,5.0,8.0,6.0,0.0,3.0,0.0,14.0,0.0,23.0,15.0
rna0015,0.0,0.0,8.0,5.0,0.0,2.0,6.0,0.0,5.0,13.0,9.0,8.0,6.0,3.0,9.0,7.0,2.0,0.0,2.0,3.0,2.0,19.0,0.0,13.0,8.0,0.0,1.0,10.0,8.0,4.0,2.0,0.0,0.0,0.0,4.0,7.0,4.0,5.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
rna0016,0.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,9.0,8.0,1.0,0.0,2.0,0.0,7.0,5.0,4.0,4.0,5.0,0.0,33.0,0.0,0.0,12.0,5.0,0.0,12.0,7.0,22.0,5.0,2.0,6.0,1.0,2.0,2.0,5.0,0.0,6.0,3.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,2.0,8.0,4.0
rna0017,23.0,17.0,10.0,0.0,3.0,4.0,10.0,2.0,8.0,23.0,0.0,7.0,2.0,8.0,11.0,26.0,3.0,0.0,0.0,9.0,22.0,22.0,3.0,11.0,35.0,7.0,8.0,9.0,0.0,27.0,14.0,3.0,15.0,11.0,5.0,27.0,0.0,12.0,41.0,0.0,8.0,7.0,0.0,0.0,8.0,23.0,13.0,0.0,27.0,26.0,9.0,9.0,0.0,12.0,14.0,42.0,27.0,0.0,0.0,0.0
rna0018,19.0,12.0,0.0,8.0,0.0,12.0,0.0,4.0,5.0,26.0,0.0,0.0,8.0,13.0,0.0,0.0,8.0,12.0,10.0,8.0,15.0,50.0,7.0,27.0,12.0,17.0,16.0,0.0,15.0,34.0,5.0,4.0,11.0,4.0,1.0,8.0,9.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,7.0,4.0,11.0,2.0,0.0,8.0,2.0,2.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,18.0
rna0019,5.0,0.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,8.0,4.0,0.0,8.0,12.0,6.0,0.0,6.0,0.0,7.0,7.0,5.0,9.0,14.0,0.0,9.0,8.0,8.0,0.0,5.0,14.0,8.0,9.0,21.0,0.0,0.0,11.0,7.0,15.0,4.0,0.0,4.0,0.0,12.0,8.0,2.0,4.0,0.0,3.0,5.0,6.0,4.0,0.0,0.0,8.0
rna0020,7.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,6.0,0.0,3.0,5.0,5.0,2.0,4.0,3.0,8.0,3.0,3.0,6.0,0.0,1.0,6.0,1.0,3.0,16.0,5.0,5.0,2.0,0.0,0.0,1.0,6.0,4.0,0.0,0.0,11.0,2.0,2.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,6.0
rna0021,9.0,9.0,0.0,1.0,0.0,9.0,4.0,2.0,0.0,14.0,6.0,4.0,1.0,0.0,8.0,11.0,6.0,6.0,0.0,4.0,14.0,19.0,4.0,0.0,19.0,4.0,6.0,3.0,4.0,0.0,10.0,2.0,0.0,17.0,2.0,12.0,0.0,7.0,21.0,0.0,11.0,0.0,7.0,13.0,3.0,14.0,12.0,6.0,18.0,21.0,12.0,12.0,9.0,9.0,8.0,15.0,15.0,2.0,18.0,15.0
rna0022,0.0,34.0,10.0,0.0,6.0,14.0,0.0,7.0,0.0,23.0,6.0,0.0,6.0,6.0,5.0,24.0,10.0,9.0,11.0,13.0,15.0,19.0,5.0,0.0,0.0,10.0,9.0,21.0,24.0,40.0,0.0,17.0,28.0,0.0,13.0,18.0,0.0,0.0,37.0,18.0,0.0,0.0,15.0,0.0,13.0,8.0,25.0,4.0,0.0,15.0,0.0,9.0,0.0,7.0,2.0,0.0,17.0,0.0,19.0,16.0
rna0023,11.0,24.0,11.0,4.0,1.0,0.0,6.0,1.0,7.0,13.0,7.0,5.0,4.0,3.0,1.0,17.0,0.0,3.0,6.0,10.0,9.0,14.0,5.0,0.0,4.0,7.0,5.0,7.0,17.0,17.0,13.0,4.0,0.0,10.0,0.0,0.0,11.0,10.0,19.0,7.0,11.0,0.0,6.0,8.0,5.0,6.0,13.0,0.0,0.0,8.0,2.0,6.0,5.0,4.0,0.0,5.0,0.0,5.0,11.0,9.0
rna0024,0.0,0.0,0.0,6.0,0.0,16.0,0.0,5.0,10.0,17.0,9.0,12.0,0.0,8.0,11.0,32.0,0.0,0.0,16.0,12.0,12.0,38.0,12.0,36.0,0.0,16.0,10.0,0.0,24.0,34.0,18.0,12.0,26.0,21.0,9.0,0.0,11.0,23.0,31.0,17.0,0.0,11.0,7.0,15.0,9.0,5.0,0.0,2.0,15.0,12.0,0.0,9.0,6.0,7.0,0.0,10.0,17.0,0.0,19.0,18.0
rna0025,0.0,11.0,12.0,3.0,6.0,11.0,8.0,0.0,0.0,15.0,18.0,0.0,9.0,5.0,6.0,6.0,5.0,3.0,0.0,5.0,5.0,23.0,2.0,0.0,13.0,17.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,7.0,0.0,5.0,5.0,4.0,0.0,2.0,6.0,4.0,2.0,4.0,1.0,4.0,2.0,7.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,8.0
rna0026,0.0,8.0,8.0,0.0,3.0,6.0,0.0,12.0,2.0,13.0,6.0,7.0,13.0,5.0,10.0,0.0,0.0,4.0,5.0,0.0,2.0,14.0,3.0,14.0,12.0,0.0,5.0,0.0,9.0,10.0,4.0,4.0,2.0,1.0,3.0,12.0,2.0,2.0,0.0,4.0,4.0,1.0,0.0,6.0,4.0,3.0,5.0,0.0,3.0,0.0,10.0,4.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,9.0
rna0027,0.0,0.0,0.0,2.0,15.0,0.0,6.0,10.0,0.0,0.0,0.0,9.0,6.0,3.0,0.0,26.0,0.0,6.0,0.0,9.0,7.0,0.0,5.0,0.0,12.0,7.0,0.0,11.0,0.0,0.0,7.0,7.0,0.0,16.0,10.0,25.0,19.0,0.0,28.0,13.0,20.0,8.0,8.0,13.0,0.0,0.0,8.0,5.0,17.0,0.0,5.0,0.0,2.0,7.0,8.0,12.0,0.0,0.0,0.0,0.0
rna0028,5.0,19.0,6.0,2.0,3.0,0.0,0.0,4.0,9.0,15.0,5.0,7.0,0.0,0.0,0.0,17.0,6.0,9.0,7.0,13.0,17.0,0.0,6.0,9.0,6.0,6.0,0.0,11.0,15.0,20.0,11.0,7.0,17.0,15.0,6.0,9.0,8.0,14.0,0.0,8.0,18.0,0.0,0.0,14.0,8.0,4.0,4.0,3.0,12.0,6.0,1.0,0.0,2.0,5.0,2.0,8.0,0.0,0.0,11.0,11.0
rna0029,0.0,0.0,7.0,0.0,3.0,4.0,5.0,2.0,5.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,13.0,0.0,29.0,1.0,15.0,3.0,0.0,11.0,5.0,6.0,24.0,6.0,0.0,0.0,0.0,4.0,3.0,7.0,3.0,6.0,2.0,6.0,3.0,3.0,0.0,1.0,0.0,6.0,0.0,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,7.0
rna0030,7.0,12.0,14.0,12.0,0.0,7.0,10.0,12.0,8.0,0.0,19.0,0.0,11.0,10.0,5.0,10.0,1.0,11.0,3.0,8.0,4.0,0.0,0.0,0.0,19.0,16.0,0.0,14.0,12.0,16.0,3.0,0.0,4.0,0.0,4.0,11.0,5.0,3.0,0.0,5.0,0.0,4.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0,5.0,6.0,2.0,12.0,0.0
rna0031,5.0,11.0,4.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,3.0,3.0,15.0,4.0,8.0,0.0,5.0,0.0,2.0,9.0,0.0,0.0,6.0,10.0,3.0,0.0,6.0,4.0,5.0,14.0,5.0,8.0,2.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,1.0,5.0,1.0,4.0,7.0,0.0,5.0,9.0
rna0032,17.0,0.0,7.0,6.0,0.0,12.0,11.0,8.0,11.0,21.0,7.0,11.0,0.0,0.0,11.0,23.0,14.0,7.0,0.0,18.0,8.0,24.0,8.0,0.0,10.0,5.0,7.0,6.0,36.0,0.0,0.0,0.0,21.0,13.0,11.0,15.0,17.0,17.0,0.0,19.0,25.0,19.0,16.0,25.0,0.0,0.0,0.0,0.0,18.0,8.0,6.0,8.0,9.0,6.0,1.0,0.0,0.0,0.0,11.0,19.0
rna0033,4.0,5.0,8.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,5.0,0.0,6.0,2.0,3.0,8.0,3.0,3.0,1.0,7.0,3.0,0.0,2.0,9.0,0.0,0.0,8.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,6.0
rna0034,0.0,20.0,9.0,7.0,0.0,11.0,5.0,0.0,2.0,0.0,18.0,3.0,10.0,4.0,10.0,18.0,8.0,9.0,12.0,15.0,13.0,0.0,0.0,21.0,23.0,0.0,14.0,19.0,15.0,45.0,7.0,4.0,13.0,5.0,5.0,9.0,14.0,11.0,14.0,3.0,12.0,2.0,0.0,0.0,5.0,3.0,0.0,1.0,8.0,7.0,6.0,0.0,2.0,5.0,2.0,5.0,7.0,3.0,0.0,10.0
rna0035,12.0,13.0,14.0,1.0,4.0,1.0,4.0,4.0,6.0,0.0,3.0,5.0,0.0,3.0,0.0,14.0,3.0,9.0,0.0,0.0,14.0,7.0,2.0,10.0,16.0,0.0,7.0,0.0,16.0,20.0,5.0,3.0,11.0,0.0,2.0,18.0,10.0,7.0,32.0,5.0,3.0,6.0,3.0,5.0,6.0,15.0,0.0,4.0,17.0,22.0,6.0,7.0,0.0,0.0,0.0,0.0,24.0,4.0,21.0,21.0
rna0036,0.0,20.0,4.0,4.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,7.0,0.0,11.0,12.0,22.0,18.0,18.0,0.0,0.0,12.0,69.0,0.0,27.0,33.0,20.0,11.0,21.0,0.0,42.0,13.0,8.0,20.0,2.0,0.0,0.0,15.0,0.0,19.0,10.0,0.0,5.0,0.0,10.0,6.0,3.0,9.0,0.0,15.0,14.0,0.0,1.0,1.0,0.0,5.0,7.0,7.0,4.0,32.0,13.0
rna0037,2.0,9.0,0.0,0.0,0.0,8.0,7.0,4.0,5.0,20.0,15.0,0.0,7.0,0.0,5.0,13.0,14.0,12.0,0.0,0.0,0.0,39.0,0.0,13.0,13.0,0.0,14.0,0.0,9.0,25.0,6.0,2.0,10.0,0.0,5.0,0.0,9.0,5.0,0.0,5.0,6.0,0.0,9.0,0.0,2.0,2.0,5.0,0.0,8.0,2.0,4.0,4.0,0.0,0.0,4.0,5.0,10.0,3.0,8.0,0.0
rna0038,0.0,0.0,14.0,5.0,13.0,13.0,15.0,9.0,7.0,0.0,21.0,12.0,16.0,0.0,9.0,10.0,4.0,11.0,7.0,5.0,8.0,28.0,2.0,0.0,0.0,0.0,6.0,0.0,12.0,16.0,3.0,1.0,0.0,1.0,0.0,8.0,4.0,2.0,11.0,0.0,5.0,1.0,4.0,0.0,3.0,0.0,6.0,2.0,5.0,3.0,8.0,4.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,15.0
rna0039,2.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,8.0,3.0,0.0,3.0,6.0,0.0,0.0,3.0,3.0,5.0,1.0,7.0,2.0,3.0,13.0,0.0,2.0,1.0,2.0,3.0,4.0,6.0,14.0,1.0,0.0,5.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,6.0,13.0
rna0040,7.0,8.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,2.0,1.0,0.0,5.0,12.0,1.0,5.0,0.0,8.0,6.0,0.0,1.0,2.0,10.0,8.0,0.0,1.0,8.0,14.0,6.0,0.0,6.0,11.0,2.0,10.0,9.0,2.0,15.0,0.0,4.0,5.0,1.0,7.0,0.0,12.0,11.0,5.0,19.0,5.0,4.0,0.0,0.0,0.0,2.0,16.0,7.0,0.0,6.0,14.0
rna0041,7.0,0.0,6.0,7.0,5.0,4.0,0.0,1.0,2.0,15.0,9.0,0.0,0.0,1.0,3.0,0.0,8.0,3.0,7.0,6.0,5.0,0.0,4.0,9.0,8.0,0.0,4.0,9.0,9.0,0.0,2.0,8.0,0.0,3.0,0.0,4.0,5.0,5.0,8.0,2.0,0.0,7.0,2.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,21.0,7.0
rna0042,0.0,11.0,10.0,4.0,0.0,9.0,5.0,0.0,3.0,0.0,0.0,4.0,13.0,10.0,8.0,15.0,16.0,9.0,0.0,14.0,0.0,53.0,0.0,30.0,14.0,18.0,18.0,22.0,13.0,0.0,12.0,0.0,15.0,6.0,0.0,8.0,8.0,5.0,12.0,3.0,11.0,0.0,3.0,10.0,8.0,0.0,7.0,2.0,7.0,9.0,5.0,4.0,0.0,0.0,7.0,1.0,0.0,6.0,23.0,11.0
rna0043,0.0,9.0,0.0,0.0,7.0,8.0,9.0,0.0,3.0,0.0,0.0,12.0,16.0,0.0,9.0,5.0,5.0,13.0,4.0,4.0,6.0,23.0,0.0,11.0,13.0,14.0,3.0,7.0,0.0,0.0,0.0,1.0,8.0,2.0,5.0,2.0,4.0,4.0,6.0,0.0,0.0,3.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.0,1.0,2.0,3.0,5.0,0.0,9.0,0.0
rna0044,10.0,17.0,0.0,10.0,7.0,13.0,4.0,0.0,0.0,29.0,0.0,0.0,0.0,9.0,9.0,22.0,19.0,14.0,0.0,12.0,0.0,0.0,9.0,31.0,29.0,0.0,17.0,0.0,19.0,42.0,0.0,3.0,19.0,0.0,7.0,11.0,12.0,10.0,16.0,4.0,13.0,9.0,5.0,18.0,10.0,0.0,0.0,4.0,12.0,9.0,5.0,4.0,2.0,5.0,4.0,0.0,6.0,5.0,0.0,20.0
rna0045,9.0,0.0,10.0,0.0,8.0,12.0,16.0,12.0,0.0,25.0,29.0,0.0,17.0,0.0,10.0,6.0,7.0,12.0,4.0,4.0,7.0,0.0,2.0,27.0,17.0,12.0,5.0,0.0,16.0,16.0,6.0,0.0,5.0,2.0,3.0,7.0,8.0,0.0,0.0,0.0,11.0,2.0,4.0,0.0,9.0,3.0,1.0,3.0,1.0,0.0,9.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
rna0046,8.0,8.0,5.0,0.0,4.0,10.0,2.0,4.0,2.0,22.0,15.0,0.0,7.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,18.0,5.0,11.0,9.0,0.0,6.0,21.0,7.0,0.0,9.0,5.0,5.0,3.0,7.0,0.0,7.0,0.0,6.0,0.0,0.0,9.0,2.0,1.0,0.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,2.0,5.0,5.0,1.0,14.0,6.0
rna0047,7.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,15.0,7.0,10.0,0.0,9.0,8.0,6.0,3.0,5.0,4.0,2.0,5.0,17.0,1.0,5.0,13.0,9.0,0.0,7.0,13.0,14.0,1.0,3.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,6.0,4.0,7.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,11.0
rna0048,16.0,16.0,14.0,9.0,19.0,17.0,8.0,7.0,6.0,31.0,29.0,0.0,11.0,7.0,10.0,20.0,11.0,19.0,12.0,14.0,14.0,78.0,16.0,42.0,24.0,23.0,28.0,27.0,0.0,43.0,9.0,6.0,26.0,0.0,0.0,5.0,0.0,8.0,10.0,6.0,12.0,0.0,9.0,6.0,6.0,0.0,13.0,4.0,12.0,11.0,3.0,5.0,0.0,0.0,6.0,0.0,7.0,1.0,22.0,11.0
rna0049,6.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,11.0,1.0,1.0,0.0,3.0,5.0,7.0,2.0,0.0,3.0,3.0,2.0,6.0,0.0,4.0,4.0,1.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,9.0,5.0,2.0,14.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,4.0,8.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,8.0,0.0,10.0,6.0
rna0050,6.0,14.0,11.0,12.0,0.0,0.0,10.0,10.0,5.0,0.0,0.0,10.0,12.0,0.0,8.0,4.0,6.0,0.0,0.0,6.0,5.0,18.0,1.0,15.0,22.0,0.0,0.0,11.0,9.0,11.0,6.0,0.0,5.0,3.0,3.0,0.0,7.0,2.0,10.0,0.0,4.0,0.0,1.0,4.0,2.0,0.0,2.0,4.0,0.0,3.0,11.0,4.0,0.0,0.0,4.0,0.0,3.0,0.0,7.0,6.0
rna0051,6.0,11.0,18.0,4.0,9.0,12.0,9.0,12.0,11.0,19.0,0.0,0.0,14.0,11.0,0.0,7.0,7.0,10.0,4.0,2.0,0.0,17.0,3.0,15.0,21.0,13.0,0.0,13.0,0.0,12.0,4.0,3.0,2.0,0.0,0.0,5.0,8.0,4.0,7.0,1.0,9.0,3.0,3.0,6.0,2.0,0.0,0.0,4.0,3.0,1.0,0.0,4.0,2.0,3.0,0.0,5.0,8.0,4.0,7.0,18.0
rna0052,13.0,12.0,13.0,0.0,6.0,1.0,5.0,4.0,9.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,11.0,8.0,8.0,4.0,2.0,20.0,0.0,5.0,13.0,0.0,0.0,15.0,8.0,11.0,26.0,0.0,8.0,4.0,1.0,0.0,6.0,11.0,10.0,0.0,18.0,7.0,0.0,12.0,6.0,0.0,4.0,15.0,14.0,3.0,17.0,13.0
rna0053,15.0,0.0,0.0,0.0,5.0,6.0,1.0,9.0,11.0,12.0,6.0,13.0,4.0,5.0,0.0,15.0,10.0,0.0,9.0,10.0,0.0,26.0,0.0,14.0,10.0,6.0,0.0,17.0,16.0,29.0,12.0,9.0,20.0,0.0,0.0,0.0,9.0,14.0,28.0,14.0,0.0,13.0,6.0,14.0,2.0,3.0,9.0,1.0,12.0,8.0,4.0,0.0,0.0,6.0,4.0,0.0,16.0,8.0,10.0,0.0
