"编号","状态","分类","语言","文件名","脚本名","用途","结果图","非肿瘤消化适配","主要R包","主要Python包","项目来源","路径"
"010","原有整理","03_GEO转录组整理与差异分析","R","010_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__14.差异分析__差异分析.R","差异分析.R","进行转录组差异表达分析，输出差异基因表、火山图、热图和 PCA 图。","火山图；热图；PCA图；气泡图/点图","未标注","circlize; ComplexHeatmap; ggplot2; ggrepel; grid; limma; pheatmap; RColorBrewer","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\03_GEO转录组整理与差异分析\010_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__14.差异分析__差异分析.R"
"056","本次新增","03_GEO转录组整理与差异分析","R","056_GEO多数据集合并批次校正拼图__347_数据集合并.R","GEO多数据集合并批次校正拼图.R","自动合并多个 GEO 表达矩阵，进行批次校正，并输出合并前后箱线图、PCA图和拼图。","批次校正前箱线图；批次校正后箱线图；批次校正前PCA；批次校正后PCA；Batch effect组合拼图","很适合。非肿瘤消化系统常需要合并多个GEO队列，这是基础模块。","patchwork; data.table; limma; ggplot2; reshape2; tools; ggpubr; RColorBrewer","未标注","从压缩包 347.更新GEO多数据集合并，一个代码把图也拼好.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\03_GEO转录组整理与差异分析\056_GEO多数据集合并批次校正拼图__347_数据集合并.R"
"012","原有整理","04_机器学习筛选特征基因","R","012_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__16.lasso回归筛选特征基因__机器学习LASSO回归筛选基因.R","机器学习LASSO回归筛选基因.R","使用 LASSO 回归筛选特征基因并输出模型相关可视化。","气泡图/点图","未标注","cowplot; ggplot2; ggrepel; glmnet; RColorBrewer; reshape2","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\012_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__16.lasso回归筛选特征基因__机器学习LASSO回归筛选基因.R"
"013","原有整理","04_机器学习筛选特征基因","R","013_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__17.SVM-RFE__SVM-RFE.gene.R","SVM-RFE.gene.R","使用 SVM-RFE 或 SVM 方法筛选特征基因。","森林图","未标注","e1071","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\013_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__17.SVM-RFE__SVM-RFE.gene.R"
"014","原有整理","04_机器学习筛选特征基因","R","014_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__18.随机森林筛选特征基因__随机森林模型识别基因.R","随机森林模型识别基因.R","使用随机森林模型评估基因重要性并筛选特征基因。","气泡图/点图；森林图；特征重要性图","未标注","ggplot2; randomForest; viridis","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\014_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__18.随机森林筛选特征基因__随机森林模型识别基因.R"
"015","原有整理","04_机器学习筛选特征基因","R","015_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__19.三个机器学习方法取交集__venn交集.R","venn交集.R","计算多个基因集合交集/两两交集，并生成 Venn/集合图与交集基因表。","Venn图；UpSet图","未标注","ComplexUpset; ggplot2; ggvenn; RColorBrewer; viridis","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\015_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__19.三个机器学习方法取交集__venn交集.R"
"034","原有整理","04_机器学习筛选特征基因","R","034_12种机器学习_筛选特征基因__12种学习方法筛选特征性基因.R","12种学习方法筛选特征性基因.R","整合 12 种机器学习方法筛选特征基因，输出各模型重要性、ROC 和交集图。","ROC曲线；Venn图；UpSet图；条形图/柱状图；森林图；特征重要性图","未标注","C50; caret; DALEX; gbm; ggplot2; grid; gridExtra; kernelshap; kernlab; klaR; pdftools; png; pROC; randomForest; UpSetR; xgboost","未标注","12种机器学习_筛选特征基因","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\034_12种机器学习_筛选特征基因__12种学习方法筛选特征性基因.R"
"035","原有整理","04_机器学习筛选特征基因","R","035_5种机器学习_交集选择__find_best_5_methods.R","find_best_5_methods.R","遍历/比较 12 种方法组合，选择合适的 5 种方法并取交集。","Venn图；UpSet图；特征重要性图","未标注","dplyr; ggvenn; RColorBrewer; tidyverse; UpSetR","未标注","5种机器学习_交集选择","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\035_5种机器学习_交集选择__find_best_5_methods.R"
"045","原有整理","04_机器学习筛选特征基因","R","045_论文配套GitHub_AD多组学个体预测_Wu2025__Multimodal-AD__4.ML-EN.R","4.ML-EN.R","多机器学习方法整合（RSF/LASSO/PLS/GBM/CART/RF/SVM/XGBoost/BART/Step+...）筛选特征基因并构建预测模型，输出 ROC、Heatmap 等。","ROC曲线；热图；条形图/柱状图；特征重要性图","未标注","randomForestSRC; glmnet; plsRglm; gbm; caret; mboost; e1071; BART; xgboost; ComplexHeatmap; pROC","未标注","论文配套GitHub_AD多组学个体预测_Wu2025","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\045_论文配套GitHub_AD多组学个体预测_Wu2025__Multimodal-AD__4.ML-EN.R"
"052","本次新增","04_机器学习筛选特征基因","R","052_SHAP机器学习解释分析__329_SHAP分析.R","SHAP机器学习解释分析.R","训练多种机器学习分类模型，选择最优模型后使用 kernelshap/shapviz 解释特征贡献。","多模型ROC曲线；SHAP重要性条形图；SHAP蜂群图；SHAP dependence图；SHAP密度图；SHAP-表达散点图；SHAP热图；累计贡献曲线；分组SHAP条形图；permutation importance；waterfall图；force图","适合。可用于非肿瘤消化系统疾病诊断模型、GEO队列分类、特征基因解释。","caret; DALEX; ggplot2; randomForest; kernlab; kernelshap; pROC; shapviz; xgboost; klaR; pheatmap; gbm; patchwork","未标注","从压缩包 329.SHAP分析.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\052_SHAP机器学习解释分析__329_SHAP分析.R"
"059","本次新增","04_机器学习筛选特征基因","R","059_双疾病组合机器学习特征筛选__477_15种机器学习175组合.R","双疾病组合机器学习特征筛选.R","面向双疾病/多队列场景，整合15种机器学习算法及175种组合进行特征筛选、模型训练和验证。","模型AUC热图；多模型ROC曲线；特征重要性图；模型比较图；候选特征输出表","适合。可用于非肿瘤消化系统与对照/另一疾病组合比较，但需要注意样本量和外部验证。","tgp; openxlsx; randomForestSRC; glmnet; plsRglm; gbm; caret; mboost; e1071; BART; xgboost; ComplexHeatmap; pROC; circlize; limma; sva","未标注","从压缩包 477.双疾病组合机器学习筛选特征基因.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\04_机器学习筛选特征基因\059_双疾病组合机器学习特征筛选__477_15种机器学习175组合.R"
"016","原有整理","05_诊断模型与验证","R","016_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__20.诊断模型的分析__疾病的诊断模型分析.R","疾病的诊断模型分析.R","基于特征基因构建诊断模型并进行 ROC、校准、临床效用等验证。","ROC曲线；气泡图/点图；箱线图；森林图；列线图/校准曲线/DCA","未标注","ggplot2; ggpubr; pROC; regplot; rmda; rms; tools","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\05_诊断模型与验证\016_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__20.诊断模型的分析__疾病的诊断模型分析.R"
"063","本次新增","05_诊断模型与验证","R","063_GEO疾病诊断模型分析__493_诊断模型GEO.R","GEO疾病诊断模型分析.R","基于固定表达矩阵和 Genes.csv/gene.txt 构建 GEO 疾病诊断模型，输出联合模型和单基因诊断验证。","联合模型ROC；单基因ROC；表达箱线图；列线图；校准曲线；DCA决策曲线；OR森林图；预测概率表","很适合。非肿瘤消化系统GEO诊断模型可以直接作为验证模块。","rms; rmda; pROC; tools; ggplot2; ggpubr","未标注","从压缩包 493.模型分析GEO.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\05_诊断模型与验证\063_GEO疾病诊断模型分析__493_诊断模型GEO.R"
"017","原有整理","06_免疫浸润与免疫可视化","R","017_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__来源.R","来源.R","免疫分析所需来源/辅助函数或数据说明脚本。","未检测到明确作图输出","未标注","未标注","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\06_免疫浸润与免疫可视化\017_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__来源.R"
"018","原有整理","06_免疫浸润与免疫可视化","R","018_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__免疫浸润分析.R","免疫浸润分析.R","计算样本免疫浸润评分，整理免疫细胞/免疫功能矩阵。","相关性图","未标注","e1071; parallel; preprocessCore","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\06_免疫浸润与免疫可视化\018_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__免疫浸润分析.R"
"019","原有整理","06_免疫浸润与免疫可视化","R","019_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__通用__来源.R","来源.R","免疫分析所需来源/辅助函数或数据说明脚本。","未检测到明确作图输出","未标注","未标注","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\06_免疫浸润与免疫可视化\019_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__通用__来源.R"
"020","原有整理","06_免疫浸润与免疫可视化","R","020_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__通用__免疫浸润分析.R","免疫浸润分析.R","计算样本免疫浸润评分，整理免疫细胞/免疫功能矩阵。","相关性图","未标注","e1071; parallel; preprocessCore","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\06_免疫浸润与免疫可视化\020_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__22.免疫浸润评分__通用__免疫浸润分析.R"
"021","原有整理","06_免疫浸润与免疫可视化","R","021_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__23.免疫浸润可视化__免疫浸润分析可视化.R","免疫浸润分析可视化.R","对免疫浸润评分结果进行差异、相关性和分组可视化。","热图；条形图/柱状图；气泡图/点图；箱线图；相关性图","未标注","broom; dplyr; ggplot2; ggpubr; ggsci; limma; linkET; pheatmap; RColorBrewer; reshape2; scales; tidyverse","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\06_免疫浸润与免疫可视化\021_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__23.免疫浸润可视化__免疫浸润分析可视化.R"
"","原有整理","07_分子对接与结合能可视化","R",".Rhistory",".Rhistory","未标注","未标注","未标注","未标注","未标注","未标注","C:\Users\fsy\Desktop\原始代码\按分析用途分类\07_分子对接与结合能可视化\.Rhistory"
"022","原有整理","07_分子对接与结合能可视化","R","022_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__28.结合能数值气泡图__结合能气泡图.R","结合能气泡图.R","整理分子对接结合能数据并绘制结合能气泡图。","气泡图/点图","未标注","dplyr; ggplot2; readxl; scales","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\07_分子对接与结合能可视化\022_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__28.结合能数值气泡图__结合能气泡图.R"
"","原有整理","08_单细胞_空间转录组_细胞轨迹","R",".Rhistory",".Rhistory","未标注","未标注","未标注","未标注","未标注","未标注","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\.Rhistory"
"023","原有整理","08_单细胞_空间转录组_细胞轨迹","R","023_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__32.单细胞数据整理__常见的单细胞数据整理__单细胞数据整理__查看RDS前十行.R","查看RDS前十行.R","读取 RDS 文件并查看对象结构/前几行，作为单细胞数据检查脚本。","未检测到明确作图输出","未标注","未标注","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\023_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__32.单细胞数据整理__常见的单细胞数据整理__单细胞数据整理__查看RDS前十行.R"
"024","原有整理","08_单细胞_空间转录组_细胞轨迹","R","024_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__32.单细胞数据整理__常见的单细胞数据整理__单细胞数据整理__单细胞数据整理rds文件.R","单细胞数据整理rds文件.R","读取并整理单细胞数据，构建/保存 Seurat 或 RDS 分析对象。","未检测到明确作图输出","未标注","celldex; dplyr; ggplot2; limma; magrittr; progress; RColorBrewer; Seurat; SingleR","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\024_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__32.单细胞数据整理__常见的单细胞数据整理__单细胞数据整理__单细胞数据整理rds文件.R"
"025","原有整理","08_单细胞_空间转录组_细胞轨迹","R","025_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__32.单细胞数据整理__代码.R","代码.R","读取并整理单细胞数据，构建/保存 Seurat 或 RDS 分析对象。","未检测到明确作图输出","未标注","dplyr; Matrix; Seurat; stringr","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\025_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__32.单细胞数据整理__代码.R"
"026","原有整理","08_单细胞_空间转录组_细胞轨迹","R","026_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__33.单细胞数据分析__单细胞数据分析.R","单细胞数据分析.R","执行单细胞质控、降维聚类、细胞注释、标志基因和可视化分析。","热图；PCA图；条形图/柱状图；气泡图/点图；箱线图；小提琴图；散点图；UMAP/t-SNE降维图；单细胞基因表达/Marker图","未标注","celda; CellChat; celldex; cluster; ClusterGVis; clusterProfiler; clustree; ComplexHeatmap; DoubletFinder; dplyr; ggalluvial; ggplot2; ggrepel; ggsci; jsonlite; limma; magrittr; Matrix; monocle3; NMF; org.Hs.eg.db; patchwork; RColorBrewer; scRNAtoolVis; scTenifoldKnk; Seurat; SingleR; svglite; tidyr","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\026_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__33.单细胞数据分析__单细胞数据分析.R"
"027","原有整理","08_单细胞_空间转录组_细胞轨迹","R","027_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__35.空间转录组数据分析__空间转录组 - 自动.R","空间转录组 - 自动.R","进行空间转录组数据读取、空间特征展示、聚类和空间表达可视化。","PCA图；箱线图；小提琴图；UMAP/t-SNE降维图；单细胞基因表达/Marker图；空间表达/空间聚类图","未标注","celldex; dplyr; ggplot2; glmGamPoi; hdf5r; monocle3; patchwork; RColorBrewer; Rfast2; Seurat; SeuratWrappers; SingleR; viridis","未标注","网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\027_网络毒理学_scTenifoldKnk_单细胞_空间转录组_免疫_诊断__35.空间转录组数据分析__空间转录组 - 自动.R"
"044","原有整理","08_单细胞_空间转录组_细胞轨迹","R","044_论文配套GitHub_AD多组学个体预测_Wu2025__Multimodal-AD__3.single-cell analysis-EN.R","3.single-cell analysis-EN.R","AD 脑组织 GSE157827 单细胞流程：质控（线粒体/红细胞）、整合、降维聚类、SingleR 注释、Monocle 拟时序轨迹。","小提琴图；UMAP/t-SNE降维图；散点图；细胞轨迹图；单细胞基因表达/Marker图","未标注","Seurat; SingleR; clustree; monocle; CCA; cowplot; patchwork; tidyverse","未标注","论文配套GitHub_AD多组学个体预测_Wu2025","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\044_论文配套GitHub_AD多组学个体预测_Wu2025__Multimodal-AD__3.single-cell analysis-EN.R"
"046","本次新增","08_单细胞_空间转录组_细胞轨迹","R","046_单细胞单基因分布高级图__106_单基因在单细胞分布发表级高级图.R","单细胞单基因分布高级图.R","Seurat 单细胞质控、聚类、SingleR 注释、marker 识别，并对一个或多个目标基因绘制发表级 UMAP/小提琴/表达统计图。","QC小提琴图；QC散点图；高变基因图；PCA载荷/热图；UMAP聚类图；marker热图；细胞组成柱状图；marker-细胞类型Alluvial图；目标基因FeaturePlot；按细胞类型/聚类小提琴图；UMAP+图例组合图","适合。非肿瘤消化系统单细胞数据可直接替换 Seurat 对象和目标基因使用。","Seurat; dplyr; ggplot2; limma; CellChat; ggalluvial; celldex; SingleR; monocle; patchwork","未标注","从压缩包 106.单基因在单细胞的分布情况，发表级高级图.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\046_单细胞单基因分布高级图__106_单基因在单细胞分布发表级高级图.R"
"049","本次新增","08_单细胞_空间转录组_细胞轨迹","R","049_单细胞手工注释Marker验证_CellChat_轨迹__199_单细胞手工注释.R","单细胞手工注释Marker验证_CellChat_轨迹.R","单细胞 Seurat 流程，重点加入 marker 文件辅助的手工注释、聚类-细胞类型富集评分，并继续输出细胞组成、目标基因和轨迹分析。","QC小提琴图；QC散点图；高变基因图；PCA图/热图；UMAP聚类图；marker热图；Marker DotPlot；Marker小提琴图；细胞类型-聚类富集热图；手工注释UMAP；细胞组成柱状图；目标基因图；monocle3轨迹图","很适合。非肿瘤消化系统单细胞最常需要手工注释，这个模块可作为主力模板。","Seurat; CellChat; celldex; SingleR; monocle3; ggplot2; dplyr; tidyr; patchwork","未标注","从压缩包 199，单细胞手工注释.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\049_单细胞手工注释Marker验证_CellChat_轨迹__199_单细胞手工注释.R"
"050","本次新增","08_单细胞_空间转录组_细胞轨迹","R","050_空间转录组聚类注释轨迹__231_空间转录组更新.R","空间转录组聚类注释轨迹.R","10x Visium/Seurat 空间转录组分析：质控、空间聚类、空间 marker、空间可变基因、cluster-based 细胞类型注释和 monocle3 拟时序。","空间QC图；空间聚类图；单cluster空间图；Top marker空间FeaturePlot；小提琴图；空间可变基因图；UMAP细胞类型图；空间细胞类型注释图；轨迹总览图；空间pseudotime图；轨迹一致性图","适合。可用于炎症性肠病、肝病、胰腺/胃肠组织等非肿瘤空间转录组。","Seurat; ggplot2; patchwork; dplyr; monocle3; RColorBrewer","未标注","从压缩包 231.空间转录组更新.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\050_空间转录组聚类注释轨迹__231_空间转录组更新.R"
"051","本次新增","08_单细胞_空间转录组_细胞轨迹","R","051_单细胞CellChat细胞通讯__245_细胞通讯训练集.R","单细胞CellChat细胞通讯.R","基于已注释单细胞表达矩阵和细胞类型标签运行 CellChat，分析细胞间配体-受体通讯网络和通路强度。","CellChat通讯数量circle图；通讯强度circle图；单细胞类型发送/接收网络图；LR bubble图；所有细胞类型LR气泡图","很适合。非肿瘤消化系统炎症、纤维化、免疫微环境文章可作为新意图模块。","Seurat; CellChat; dplyr; ggplot2; Matrix; patchwork; celldex; SingleR","未标注","从压缩包 245.单细胞分析的细胞通讯分析.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\051_单细胞CellChat细胞通讯__245_细胞通讯训练集.R"
