# synthetic, for demo only -- module 574 STAIR baseline
spot,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039,G040,G041,G042,G043,G044,G045,G046,G047,G048,G049,G050,G051,G052,G053,G054,G055,G056,G057,G058,G059,G060,G061,G062,G063,G064,G065,G066,G067,G068,G069,G070,G071,G072,G073,G074,G075,G076,G077,G078,G079,G080,G081,G082,G083,G084,G085,G086,G087,G088,G089,G090,G091,G092,G093,G094,G095,G096,G097,G098,G099,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G168,G169,G170,G171,G172,G173,G174,G175,G176,G177,G178,G179,G180,G181,G182,G183,G184,G185,G186,G187,G188,G189,G190,G191,G192,G193,G194,G195,G196,G197,G198,G199
S0_spot0010,2,1,2,2,0,0,1,1,2,0,3,0,4,0,2,2,0,3,3,0,2,0,0,0,0,0,0,4,3,0,0,0,6,0,3,2,1,0,0,1,1,1,0,3,0,4,0,1,0,1,1,0,0,0,2,0,0,2,0,6,2,0,3,0,3,2,4,0,3,0,1,2,0,7,2,0,1,1,0,1,0,2,0,2,1,3,0,3,1,0,0,2,1,2,0,1,0,1,3,2,0,0,2,0,2,0,4,0,3,3,1,1,3,0,0,1,1,2,2,4,3,2,0,0,1,0,0,2,0,2,0,0,0,0,0,1,1,7,1,1,0,3,0,0,1,1,3,0,1,0,0,1,0,0,1,2,0,0,5,0,0,0,2,0,0,0,1,1,0,0,0,4,1,3,3,0,0,2,6,1,0,0,0,0,2,0,0,4,0,4,1,0,0,2,0,3,0,0,0,4
S0_spot0011,0,0,0,3,1,0,0,6,2,1,0,1,3,1,2,2,0,2,3,0,1,0,0,2,0,0,0,0,2,1,2,7,1,0,2,1,2,0,1,0,4,1,4,1,3,0,1,2,0,0,2,0,1,0,4,0,2,2,1,1,0,1,0,2,7,2,0,1,1,0,2,2,2,7,2,2,0,2,0,1,2,0,4,2,0,0,4,0,0,0,0,0,4,8,1,0,0,0,3,1,1,1,1,0,0,2,0,2,0,2,1,0,2,0,0,2,3,7,3,1,0,0,1,1,0,3,0,0,3,0,0,0,0,2,5,5,0,0,0,0,0,0,8,0,1,0,0,0,3,3,0,0,1,0,0,7,1,2,4,0,2,3,1,2,2,1,0,0,0,4,0,1,1,9,3,0,0,2,1,1,0,0,0,4,1,2,3,10,3,5,1,0,5,0,0,0,0,2,3,0
S0_spot0012,6,0,3,1,0,0,0,7,1,2,30,0,3,2,0,4,0,1,0,0,3,1,1,1,1,0,0,5,3,0,0,0,4,3,2,1,0,3,0,0,9,1,2,1,0,3,0,1,0,0,3,0,0,1,0,0,3,1,2,0,2,0,4,2,0,1,0,0,4,3,3,6,2,10,3,1,2,5,2,1,0,4,0,4,3,3,2,0,4,0,1,3,0,4,1,0,0,1,2,0,1,0,0,8,0,0,0,1,9,3,1,5,0,0,0,2,0,3,0,6,0,0,4,3,3,4,0,3,2,8,0,0,4,0,1,3,1,1,0,0,0,2,16,6,1,3,2,7,3,3,4,1,0,5,0,0,0,0,1,3,0,0,0,0,1,0,5,2,2,0,0,1,7,0,4,0,0,0,0,5,0,1,0,5,3,5,6,15,0,3,1,2,0,0,0,4,0,1,0,2
S0_spot0013,6,4,3,0,0,0,0,8,4,2,25,0,3,2,0,4,0,0,0,2,0,4,0,0,0,0,1,5,2,1,3,4,2,3,2,0,0,0,0,0,0,2,1,0,1,0,0,0,1,2,0,0,1,0,3,0,2,0,2,0,5,0,4,0,10,5,13,1,3,0,2,3,3,0,2,2,7,5,2,0,5,2,2,3,0,0,5,1,3,1,2,0,0,0,3,1,0,1,0,2,0,0,0,6,1,1,0,1,15,3,0,0,1,0,0,0,9,6,2,2,14,2,5,0,4,7,2,0,2,11,3,5,5,1,2,3,3,7,1,0,0,0,14,7,0,0,5,0,0,3,0,2,0,15,0,8,2,3,0,1,0,0,1,5,1,0,2,1,2,2,0,0,6,7,0,2,0,2,4,5,1,4,0,9,9,6,1,24,0,6,0,0,0,0,3,4,0,1,0,0
S0_spot0014,3,1,0,2,1,1,1,0,0,0,17,8,0,1,1,0,3,1,0,3,0,2,1,0,3,2,0,7,0,1,0,4,4,4,1,0,0,4,2,0,1,2,0,0,2,0,0,0,0,0,2,1,1,1,3,2,2,5,1,5,0,0,2,0,0,6,0,1,4,1,0,6,2,14,1,0,1,0,0,1,0,1,2,0,0,2,7,0,2,1,1,0,1,0,0,0,0,0,2,0,0,0,1,8,0,1,0,1,5,0,2,6,2,0,0,0,6,5,1,2,0,0,3,0,2,2,3,0,2,0,0,1,0,0,3,4,1,4,0,3,1,4,13,2,0,2,3,4,3,1,1,0,1,7,3,7,0,0,3,1,0,1,0,2,0,2,5,2,0,0,5,7,0,0,2,2,0,0,0,0,0,0,1,6,0,0,2,8,0,0,0,0,5,0,3,3,0,0,2,0
S0_spot0015,0,2,0,2,0,1,0,1,3,3,16,0,1,1,0,0,0,0,2,2,0,0,0,3,0,0,0,3,0,1,1,6,0,0,1,2,0,0,2,0,0,0,0,0,3,1,0,0,0,0,1,1,0,2,0,2,0,0,1,0,0,0,3,0,4,3,1,0,0,0,0,2,1,5,1,0,2,0,0,0,0,0,0,0,0,0,3,1,0,1,2,2,3,2,0,0,1,0,3,0,1,2,1,2,0,1,0,0,11,0,1,0,0,0,0,1,1,0,0,2,8,3,1,0,1,2,1,6,1,0,0,2,0,1,0,0,0,2,0,1,1,6,10,2,0,2,1,0,2,1,1,0,0,4,1,0,1,1,0,2,0,2,2,1,0,1,2,1,1,0,1,0,1,0,0,0,0,1,3,4,0,0,0,4,1,1,0,10,0,0,1,1,4,1,0,0,1,1,0,1
S0_spot0016,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,2,4,0,1,1,4,0,2,1,0,0,2,1,0,3,0,2,0,0,0,1,0,0,4,2,1,0,0,0,0,1,0,1,3,2,1,0,1,0,2,4,1,0,0,0,2,1,4,3,0,0,4,0,0,0,0,1,0,1,0,0,0,2,0,2,1,0,3,0,0,3,0,2,0,0,6,0,3,0,0,2,0,6,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,2,0,1,4,3,2,0,0,0,0,0,0,0,1,0,2,3,2,0,0,1,1,4,0,3,1,1,0,1,0,2,0,1,0,1,0,3,1,0,1,0,0,0,1,0,3,1,1,2,0,0,1,1,0,0,5,0,0,0,2,1,0,2,4,3,3,2,1,0,1,3,0,1,0,0,2
S0_spot0017,5,1,1,0,0,1,0,0,1,1,22,3,2,1,0,0,2,0,3,0,0,4,1,0,0,0,2,3,1,1,0,6,1,2,0,0,0,1,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,3,1,2,0,1,0,0,1,3,2,4,0,5,3,3,0,0,1,0,8,1,0,0,2,2,0,1,0,2,0,2,0,3,0,0,0,0,3,0,0,1,0,0,0,0,3,2,0,0,1,0,2,1,1,4,2,0,0,1,0,0,0,0,4,0,0,0,0,2,1,0,3,0,7,0,0,0,0,2,0,0,2,0,4,1,0,0,5,8,5,0,0,0,0,0,0,3,0,0,5,2,2,3,1,0,0,1,2,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,0,4,0,0,1,0,0,1,4,2,5,1,0,2,0,0,1,0,3,0,0,0,0
S0_spot0018,0,1,0,0,3,2,0,4,0,0,20,0,3,1,5,0,0,1,0,2,2,3,2,1,1,0,0,9,0,2,0,7,0,0,2,2,1,3,0,2,0,0,3,0,3,1,2,0,1,3,6,0,0,2,3,2,3,2,0,5,6,0,8,0,0,0,0,0,0,0,1,0,2,0,2,1,3,0,0,2,0,1,3,1,0,0,8,0,2,0,2,1,0,5,0,0,0,0,4,3,0,0,1,5,1,0,1,1,0,0,2,0,0,0,0,1,6,0,0,0,7,1,2,0,2,2,5,0,0,0,0,6,4,2,0,3,3,0,0,0,0,6,0,3,0,0,0,6,5,1,0,0,0,6,2,12,1,1,0,0,0,0,1,0,3,1,2,1,0,1,0,0,0,10,2,0,1,3,4,2,0,0,0,0,2,5,3,8,1,2,0,1,4,0,9,6,5,0,0,3
S0_spot0019,2,0,0,0,5,0,1,5,1,0,13,2,8,0,1,1,0,0,3,0,0,0,1,0,1,0,4,3,0,0,0,4,2,2,2,1,4,0,0,3,4,0,1,4,0,4,1,0,0,0,0,1,0,0,3,5,5,0,0,0,1,0,0,0,3,1,0,0,0,1,0,3,0,23,4,0,2,3,3,2,1,2,2,3,3,2,0,0,1,1,0,4,4,0,2,0,0,1,1,0,3,8,3,8,0,1,2,0,4,2,0,0,0,2,0,2,2,5,2,0,0,3,2,1,5,4,0,0,1,1,0,1,0,2,5,0,3,0,0,0,0,5,0,2,1,0,0,1,3,0,2,0,0,3,5,3,0,0,1,1,5,3,3,6,1,0,1,1,0,0,1,10,2,7,5,0,0,1,5,2,2,1,3,4,0,0,4,0,6,0,2,4,3,1,3,2,1,0,2,0
S0_spot0020,1,1,1,3,1,1,0,1,3,0,0,0,0,4,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,2,1,0,0,2,3,0,1,0,0,0,1,5,1,1,0,0,0,1,1,0,0,3,1,1,0,2,0,1,0,1,1,0,0,6,1,1,0,0,1,1,8,4,1,0,0,0,0,0,2,1,0,0,1,0,5,1,0,2,0,0,5,1,0,3,0,2,0,0,3,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,6,5,0,3,1,0,3,0,5,0,4,1,0,2,0,4,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,1,1,0,1,0,5,4,2,1,0,3,2,0,1,0,0,0,2,1,1,1,1,0,3,0,4,1,0,0,0,7,0,1,1,0,3,0,0,0,0,0,6,0,1,0,0,3,0,1,0,1,3
S0_spot0021,1,0,0,5,1,0,0,0,0,0,14,0,5,0,0,1,0,2,3,2,0,0,1,1,3,0,1,2,0,3,9,6,3,0,3,2,0,0,1,0,0,2,0,0,0,2,0,0,0,3,3,0,0,0,4,0,0,2,4,1,0,0,2,0,2,0,13,1,1,0,1,0,0,13,0,3,0,0,1,0,0,0,0,2,0,2,4,1,1,1,6,1,0,0,0,0,4,2,2,4,3,12,2,6,0,0,0,1,3,5,1,0,0,0,1,2,1,6,2,0,2,1,5,1,0,1,0,6,0,0,0,1,5,0,0,4,4,6,0,1,1,0,23,0,2,0,5,0,1,0,4,0,0,0,0,3,2,3,1,0,3,4,1,4,3,1,0,0,3,0,0,4,1,6,4,5,0,0,5,4,0,0,2,3,0,0,0,9,3,6,0,0,0,2,1,0,0,0,2,7
S0_spot0022,2,1,3,1,1,2,0,7,5,1,0,4,5,1,0,1,0,0,3,0,0,0,0,0,1,0,7,0,3,2,3,5,3,2,3,1,0,3,1,2,2,0,0,2,2,3,0,1,0,2,0,2,1,0,2,2,0,2,0,3,0,0,0,0,1,2,11,4,7,1,0,1,0,23,0,0,4,0,1,0,2,2,2,1,0,0,7,1,1,0,2,0,2,0,2,0,0,2,1,3,2,0,0,5,1,0,0,0,3,0,0,0,0,0,0,1,2,10,0,0,0,3,2,1,2,2,0,6,0,2,3,0,3,0,0,0,0,8,1,2,3,0,0,0,1,0,0,0,1,0,0,0,0,7,1,0,1,1,3,0,0,2,1,3,1,0,1,0,2,0,0,5,4,9,4,4,0,0,9,4,0,0,0,4,4,0,5,0,0,2,1,0,2,0,0,3,2,0,0,0
S0_spot0023,3,6,0,2,4,0,1,1,0,1,8,1,4,1,0,1,1,0,3,2,0,0,0,0,5,1,7,2,0,0,4,0,1,0,0,1,0,0,2,0,3,3,1,1,4,4,0,0,0,1,0,2,0,0,0,2,0,1,1,6,0,0,4,0,0,0,5,2,4,1,1,0,1,13,4,1,5,0,0,0,1,1,1,2,0,1,5,2,1,0,0,2,3,8,0,2,2,0,2,2,3,7,0,6,1,0,4,0,0,5,0,3,0,2,0,2,4,5,4,2,3,4,1,1,2,0,0,0,1,4,0,0,0,0,7,1,0,6,1,1,2,7,22,3,2,1,2,1,0,2,0,0,0,6,4,0,0,0,0,2,0,2,0,5,4,0,1,0,0,1,0,8,0,8,4,2,1,1,0,1,1,0,1,0,5,3,3,0,2,6,0,0,4,0,0,0,0,0,3,2
S0_spot0024,0,0,2,0,2,1,1,6,5,3,0,3,8,0,0,2,0,7,2,0,1,3,3,3,0,2,6,5,0,4,11,6,0,1,1,6,0,4,1,2,5,0,2,3,5,7,0,0,1,3,2,3,1,3,4,4,4,1,0,0,4,1,2,0,0,3,0,0,0,0,0,2,2,15,4,1,0,2,3,1,0,3,1,4,1,4,14,4,1,4,0,3,0,11,2,2,6,2,2,5,1,7,4,12,0,1,0,0,7,3,0,0,0,5,0,5,5,11,5,5,0,4,3,2,2,6,4,13,4,3,1,2,3,0,0,0,2,17,0,6,1,15,46,7,1,1,3,2,0,0,3,2,0,11,0,4,0,0,6,2,0,4,2,0,3,0,2,3,2,3,0,0,2,7,0,7,0,0,11,4,2,0,1,8,0,0,8,0,0,0,2,0,2,1,4,0,2,0,6,0
S0_spot0025,0,1,1,4,2,0,0,3,2,1,6,0,7,1,0,0,0,4,2,0,0,3,2,4,0,0,3,0,1,0,7,1,1,2,0,0,3,0,0,0,0,2,0,1,2,0,0,2,0,1,2,2,1,0,3,4,2,0,0,0,1,0,0,3,3,1,0,1,1,1,0,3,0,0,1,0,5,2,3,2,0,0,1,0,1,0,0,2,1,0,1,0,0,0,4,1,1,0,3,1,0,4,0,0,0,0,0,0,4,0,0,0,0,1,0,2,1,0,0,1,2,1,0,0,0,1,5,0,0,0,1,2,0,2,5,1,2,0,0,1,2,9,24,0,2,0,3,2,1,3,0,2,0,8,5,3,0,0,0,0,1,3,1,7,3,0,2,2,0,0,0,0,0,7,5,0,0,5,9,2,0,0,0,3,2,3,3,0,0,7,0,2,0,0,2,1,0,0,3,0
S0_spot0026,1,1,2,4,2,3,1,5,5,3,8,7,5,1,0,0,1,0,0,2,1,2,2,0,0,0,2,2,0,1,0,3,3,0,1,0,0,3,0,1,0,1,2,2,4,2,0,2,0,0,2,1,0,0,1,4,6,1,0,5,0,0,4,0,0,1,0,4,3,0,0,0,0,16,4,0,1,0,1,1,0,0,0,0,0,1,6,4,1,2,0,2,0,1,0,1,2,1,0,1,1,0,1,0,0,1,0,0,0,3,0,1,0,0,1,0,0,8,1,3,0,2,1,1,5,2,0,4,3,0,1,0,0,0,0,0,0,3,0,1,0,10,21,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,4,0,0,3,1,0,1,1,1,1,0,0,0,1,0,8,0,0,0,2,5,3,0,0,0,0,4,2,0,1,0,2,0,0,1,0,3,2,0,0,0,3
S0_spot0027,0,1,2,3,3,0,0,4,2,0,12,3,4,0,3,0,0,2,2,0,0,2,0,0,0,0,5,3,0,0,0,0,0,1,0,4,0,3,3,0,0,0,3,0,1,3,0,0,0,1,2,1,0,2,1,0,4,2,3,0,1,0,2,2,4,0,0,4,5,2,3,4,0,13,0,0,3,1,1,0,0,0,0,0,0,2,4,0,1,1,3,0,1,0,1,0,2,0,2,1,0,6,0,0,1,1,5,0,2,3,0,0,0,2,0,0,4,6,0,0,0,2,3,1,0,4,0,2,0,2,1,0,2,0,5,0,0,4,0,1,0,9,0,5,4,1,6,1,0,0,0,1,0,7,1,0,5,0,6,0,2,1,0,6,1,0,2,1,1,0,1,0,0,11,6,1,0,0,0,1,0,0,4,5,3,0,0,5,2,5,1,0,2,2,3,3,2,0,3,5
S0_spot0028,2,0,0,0,0,1,0,1,2,0,6,1,3,1,1,1,0,3,0,1,2,1,1,2,0,0,1,0,0,1,0,5,0,0,0,1,0,3,3,1,0,4,0,0,3,4,0,1,2,0,0,0,0,0,0,3,4,0,0,5,2,1,4,0,0,0,0,4,0,0,0,0,1,0,3,1,2,0,0,0,1,1,0,3,1,2,4,2,0,0,1,5,0,5,3,2,4,1,0,1,1,1,1,4,0,4,1,2,5,0,0,0,0,0,2,0,1,6,2,1,2,0,0,0,2,6,0,0,2,1,0,1,0,1,4,2,1,0,1,2,3,3,25,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,3,0,0,1,0,0,2,1,3,0,7,0,2,0,1,6,3,0,0,1,2,0,2,2,6,2,2,0,2,8,0,0,1,0,0,6,2
S0_spot0029,3,0,0,0,1,0,0,3,1,0,10,0,2,0,0,1,3,1,0,0,0,0,0,3,0,2,0,0,3,0,4,6,0,1,0,0,1,2,1,1,0,2,0,0,0,0,0,2,0,0,4,0,0,0,1,0,2,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,1,0,0,1,2,0,0,2,2,1,0,4,0,1,0,5,0,2,0,0,1,1,2,1,0,0,0,7,3,0,1,2,2,4,1,4,4,0,3,0,0,0,0,1,0,2,3,1,4,0,3,0,0,6,0,0,0,0,4,0,2,0,1,0,0,0,0,1,1,0,0,0,7,3,5,0,2,0,0,2,0,0,1,0,2,0,0,0,1,2,0,0,4,2,2,0,0,0,0,0,1,0,1,2,1,2,14,0,1,0,1,2,0,1,1,0,0,0,1
S0_spot0030,1,0,4,2,2,3,1,0,1,0,17,6,4,2,0,2,3,0,1,0,0,3,3,3,0,0,2,0,2,0,0,7,0,2,1,0,4,0,0,0,3,1,3,1,3,2,2,0,1,1,2,0,0,0,2,0,0,2,0,5,4,1,7,4,4,3,4,1,3,0,1,0,0,0,2,0,0,0,1,0,2,3,0,1,0,1,0,1,3,0,1,1,1,5,2,0,0,0,4,0,0,0,2,5,0,0,0,0,0,1,2,0,2,0,0,0,3,8,0,0,0,0,0,1,2,0,1,3,1,8,0,4,4,0,3,0,0,2,2,0,2,0,9,3,2,1,2,3,4,4,0,0,3,0,1,0,4,1,3,0,6,3,2,0,0,0,1,0,1,2,2,0,0,7,5,1,0,0,5,1,0,0,0,2,0,8,0,0,0,3,1,0,0,0,0,0,6,1,5,0
