# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,PanelB_00,PanelB_01,PanelB_02,PanelB_03,PanelB_04,PanelB_05,PanelB_06,PanelB_07,PanelB_08,PanelB_09,PanelB_10,PanelB_11,PanelB_12,PanelB_13,PanelB_14,PanelB_15,PanelB_16,PanelB_17,PanelB_18,PanelB_19,PanelB_20,PanelB_21,PanelB_22,PanelB_23,PanelB_24,PanelB_25,PanelB_26,PanelB_27,PanelB_28,PanelB_29
S1_C0022,3.4657,0.6931,2.3979,1.3863,1.7918,1.0986,2.6391,1.9459,0.0,1.6094,2.0794,0.6931,2.3026,2.3026,3.091,1.3863,2.3026,2.3979,1.3863,1.3863,2.6391,2.3026,1.6094,1.6094,2.0794,0.6931,1.9459,1.3863,1.7918,1.0986
S1_C0023,1.9459,0.0,3.2189,3.1355,0.0,1.3863,5.3181,1.6094,1.0986,0.0,3.989,1.6094,2.5649,2.6391,5.3706,1.3863,3.2958,0.0,0.6931,0.0,2.5649,0.0,0.0,3.1355,2.9957,1.0986,1.7918,1.0986,1.3863,1.9459
S1_C0024,3.7842,0.6931,1.0986,1.6094,0.6931,1.3863,0.0,0.6931,1.3863,1.0986,0.0,1.6094,0.6931,0.6931,2.4849,0.6931,3.1355,1.7918,0.6931,3.7612,0.0,0.0,1.6094,1.3863,1.3863,1.6094,1.0986,1.6094,2.3979,1.9459
S1_C0025,0.6931,4.7449,1.0986,2.0794,2.0794,2.0794,0.0,0.0,1.6094,1.9459,0.6931,1.3863,0.0,1.7918,0.0,1.6094,0.6931,1.6094,1.9459,2.5649,0.6931,1.3863,1.3863,1.3863,1.6094,0.0,1.3863,1.3863,2.4849,1.7918
S1_C0026,1.0986,3.8286,2.7081,0.6931,2.6391,1.3863,0.0,1.0986,1.0986,0.6931,0.6931,1.3863,2.7726,1.7918,0.0,2.4849,0.6931,0.0,1.6094,1.7918,1.7918,1.0986,0.6931,1.0986,1.3863,0.0,1.3863,1.0986,1.9459,2.5649
S1_C0027,5.0626,0.0,0.0,2.5649,3.8286,0.0,0.0,1.7918,0.0,2.5649,2.1972,0.0,0.0,2.1972,0.0,0.0,3.0445,0.0,4.1431,4.0604,0.0,3.7612,1.9459,0.0,1.0986,2.5649,0.6931,1.0986,0.6931,0.0
S1_C0028,0.6931,0.0,0.0,1.3863,0.0,1.3863,1.0986,1.0986,1.3863,1.7918,1.7918,0.6931,0.0,0.0,3.091,1.0986,2.3979,1.7918,0.0,0.0,0.0,0.6931,1.6094,1.6094,0.0,1.0986,1.3863,1.7918,1.0986,1.6094
S1_C0029,2.3026,0.0,1.6094,4.3041,0.0,3.4657,3.434,1.0986,1.3863,1.9459,4.5747,1.7918,0.6931,1.6094,4.1897,1.9459,4.3175,1.3863,0.0,0.0,2.3026,0.0,1.0986,2.8332,2.1972,0.0,1.6094,1.0986,1.0986,2.0794
S1_C0030,2.7081,0.0,0.0,0.0,3.4657,0.0,1.3863,1.0986,0.0,1.7918,1.0986,0.0,0.6931,2.3026,0.6931,0.6931,1.7918,1.6094,2.8332,2.5649,0.0,2.8904,2.4849,0.6931,0.6931,1.9459,1.7918,0.6931,1.0986,0.0
S1_C0031,3.0445,0.0,1.0986,1.0986,0.0,1.0986,0.0,0.6931,0.6931,0.0,0.0,1.3863,0.0,0.6931,2.5649,1.6094,3.091,1.9459,0.6931,3.2581,0.0,0.0,2.0794,1.9459,0.0,1.0986,1.6094,2.3979,2.0794,1.6094
S1_C0032,5.3423,1.9459,1.0986,2.1972,0.0,0.6931,0.0,0.6931,0.6931,1.3863,0.0,1.0986,0.6931,1.7918,1.0986,1.3863,3.7136,1.7918,1.0986,5.118,0.6931,0.0,1.6094,1.3863,0.0,1.7918,1.3863,1.7918,2.3026,0.0
S1_C0033,4.7707,0.0,1.0986,3.5553,3.3673,0.0,0.0,1.0986,0.0,2.0794,1.3863,0.6931,0.0,1.7918,0.6931,0.0,2.7726,2.0794,2.8332,4.5539,0.0,3.091,1.3863,0.6931,0.0,1.6094,1.3863,0.6931,2.3026,0.0
S1_C0034,3.2581,0.6931,2.9444,1.0986,0.6931,1.9459,2.3026,2.1972,0.6931,1.7918,1.3863,1.6094,2.4849,1.6094,3.0445,1.6094,1.9459,1.7918,0.6931,1.6094,1.7918,1.9459,1.7918,1.3863,2.3979,1.0986,1.7918,0.6931,1.0986,1.0986
S1_C0035,2.4849,1.3863,1.3863,1.6094,0.0,0.6931,0.0,0.6931,0.6931,1.0986,1.3863,1.7918,0.6931,0.6931,2.7081,1.3863,3.1781,2.0794,0.0,2.8904,1.3863,0.6931,1.6094,0.6931,0.6931,1.0986,1.3863,2.3026,2.3026,2.3026
S1_C0036,0.6931,0.0,0.0,1.6094,0.0,0.6931,1.6094,1.3863,2.0794,1.0986,2.0794,0.6931,0.0,0.6931,3.4012,0.6931,1.9459,0.6931,0.0,0.0,0.0,0.0,2.1972,2.1972,1.0986,0.0,2.0794,2.1972,1.6094,1.3863
S1_C0037,0.6931,5.3181,3.1781,2.0794,3.0445,2.8904,0.6931,1.3863,1.7918,0.0,0.0,1.9459,3.6889,1.3863,1.0986,2.5649,0.6931,1.9459,1.9459,1.6094,2.0794,1.7918,1.0986,1.6094,2.0794,0.6931,0.0,1.3863,2.6391,2.3979
S1_C0038,5.323,2.0794,1.9459,2.9444,0.0,0.0,0.0,0.0,0.0,0.6931,1.3863,1.0986,0.0,0.6931,0.6931,1.3863,3.4012,2.1972,1.9459,5.2095,0.0,0.6931,1.3863,1.3863,1.7918,2.0794,1.3863,0.6931,2.6391,0.0
S1_C0039,1.7918,3.1781,0.6931,1.0986,2.5649,1.6094,0.6931,1.3863,1.6094,0.6931,0.0,1.3863,1.9459,0.0,1.3863,1.3863,1.6094,2.1972,2.8904,4.0431,0.0,1.9459,2.3026,1.0986,1.3863,0.0,1.0986,1.7918,1.9459,0.0
S1_C0040,2.7726,0.6931,3.3673,0.0,0.0,1.9459,4.0604,2.3979,0.6931,1.9459,2.3026,1.9459,3.1355,1.9459,3.989,0.6931,1.9459,0.0,0.0,1.0986,3.7377,1.3863,0.0,2.0794,2.9444,2.0794,1.6094,0.6931,1.6094,1.0986
S1_C0041,0.0,0.0,0.6931,3.8286,0.0,1.7918,3.8067,1.6094,2.3026,2.3979,4.7622,1.3863,0.0,0.6931,3.4965,1.0986,4.8363,1.7918,0.0,0.0,1.9459,0.6931,1.3863,2.4849,1.3863,0.0,0.0,1.0986,0.6931,1.3863
S1_C0042,0.0,0.0,0.0,1.0986,0.0,1.3863,2.0794,0.6931,1.9459,1.0986,2.0794,0.6931,0.6931,0.0,2.6391,1.6094,2.1972,1.0986,0.6931,1.6094,0.6931,0.0,2.1972,1.9459,0.6931,0.6931,1.9459,2.1972,0.6931,2.3979
S1_C0043,3.9512,0.0,3.9512,2.8904,0.6931,2.4849,3.2189,2.0794,0.6931,1.0986,2.6391,1.3863,3.091,1.9459,5.1818,1.0986,2.6391,1.7918,0.0,0.6931,2.6391,1.0986,1.0986,2.1972,2.9444,1.3863,1.3863,1.3863,0.0,2.0794
S1_C0044,0.6931,0.0,0.6931,0.0,0.0,0.0,0.6931,0.0,1.7918,1.3863,0.6931,0.6931,0.0,0.0,3.4657,1.3863,2.9444,2.1972,0.0,1.0986,0.6931,0.0,1.6094,1.0986,0.0,1.7918,1.7918,2.3979,0.6931,2.0794
S1_C0045,0.6931,0.0,0.0,1.6094,0.0,2.1972,1.6094,1.0986,2.1972,1.0986,3.3322,1.0986,0.0,0.6931,1.6094,0.6931,2.9444,1.6094,1.0986,0.6931,1.0986,0.0,1.3863,1.7918,0.0,0.0,1.7918,2.0794,1.0986,1.3863
S1_C0046,2.3026,0.0,0.0,0.6931,3.4657,0.0,1.3863,1.0986,0.0,1.9459,1.0986,1.6094,0.0,1.6094,1.3863,1.0986,1.3863,1.6094,2.5649,3.091,0.6931,1.7918,2.3026,0.6931,0.6931,1.6094,0.6931,0.6931,1.0986,0.0
S1_C0047,1.9459,4.9904,0.0,1.0986,3.3322,2.4849,0.0,1.6094,2.1972,2.9957,0.0,1.6094,0.0,1.7918,0.0,1.3863,0.6931,0.0,1.9459,2.1972,1.3863,1.0986,0.6931,0.6931,1.0986,0.6931,0.0,1.7918,1.3863,1.9459
S1_C0048,0.0,0.6931,2.5649,0.6931,0.0,0.6931,5.1985,2.1972,0.6931,2.3026,2.4849,1.6094,2.1972,2.3026,4.1271,0.0,0.6931,1.6094,0.6931,0.0,3.0445,1.9459,0.6931,2.0794,3.1781,1.6094,1.9459,1.0986,1.6094,1.7918
S1_C0049,0.0,0.0,0.0,1.6094,0.0,2.1972,1.9459,0.0,2.4849,1.0986,2.8904,0.0,0.0,0.0,1.6094,0.0,3.2581,1.9459,0.6931,0.0,1.0986,0.0,0.6931,1.6094,0.0,0.0,1.3863,2.4849,0.6931,2.0794
S1_C0050,3.2189,3.5553,1.7918,4.2047,1.3863,1.6094,0.0,0.6931,0.0,1.3863,0.0,1.3863,0.6931,0.6931,0.0,0.6931,1.0986,2.1972,1.9459,3.7377,0.0,1.0986,0.6931,1.3863,1.0986,2.3026,0.0,1.0986,2.8332,0.6931
S1_C0051,0.0,4.3307,3.6889,1.9459,3.2189,1.6094,1.9459,0.6931,1.0986,0.0,0.6931,2.0794,4.1744,2.0794,0.6931,2.6391,0.0,1.6094,1.0986,0.6931,2.0794,2.0794,1.0986,0.6931,0.6931,0.0,1.0986,0.0,0.6931,2.3979
S1_C0052,1.0986,3.8918,0.6931,0.6931,3.0445,2.5649,0.0,1.6094,1.3863,0.6931,0.6931,0.0,2.3979,0.6931,0.0,1.0986,1.3863,1.3863,2.6391,2.7081,0.6931,1.0986,1.9459,0.6931,0.0,1.0986,1.6094,1.6094,1.6094,0.6931
S1_C0053,1.9459,2.3979,2.1972,1.6094,2.5649,0.6931,0.0,1.3863,1.3863,0.6931,1.6094,1.0986,1.6094,1.0986,0.0,2.1972,0.0,0.6931,1.0986,1.6094,0.6931,1.0986,1.0986,1.3863,0.6931,0.0,1.0986,1.6094,1.0986,2.1972
S1_C0054,3.4657,2.5649,1.6094,1.3863,0.0,1.3863,0.0,1.3863,1.6094,0.0,0.6931,1.9459,1.0986,0.0,2.4849,1.7918,1.6094,0.6931,0.6931,3.5553,0.0,0.0,1.7918,1.7918,1.0986,1.0986,1.3863,1.6094,1.9459,2.8332
S1_C0055,1.0986,3.1781,0.0,0.6931,2.1972,2.3026,0.0,1.6094,2.3979,1.0986,0.0,0.6931,1.7918,0.6931,0.6931,1.3863,0.6931,1.6094,2.1972,3.091,0.6931,0.6931,1.7918,1.0986,0.6931,1.6094,0.6931,2.0794,0.0,1.3863
S1_C0056,1.0986,5.0304,1.3863,3.8501,2.1972,2.3026,0.0,1.3863,1.3863,1.9459,0.0,1.0986,0.6931,1.0986,0.0,1.7918,1.3863,2.6391,2.3026,2.7081,0.0,0.6931,1.0986,1.3863,1.6094,1.3863,0.6931,1.6094,2.6391,0.6931
S1_C0057,0.0,5.0752,2.9957,0.6931,2.3979,1.6094,1.3863,1.3863,1.6094,0.0,0.0,1.3863,4.0431,1.3863,1.7918,2.3026,0.0,1.3863,1.0986,1.6094,2.4849,0.6931,1.3863,1.7918,1.6094,0.6931,1.0986,0.6931,2.1972,2.7726
S1_C0058,1.0986,0.0,0.0,2.3979,0.6931,2.4849,2.5649,1.7918,1.3863,0.6931,3.4965,1.3863,1.3863,0.0,1.9459,1.0986,3.0445,1.3863,0.6931,0.0,0.6931,0.0,1.6094,1.7918,0.6931,0.6931,1.3863,1.9459,0.6931,0.0
S1_C0059,1.7918,1.3863,1.0986,1.0986,2.3026,1.0986,0.0,0.6931,1.0986,0.0,0.6931,1.6094,0.6931,0.6931,0.0,2.6391,0.0,0.0,1.0986,2.0794,0.0,1.3863,2.0794,1.0986,1.3863,1.0986,1.0986,1.7918,0.0,2.1972
S1_C0060,0.0,0.0,1.7918,0.0,2.4849,0.0,2.7726,1.0986,1.0986,1.3863,1.6094,0.0,0.0,1.3863,0.6931,0.0,0.0,1.3863,1.7918,1.0986,1.6094,2.3979,1.0986,1.9459,1.3863,0.6931,1.7918,1.0986,1.0986,0.0
S1_C0061,4.1431,0.0,0.0,1.3863,3.0445,0.0,0.0,0.6931,1.0986,2.9444,2.7081,1.0986,0.0,2.3026,0.0,0.0,2.6391,0.0,3.7136,2.5649,0.0,3.6109,1.3863,1.0986,0.6931,2.1972,1.0986,1.7918,0.0,0.0
S1_C0062,0.0,5.2523,5.2781,3.7377,2.7726,2.9957,0.0,0.6931,2.0794,0.0,0.0,1.9459,5.3936,2.3979,0.6931,3.7842,0.0,2.4849,1.3863,1.6094,2.1972,2.0794,0.6931,1.0986,3.3673,0.0,0.6931,0.6931,3.4657,3.2581
S1_C0063,1.7918,3.8067,0.0,0.0,3.4965,1.3863,0.0,1.3863,1.9459,2.9444,0.6931,1.9459,0.0,1.3863,0.0,1.9459,0.0,0.6931,1.6094,1.6094,2.4849,1.0986,1.3863,1.0986,0.0,1.6094,0.0,1.9459,1.0986,1.6094
S1_C0064,3.9318,1.0986,0.0,1.7918,3.8918,0.0,0.0,1.3863,0.0,2.1972,1.3863,1.3863,0.0,1.3863,0.6931,0.0,1.7918,1.0986,3.8712,3.7842,0.0,3.1781,1.9459,0.6931,0.0,2.3026,1.7918,0.6931,1.0986,0.0
S1_C0065,0.6931,2.7726,3.091,2.1972,2.9957,2.3979,0.0,1.3863,0.6931,0.0,1.6094,2.0794,1.7918,1.0986,0.0,2.9444,0.6931,1.3863,0.6931,0.6931,0.6931,1.3863,1.3863,0.6931,0.6931,0.6931,1.3863,0.6931,0.6931,1.7918
S1_C0066,0.6931,0.0,1.7918,1.9459,2.3026,1.6094,0.0,0.6931,1.7918,0.0,1.7918,1.3863,0.0,0.0,0.6931,2.4849,0.0,0.0,1.3863,1.3863,1.0986,0.0,2.3026,0.6931,0.6931,1.0986,1.3863,1.3863,0.6931,2.3026
S1_C0067,2.7726,2.3979,2.4849,0.0,0.0,1.9459,0.0,1.6094,1.7918,0.6931,0.0,1.7918,1.9459,0.0,2.3979,2.1972,1.3863,1.9459,0.0,2.8332,0.0,0.0,0.0,1.7918,1.0986,1.6094,1.6094,2.1972,1.7918,3.5553
S1_C0068,1.3863,4.6052,3.9318,1.9459,3.0445,1.7918,0.6931,0.0,1.3863,1.3863,0.6931,1.6094,4.0431,2.1972,0.6931,2.9957,0.6931,1.6094,0.6931,1.6094,0.6931,1.0986,1.3863,1.3863,1.9459,0.6931,1.6094,1.3863,2.0794,2.6391
S1_C0069,0.0,0.0,0.0,1.9459,0.0,0.6931,2.3979,0.0,1.9459,2.4849,4.3944,1.0986,0.0,0.0,1.0986,0.6931,4.2627,1.3863,0.6931,0.0,0.0,0.0,2.0794,0.0,0.0,1.6094,0.6931,2.3026,0.6931,0.6931
S1_C0070,2.4849,0.0,3.091,4.585,0.0,3.5264,4.0943,2.0794,2.3026,1.3863,4.6444,1.0986,1.6094,2.0794,5.2832,1.9459,4.2767,1.3863,0.0,0.0,2.5649,0.6931,0.0,3.4012,3.0445,1.3863,1.0986,0.0,1.0986,2.6391
S1_C0071,0.0,2.4849,2.9444,0.0,3.4657,0.6931,3.3322,1.0986,1.0986,0.0,0.0,0.6931,4.0604,1.9459,0.0,2.1972,0.0,1.3863,1.6094,1.0986,2.0794,1.6094,1.9459,1.0986,0.6931,0.6931,1.9459,0.0,0.0,2.7081
S1_C0072,3.3322,0.0,3.8918,1.7918,0.6931,2.1972,4.4886,2.6391,0.6931,0.0,3.1355,0.6931,3.1781,2.1972,5.1475,1.0986,2.3979,1.3863,0.0,1.0986,3.6889,1.9459,0.0,2.0794,3.1355,1.3863,1.7918,1.3863,1.0986,2.1972
S1_C0073,3.091,0.6931,0.0,0.6931,3.4012,0.0,0.6931,1.6094,0.0,1.7918,0.6931,0.0,0.6931,0.6931,0.0,0.0,1.3863,1.0986,3.091,3.8712,0.0,2.7726,1.3863,0.0,0.6931,1.9459,1.3863,0.6931,0.6931,0.0
S1_C0074,0.6931,0.0,0.0,1.0986,0.0,1.0986,1.9459,1.3863,1.3863,1.6094,2.3026,0.6931,0.6931,0.6931,3.0445,0.6931,2.7081,1.6094,0.0,1.0986,1.0986,0.0,1.3863,1.6094,0.6931,1.3863,1.3863,1.9459,0.6931,1.6094
S1_C0075,0.0,3.9318,0.0,1.0986,2.5649,2.0794,0.6931,1.3863,2.4849,2.7081,0.0,0.6931,0.0,1.3863,0.0,1.3863,0.0,0.0,1.9459,2.1972,1.7918,1.3863,1.6094,0.6931,1.3863,1.7918,0.6931,2.1972,1.9459,0.6931
S1_C0076,0.6931,0.0,0.6931,3.434,0.0,0.6931,4.852,1.0986,1.6094,2.0794,4.2905,0.6931,0.6931,2.1972,4.0254,0.0,4.4067,1.3863,0.0,0.0,1.0986,1.6094,1.0986,2.1972,1.3863,1.9459,1.3863,0.6931,1.3863,0.6931
S1_C0077,0.6931,0.0,1.6094,0.6931,0.6931,0.0,4.4998,0.0,0.6931,1.6094,1.0986,0.6931,1.3863,1.3863,1.0986,0.0,0.0,0.6931,1.0986,0.0,0.6931,2.4849,1.3863,0.0,0.6931,1.9459,1.6094,0.0,0.0,1.3863
S1_C0078,1.6094,5.3132,4.852,1.0986,2.6391,2.7726,0.6931,1.0986,2.3026,0.0,0.0,2.3979,5.2983,2.3026,1.0986,3.1355,0.0,2.1972,0.6931,1.7918,2.6391,1.6094,0.0,0.6931,3.4657,0.0,0.0,0.0,3.6636,3.8286
S1_C0079,0.0,0.0,0.0,2.5649,0.0,2.4849,2.1972,0.0,2.0794,1.0986,4.0431,1.0986,0.0,0.0,1.6094,1.6094,3.8712,1.3863,0.6931,0.0,0.0,0.0,1.0986,2.1972,0.6931,0.0,1.3863,2.4849,0.6931,1.7918
S1_C0080,2.3026,5.2149,3.091,1.0986,4.1744,3.8712,0.0,0.0,1.9459,1.3863,0.0,1.3863,4.0604,1.0986,1.6094,2.6391,0.0,2.5649,2.1972,4.0775,2.7081,1.0986,0.6931,1.0986,1.7918,0.6931,0.6931,1.6094,2.1972,2.6391
S1_C0081,4.6728,0.0,0.0,2.1972,1.9459,0.0,0.0,1.6094,0.0,1.0986,1.6094,0.6931,0.0,0.6931,0.0,0.0,4.3041,1.6094,2.6391,3.912,0.0,1.3863,1.6094,1.0986,1.0986,2.0794,0.0,1.6094,1.6094,0.0
S1_C0082,0.0,2.5649,2.7081,0.0,3.091,0.0,3.1355,2.0794,1.7918,1.3863,0.0,1.0986,3.7136,1.6094,1.0986,1.6094,0.0,0.6931,1.3863,0.6931,3.6109,0.6931,0.6931,2.0794,1.3863,1.9459,2.3026,2.0794,0.6931,2.5649
S1_C0083,3.2958,0.0,3.9703,3.9318,0.6931,3.434,3.6636,2.1972,1.6094,1.0986,4.0073,1.3863,2.3026,1.7918,5.2523,1.7918,2.4849,1.0986,0.0,0.6931,2.9444,0.6931,0.0,3.0445,2.7726,0.6931,1.3863,0.6931,0.0,2.4849
S1_C0084,0.6931,0.0,0.0,1.7918,0.0,0.6931,1.3863,0.0,1.3863,2.7081,3.9512,0.6931,0.0,0.0,0.0,0.6931,4.7791,1.0986,1.3863,0.0,0.0,0.6931,2.3026,1.0986,0.0,2.0794,0.6931,2.1972,1.0986,0.0
S1_C0085,0.0,0.0,0.0,1.6094,0.0,2.0794,1.3863,1.0986,1.3863,1.3863,1.9459,0.6931,0.0,0.0,2.0794,1.0986,2.0794,1.7918,0.6931,0.6931,0.6931,0.0,1.3863,1.6094,0.6931,0.6931,2.0794,2.1972,0.6931,1.7918
S1_C0086,0.6931,1.3863,0.0,0.0,2.8332,1.6094,0.0,0.6931,1.6094,0.6931,1.9459,0.6931,1.6094,1.0986,0.0,1.7918,0.0,0.0,1.3863,0.0,1.6094,0.0,1.6094,1.0986,1.3863,1.0986,1.7918,2.3979,0.0,1.9459
S1_C0087,1.7918,1.6094,0.0,0.0,2.0794,0.6931,2.3979,2.1972,1.7918,2.5649,0.0,1.0986,0.6931,1.9459,1.7918,1.0986,0.6931,1.0986,0.6931,1.6094,3.4965,0.6931,0.6931,1.6094,1.3863,1.6094,1.3863,0.0,0.6931,1.6094
S1_C0088,1.7918,1.0986,1.6094,1.3863,2.5649,0.6931,0.6931,1.0986,0.0,1.0986,0.0,1.3863,0.6931,1.0986,0.0,2.4849,0.0,0.0,1.6094,1.0986,1.6094,1.0986,1.0986,1.0986,1.0986,0.6931,1.9459,1.3863,1.0986,1.9459
