# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,x,y
S1_C0106,1342.4042,230.2328
S1_C0107,443.9168,1475.5544
S1_C0108,70.9769,1257.4417
S1_C0109,245.5251,778.6436
S1_C0110,1437.3,178.3948
S1_C0111,565.3553,762.2699
S1_C0112,978.3488,504.3572
S1_C0113,373.1202,1361.7305
S1_C0114,12.1022,1471.8348
S1_C0115,223.956,346.5453
S1_C0116,1097.4469,1129.5918
S1_C0117,769.5287,32.3212
S1_C0118,333.9905,311.9795
S1_C0119,1338.4759,688.2521
S1_C0120,1151.1646,1359.3534
S1_C0121,589.7265,1385.8266
S1_C0122,1020.6216,907.2899
S1_C0123,676.0219,663.1672
S1_C0124,485.9799,418.3553
S1_C0125,727.7165,611.4907
S1_C0126,393.4758,110.5891
S1_C0127,1459.9039,859.0972
S1_C0128,503.9505,1260.4617
S1_C0129,730.5715,1253.77
S1_C0130,247.1499,218.396
S1_C0131,352.8923,1290.3412
S1_C0132,1146.9302,492.0613
S1_C0133,1400.3031,1290.5313
S1_C0134,582.1208,899.7858
S1_C0135,1477.2492,1059.4482
S1_C0136,296.6109,897.9453
S1_C0137,1336.8766,798.491
S1_C0138,701.0632,1118.091
S1_C0139,681.0663,949.7153
S1_C0140,10.5402,1144.2165
S1_C0141,1441.544,1267.8327
S1_C0142,1225.0671,710.3815
S1_C0143,1103.0393,733.7387
S1_C0144,170.3137,50.3029
S1_C0145,522.294,1254.9457
S1_C0146,705.2475,166.5355
S1_C0147,50.3329,791.7877
S1_C0148,372.6137,958.0773
S1_C0149,443.5931,665.3906
S1_C0150,212.0857,608.7323
S1_C0151,852.9431,795.7069
S1_C0152,153.2595,1290.0608
S1_C0153,1070.8179,223.247
S1_C0154,165.379,260.0463
S1_C0155,615.3648,367.2474
S1_C0156,342.9766,941.4722
S1_C0157,179.1137,319.5152
S1_C0158,1371.6741,176.5471
S1_C0159,334.1601,1362.7429
S1_C0160,1171.595,672.4029
S1_C0161,1454.3211,490.3924
S1_C0162,890.5571,305.051
S1_C0163,688.8435,367.9554
S1_C0164,1081.1427,276.3035
S1_C0165,1329.0013,1345.4095
S1_C0166,1152.8406,1328.8972
S1_C0167,453.5756,77.6848
S1_C0168,1362.4713,865.3058
S1_C0169,65.9181,1163.9075
S1_C0170,482.2726,1428.0111
S1_C0171,1476.9225,903.9614
S1_C0172,1361.7571,535.5647
S1_C0173,411.9802,1095.258
S1_C0174,838.2821,37.0458
S1_C0175,523.0935,12.9543
S1_C0176,463.5766,701.5344
S1_C0177,542.9275,786.2152
S1_C0178,44.2132,1423.3727
S1_C0179,316.6652,126.1852
S1_C0180,909.0872,1006.5706
S1_C0181,481.3174,1373.1832
S1_C0182,231.792,258.0048
S1_C0183,1265.4509,673.7005
S1_C0184,839.6744,1151.6843
S1_C0185,713.2766,1335.686
S1_C0186,335.8531,734.3178
S1_C0187,254.859,356.8935
S1_C0188,920.0831,902.9977
S1_C0189,571.9618,13.7281
S1_C0190,672.4839,404.5821
S1_C0191,1492.9196,867.6907
S1_C0192,1328.5185,1036.8785
S1_C0193,137.1368,736.0436
S1_C0194,1424.5597,797.0462
S1_C0195,212.0782,1143.719
S1_C0196,1167.0111,1101.8053
S1_C0197,991.0759,1276.3306
S1_C0198,645.4781,510.4906
S1_C0199,1343.4174,128.6341
S1_C0200,1453.6678,267.6093
S1_C0201,501.4733,1202.7907
S1_C0202,187.3743,559.3354
S1_C0203,973.2299,495.8818
S1_C0204,1267.468,441.6046
S1_C0205,884.7422,528.9387
S1_C0206,164.4932,417.6413
S1_C0207,1224.2422,475.4144
S1_C0208,517.962,1332.8463
S1_C0209,1373.634,861.0584
S1_C0210,165.6,388.8159
S1_C0211,1187.2581,568.8449
S1_C0212,1392.3168,568.7734
S1_C0213,1480.5496,983.3396
S1_C0214,418.1322,820.7921
S1_C0215,1200.5008,372.2823
S1_C0216,442.8499,624.6227
S1_C0217,544.3022,1409.2118
S1_C0218,970.7489,884.7766
S1_C0219,1420.1166,602.9422
S1_C0220,1029.2988,252.8251
S1_C0221,1250.8158,492.2191
S1_C0222,717.1579,41.1856
S1_C0223,220.3148,1221.5528
S1_C0224,1013.6692,7.39
S1_C0225,1142.6294,940.2177
S1_C0226,1421.9797,1395.6687
S1_C0227,632.6758,166.711
S1_C0228,629.281,595.2252
S1_C0229,750.0332,373.9096
S1_C0230,489.3467,96.0402
S1_C0231,1128.6131,419.0214
S1_C0232,1021.2349,415.0925
S1_C0233,1262.0429,357.3687
S1_C0234,180.9052,1171.5099
S1_C0235,342.1354,261.8476
S1_C0236,856.4328,93.7006
S1_C0237,837.7705,27.5486
S1_C0238,642.5906,622.9335
S1_C0239,128.1605,123.105
S1_C0240,880.5665,6.1797
S1_C0241,1097.5816,552.8357
S1_C0242,394.2386,1426.5644
S1_C0243,33.5571,940.4466
S1_C0244,26.7995,573.0039
S1_C0245,468.8386,120.513
S1_C0246,1174.7847,857.7888
S1_C0247,116.0045,1465.7543
S1_C0248,166.1119,738.1176
S1_C0249,45.7644,608.7307
S1_C0250,737.3637,1284.4612
S1_C0251,1016.3185,528.4163
S1_C0252,276.4517,67.8284
S1_C0253,492.7688,94.2393
S1_C0254,263.8587,976.121
S1_C0255,302.3258,560.8776
S1_C0256,10.6319,1369.0135
S1_C0257,1261.2857,141.9298
S1_C0258,1026.8529,737.68
S1_C0259,1232.8378,268.1139
S1_C0260,270.1565,1431.0041
S1_C0261,312.3952,652.4893
S1_C0262,250.837,487.4785
S1_C0263,495.6697,911.5597
S1_C0264,793.6946,1435.1652
S1_C0265,1211.747,1115.1728
S1_C0266,445.0722,454.3093
S1_C0267,686.2566,440.0494
S1_C0268,278.6759,295.0206
S1_C0269,568.6468,504.3091
S1_C0270,1411.6502,907.5395
S1_C0271,1304.7358,147.9283
S1_C0272,58.6981,1250.5964
S1_C0273,655.988,826.004
S1_C0274,409.0726,649.8225
S1_C0275,199.0487,1487.4465
S1_C0276,824.4761,148.2272
S1_C0277,1277.366,645.1194
S1_C0278,952.7959,235.8772
S1_C0279,593.3828,746.9804
S1_C0280,745.8789,1229.6341
S1_C0281,743.6842,453.7497
S1_C0282,401.6327,461.5528
S1_C0283,708.5014,396.4421
S1_C0284,46.4197,298.8542
S1_C0285,867.2336,405.8002
S1_C0286,497.7441,387.8666
S1_C0287,145.1601,270.5899
S1_C0288,381.7211,1259.025
S1_C0289,331.8386,1242.5967
S1_C0290,1114.9494,1461.4418
S1_C0291,1130.3852,172.6696
S1_C0292,1410.0641,1263.1419
S1_C0293,665.4429,650.3834
S1_C0294,46.4314,326.4623
S1_C0295,1072.3292,165.7902
S1_C0296,1487.6173,32.5237
S1_C0297,1486.4602,444.3114
S1_C0298,691.2978,818.2072
S1_C0299,434.3298,330.7464
S1_C0300,75.8538,1235.1495
S1_C0301,1458.4641,188.3362
S1_C0302,1289.7463,1080.8092
S1_C0303,1125.338,581.7082
S1_C0304,86.3624,1035.6347
S1_C0305,1443.1896,988.1374
S1_C0306,351.0785,805.1029
S1_C0307,182.5127,1076.8178
S1_C0308,1009.2963,670.191
S1_C0309,12.9967,90.5491
S1_C0310,1022.9665,1038.62
S1_C0311,862.814,341.5368
S1_C0312,994.6974,158.2578
S1_C0313,941.5209,858.4769
S1_C0314,533.2405,328.7491
S1_C0315,1086.8741,271.4879
S1_C0316,236.032,949.1462
S1_C0317,990.9368,152.9536
S1_C0318,393.4325,147.8941
S1_C0319,1370.7472,12.5798
S1_C0320,526.5174,235.2315
S1_C0321,700.4923,1360.256
S1_C0322,1061.0646,540.2606
S1_C0323,279.9805,1057.5182
S1_C0324,812.8738,1080.435
S1_C0325,67.2829,259.7109
S1_C0326,479.81,699.805
S1_C0327,854.169,843.141
S1_C0328,814.3735,849.1745
S1_C0329,626.2134,418.2193
S1_C0330,777.1943,182.7908
S1_C0331,1123.9071,1429.4036
S1_C0332,81.1447,1173.4907
S1_C0333,335.7493,504.617
S1_C0334,50.3073,1453.6287
S1_C0335,843.1434,122.3721
S1_C0336,482.3335,1465.9216
S1_C0337,90.0619,1376.8592
S1_C0338,419.2657,116.8307
S1_C0339,936.9687,1344.3547
S1_C0340,549.6236,519.9313
S1_C0341,393.5543,466.8708
S1_C0342,101.2976,757.9066
S1_C0343,512.3521,249.2134
S1_C0344,1083.5553,1339.8557
S1_C0345,1210.7316,203.3198
S1_C0346,1370.3101,613.2121
S1_C0347,1371.8807,125.455
S1_C0348,1475.6849,145.1093
S1_C0349,1118.1372,1071.6195
S1_C0350,1135.7513,366.9961
S1_C0351,1121.8945,769.3518
S1_C0352,70.5742,146.2936
S1_C0353,420.356,1271.1734
S1_C0354,638.3741,411.0659
S1_C0355,802.3523,495.3285
S1_C0356,462.1147,297.3031
S1_C0357,526.945,248.5403
S1_C0358,861.1563,565.2574
S1_C0359,59.1371,324.1807
S1_C0360,717.6191,417.0421
S1_C0361,1323.5014,87.3573
S1_C0362,971.8899,1291.4782
S1_C0363,1381.2137,726.3065
S1_C0364,604.6552,53.4768
S1_C0365,696.9691,974.8548
S1_C0366,507.3329,242.6115
S1_C0367,705.9339,243.478
S1_C0368,836.9015,685.4941
S1_C0369,1492.2109,244.3433
S1_C0370,952.8189,299.123
S1_C0371,627.7071,1121.1567
S1_C0372,745.7401,541.0488
S1_C0373,1333.6999,1308.1944
S1_C0374,573.7936,141.9945
S1_C0375,514.2996,279.9266
S1_C0376,1117.3084,957.8399
S1_C0377,757.7151,24.5618
S1_C0378,1449.1384,20.2013
S1_C0379,791.1743,647.4666
S1_C0380,392.8414,1334.9956
S1_C0381,514.5908,847.6613
S1_C0382,195.8439,78.6584
S1_C0383,1260.3381,193.3038
S1_C0384,202.8803,985.2591
S1_C0385,322.3525,1171.31
S1_C0386,111.9868,46.773
S1_C0387,568.919,1300.4405
S1_C0388,201.6959,7.9334
S1_C0389,723.1284,673.3302
S1_C0390,656.9502,344.7763
S1_C0391,1065.4226,1277.4887
S1_C0392,680.8631,1388.8628
S1_C0393,1075.0346,115.1746
S1_C0394,1410.6565,589.3348
S1_C0395,942.3984,263.2121
S1_C0396,781.8569,330.7142
S1_C0397,982.204,458.7913
S1_C0398,1495.2344,163.3389
S1_C0399,846.0107,275.3527
S1_C0400,443.1627,1290.5419
S1_C0401,751.9139,133.5175
S1_C0402,1092.9182,666.1483
S1_C0403,124.0285,726.8355
S1_C0404,668.2918,875.6815
S1_C0405,651.5668,901.3525
S1_C0406,1055.7597,1484.1934
S1_C0407,836.4375,660.9261
S1_C0408,1068.0697,1370.7885
S1_C0409,34.5123,54.0907
S1_C0410,1465.985,819.0128
S1_C0411,77.665,990.5595
S1_C0412,144.7915,159.2157
S1_C0413,604.0997,995.5538
S1_C0414,1230.1808,1280.8042
S1_C0415,580.1687,1470.2728
S1_C0416,209.1982,1006.0705
S1_C0417,347.4434,1062.3486
S1_C0418,704.01,45.4397
S1_C0419,66.9869,443.8541
S1_C0420,146.1244,1032.1135
S1_C0421,691.1299,966.0239
S1_C0422,999.9018,71.2453
S1_C0423,621.8773,1024.3248
S1_C0424,1354.6734,1418.998
S1_C0425,574.0604,864.5204
S1_C0426,1401.0283,67.7671
S1_C0427,1464.2822,682.1839
S1_C0428,1274.0224,251.7466
S1_C0429,1403.7651,1161.6843
S1_C0430,979.3938,259.5937
S1_C0431,657.4085,878.5342
S1_C0432,602.9242,1339.3054
S1_C0433,826.1806,133.5799
S1_C0434,1313.0047,466.9611
S1_C0435,257.3563,964.3203
S1_C0436,1211.9604,435.4568
S1_C0437,731.0769,1451.9721
S1_C0438,662.9424,559.5804
S1_C0439,825.6328,1060.6206
S1_C0440,964.8459,49.7942
S1_C0441,1409.4966,687.7798
S1_C0442,1056.3314,897.9928
S1_C0443,246.3439,1492.1118
S1_C0444,1180.6766,1009.0867
S1_C0445,404.5441,287.2073
S1_C0446,134.461,836.4554
S1_C0447,316.6516,631.3707
S1_C0448,1141.5726,909.8537
S1_C0449,476.2652,139.2599
S1_C0450,462.2645,295.9561
S1_C0451,817.8991,633.6053
S1_C0452,538.2037,579.5549
S1_C0453,611.9882,639.3212
S1_C0454,490.6999,1139.5278
S1_C0455,793.7581,16.9383
S1_C0456,615.9844,337.5015
S1_C0457,893.1684,1259.0691
S1_C0458,1115.0503,184.5107
S1_C0459,750.753,698.2719
S1_C0460,659.3804,553.5887
S1_C0461,1030.0445,182.5321
S1_C0462,74.8348,965.2124
S1_C0463,300.8037,537.9619
S1_C0464,1383.0893,212.8469
S1_C0465,1274.6855,608.6304
S1_C0466,287.615,1477.3263
S1_C0467,911.4959,333.3559
S1_C0468,1145.123,555.8004
S1_C0469,798.3875,534.8472
S1_C0470,245.2694,1241.9216
S1_C0471,1059.9771,390.8935
S1_C0472,791.5314,19.1008
S1_C0473,1267.243,333.4994
S1_C0474,461.5321,1335.9686
S1_C0475,294.8108,1014.5874
S1_C0476,82.8013,858.3062
S1_C0477,1155.2074,849.9092
S1_C0478,1491.9192,886.2438
S1_C0479,630.6492,444.014
S1_C0480,950.2677,1080.3728
S1_C0481,611.9408,1425.775
S1_C0482,1031.7268,914.4354
S1_C0483,434.523,1475.327
S1_C0484,363.79,740.3681
S1_C0485,689.4065,705.2399
S1_C0486,541.1055,1069.28
S1_C0487,1222.4243,203.354
S1_C0488,61.208,666.8108
S1_C0489,1499.3359,1000.4565
S1_C0490,914.5444,670.4122
S1_C0491,1195.834,98.2083
S1_C0492,926.2284,1221.7285
S1_C0493,544.738,675.675
S1_C0494,454.044,684.2877
S1_C0495,986.9684,0.5671
S1_C0496,62.8904,783.1551
S1_C0497,298.5603,334.4664
S1_C0498,657.3756,831.1436
S1_C0499,1113.635,300.0841
S1_C0500,1301.4622,1271.4162
S1_C0501,868.2123,196.4245
S1_C0502,650.1971,98.3169
S1_C0503,1450.1431,229.7334
S1_C0504,1317.4606,787.9475
S1_C0505,474.246,120.2373
S1_C0506,847.3775,590.0532
S1_C0507,177.7864,121.6527
S1_C0508,704.685,203.9162
S1_C0509,400.6881,1471.0734
S1_C0510,1060.2865,1084.9731
S1_C0511,1464.6704,276.977
S1_C0512,1348.3853,122.9877
S1_C0513,1016.827,414.3083
S1_C0514,1261.2572,1356.9132
S1_C0515,787.8764,586.395
S1_C0516,535.3485,1410.861
S1_C0517,1288.7139,1309.0895
S1_C0518,1013.5051,27.9843
S1_C0519,651.7941,1382.35
S1_C0520,136.4105,544.4124
S1_C0521,1361.571,421.9086
S1_C0522,1169.5425,436.4266
S1_C0523,632.3798,269.0158
S1_C0524,1322.0931,1400.3732
S1_C0525,962.6449,1332.4123
S1_C0526,554.3859,1495.2587
S1_C0527,1253.397,1087.3812
S1_C0528,102.5927,1351.6186
S1_C0529,1250.4445,514.8915
S1_C0530,719.3138,114.4423
S1_C0531,448.5228,593.9169
S1_C0532,567.8523,1156.8522
S1_C0533,1342.0062,631.0388
S1_C0534,244.9251,1358.8838
S1_C0535,215.4013,912.3846
S1_C0536,776.5497,599.8611
S1_C0537,217.8475,917.5119
S1_C0538,1387.0032,362.3044
S1_C0539,1420.7609,784.7875
S1_C0540,1066.5821,775.6845
S1_C0541,245.8868,122.5821
S1_C0542,51.2277,69.2201
S1_C0543,672.5661,522.2217
S1_C0544,1074.491,602.6735
S1_C0545,732.1458,202.683
S1_C0546,1078.7588,458.5542
S1_C0547,1145.4003,1025.8462
S1_C0548,964.7383,20.9247
S1_C0549,1224.7116,928.1043
S1_C0550,909.8452,1253.6135
S1_C0551,315.3335,890.3307
S1_C0552,1460.8864,1244.6779
S1_C0553,1379.8277,785.3929
S1_C0554,113.9827,993.8561
S1_C0555,1242.2553,429.7367
S1_C0556,690.6947,425.1832
S1_C0557,270.0612,1279.1369
S1_C0558,1017.7911,805.8501
S1_C0559,1242.8144,368.9512
S1_C0560,1011.239,1424.5733
S1_C0561,1211.6023,1052.1273
S1_C0562,1286.7009,505.6457
S1_C0563,539.07,14.5062
S1_C0564,1041.0202,1293.3112
S1_C0565,630.2265,1326.2532
S1_C0566,1237.2178,1150.751
S1_C0567,545.28,1181.9765
S1_C0568,920.6909,1429.6167
S1_C0569,214.9755,1193.5477
S1_C0570,658.4498,380.3205
S1_C0571,46.9562,1393.3729
S1_C0572,63.0641,1294.478
S1_C0573,572.2668,1342.8715
S1_C0574,470.5293,997.0326
S1_C0575,547.5154,502.6109
S1_C0576,970.0852,1163.3017
S1_C0577,211.9003,126.6604
S1_C0578,356.3477,219.3625
S1_C0579,364.5027,1385.0839
S1_C0580,1359.6483,926.8813
S1_C0581,1359.6326,438.9814
S1_C0582,141.2613,548.5897
S1_C0583,1319.4056,42.3298
S1_C0584,1312.4644,686.5606
S1_C0585,1116.6688,790.708
S1_C0586,135.4067,1100.6536
S1_C0587,191.3928,1417.5408
S1_C0588,767.5157,967.9912
S1_C0589,21.7537,205.8545
S1_C0590,1226.1092,87.2289
S1_C0591,62.9676,129.9051
S1_C0592,261.5001,1125.9146
S1_C0593,997.7246,1186.167
S1_C0594,1142.7227,97.1455
S1_C0595,370.8497,1393.0601
S1_C0596,803.1705,1055.981
S1_C0597,1465.5502,1390.3561
S1_C0598,1390.2577,615.554
S1_C0599,803.5787,100.7789
S1_C0600,71.5858,801.7591
S1_C0601,345.0594,528.5185
S1_C0602,374.0949,700.2865
S1_C0603,1390.9708,345.4722
S1_C0604,122.3229,1429.8921
S1_C0605,955.6879,555.4555
S1_C0606,754.3636,145.3376
S1_C0607,466.6359,57.9449
S1_C0608,225.1243,711.5003
S1_C0609,123.7541,485.1479
S1_C0610,888.2694,1293.2572
S1_C0611,342.7986,544.2653
S1_C0612,415.8998,429.5058
S1_C0613,1440.2227,649.6269
S1_C0614,1214.1379,224.6421
S1_C0615,692.0897,701.3636
S1_C0616,933.4936,1009.1056
S1_C0617,588.5197,297.4296
S1_C0618,1417.109,555.6453
S1_C0619,187.4227,812.5703
S1_C0620,310.346,1201.1315
S1_C0621,1036.0749,899.8974
S1_C0622,23.1934,633.8293
S1_C0623,828.2437,1145.7386
S1_C0624,511.3669,1403.4445
S1_C0625,669.6678,129.2701
S1_C0626,653.9996,1261.6955
S1_C0627,282.1418,483.7355
S1_C0628,1466.3043,110.1508
S1_C0629,508.3348,659.0716
S1_C0630,721.9642,822.6426
S1_C0631,1027.5684,586.4702
S1_C0632,51.7284,508.0695
S1_C0633,31.8793,751.3423
S1_C0634,1303.7015,126.3044
S1_C0635,610.1287,1369.5965
S1_C0636,1245.4556,1107.4626
S1_C0637,1065.938,11.5753
S1_C0638,653.6353,1334.2123
S1_C0639,1083.3201,527.9093
S1_C0640,840.8943,928.7679
S1_C0641,1295.4728,822.9725
S1_C0642,1281.5392,1105.2358
S1_C0643,1495.07,511.8086
S1_C0644,773.5301,946.5256
S1_C0645,22.3207,808.742
S1_C0646,705.0954,418.0689
S1_C0647,923.4241,1081.9326
S1_C0648,1005.3337,1359.5341
S1_C0649,697.5435,1068.1122
S1_C0650,269.2395,979.3228
S1_C0651,198.002,1193.9692
S1_C0652,1217.9635,208.9073
S1_C0653,1387.4175,733.7058
S1_C0654,1369.848,1297.5741
S1_C0655,530.1055,1093.4761
S1_C0656,1322.2905,1498.4132
S1_C0657,380.0788,1183.4771
S1_C0658,580.5458,102.0708
S1_C0659,421.1935,238.8276
S1_C0660,1083.2405,817.9523
S1_C0661,227.9793,907.005
S1_C0662,241.2465,858.095
S1_C0663,515.8659,1137.8265
S1_C0664,740.365,1235.8475
S1_C0665,527.7642,607.4339
S1_C0666,409.5622,1040.54
S1_C0667,1391.6183,105.8324
S1_C0668,875.8748,800.9862
S1_C0669,1263.2166,715.2016
S1_C0670,946.2092,447.0793
S1_C0671,925.1964,1231.0063
S1_C0672,178.0707,1007.5158
S1_C0673,175.9243,1171.1917
S1_C0674,782.7352,911.81
S1_C0675,598.1491,722.279
S1_C0676,266.0827,1229.6062
S1_C0677,369.8752,903.6041
S1_C0678,1027.8902,443.6814
S1_C0679,180.8523,238.4286
S1_C0680,213.8054,716.2912
S1_C0681,515.374,221.7377
S1_C0682,1339.4395,385.2847
S1_C0683,0.4941,472.5491
S1_C0684,386.6565,594.0454
S1_C0685,354.9417,507.1045
S1_C0686,834.4739,101.073
S1_C0687,102.4028,382.2996
S1_C0688,661.1076,790.5332
S1_C0689,456.1831,43.2354
S1_C0690,1328.289,427.6807
S1_C0691,750.9548,144.9205
S1_C0692,214.233,1011.2166
S1_C0693,357.5544,917.3641
S1_C0694,787.7062,797.5448
S1_C0695,1349.8972,709.4202
S1_C0696,1370.6614,902.0056
S1_C0697,1113.4308,706.488
S1_C0698,951.4752,1348.5828
S1_C0699,884.9518,1046.5445
