# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,HE000,HE001,HE002,HE003,HE004,HE005,HE006,HE007,HE008,HE009,HE010,HE011,HE012,HE013,HE014,HE015,HE016,HE017,HE018,HE019,HE020,HE021,HE022,HE023,HE024,HE025,HE026,HE027,HE028,HE029,HE030,HE031,HE032,HE033,HE034,HE035,HE036,HE037,HE038,HE039,HE040,HE041,HE042,HE043,HE044,HE045,HE046,HE047,HE048,HE049,HE050,HE051,HE052,HE053,HE054,HE055,HE056,HE057,HE058,HE059,HE060,HE061,HE062,HE063
S2_C0010,-0.3483,0.8658,-0.9971,3.9531,1.7627,-1.4636,2.8066,-3.1136,0.2469,5.2058,5.786,-3.1844,-4.4654,-1.4143,3.2269,5.0367,0.1875,-5.9181,-0.8216,-5.4632,2.9595,-4.9114,-0.5962,1.7729,3.0628,2.0678,0.8495,-3.4726,-3.9077,2.5193,-6.5611,-0.277,0.6005,1.372,-5.1654,-2.1684,-1.18,1.5336,-2.0123,5.4264,-3.2092,-1.6214,2.014,1.5904,2.3388,2.9314,1.9777,-4.7882,-0.7763,2.4451,0.1429,-2.7317,-0.2053,0.751,-2.593,-5.9116,3.2633,0.0818,-0.0429,-0.703,-7.3466,-0.5411,-3.3907,-0.2447
S2_C0011,1.4355,-0.1007,0.7121,0.4166,2.7373,2.2576,-2.4174,0.9713,2.2189,1.5652,-5.1908,1.5338,-2.5332,3.0776,1.7233,0.4049,0.1944,-2.8079,0.9731,-4.3407,1.9058,0.4193,2.979,-1.4124,-0.8789,-3.1596,-0.8647,-9.7617,-0.6735,8.783,0.7305,-4.983,1.9527,-3.5693,-4.0181,-0.7305,6.7999,-2.4926,-1.3947,1.2558,-4.57,3.2759,4.3056,2.8341,0.785,2.0498,0.8146,2.5516,-5.1681,0.5186,-3.712,-3.0749,-0.0783,-5.5697,1.9998,-1.1817,-1.3264,-2.2431,-2.3918,-1.8651,-3.1345,-3.6348,-2.7696,-2.1025
S2_C0012,1.0886,-0.0035,4.7098,2.4752,-1.1103,-2.1721,0.7981,2.4392,0.8788,-5.5447,1.0905,-4.5155,0.0242,0.6452,2.342,2.487,-0.6987,1.6701,-2.4016,2.6821,-3.1051,5.0422,1.2329,4.0455,-1.5946,3.8128,-2.0703,3.0356,-1.1039,-4.4664,3.4524,1.7094,0.4811,-0.8777,-2.6167,-2.5489,0.8962,3.4464,1.1183,-1.3744,1.44,0.0651,-1.1641,-1.3446,-4.7713,-1.4758,-2.0473,3.2879,4.2381,1.338,3.2102,-2.2392,1.7597,2.2262,3.0278,4.5855,0.204,0.9754,-0.0606,-4.377,0.0811,-2.3774,-2.3381,0.4545
S2_C0013,0.0563,0.9806,2.4085,0.7628,-1.586,-1.8926,-4.4051,1.692,0.7849,-4.8639,-3.4262,1.8273,0.0115,3.0091,2.3023,-2.8103,-4.2734,1.583,2.5643,2.8867,-0.7362,1.5595,1.4274,1.5387,0.2645,-1.2304,-2.7561,2.3595,-1.9721,0.6889,9.8391,-0.2317,-1.4935,-2.7583,-0.4888,-0.6395,1.8117,-1.5743,-0.6806,-3.0231,-3.2568,-1.1491,-1.0542,1.4966,-1.2586,-0.6461,-6.5287,1.4732,1.1683,-5.6267,3.6813,-4.3458,-2.2921,0.0107,0.0774,6.1424,-0.5307,-4.3197,2.7282,-2.9187,1.4508,0.9216,4.8517,3.6569
S2_C0014,0.6441,-0.3241,-1.1495,7.6404,0.611,-4.5242,-2.7725,-2.6968,-2.1758,0.2684,-0.5731,-0.3447,-1.5983,-5.3915,5.2276,2.412,0.08,-2.248,-1.6467,1.7202,-3.0189,-3.9275,-6.3534,2.9157,-0.8316,-1.7771,-1.7419,8.8895,-5.7085,-3.6607,-9.1557,1.8773,-2.8851,4.513,0.1169,-4.4729,-3.77,1.3006,-2.3013,-0.8692,1.5492,1.1491,-5.9325,1.1985,1.1807,-2.7671,-0.2668,-13.2774,1.9302,-1.4719,-0.2102,-1.486,2.7905,5.7882,-5.5624,-0.2901,6.837,-1.5358,5.1722,3.6237,1.3607,-0.833,-0.121,4.0846
S2_C0015,-0.5741,-0.1278,-4.1405,-0.3198,-1.8268,-1.1046,0.0089,-2.2789,2.5557,3.9696,-0.9788,2.2366,5.6478,-0.5315,-0.6492,3.3148,1.7072,-0.59,-4.176,-1.4351,-2.4208,-3.8758,-3.0853,0.5238,-2.0783,1.1641,3.8965,6.1268,2.5621,-4.9508,-4.013,-0.3438,0.8925,3.1601,1.2081,0.4391,-1.8674,0.3662,-0.6862,-2.8079,6.7128,-1.8181,-1.8894,-3.2914,4.0339,-1.0779,0.7087,-4.5703,-3.3211,-0.3094,-4.5469,2.2964,0.1419,1.0282,0.3017,-2.8363,-0.9332,0.1875,1.0747,4.4397,2.8568,2.0766,-3.6057,-3.4256
S2_C0016,1.2692,-0.173,1.2318,5.5598,2.1741,-3.7464,-5.1517,-4.5215,-4.5939,-1.1261,3.1855,-2.1945,-1.0417,-4.8921,6.3199,3.5139,1.1518,1.2707,2.819,0.6789,-2.6771,-3.2112,-5.6385,2.7174,-2.0034,0.4918,-1.639,7.9349,-6.5322,-2.8158,-5.743,7.7293,-2.7871,4.3583,0.9129,-3.7057,-5.7345,0.1476,-1.8586,0.5197,-0.8042,1.8104,-11.1608,1.1632,1.1487,-1.8578,2.551,-13.8751,0.9332,-2.3306,0.953,0.3692,2.7361,6.0557,-4.9602,-0.898,9.9764,-4.1741,5.3119,2.6478,2.5837,-0.9664,-1.0486,7.24
S2_C0017,0.8612,0.0007,5.3146,-2.4052,6.5925,-1.6504,-5.6611,-7.303,-3.7737,0.1212,6.1948,-4.4459,5.2437,-5.8041,3.9892,1.9723,1.3398,5.1366,5.2239,-1.1249,-0.8205,-0.6331,1.2407,-1.9721,-3.6809,4.1162,-2.5757,8.322,-0.3708,-1.2114,0.9466,11.0054,0.1802,0.8314,0.918,-0.8031,-2.9484,-0.7913,-0.2331,-2.1745,3.625,-1.5709,-9.6917,-1.6853,-7.8778,-9.0475,-0.113,-8.4664,-1.9227,-4.2159,3.9063,6.8831,3.6593,6.115,1.4788,1.7989,6.9549,-2.5777,5.523,-2.0549,3.2239,-1.6641,-2.6916,7.8546
S2_C0018,0.5205,-0.2612,0.8215,1.2188,-2.1987,-1.2106,3.5026,0.9755,-0.0497,-1.4208,1.5891,-1.1503,-1.7826,2.143,-0.8367,0.508,-0.6326,0.4448,0.0146,1.6176,0.1798,0.7743,1.3637,1.1029,0.8543,2.1009,0.6104,-2.5496,0.0586,1.0074,-0.594,-1.0728,1.0536,0.3367,0.0217,0.0915,-2.4128,3.5004,-1.0701,1.9581,-0.0906,0.7006,2.3373,-1.4398,-1.4874,1.1181,-0.6922,3.7239,2.378,2.1368,0.103,-1.572,-1.4227,-0.1388,0.8177,2.8433,-1.9721,1.3634,-2.3748,-1.0209,-1.7103,-0.3366,0.8581,-2.1227
S2_C0019,-0.5413,0.1513,-0.4181,-3.5827,2.1298,2.5352,-1.9126,0.4026,2.8241,2.0233,1.8478,1.5335,6.4242,0.3688,-0.1965,2.8341,2.5566,3.8001,-1.0306,-0.6321,-1.508,1.1754,2.294,-2.1064,-2.7585,2.411,0.5077,0.6332,5.8225,-2.0646,1.1812,-2.0918,3.1611,-0.864,2.1226,0.6407,2.2957,-0.0883,-0.4277,-4.9054,7.7798,-1.7815,-1.9931,-3.6284,-1.5363,-1.2299,-1.5794,0.5381,-5.2873,-1.31,-2.673,6.0726,-1.2065,-2.3424,3.5028,-0.8183,-2.0761,2.3627,0.9862,2.6363,4.1613,3.1172,-5.9419,-1.6567
S2_C0020,-1.1329,0.9861,0.0003,0.962,1.8902,1.4629,-2.4399,2.4623,1.2908,0.4482,-3.9629,-1.2594,-4.9539,3.4548,2.1167,-0.952,-2.0433,-3.8339,0.8184,-2.5279,3.1302,-1.7835,1.0159,-0.4357,-0.5293,-4.2633,-2.0109,-6.1048,-2.5742,6.8842,4.0499,-4.8852,-1.3677,-2.5066,-1.3444,-1.4452,5.1583,-1.7701,-1.2745,1.7475,-6.226,-0.1381,4.2662,3.6971,2.4675,4.0548,-1.6175,1.1639,-3.7644,-0.8318,-1.0683,-4.0046,0.5732,-3.5061,3.7277,-1.6167,0.2657,-2.5785,0.6956,-1.4693,-3.3074,-3.7145,-0.6579,1.9316
S2_C0021,-2.499,1.824,-2.0248,0.5957,0.4318,2.1121,-0.388,-2.4277,1.9463,3.0763,-0.0068,-2.0968,-4.554,-0.8575,5.0611,2.4631,0.2905,-4.8481,-0.3367,-5.0502,2.4198,-0.9503,1.0197,-0.3671,3.1429,1.1337,-0.2603,-8.0356,-4.9857,6.1253,-2.0073,-1.9766,0.6642,-0.0533,-3.7874,-0.1167,2.0287,1.374,0.2397,6.1203,-5.2208,2.4187,1.5038,2.4434,3.9609,3.2191,2.44,-5.351,-0.492,-0.2446,-2.1148,-0.0194,-2.2289,0.2858,-0.1491,-3.9679,3.3283,-0.9309,0.5378,-3.0191,-7.7314,-0.7337,-0.8844,-0.6445
S2_C0022,2.2044,-0.1425,2.4599,-0.5248,4.5956,2.5234,0.494,1.4968,2.6237,1.9498,-1.9,-1.7885,-0.331,-0.6492,-0.1065,2.8652,4.0105,0.3658,-0.6795,-2.9674,-0.36,3.039,2.5782,-2.2151,-2.6815,1.9624,0.6267,-3.1193,3.2338,1.7838,-3.9047,0.4186,3.4406,-0.4241,-0.0733,-0.8715,1.9891,-1.7336,1.1489,-1.5854,1.5023,1.6703,1.6035,-0.8079,-3.7376,-0.9,1.438,1.6279,-3.5376,1.3772,-2.005,1.3666,1.8913,1.0291,0.621,0.8494,1.807,1.9592,-2.3076,-0.5746,0.7516,-4.3765,-3.7405,-1.0394
S2_C0023,0.9379,2.0609,-1.2181,2.7689,-1.3824,-2.1572,0.6314,-2.3983,0.7356,3.7353,3.2884,-3.5788,-4.2923,-1.4336,2.4411,3.3279,0.1655,-4.5161,-0.2311,-8.0951,3.3974,-4.0259,0.411,-0.4205,3.4199,0.472,2.721,-5.2301,-2.2079,7.0472,-2.503,-1.4469,1.6306,0.7144,-2.7093,-1.2235,0.7883,1.1369,-1.5239,6.9921,-3.8335,-1.4069,1.341,0.6163,0.1808,4.6664,3.04,-6.5726,0.4934,1.4985,-0.9989,1.0538,1.2379,-0.4433,-1.0363,-5.1319,1.3446,-0.6197,-3.0624,-2.1589,-7.859,2.0607,0.0346,0.5513
S2_C0024,-1.6069,-1.4067,-1.6642,-3.8537,3.0196,2.5937,-2.6282,4.6044,4.2776,0.1555,-7.6745,4.8626,2.1169,6.8586,-0.5248,-5.3186,-0.9937,-1.0587,1.654,-0.0353,1.5455,-1.2502,1.8307,-1.6773,-4.2052,-6.4578,-0.4058,-1.9835,2.6703,6.8297,10.2585,-4.4735,-1.5909,-6.2709,-0.293,1.2043,5.3568,-3.2819,-1.9376,-4.1352,-6.7606,-1.3649,4.9552,2.1836,5.485,1.9696,-4.1654,7.6044,-6.1157,-6.6029,0.3017,-3.4727,-4.1681,-5.2596,2.4123,2.3308,-4.8452,-3.3181,-1.0174,2.5864,5.0154,-0.3098,1.062,-2.1333
S2_C0025,1.7391,0.7387,3.9372,1.2498,-2.0764,-3.3122,1.927,2.0006,0.9967,-4.3756,4.1698,-3.6621,0.4085,2.4487,2.3935,2.9044,-1.7892,0.0934,1.3198,0.571,-1.3102,5.623,3.5087,2.5832,-1.0727,2.4164,-2.3003,0.7885,-3.1313,-4.0631,3.7224,2.2418,1.2738,-1.1535,-0.5177,-1.4245,-0.286,3.1575,1.5665,0.698,1.1429,-0.5629,-1.0083,-0.6819,-5.8913,-0.8803,-1.5858,3.4817,2.6044,1.6036,4.7842,-0.7094,2.6364,0.9596,3.6638,4.4219,-1.01,1.49,-1.0694,-2.4194,-0.2163,-1.6194,1.8212,1.1854
S2_C0026,-1.3991,2.9742,-0.1073,0.6112,-0.0369,2.5075,-0.2741,-3.7389,0.2776,3.3339,6.3197,-5.174,-2.3112,0.9038,3.6529,0.9328,1.7214,-1.8791,1.5268,-9.5809,7.4774,-1.4859,5.1752,-2.4682,4.779,0.7622,1.7789,-14.3689,-0.6139,7.9083,1.0866,-1.2727,2.7138,-2.4392,-1.0345,0.081,2.0461,1.3789,0.4217,8.9899,-3.4897,2.2369,2.2503,-0.2311,2.4501,2.6143,3.1574,-0.1097,-2.6162,3.2172,-1.84,4.1809,-1.8232,-3.0939,3.0069,-6.5733,-2.5422,-0.1054,-2.3355,-4.0829,-10.8586,1.2721,-1.1595,-2.5192
S2_C0027,2.5587,-0.1806,0.2713,-1.1845,1.4294,-0.8879,0.369,0.4091,-2.7114,-1.8452,1.5436,0.9525,2.285,-1.287,-0.561,2.1482,0.2798,2.9418,-0.517,2.953,-4.8359,4.2414,-1.3777,-1.5638,-4.2263,3.9824,-1.9184,6.0124,3.732,-4.5011,-2.4869,6.4882,2.3985,1.304,1.3873,0.8987,-5.0594,1.0202,1.4658,-3.2794,4.8771,-0.5243,-3.7404,-1.8803,-4.3924,-5.7201,-1.3318,-0.1327,0.6245,-0.1304,0.8152,3.0944,2.3308,2.4879,-1.6899,3.7644,0.1238,1.1386,1.0567,3.9628,5.6017,-0.0298,-0.5979,2.3267
S2_C0028,-0.5342,2.0712,4.5865,1.0288,-1.8555,-0.4389,-2.1373,3.4548,0.3726,-2.6378,-0.7985,2.5925,0.2057,1.8735,1.2222,1.9312,-1.1648,4.3126,-3.7302,6.1967,0.7638,3.3117,-3.2777,1.826,-1.8816,4.0749,-1.3524,0.6825,-2.5957,-5.2706,3.0953,-2.9453,0.1077,0.8685,-2.6861,-0.9715,0.9594,1.652,-0.7426,-5.1998,7.6965,-3.3278,-4.0587,-0.3137,-2.8234,1.0695,-1.3386,1.0529,2.5894,-0.2617,-0.2128,1.1714,-0.6091,-1.9017,4.4388,5.4085,-3.135,0.357,-0.7147,-4.4382,3.7413,1.2722,0.3251,-0.6835
S2_C0029,0.8777,-1.4962,1.6495,0.0252,4.8809,1.5616,1.0871,0.4347,0.4562,-0.3933,-2.1371,0.6564,2.827,-0.4471,-2.7637,1.4192,2.5484,2.1255,0.4152,-0.3511,-1.3952,5.5632,1.4162,-1.1361,-2.3787,3.7883,-1.1945,-0.0287,4.1851,-2.6099,-5.248,2.4388,4.3542,-0.0591,1.1268,2.1292,-1.0651,-2.5771,1.0881,-3.4738,5.1137,3.8761,-0.2304,-2.6581,-7.4464,-3.2001,-3.1973,0.6465,-1.0275,3.9994,-1.778,-0.4736,4.6621,2.2838,-0.894,3.1555,1.127,2.8256,-0.0966,-0.8809,-0.4327,-4.272,-2.1672,-1.6746
S2_C0030,2.244,0.4241,4.8889,1.2434,-2.5241,-4.2853,-2.1183,4.7311,-0.1724,-5.0542,-1.2472,1.5879,2.7951,3.2878,1.7927,0.2908,-1.4983,5.2361,-0.9169,7.9087,-1.0006,2.0882,1.1454,4.1586,-0.654,1.5719,-3.7925,5.8189,-2.6482,-5.1879,10.2023,-0.5175,-1.8853,-0.1573,-0.4977,-1.4456,0.7394,0.8909,-2.6435,-7.5024,2.9364,-3.4198,-5.3429,0.2402,-5.7364,1.5468,-6.1871,1.4154,4.7577,-4.6662,4.7813,-0.7,1.6154,-0.9346,4.4199,10.4455,-2.4349,-3.8728,-0.4638,-3.7344,3.8413,0.8685,2.9828,3.0718
S2_C0031,0.1021,-1.606,0.3667,0.5917,2.9537,-1.9333,1.6624,-1.3063,-1.9807,-3.1074,-2.0583,-1.4083,-3.5843,-1.9943,-0.9384,-0.7217,-1.5803,-3.9482,2.9738,-0.2226,-1.5352,-2.0882,-2.5453,2.8781,-1.6485,-4.4314,-2.2044,3.2572,-0.9435,-0.9465,-2.9331,4.4674,-2.613,-0.4112,1.5215,0.234,-2.7255,-0.6509,0.9678,2.5917,-4.7752,2.5425,-1.7763,2.2029,2.1966,-3.6904,4.5219,-1.936,-0.048,-0.5652,2.1182,-1.1986,-1.678,6.2267,-5.8688,-0.2634,5.468,-0.1234,3.6982,2.7578,1.9239,-1.9381,3.3368,0.9456
S2_C0032,2.0266,-1.232,4.3429,-2.3827,5.6589,0.4636,-3.0697,-0.943,-0.0713,-0.3663,4.0013,-1.1751,6.6277,-4.2084,-0.0563,2.5777,3.15,4.5454,1.6694,-0.3041,-2.3469,2.8578,0.4597,-2.0596,-2.4871,5.1874,-1.7716,4.6608,4.2035,-1.9369,-0.654,6.2995,1.6522,-0.0462,1.3933,1.7015,-2.3305,-2.5535,1.1044,-3.6319,4.1622,-1.1122,-5.3817,-1.8597,-5.4996,-5.386,-1.4207,-1.4746,-2.1112,-2.1308,-0.5926,6.2466,4.41,1.5891,1.0759,0.9503,4.5352,-0.5445,2.3332,1.4076,4.7836,-2.7372,-4.8441,3.9671
S2_C0033,2.9595,-1.7159,-0.2328,1.5417,-0.4339,0.0128,1.1456,3.6069,-0.106,0.1234,-1.2767,-0.2452,0.9141,-0.8918,-4.8977,-2.2097,0.6114,1.15,-0.7891,1.3807,-2.8515,2.6209,0.0713,0.971,-0.8558,-0.6287,-1.5351,6.5631,3.9746,-3.1477,-7.0909,3.4242,-0.1833,2.955,2.5916,0.4334,-1.9708,-1.7969,1.6113,-1.1747,3.15,6.9697,2.7885,-2.2018,-5.3507,-2.2558,-4.2388,3.1079,2.0351,4.3416,0.6056,-1.4628,6.2097,2.412,-3.3481,4.7013,-0.2149,2.968,-3.2354,-0.2601,0.6454,-4.8118,-0.1551,-2.0011
S2_C0034,-1.1132,-1.8745,-0.3247,-0.4817,-0.9388,1.591,4.8537,2.0788,-0.0652,-4.5244,-2.6758,-0.9824,-7.1522,1.8101,-4.3237,0.9801,-2.8511,-1.1031,0.2797,2.748,-1.7557,3.7324,-1.3375,1.9561,0.0084,1.1228,-2.4355,-2.3136,-0.356,0.7826,-1.5889,-2.4432,-0.0976,1.6175,0.2832,2.1885,-0.6686,1.8701,2.5564,2.2642,-2.5964,2.2888,2.9141,3.3929,1.424,0.0476,6.5113,5.8897,3.1987,3.2338,-1.2534,-2.2377,-3.6715,2.2931,-2.4951,0.1127,3.8686,3.3204,-1.6459,0.2943,-1.1954,-2.0416,1.2148,-3.2208
S2_C0035,-0.653,-0.2944,3.8811,0.7965,-2.3405,-2.4907,-3.3233,4.8272,3.5025,-5.4715,-5.2237,4.0589,0.0535,4.2231,-0.6114,-4.5555,-6.1513,3.5575,0.4544,7.886,-1.1527,0.2698,-0.5473,-0.1159,-0.1263,-0.9303,-2.8688,7.8727,-2.2614,-4.3126,13.2082,-3.658,-1.5577,-1.0364,-0.0292,-2.1376,1.9715,-0.1091,-2.2696,-7.7144,1.3597,-4.5556,-4.4001,0.4475,-1.9078,1.5971,-8.0757,4.3984,3.4099,-6.5011,6.0214,-3.3472,-1.064,-2.828,3.8672,9.0895,-4.9698,-3.8179,1.2091,-3.3609,6.3553,3.2245,3.6118,0.7982
S2_C0036,-0.41,0.5161,4.2049,3.9299,-1.9081,-3.9012,-2.3206,2.6041,-0.2068,-5.2762,1.5074,-4.1158,1.966,2.0765,2.3098,0.9893,-1.7054,3.188,0.5266,2.199,-1.1795,4.5863,4.2238,3.8065,-2.1085,2.3698,-2.7609,3.2428,-2.6943,-6.796,4.261,4.3025,-0.3364,-1.0302,-1.2171,-2.4925,-0.9694,2.288,0.5191,-1.8773,2.7541,-2.7592,-4.6763,-1.0582,-6.9014,-1.7712,-4.9134,2.8588,2.8418,-0.7533,3.6509,-1.125,2.2793,2.2652,3.5046,5.2361,0.2621,0.4021,1.2896,-4.6844,0.4039,-1.5281,-0.232,2.5641
S2_C0037,2.0704,-0.2806,1.2685,-1.695,3.4706,0.4318,-2.3363,-1.1194,3.9167,4.8132,0.7721,1.8798,3.2092,2.3259,-1.8977,1.3317,3.6267,1.6654,-0.6075,-5.8705,0.9031,-2.8084,4.0743,-4.6203,-3.4068,1.2796,1.2881,0.2755,4.0396,2.8609,0.1164,-1.8987,2.8628,-2.7428,-0.4228,1.1047,2.9224,-2.8313,-0.9354,-4.6647,5.5223,-4.2133,-0.1773,-2.9776,-2.9416,-0.065,-2.8252,-1.514,-6.6087,-1.6574,-1.7474,3.2628,-0.5332,-2.4911,2.7071,0.0765,-1.619,1.3625,-0.9056,-0.1726,1.5485,1.3357,-4.9692,0.0013
