# synthetic, for demo only -- generated by 578_spatialex_omics_translation.py
cell_id,PanelA_00,PanelA_01,PanelA_02,PanelA_03,PanelA_04,PanelA_05,PanelA_06,PanelA_07,PanelA_08,PanelA_09,PanelA_10,PanelA_11,PanelA_12,PanelA_13,PanelA_14,PanelA_15,PanelA_16,PanelA_17,PanelA_18,PanelA_19,PanelA_20,PanelA_21,PanelA_22,PanelA_23,PanelA_24,PanelA_25,PanelA_26,PanelA_27,PanelA_28,PanelA_29
S1_C0010,0.0,0.6931,0.0,1.6094,1.6094,1.0986,1.0986,0.0,0.0,2.0794,1.0986,0.6931,0.0,0.6931,1.0986,1.0986,1.3863,1.3863,1.3863,1.6094,1.3863,1.3863,3.2958,0.0,1.7918,1.3863,1.7918,1.6094,0.0,1.0986
S1_C0011,4.6821,0.0,0.0,1.9459,1.3863,0.6931,1.3863,1.3863,0.0,1.9459,1.6094,1.0986,0.0,3.5264,0.0,1.0986,0.0,1.9459,0.0,1.3863,0.0,0.0,2.0794,3.0445,0.6931,0.6931,2.3026,0.6931,2.4849,0.6931
S1_C0012,2.3026,1.3863,1.9459,2.3979,1.0986,0.6931,0.0,1.0986,1.7918,1.6094,3.434,1.9459,0.6931,2.8332,1.6094,1.9459,0.6931,1.9459,0.0,1.3863,1.0986,1.6094,0.0,0.6931,0.0,1.6094,1.9459,0.0,1.7918,0.0
S1_C0013,0.0,1.0986,2.1972,0.0,1.6094,0.6931,1.6094,0.0,0.0,1.7918,0.6931,1.0986,2.1972,0.6931,2.4849,0.6931,0.0,0.6931,1.0986,1.0986,1.3863,0.0,2.9957,0.0,2.0794,1.6094,2.0794,2.3026,0.6931,2.4849
S1_C0014,5.2257,1.0986,0.0,1.9459,1.7918,0.0,1.6094,0.6931,0.0,1.7918,2.0794,3.1781,0.0,2.9957,0.6931,2.3979,0.0,1.9459,0.0,1.7918,0.0,0.6931,1.3863,1.6094,0.6931,1.3863,3.7842,1.3863,3.1355,0.6931
S1_C0015,0.6931,2.5649,0.6931,0.0,1.6094,5.2781,0.6931,0.6931,4.9698,1.3863,0.6931,0.0,3.4657,0.0,1.0986,0.6931,5.3891,1.9459,5.4072,1.0986,0.0,2.0794,0.0,0.0,2.4849,1.0986,0.0,2.3026,0.0,0.6931
S1_C0016,0.6931,1.6094,2.0794,1.9459,1.3863,0.0,1.6094,1.7918,0.0,0.0,0.6931,1.6094,0.0,0.0,1.6094,1.0986,0.6931,1.0986,1.0986,0.0,1.0986,1.6094,2.3026,0.6931,2.1972,1.6094,3.091,1.7918,0.6931,2.3026
S1_C0017,0.0,0.6931,2.4849,0.6931,0.6931,4.804,0.6931,3.6636,3.0445,0.6931,4.0254,5.3799,4.8598,0.0,1.9459,2.7081,0.0,1.6094,4.2341,0.0,5.3279,3.0445,0.6931,3.4012,1.7918,1.7918,2.3979,1.7918,0.0,1.0986
S1_C0018,3.9512,0.0,0.0,0.0,0.6931,0.6931,1.3863,0.6931,0.0,1.7918,0.6931,0.0,0.6931,2.4849,1.3863,1.0986,3.6889,1.9459,0.6931,2.0794,0.0,0.0,1.3863,3.1781,1.6094,0.0,0.6931,0.6931,2.8332,0.0
S1_C0019,1.7918,1.3863,1.9459,1.0986,0.6931,5.3181,2.1972,2.7081,4.8978,1.6094,2.0794,0.0,3.1355,1.7918,2.1972,1.7918,5.2781,2.7081,3.0445,1.0986,0.0,0.6931,0.0,2.3026,0.6931,0.0,0.0,1.3863,0.6931,0.0
S1_C0020,0.0,1.7918,1.0986,0.6931,1.9459,1.6094,0.6931,0.6931,0.6931,2.0794,0.6931,0.0,0.0,3.912,1.6094,0.0,1.9459,1.7918,0.0,1.7918,0.0,0.0,0.0,5.2627,1.6094,0.6931,0.6931,1.0986,1.3863,0.0
S1_C0021,1.0986,1.6094,0.6931,0.6931,0.0,5.2883,1.6094,1.3863,4.4886,1.9459,0.6931,0.0,4.3438,0.0,1.0986,0.6931,5.3132,2.0794,4.5433,1.3863,0.0,2.0794,0.6931,0.0,1.3863,0.0,0.0,1.9459,0.0,0.0
S1_C0022,0.6931,1.0986,1.0986,2.0794,1.0986,0.0,1.7918,1.0986,0.6931,0.6931,0.0,3.5553,3.2958,0.6931,1.9459,1.7918,0.0,0.6931,1.9459,0.6931,4.7707,1.6094,1.3863,2.0794,1.3863,2.0794,2.4849,1.6094,1.0986,1.6094
S1_C0023,0.0,1.0986,2.8332,1.0986,1.0986,5.2575,1.6094,4.1109,4.4427,0.0,4.4659,5.2575,5.2364,0.0,1.7918,2.1972,0.0,1.0986,5.4027,0.6931,5.3982,4.8752,0.0,1.6094,1.0986,2.1972,2.3026,1.7918,1.3863,1.3863
S1_C0024,3.6109,2.7726,0.0,0.0,1.6094,3.2189,1.3863,0.0,3.5553,2.0794,1.0986,0.0,5.0752,1.9459,3.4012,0.6931,5.3181,3.5264,2.5649,1.0986,1.3863,1.0986,1.3863,0.0,1.0986,0.0,0.0,1.0986,1.6094,0.0
S1_C0025,4.4067,0.6931,0.0,0.0,1.3863,0.0,1.3863,0.0,1.0986,1.3863,1.9459,1.7918,1.3863,1.7918,1.3863,0.0,3.1781,2.3979,0.6931,1.9459,0.0,1.0986,1.3863,2.0794,0.6931,1.0986,0.0,0.6931,3.1781,1.0986
S1_C0026,1.3863,1.7918,1.3863,1.6094,1.0986,0.6931,1.7918,1.0986,1.3863,1.9459,2.5649,1.3863,0.0,2.7726,1.6094,1.3863,1.7918,2.1972,0.0,1.0986,0.0,1.7918,1.0986,0.6931,0.6931,1.3863,0.0,0.6931,1.3863,1.3863
S1_C0027,1.3863,2.3026,0.6931,0.6931,1.0986,0.6931,0.6931,0.0,0.0,2.0794,0.0,1.9459,5.2832,0.0,2.0794,0.6931,2.7081,0.0,1.9459,1.0986,2.3979,2.3026,5.4072,0.0,1.3863,3.5835,1.3863,2.7081,0.0,2.3979
S1_C0028,1.3863,1.6094,1.0986,0.0,1.0986,5.3799,1.0986,2.7726,4.2047,1.0986,1.3863,0.0,2.7726,1.0986,1.7918,1.9459,5.3083,1.9459,3.091,1.3863,0.0,0.6931,0.0,2.5649,1.3863,0.6931,0.0,1.0986,0.6931,0.0
S1_C0029,0.0,2.4849,2.0794,1.3863,1.6094,5.2523,1.9459,2.8332,5.1705,1.0986,3.1781,3.7136,4.5539,0.0,0.6931,2.5649,2.4849,1.0986,5.4027,1.0986,3.6376,5.3613,0.0,0.6931,1.3863,0.6931,1.6094,1.0986,1.6094,1.0986
S1_C0030,0.0,1.6094,0.6931,2.1972,1.0986,0.0,1.6094,0.6931,0.0,1.3863,0.0,1.0986,3.2581,0.6931,2.8904,0.0,1.0986,0.6931,1.3863,2.0794,1.6094,1.0986,4.0943,0.0,1.3863,2.3026,0.6931,1.0986,0.0,2.3026
S1_C0031,3.091,2.8332,0.6931,0.6931,1.3863,4.0604,1.3863,1.0986,4.1109,2.3979,1.0986,0.0,4.625,1.9459,2.3979,1.3863,5.4027,3.4657,2.3979,1.7918,1.0986,1.3863,1.0986,0.6931,0.6931,0.0,0.6931,1.3863,1.7918,0.0
S1_C0032,3.7377,2.5649,0.6931,1.0986,1.6094,1.6094,0.0,0.6931,1.9459,2.3979,0.6931,0.0,5.3613,0.6931,3.3673,1.0986,5.3327,2.9957,1.7918,1.7918,2.3026,2.3026,2.1972,0.0,1.9459,0.6931,0.0,1.7918,2.4849,0.6931
S1_C0033,2.3026,0.6931,0.0,0.6931,0.6931,0.0,1.0986,0.0,0.0,1.7918,0.0,0.6931,5.1761,0.0,2.0794,0.0,2.3979,0.0,0.6931,1.9459,2.1972,3.5553,5.3423,0.0,1.0986,3.0445,0.0,2.3979,1.3863,1.3863
S1_C0034,1.0986,1.7918,1.3863,1.3863,1.0986,1.3863,0.6931,1.6094,1.0986,0.0,1.7918,3.2581,3.4012,1.0986,2.7081,1.9459,0.0,1.3863,1.9459,1.0986,4.7536,2.0794,1.3863,1.6094,1.3863,2.0794,1.9459,1.0986,0.6931,1.6094
S1_C0035,2.9444,2.7081,0.0,1.3863,1.6094,4.5747,2.1972,0.6931,4.3175,2.4849,0.0,0.0,4.5747,1.9459,2.5649,1.3863,5.1818,3.2581,2.1972,1.3863,1.0986,1.0986,0.0,0.0,1.0986,0.0,0.0,0.0,1.9459,0.0
S1_C0036,0.6931,2.1972,1.3863,1.0986,1.3863,5.2575,1.9459,2.4849,4.6052,2.0794,1.9459,0.0,2.7081,1.6094,2.3026,1.6094,5.2575,2.6391,3.3673,1.3863,0.0,0.0,0.0,2.9957,1.9459,0.6931,0.0,0.6931,1.6094,0.0
S1_C0037,2.6391,0.6931,2.0794,2.3026,1.0986,0.0,1.3863,0.6931,0.6931,0.6931,1.9459,3.4965,0.0,1.6094,0.6931,2.4849,0.0,0.6931,0.0,1.3863,0.0,2.7726,1.6094,1.0986,1.0986,1.3863,4.2195,1.0986,2.3026,2.9957
S1_C0038,4.3567,2.3026,0.0,0.6931,1.0986,1.3863,1.0986,0.0,1.6094,1.6094,0.6931,0.0,5.3799,0.0,2.8332,0.6931,4.4427,2.0794,1.7918,1.9459,2.5649,2.3979,2.7726,0.0,1.0986,1.3863,0.0,2.1972,2.4849,0.0
S1_C0039,2.8904,0.0,1.0986,1.0986,1.7918,0.6931,1.0986,0.0,0.0,1.7918,0.0,0.0,0.0,1.0986,1.0986,1.7918,1.7918,1.6094,0.0,0.6931,1.6094,1.0986,3.5264,0.0,0.0,1.3863,1.6094,1.0986,2.0794,1.7918
S1_C0040,0.6931,1.3863,1.9459,1.9459,1.3863,3.091,1.3863,2.5649,0.0,0.6931,2.3026,4.4188,3.1781,1.3863,2.3979,1.6094,0.0,1.6094,1.7918,1.3863,5.323,0.0,0.6931,5.0876,1.7918,1.3863,2.0794,1.0986,1.0986,0.6931
S1_C0041,0.0,1.3863,1.6094,1.6094,1.6094,5.1761,1.0986,3.1355,5.2257,0.0,1.7918,2.0794,3.8286,0.0,0.0,1.7918,4.0073,0.0,5.3471,0.6931,1.6094,5.2311,0.0,0.0,1.0986,1.6094,2.0794,2.3026,1.0986,1.7918
S1_C0042,1.3863,1.7918,2.0794,1.3863,2.0794,4.4543,1.6094,2.3979,3.5264,1.9459,1.7918,0.0,2.3026,1.7918,2.0794,1.6094,3.9318,2.3026,2.3026,0.6931,0.6931,0.0,0.0,2.7081,1.6094,1.0986,0.0,1.0986,1.0986,0.6931
S1_C0043,1.3863,1.9459,1.7918,1.6094,1.0986,2.8904,1.6094,2.3026,2.3979,1.0986,2.9957,4.5109,5.4765,0.6931,2.3026,1.9459,0.0,1.0986,3.4965,0.0,5.3753,3.5264,0.0,2.1972,1.7918,1.7918,1.9459,1.3863,1.6094,0.6931
S1_C0044,0.6931,0.6931,2.1972,0.0,0.6931,5.2781,1.3863,2.5649,5.2983,0.6931,0.6931,0.0,3.5835,1.3863,1.9459,1.6094,5.3891,2.6391,3.5264,0.6931,0.6931,0.6931,0.0,2.0794,1.0986,0.6931,0.0,1.0986,0.6931,0.0
S1_C0045,0.0,2.6391,1.6094,1.6094,1.3863,5.2627,1.0986,2.1972,4.585,1.9459,1.7918,0.0,1.6094,0.6931,0.0,1.0986,5.2983,1.7918,4.1109,1.0986,0.0,2.1972,0.0,1.0986,0.6931,0.0,0.0,1.3863,0.0,1.0986
S1_C0046,0.6931,0.6931,0.6931,1.3863,1.3863,0.0,0.6931,0.0,0.6931,2.1972,0.0,0.6931,2.1972,0.6931,2.1972,1.0986,1.3863,0.0,0.0,1.9459,1.0986,0.0,3.7136,0.0,0.6931,1.7918,1.3863,1.9459,0.0,1.9459
S1_C0047,3.6636,1.0986,0.6931,0.0,0.6931,1.0986,1.3863,0.6931,0.0,1.0986,0.6931,1.9459,0.6931,2.5649,1.9459,0.6931,3.5553,1.6094,0.0,1.9459,0.0,0.0,0.6931,3.091,1.7918,1.0986,0.6931,1.6094,2.3979,0.0
S1_C0048,0.6931,0.0,1.6094,1.3863,0.6931,4.3438,1.9459,4.2195,2.1972,0.0,3.4965,4.3307,3.091,0.0,2.3026,2.6391,0.0,1.6094,2.9957,0.0,3.8067,1.6094,0.0,4.585,0.6931,1.7918,2.5649,0.0,1.0986,1.0986
S1_C0049,1.0986,1.9459,1.0986,0.6931,1.0986,5.0814,1.0986,2.3026,4.804,1.6094,0.6931,0.0,1.9459,0.6931,0.0,0.6931,5.3706,1.0986,4.1109,0.6931,0.0,1.3863,0.0,1.3863,1.9459,0.0,0.0,1.3863,0.0,0.6931
S1_C0050,5.0626,0.0,0.0,0.0,1.0986,0.0,0.6931,0.0,1.3863,1.3863,0.0,0.6931,2.8332,0.6931,1.7918,0.0,3.3673,1.7918,1.3863,1.7918,0.0,2.6391,3.1781,0.0,1.7918,1.3863,0.0,1.7918,3.4965,0.0
S1_C0051,0.0,0.6931,1.6094,3.091,1.9459,0.0,0.6931,1.7918,0.6931,1.7918,2.5649,3.5264,0.0,2.4849,0.0,2.0794,0.0,1.0986,0.0,1.3863,0.0,2.3979,1.6094,0.0,0.0,2.0794,4.6821,1.0986,1.0986,4.0073
S1_C0052,3.091,0.0,0.0,1.0986,1.3863,1.3863,1.3863,1.0986,0.0,1.0986,0.0,0.0,0.0,2.4849,1.0986,1.3863,1.6094,1.7918,0.0,1.7918,0.0,0.0,1.9459,2.7726,1.3863,0.6931,0.6931,0.6931,1.9459,1.6094
S1_C0053,0.6931,2.3979,1.6094,1.6094,1.0986,0.6931,1.6094,1.0986,1.6094,2.0794,2.1972,0.6931,1.0986,2.6391,1.9459,1.3863,3.1781,1.9459,0.0,1.3863,1.0986,0.0,2.0794,0.0,0.6931,1.0986,0.6931,1.0986,1.0986,0.6931
S1_C0054,3.0445,2.9957,0.0,0.6931,1.9459,3.4657,1.3863,1.0986,3.4965,2.8904,2.5649,0.0,4.0775,3.4965,3.5264,1.0986,5.2883,4.0775,1.3863,1.9459,1.6094,0.6931,0.0,1.9459,0.6931,1.0986,0.0,0.6931,1.6094,0.0
S1_C0055,2.9957,0.6931,1.0986,1.6094,1.3863,1.0986,0.0,1.0986,0.0,1.3863,0.6931,0.0,0.6931,1.6094,0.0,1.0986,3.0445,1.3863,0.0,1.7918,0.0,0.0,1.9459,1.3863,1.7918,0.6931,1.0986,1.3863,2.0794,1.7918
S1_C0056,5.0434,0.6931,0.6931,0.0,1.3863,0.6931,1.0986,1.0986,0.6931,1.0986,0.6931,1.0986,0.0,0.6931,0.6931,0.6931,3.7612,1.7918,0.0,2.1972,0.0,2.4849,2.5649,1.3863,1.7918,1.0986,0.6931,1.9459,3.2581,1.0986
S1_C0057,2.0794,1.3863,0.6931,2.5649,0.6931,0.6931,1.0986,0.6931,1.6094,1.3863,3.434,1.3863,0.0,2.5649,1.7918,1.3863,1.0986,2.3026,1.0986,1.3863,1.7918,1.3863,0.0,1.0986,0.0,1.3863,1.7918,0.0,1.6094,1.0986
S1_C0058,0.6931,2.3026,2.3026,1.3863,1.7918,5.3083,1.3863,1.9459,4.2047,1.6094,2.0794,1.0986,2.1972,0.0,0.0,0.6931,5.2679,1.3863,3.9512,1.3863,1.0986,3.434,0.0,0.0,2.0794,0.0,0.6931,1.3863,0.0,1.0986
S1_C0059,0.0,2.3979,0.6931,1.6094,1.3863,0.0,1.6094,0.6931,0.6931,2.6391,2.0794,0.0,0.6931,1.7918,1.0986,0.0,3.6636,2.1972,0.6931,1.9459,0.6931,2.0794,2.4849,0.0,1.6094,1.0986,0.0,1.3863,0.6931,1.3863
S1_C0060,0.6931,0.0,2.3979,2.0794,1.0986,0.0,1.3863,1.3863,0.0,0.6931,0.6931,2.1972,0.0,1.6094,0.6931,1.9459,0.0,1.0986,0.0,1.0986,1.3863,0.0,1.7918,1.3863,1.3863,2.1972,3.9512,1.3863,0.6931,2.8332
S1_C0061,0.0,1.7918,0.6931,1.3863,0.6931,0.0,0.6931,0.0,0.0,2.1972,0.0,1.0986,5.2575,0.0,2.5649,0.0,2.8332,0.6931,3.0445,1.7918,2.3979,2.6391,5.4072,0.0,1.9459,3.1781,0.0,3.0445,0.0,1.9459
S1_C0062,4.2905,1.3863,1.0986,2.9444,1.9459,0.0,1.6094,1.0986,1.6094,0.0,4.1897,4.9767,0.0,2.1972,0.0,2.1972,0.0,1.7918,0.0,0.0,0.6931,4.5539,1.0986,0.0,1.0986,1.6094,4.382,1.6094,2.7081,3.1355
S1_C0063,2.5649,1.9459,0.6931,0.6931,1.7918,2.3979,1.0986,0.6931,0.0,1.6094,1.0986,0.0,0.0,2.7726,1.9459,0.0,3.4965,2.3979,0.0,1.7918,0.0,0.0,0.0,3.6109,1.3863,0.0,1.3863,1.6094,1.9459,0.0
S1_C0064,0.0,1.7918,1.0986,1.3863,1.3863,0.0,1.3863,0.6931,0.0,1.6094,0.0,0.6931,4.4998,0.0,2.6391,1.0986,1.0986,1.3863,1.6094,0.6931,1.9459,2.3979,5.273,0.0,1.9459,2.3979,0.0,1.9459,1.0986,2.5649
S1_C0065,0.6931,2.5649,0.0,1.9459,1.9459,0.6931,0.6931,0.0,1.0986,1.6094,2.3979,0.6931,0.0,2.4849,0.0,1.0986,2.3979,0.6931,0.0,1.9459,0.0,2.4849,2.9957,0.0,1.3863,1.0986,1.7918,1.0986,0.6931,2.0794
S1_C0066,0.0,2.4849,0.6931,1.0986,1.0986,0.0,1.0986,0.0,1.9459,0.6931,1.0986,1.0986,0.0,2.8904,1.0986,1.3863,4.5218,1.7918,0.6931,1.3863,0.6931,2.3026,1.6094,0.0,0.6931,0.6931,1.0986,0.6931,0.0,1.6094
S1_C0067,3.1781,2.9444,0.6931,0.6931,1.6094,2.9444,1.7918,1.7918,3.9512,2.3026,3.5553,0.0,2.9444,4.2195,3.4657,0.0,5.1818,4.2047,0.0,1.7918,1.7918,0.0,0.0,2.4849,1.3863,0.6931,0.0,0.6931,1.3863,0.0
S1_C0068,1.7918,2.3026,0.6931,2.3026,1.6094,0.6931,0.0,0.0,1.3863,1.3863,3.1355,1.6094,0.0,2.9444,1.3863,1.6094,0.6931,1.3863,0.0,1.0986,0.0,2.3026,1.9459,0.6931,1.3863,0.6931,1.6094,0.6931,1.0986,1.9459
S1_C0069,0.6931,1.6094,1.3863,1.0986,1.3863,5.2364,1.3863,2.0794,5.1533,1.3863,0.0,0.0,2.7726,0.0,1.0986,1.0986,5.3279,1.0986,5.4638,1.3863,0.0,2.8904,1.0986,0.0,1.3863,0.0,0.0,1.9459,0.6931,1.9459
S1_C0070,0.0,2.0794,1.3863,1.7918,1.6094,5.1985,1.6094,3.2189,5.2417,0.0,4.3438,4.9698,5.3375,0.0,1.7918,2.7081,0.0,1.0986,5.3279,0.6931,5.366,5.3753,0.6931,0.6931,0.6931,1.9459,1.3863,1.0986,0.0,1.6094
S1_C0071,1.3863,0.6931,2.1972,2.8332,1.0986,0.0,0.0,2.5649,0.0,1.0986,2.7081,2.0794,0.0,3.989,1.3863,2.5649,0.0,1.0986,0.0,1.3863,0.0,0.0,0.6931,4.2905,1.3863,0.0,5.0106,0.0,0.0,3.6889
S1_C0072,1.0986,0.0,1.6094,1.3863,1.0986,3.4657,1.0986,2.9957,1.3863,0.6931,3.1355,5.1059,4.4427,0.6931,1.9459,2.1972,0.0,0.0,3.1355,0.6931,5.323,2.3026,0.6931,3.6376,1.7918,1.7918,2.3979,1.3863,1.3863,1.6094
S1_C0073,0.6931,0.6931,1.0986,1.3863,1.6094,0.6931,0.6931,0.0,0.6931,1.6094,0.0,0.0,3.1781,1.0986,1.9459,1.0986,1.6094,1.0986,1.3863,1.7918,2.1972,1.0986,5.0039,0.0,1.0986,2.0794,1.6094,1.6094,0.6931,2.0794
S1_C0074,0.6931,2.1972,2.0794,0.0,1.3863,5.2311,1.9459,2.9957,4.654,1.6094,0.6931,0.0,2.9957,0.6931,1.6094,1.7918,5.3471,1.7918,3.8286,1.3863,0.0,0.0,0.0,2.0794,1.9459,0.0,0.0,1.0986,0.6931,0.6931
S1_C0075,3.5835,1.0986,1.3863,0.6931,1.3863,0.6931,1.3863,1.0986,0.6931,1.0986,0.0,1.3863,0.0,1.7918,0.6931,1.0986,3.912,1.7918,0.0,2.1972,0.0,0.0,1.3863,2.5649,1.0986,0.0,1.7918,1.9459,2.3026,1.0986
S1_C0076,0.0,0.6931,2.8332,1.0986,1.0986,5.2883,0.6931,3.434,4.9345,1.3863,2.0794,2.9444,4.9127,0.0,0.0,1.9459,1.0986,0.6931,5.2095,0.0,2.6391,4.5643,0.0,1.0986,1.7918,1.6094,1.3863,1.9459,1.3863,1.0986
S1_C0077,0.6931,0.6931,2.0794,1.7918,1.0986,0.0,0.6931,2.4849,0.6931,0.0,1.6094,2.7081,1.6094,0.6931,2.8332,1.3863,0.0,0.0,1.3863,1.3863,2.0794,1.0986,1.3863,3.6109,2.1972,2.7726,3.0445,0.6931,0.0,2.3979
S1_C0078,4.1271,1.0986,1.3863,2.1972,2.0794,0.0,0.6931,1.9459,1.0986,1.7918,3.9318,4.0943,0.0,2.4849,0.6931,2.3979,0.0,1.6094,0.0,1.6094,1.7918,1.9459,1.0986,1.0986,0.6931,0.6931,3.4012,1.0986,2.9444,1.0986
S1_C0079,0.6931,2.3026,1.6094,0.0,1.0986,5.3613,0.6931,1.7918,5.0039,1.0986,0.6931,0.6931,1.6094,0.0,0.0,1.3863,5.3423,1.0986,4.9972,1.6094,0.0,3.434,0.0,0.0,1.6094,0.6931,0.0,1.6094,0.6931,1.0986
S1_C0080,5.1358,1.3863,0.0,1.3863,1.9459,0.6931,1.0986,0.6931,0.6931,1.3863,1.3863,0.6931,0.0,3.3673,1.3863,1.6094,0.6931,2.0794,0.0,1.3863,0.6931,0.0,1.7918,2.3979,1.3863,1.6094,2.6391,0.0,2.3979,1.7918
S1_C0081,1.3863,2.5649,0.6931,0.6931,0.6931,0.6931,1.3863,0.0,1.3863,1.9459,0.0,0.0,5.2627,0.0,1.6094,0.0,5.2983,2.0794,3.4012,1.6094,1.6094,2.7081,4.3307,0.0,1.7918,2.0794,0.0,2.4849,1.6094,0.0
S1_C0082,0.0,1.3863,1.9459,2.0794,0.0,0.6931,0.6931,2.5649,0.0,0.0,2.7081,1.0986,0.0,5.2095,1.7918,1.0986,0.0,0.0,0.0,2.0794,0.0,0.0,0.6931,5.2257,1.0986,0.0,2.9957,0.0,0.6931,0.6931
S1_C0083,0.0,1.3863,1.7918,1.3863,1.6094,4.4886,1.0986,2.8904,4.3567,0.0,4.4543,4.6913,5.3471,0.6931,1.9459,2.5649,0.0,1.0986,4.9053,1.0986,5.2364,5.1475,0.6931,1.0986,1.3863,1.9459,0.6931,1.3863,1.6094,0.6931
S1_C0084,0.6931,0.6931,1.3863,0.6931,1.7918,5.3375,1.7918,1.3863,3.6889,1.0986,0.0,0.0,3.8067,0.0,0.0,0.0,5.2627,0.6931,5.3132,1.0986,0.0,1.7918,1.9459,0.0,1.0986,1.0986,0.6931,2.9444,0.0,0.6931
S1_C0085,0.6931,1.6094,2.0794,0.0,1.3863,5.3083,1.6094,2.0794,4.4308,1.6094,1.7918,0.0,2.0794,0.0,1.0986,0.6931,5.273,2.0794,3.7842,1.6094,0.0,1.0986,0.0,2.0794,1.9459,0.0,0.6931,1.7918,1.6094,0.6931
S1_C0086,0.0,2.0794,0.0,0.6931,1.6094,1.6094,1.6094,0.0,0.0,1.7918,1.0986,0.0,0.0,3.1781,0.6931,1.0986,3.9703,1.6094,0.0,2.3979,0.0,0.0,1.6094,2.6391,0.6931,1.0986,0.0,0.6931,1.6094,1.6094
S1_C0087,1.3863,2.0794,1.0986,0.6931,1.0986,2.8332,1.0986,2.3979,0.0,1.3863,1.7918,0.6931,2.1972,3.2189,3.091,1.0986,1.0986,1.0986,0.0,1.9459,1.3863,0.0,0.0,5.3423,1.3863,1.0986,1.0986,1.0986,0.0,0.0
S1_C0088,0.6931,2.3026,1.0986,0.6931,2.3026,0.0,1.3863,0.6931,1.0986,1.9459,2.3979,1.0986,1.3863,3.2189,2.5649,1.6094,2.6391,1.7918,0.6931,2.0794,1.3863,0.0,0.6931,0.6931,1.3863,0.6931,0.6931,1.0986,0.6931,0.6931
