"cell","celltype"
"C250","Immune"
"C251","Immune"
"C252","Immune"
"C253","Immune"
"C254","Immune"
"C255","Immune"
"C256","Immune"
"C257","Immune"
"C258","Immune"
"C259","Immune"
"C260","Immune"
"C261","Immune"
"C262","Immune"
"C263","Immune"
"C264","Immune"
"C265","Immune"
"C266","Immune"
"C267","Immune"
"C268","Immune"
"C269","Immune"
"C270","Immune"
"C271","Immune"
"C272","Immune"
"C273","Immune"
"C274","Immune"
"C275","Immune"
"C276","Immune"
"C277","Immune"
"C278","Immune"
"C279","Immune"
"C280","Immune"
"C281","Immune"
"C282","Immune"
"C283","Immune"
"C284","Immune"
"C285","Immune"
"C286","Immune"
"C287","Immune"
"C288","Immune"
"C289","Immune"
"C290","Immune"
"C291","Immune"
"C292","Immune"
"C293","Immune"
"C294","Immune"
"C295","Immune"
"C296","Immune"
"C297","Immune"
"C298","Immune"
"C299","Immune"
"C300","Immune"
"C301","Immune"
"C302","Immune"
"C303","Immune"
"C304","Immune"
"C305","Immune"
"C306","Immune"
"C307","Immune"
"C308","Immune"
"C309","Immune"
"C310","Immune"
"C311","Immune"
"C312","Immune"
"C313","Immune"
"C314","Immune"
"C315","Immune"
"C316","Immune"
"C317","Immune"
"C318","Immune"
"C319","Immune"
"C320","Immune"
"C321","Immune"
"C322","Immune"
"C323","Immune"
"C324","Immune"
"C325","Immune"
"C326","Immune"
"C327","Immune"
"C328","Immune"
"C329","Immune"
"C330","Immune"
"C331","Immune"
"C332","Immune"
"C333","Immune"
"C334","Immune"
"C335","Immune"
"C336","Immune"
"C337","Immune"
"C338","Immune"
"C339","Immune"
"C340","Immune"
"C341","Immune"
"C342","Immune"
"C343","Immune"
"C344","Immune"
"C345","Immune"
"C346","Immune"
"C347","Immune"
"C348","Immune"
"C349","Immune"
"C350","Immune"
"C351","Immune"
"C352","Immune"
"C353","Immune"
"C354","Immune"
"C355","Immune"
"C356","Immune"
"C357","Immune"
"C358","Immune"
"C359","Immune"
"C360","Immune"
