"geneSymbol","GSE_A_S01","GSE_A_S02","GSE_A_S03","GSE_A_S04","GSE_A_S05","GSE_A_S06","GSE_A_S07","GSE_A_S08"
"LOC129996108",7.219,7.378,6.178,6.792,8.551,7.605,6.073,8.452
"LOC127882662",5.378,4.612,6.816,7.025,8.694,7.978,8.132,4.684
"LOC127273815",8.725,9.088,6.515,6.296,4.32,5.418,4.53,8.537
"LOC105371376",6.643,7.864,5.854,6.143,7.004,6.862,8.606,8.205
"LOC130000668",5.544,7.116,5.422,7.243,7.43,5.744,6.662,5.02
"LOC129993828",6.369,6.742,4.838,8.09,7,7.369,5.198,6.746
"LOC127274953",5.912,8.435,7.346,7.933,6.688,7.072,7.541,8.749
"ARL2-SNX15",5.408,6.64,7.981,5.47,6.462,7.847,6.492,6.24
"LOC105376026",5.393,5.236,7.296,6.078,7.943,7.439,6.704,7.41
"LOC129389202",8.898,4.85,5.115,6.311,5.422,9.317,4.117,7.746
"LOC128316961",7.368,6.432,4.706,7.324,7.831,8.363,6.801,7.735
"DOCK2",7.983,4.943,8.207,5.513,6.384,6.542,4.87,6.653
"LOC127819825",11.871,9.262,6.14,7.957,6.314,6.322,6.521,6.714
"LOC101929572",10.182,6.271,7.583,7.847,4.631,4.839,9.625,7.845
"LOC127827235",7.273,7.382,8.773,6.67,4.545,3.489,8.199,7.525
"LOC130055520",7.924,8.292,6.844,8.425,7.652,7.972,4.97,7.114
"LOC130006049",9.503,7.949,7.82,7.415,9.759,7.834,8.305,8.273
"LOC130007445",7.116,9.093,6.899,9.707,7.666,6.857,8.61,9.764
"LOC127405799",7.865,10.261,7.497,8.499,5.966,6.951,6.461,7.453
"PCAT18",7.185,6.383,6.129,8.921,5.947,7.235,6.774,4.417
"LOC129936835",7.028,6.883,6.41,8.501,7.357,8.743,6.521,8.089
"LOC125146359",6.756,6.694,8.053,8.993,7.483,7.493,7.119,8.097
"LOC127270144",5.552,7.408,7.617,7.902,7.504,5.351,7.752,6.974
"SCMH1",6.471,8.569,8.299,9.263,6.483,7.034,7.591,7.371
"LOC127821640",6.327,5.903,5.824,9.058,3.556,7.533,9.752,6.88
"LOC132089785",7.022,6.307,6.682,6.26,8.799,8.107,7.595,7.404
"LOC127459397",5.532,7.529,7.14,9.707,8.828,8.363,8.375,5.986
"LOC127460470",6.751,7.833,6.461,5.828,5.667,6.817,9.05,8.516
"BASP1P1",8.296,6.224,8.28,6.527,7.878,8.655,7.362,6.971
"LOC127402603",7.97,5.083,7.696,8.586,6.687,6.247,7.319,5.606
"LOC130059584",7.273,7.02,8.491,9.83,6.745,8.529,6.893,8.423
"LOC130065845",5.579,5.174,6.572,8.613,7.563,7,5.783,5.782
"LOC127817122",7.943,6.054,6.378,9.07,7.658,5.844,6.253,8.447
"MSBP1",7.732,9.612,5.939,7.029,8.104,8.119,6.967,7.495
"LOC124902472",6.7,5.992,8.721,7.952,2.862,8.15,7.893,6.483
"LOC129664055",6.765,6.101,8.988,8.771,6.889,4.52,9.234,7.577
"LOC130004639",6.548,9.117,6.991,6.886,8.151,7.705,6.994,7.476
"LOC124904207",8.336,7.509,7.512,5.264,6.666,6.78,7.956,7.211
"RPL23P10",5.296,4.957,4.85,8.335,5.042,8.704,5.583,10.196
"LOC124902589",7.382,5.978,6.869,6.981,6.728,5.597,5.88,6.67
"LOC129932729",7.35,7.575,7.613,6.35,6.293,6.923,10.114,7.406
"PRXL2B",7.247,8.202,9.291,5.443,6.103,7.47,7.307,7.371
"GRIN2B",5.926,5.477,6.754,10.951,7.874,6.092,6.106,7.679
"TENT2",6.497,5.294,6.015,9.284,5.71,6.955,6.986,5.004
"LOC127830198",5.845,7.989,8.452,7.289,6.073,3.571,8.515,5.406
"VDAC1P5",7.9,6.675,6.211,4.808,5.414,9.204,6.972,8.48
"IGK",6.775,4.063,6.444,7.741,9.559,6.133,6.15,6.813
"LOC124901019",6.38,3.863,7.635,8.98,5.523,6.133,7.689,5.542
"LOC130057910",6.753,5.373,6.454,7.162,6.413,6.08,6.967,8.938
"IGHV3OR16-8",7.037,6.686,6.965,9.147,7.365,5.811,6.365,9.107
"LOC127405948",6.976,6.216,5.315,5.625,7.428,6.11,9.178,7.091
"LOC127406832",6.819,8.825,8.161,7.054,8.221,8.46,7.194,7.932
"RNA5SP130",4.314,7.321,6.61,6.902,5.496,9.561,8.693,5.448
"LOC127408329",9.614,6.767,6.482,9.2,7.478,8.251,5.216,6.572
"LOC127403183",9.106,7.025,5.545,6.164,5.077,3.742,6.787,7.322
"LOC127896925",7.847,8.542,3.914,5.72,5.807,6.282,6.089,8.007
"LOC129389908",5.601,5.884,7.246,8.348,5.853,8.713,7.279,7.222
"PCSEAT",6.853,6.865,7.313,6.414,5.572,6.963,7.79,8.899
"LOC130009820",7.709,6.268,4.205,6.397,7.782,5.966,5.536,6.292
"LOC129998339",5.708,5.05,5.578,9.107,6.77,4.597,4.91,6.695
"LOC127268877",8.302,8.236,5.619,6.132,7.163,8.67,5.367,4.779
"LOC127882910",6.008,7.619,9.023,6.939,6.851,6.911,5.721,7.56
"LOC127274376",8.606,4.988,9.226,7.811,8.601,4.406,7.646,6.696
"LOC121627969",6.2,7.329,4.701,5.36,8.928,6.974,7.603,7.01
"LOC127460376",6.611,9.309,7.462,6.542,7.936,7.228,8.434,5.531
"LOC105372255",7.432,5.221,4.803,6.022,7.79,7.855,6.171,7.473
"RHOV",7.567,4.576,6.049,6.636,5.487,6.529,8.453,7.381
"FGG",6.128,8.74,8.57,8.05,6.962,6.037,7.187,7.096
"COL18A1-AS1",8.143,8.602,7.831,2.821,6.792,5.253,8.504,6.513
"LOC107985176",9.285,8.009,8.069,7.985,5.862,5.851,5.401,8.308
"LOC124902547",8.381,8.649,5.792,5.247,7.808,5.192,5.909,7.138
"LOC127458223",5.592,7.398,9.079,7.637,5.637,6.457,7.378,8.514
"LOC127268899",5.675,7.338,6.359,7.223,6.476,8.804,8.15,8.261
"LOC130008249",5.257,7.314,6.408,6.691,7.105,6.47,7.362,6.785
"LOC127887919",5.323,7.232,4.747,5.763,6.477,7.441,5.713,7.413
"OR4K11P",7.623,7.988,5.827,7.405,8.821,9.143,7.078,7.324
"LOC102723851",6.504,8.429,7.709,5.935,5.286,6.452,6.886,4.418
"TFB1M",7.666,7.022,6.523,6.912,7.486,6.588,7.946,7.931
"LOC127266741",7.363,4.972,9.273,6.143,5.758,7.09,7.252,7.943
"LOC127403550",9.071,9.146,7.272,7.562,9.168,6.09,7.044,11.794
"LOC127396634",7.077,8.786,7.997,6.078,6.207,7.852,6.622,5.543
"LOC127404850",9.628,4.887,6.467,5.11,7.837,5.854,6.2,6.403
"STQTL8",6.005,6.964,7.147,6.624,4.32,4.432,7.159,6.392
"LOC124900697",4.694,5.152,7.946,8.414,8.017,7.375,5.95,7.627
"RN7SL575P",8.224,8.769,7.165,7.306,8.516,6.12,7.727,6.831
"RPS4XP14",8.521,6.054,11.382,6.727,7.797,7.41,8.347,7.946
"LOC130065847",8.249,5.951,7.319,7.223,8.309,4.38,9.549,4.684
"LOC127893454",5.249,7.504,5.684,8.499,8.209,7.836,6.399,5.128
"LOC127828523",9.049,6.503,6.718,6.92,4.662,7.608,7.154,4.626
"LOC126862404",8.028,6.737,6.867,8.727,8.418,8.559,8.154,6.011
"LOC127883788",4.354,9.302,6.798,9.17,6.282,11.558,6.709,7.905
"LOC124907100",8.977,7.866,6.184,6.924,5.454,3.314,9.405,4.041
"LOC101928553",8.307,7.563,5.695,7.012,8.24,8.676,4.934,5.805
"PPIAP37",7.127,7.205,5.281,7.352,5.095,4.954,5.264,8.65
"LOC107984283",7.993,7.008,6.12,6.146,5.997,4.953,4.437,9.428
"LOC127409155",7.585,5.446,9.683,8.056,7.45,5.665,7.376,7.983
"LOC127824187",7.203,4.518,6.204,7.74,8.971,6.955,5.818,4.734
"LOC129388431",7.959,7.914,4.428,6.158,6.641,6.515,4.677,8.409
"LINC01337",7.568,6.254,6.513,6.406,6.429,5.248,5.12,6.964
"MTFR2P1",6.974,6.934,2.865,5.803,6.79,6.657,5.341,7.711
"LOC129660817",5.813,7.324,9.215,8.938,8.269,5.688,7.449,7.823
"ATP5F1BP1",6.821,6.174,7.162,7.529,8.902,8.699,7.522,3.533
"MTCYBP43",8.288,6.657,5.845,7.784,6.276,7.963,6.803,7.978
"LOC130068202",6.036,5.83,5.187,6.36,7.025,5.808,6.992,6.946
"STQTL22",5.903,4.258,5.773,8.526,8.042,5.565,5.937,8.843
"LOC127459113",9.112,8.074,9.625,5.89,8.202,3.207,4.207,5.244
"LOC130065069",9.854,9.463,6.799,5.612,7.546,6.551,7.477,8.254
"LOC127269767",7.979,5.11,5.797,6.509,7.527,6.392,6.53,6.071
"LOC127268587",8.545,5.372,5.953,7.679,6.181,7.007,6.534,6.112
"CEND1",6.256,5.428,9.233,5.984,7.475,6.59,6.862,5.388
"LOC127406134",6.867,7.526,5.446,3.203,6.61,6.017,5.493,7.596
"CPP",9.03,5.335,3.911,5.487,8.028,10.445,8.346,8.126
"LOC129935910",5.322,5.331,6.808,7.098,6.368,4.142,7.05,6.755
"FAM222B",5.295,7.527,6.783,8.517,6.909,7.583,7.179,7.321
"LOC129996129",5.802,6.105,6.339,4.956,6.428,7.437,7.147,6.413
"LOC130057080",7.122,8.365,6.636,4.813,6.296,4.863,7.156,5.738
"LOC130060431",7.767,5.942,7.315,7.943,7.63,6.909,5.431,5.14
"LOC127404574",5.553,8.666,7.246,5.868,4.291,7.909,8.004,8.145
"LOC127822044",7.826,7.273,7.541,6.405,6.149,7.235,7.922,5.249
"LOC127818476",4.93,7.408,6.436,8.924,6.02,5.353,6.315,7.365
"LOC128772281",7.459,6.436,8.611,7.009,7.053,6.93,6.202,5.314
"ITPR2",7.209,6.22,6.957,6.705,9.743,7.207,6.273,7.953
"LOC124906467",6.662,9.261,7.51,8.887,8.153,5.222,7.986,8.141
"LOC127829065",5.937,9.946,5.504,3.947,5.302,6.048,8.367,8.876
"LOC127267316",7.871,7.954,6.489,6.831,8.045,6.937,8.996,8.984
"LOC125146373",7.228,8.904,4.626,8.033,7.245,9.407,6.817,7.055
"LOC127818820",7.332,8.784,7.734,6.521,6.553,8.84,5.398,4.357
"LOC127819294",4.49,8.263,9.396,7.624,8.682,5.591,7.563,6.941
"LOC129930842",5.393,5.323,7.476,6.847,4.337,5.897,10.302,7.589
"LOC130065166",5.622,7.545,9.948,9.3,7.402,6.691,7.269,7.038
"LOC127399772",4.297,8.552,4.688,7.564,5.967,8.233,6.307,6.114
"LOC127457243",6.09,6.866,5.903,6.317,7.784,3.519,6.904,8.106
"RN7SL633P",8.152,10.034,8.38,8.513,7.335,9.401,7.424,5.71
"LOC129390118",6.847,7.386,6.363,5.524,6.698,6.126,8.244,7.485
"LINC01673",6.089,5.378,8.997,9.324,4.155,7.146,7.842,8.315
"LOC127457196",5.188,9.423,9.273,6.915,10.213,7.733,7.407,7.062
"LOC130004885",5.009,6.36,6.426,6.446,7.143,6.036,9.007,5.741
"LOC127397731",8.024,6.763,5.066,5.751,8.423,8.406,8.534,6.982
"LOC126805606",6.449,9.183,7.677,7.568,8.976,8.757,6.153,4.984
"LOC127402675",5.864,4.402,8.176,5.598,8.052,7.465,8.311,8.155
"LOC127887326",7.673,7.273,7.513,8.95,7.88,6.327,8.569,4.514
"SAA2",8.317,9.225,7.099,5.602,10.347,8.043,6.106,7.264
"LOC130063273",8.34,9.005,6.744,6.468,7.775,3.851,4.118,6.465
"CICP15",6.064,7.701,9.676,6.586,6.578,6.868,10.757,6.253
"LOC130008171",4.752,6.893,7.679,4.448,8.065,8.489,6.957,7.41
"LOC127407695",8.034,7.767,6.228,9.93,8.322,4.862,7.334,4.697
"LOC130002763",4.589,6.977,7.035,5.475,4.914,5.389,6.663,7.232
"LOC127892620",9.535,8.54,6.902,7.369,8.422,11.556,7.764,6.113
"LOC132088997",6.721,6.282,4.455,6.72,8.329,5.864,8.98,6.538
"LOC127403871",8.201,7.342,6.802,9.771,9.306,8.175,8.198,6.29
"LOC126653397",6.314,7.292,5.535,6.147,6.279,8.518,7.9,5.246
"LOC132090123",6.322,7.194,7.123,8.924,7.101,6.842,4.747,8.109
"CACD3",7.762,6.787,5.747,6.176,9.753,5.177,3.991,5.643
"LOC127269324",6.158,7.353,5.154,5.548,7.253,5.721,6.44,10.152
"LOC127397445",6.965,6.431,9.287,7.258,7.678,5.621,3.829,7.768
"LOC130007725",6.043,7.944,4.763,6.553,8.601,8.16,7.232,8.363
"LOC127888273",5.508,6.432,9.216,6.402,7.542,4.566,7.958,6.958
"LOC127270958",7.112,6.735,9.234,8.628,5.769,7.091,7.242,6.373
"LOC129662777",7.587,7.258,4.366,7.517,6.854,8.6,6.071,7.216
"LOC130057362",7.272,5.281,6.273,6.588,7.493,8.284,6.837,8.21
"MIR3658",9.059,6.526,4.456,5.74,7.799,5.544,6.116,6.015
"LOC130005925",7.424,6.287,4.969,5.938,6.755,7.829,7.902,7.891
"UGDH-AS1",7.772,6.531,5.34,6.143,5.582,5.714,5.265,6.74
"LOC127397982",6.894,6.976,6.75,7.388,5.135,6.366,8.23,6.272
"LOC105373271",4.183,7.826,5.49,5.985,6.734,8.787,5.362,5.676
"LOC130056053",6.252,8.05,5.977,7.408,6.181,7.324,7.539,6.391
"KRT14",8.109,5.469,6.153,6.995,7.9,7.746,5.588,4.327
"LOC130055628",6.543,5.914,7.334,6.9,8.136,6.835,6.655,6.165
"LINC00297",6.374,7.001,6.729,3.633,7.306,8.467,4.942,7.143
"LOC129999977",6.934,7.163,7.076,6.36,5.194,9.419,8.454,8.258
"LOC127460210",5.966,7.626,7.926,6.98,8.079,7.975,5.921,7.068
"PDE12",7.114,5.809,3.293,7.978,7.511,7.849,7.655,6.212
"RPS6P7",5.628,8.74,4.243,5.402,6.266,7.223,8.783,7.092
"LOC127400270",5.939,7.176,5.832,6.893,6.065,6.391,5.828,5.736
"TRAPPC11",5.348,8.375,5.193,6.059,5.535,8.372,7.663,9.367
"SNAR-G1",8.877,6.366,6.507,5.252,5.411,6.462,9.493,4.553
"LOC127894003",7.936,6.759,6.707,6.487,8.415,8.392,7.242,7.253
"LOC130008951",7.307,7.392,9.164,6.444,7.429,6.255,7.342,5.891
"LOC127399849",6.999,7.19,7.499,10.307,7.114,6.571,6.182,7.464
"LOC130067385",8.551,6.95,7.546,8.075,5.351,6.738,8.567,8.249
"LOC129661423",8.559,8.874,4.879,6.913,4.483,7.631,4.462,5.679
"LOC127815973",8.967,7.533,7.996,4.577,5.714,6.014,7.841,9.403
"LOC127460072",6.112,7.698,7.399,8.186,7.744,7.741,9.616,4.894
"LOC127818801",7.776,10.479,5.617,7.5,6.452,7.651,6.726,7.157
"LOC129932716",7.966,9.021,9.87,7.228,8.443,7.199,6.283,6.505
"LOC127830274",8.763,5.719,5.519,5.101,7.788,8.35,5.819,5.699
"LOC127817885",8.508,6.863,7.894,5.629,7.856,7.494,8.189,6.936
"FKBP4P2",9.631,6.848,7.091,6.05,8.521,6.553,5.438,6.041
"LOC127271904",8.041,6.723,5.292,9.233,10.012,5.959,8.011,6.715
"LOC130002120",7.575,5.932,6.384,8.854,8.738,5.955,4.27,2.949
"LOC129992856",8.35,8.758,8.114,5.921,5.057,5.13,8.061,7.05
"LOC132090155",10.288,5.963,7.48,5.161,8.091,6.195,5.773,6.244
"PGDP1",6.621,4.62,5.569,7.58,7.021,4.778,5.535,6.338
"LOC130064237",5.927,6.888,10.245,5.075,4.81,7.098,5.639,9.438
"LOC130003117",6.717,5.633,5.589,7.867,5.547,9.574,9.068,8.896
"LOC129932081",6.504,8.069,4.661,7.514,8.842,7.278,7.46,7.919
"SPATA17",6.09,6,6.137,5.91,7.785,4.946,6.78,7.214
"LOC127882744",6.053,8.019,10.158,5.447,7.843,8.501,6.509,7.133
"LOC129933160",6.639,6.542,7.092,7.862,4.599,5.32,7.836,8.312
"MIR4533",7.797,6.054,5.463,6.311,7.109,7.818,7.879,8.518
"PSMA4",8.69,4.923,10.117,5.891,9.158,6.039,7.621,4.865
"LOC127884662",7.33,6.869,8.626,8.972,5.978,6.597,8.577,8.97
"LOC124904238",7.679,7.222,5.913,5.279,7.567,7.195,7.71,4.387
"LOC121530596",5.934,5.75,8.113,7.804,4.805,8.391,8.764,7.899
"LOC127890271",6.091,7.447,8.863,6.321,6.635,6.989,6.805,5.969
"COA1P1",5.881,7.379,6.647,4.098,8.141,7.794,5.58,8.106
"NRDC",6.89,6.207,8.345,4.942,6.408,8.59,5.385,6.13
"MIR6826",7.454,8.757,6.229,6.481,6.861,5.093,6.555,3.961
"RPS12P18",6.083,9.555,6.757,7.106,7.699,6.866,7.957,9.591
"LOC127820044",6.122,5.964,7.671,9.491,5.237,3.128,9.672,6.216
"LOC126862875",5.766,6.119,3.949,10.007,5.806,5.639,9.444,5.814
"LOC127889622",8.851,9.955,8.73,6.718,6.873,6.11,6.637,9.165
"LOC124904655",5.328,5.615,6.616,8.488,6.464,9.75,7.198,7.435
"RN7SKP51",6.125,6.434,5.792,5.551,8.202,6.366,5.904,4.813
"LOC126805591",7.322,6.433,5.648,6.247,6.425,7.753,6.224,6.769
"LOC107987383",7.106,6.87,7.81,8.41,5.852,8.433,8.147,6.511
"LOC127403179",7.79,7.657,4.938,8.161,5.569,4.569,7.378,7.015
"LOC130010089",9.152,9.245,5.672,5.584,6.778,4.507,5.619,5.33
"LOC105377055",7.827,3.297,9.401,7.5,9.266,7.695,6.831,7.762
"LOC127268463",6.935,5.695,5.322,6.113,6.708,5.719,9.318,7.428
"LOC101929633",9.726,8.813,5.625,9.057,6.338,7.124,7.525,7.037
"LOC127402525",7.723,6.042,6.029,7.604,5.631,8.728,6.559,5.176
"LOC127894636",6.612,6.963,7.102,8.838,6.889,6.122,4.428,4.965
"LOC127404005",8.173,8.002,5.655,6.048,7.597,8.094,6.748,7.316
"LOC130003556",5.56,7.275,4.469,5.4,7.975,5.192,7.873,6.398
"LOC130001829",10.745,6.632,6.162,8.099,6.336,8.77,8.027,6.526
"LOC127406362",6.892,6.586,6.008,6.412,6.029,5.413,6.451,5.618
"LOC127274830",7.752,4.916,7.236,6.977,5.763,8.921,7.221,8.432
"LOC127828357",4.795,6.345,8.653,7.418,6.996,4.911,4.658,4.548
"LOC130056507",6.543,7.919,8.274,7.173,7.007,10.987,5.91,6.815
"LOC129992678",6.111,7.921,7.043,6.374,7.572,8.605,4.532,6.569
"LOC127882855",7.196,7.298,6.183,5.454,8.043,8.303,6.744,5.962
"LOC105371894",6.694,5.673,6.243,5.439,6.171,6.77,4.213,4.817
"LOC124909118",7.913,8.982,6.983,7.018,5.524,9.233,6.922,6.61
"RNA5SP472",6.528,8.094,5.334,6.107,6.819,5.468,7.237,5.953
"LOC130001232",7.028,6.531,8.868,4.93,7.775,5.805,6.548,5.509
"LOC130002204",6.085,9.264,4.894,5.858,6.022,8.151,9.177,6.396
"LOC130001549",5.918,6.724,7.313,8.495,7.705,6.525,5.629,5.443
"LOC127408675",7.407,9.967,8.753,7.313,5.134,8.804,5.092,7.86
"LOC130009248",5.557,6.632,7.802,8.04,7.122,6.628,8.666,4.182
"CYP2F2P",7.452,6.688,7.234,7.771,6.406,6.293,7.74,7.373
"LOC126862895",6.727,5.523,6.075,7.42,5.457,5.367,7.892,7.969
"LOC127816870",6.285,8.32,6.218,6.386,9.038,8.44,8.782,5.111
"LOC127886798",8.924,8.496,8.729,7.504,4.931,6.048,5.641,5.67
"LOC127456856",7.437,6.716,5.851,4.746,6.129,8.012,6.796,7.349
"LOC127400446",5.017,7.115,8.721,6.325,4.693,5.645,3.479,9.866
"LOC127817506",6.782,6.856,7.551,7.675,8.756,8.364,6.665,8.089
