# synthetic, for demo only -- 5 cell types x 110 cells x 160 genes, seed=572
cell_id,cell_type,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039,G040,G041,G042,G043,G044,G045,G046,G047,G048,G049,G050,G051,G052,G053,G054,G055,G056,G057,G058,G059,G060,G061,G062,G063,G064,G065,G066,G067,G068,G069,G070,G071,G072,G073,G074,G075,G076,G077,G078,G079,G080,G081,G082,G083,G084,G085,G086,G087,G088,G089,G090,G091,G092,G093,G094,G095,G096,G097,G098,G099,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159
C0010,Tcell,27,6,10,5,6,11,11,15,23,3,13,3,12,13,13,5,5,4,2,2,5,4,4,7,15,4,1,15,7,0,31,27,2,7,12,4,7,3,3,12,3,7,0,9,3,2,17,11,7,3,17,9,7,3,15,1,2,11,1,0,7,1,11,11,0,3,3,10,5,0,4,9,12,4,4,3,5,4,7,2,5,12,6,3,1,6,9,14,4,1,6,2,0,10,2,3,8,4,2,4,11,4,5,1,1,1,9,5,0,0,5,3,1,5,10,6,16,9,4,2,4,1,7,6,5,4,1,6,0,4,3,2,5,1,5,2,3,12,9,3,4,12,0,4,6,5,13,5,0,4,4,6,0,8,4,0,1,4,5,4
C0011,Tcell,11,3,8,0,0,6,7,4,9,2,5,0,2,8,6,3,2,5,2,4,5,3,0,6,6,0,4,7,1,1,13,8,5,1,5,3,5,2,6,7,2,2,1,5,2,0,3,4,3,9,14,4,0,4,5,1,3,10,1,2,5,1,1,4,4,0,0,1,1,1,1,1,9,1,2,0,0,2,4,2,1,0,0,1,0,1,7,4,1,4,3,0,0,4,0,2,2,0,0,3,5,3,2,0,2,1,3,4,1,0,0,0,0,3,4,3,3,4,2,0,0,0,5,2,2,2,1,1,0,3,2,2,6,0,5,1,1,6,0,2,1,2,0,1,2,1,4,7,3,1,0,3,1,3,0,0,3,0,7,2
C0012,Tcell,26,5,7,2,5,25,8,15,23,11,21,1,3,14,14,4,9,3,2,8,16,4,5,15,10,6,5,17,8,5,25,28,5,1,14,4,15,6,7,12,1,8,2,7,5,3,5,8,10,16,22,7,3,5,11,6,7,7,5,2,9,2,11,11,2,1,2,4,5,0,4,12,19,2,4,3,5,8,7,1,3,14,3,7,2,4,13,12,10,5,7,5,0,6,7,4,6,5,3,2,18,7,1,4,3,8,13,7,1,0,3,4,2,7,10,9,12,7,2,3,2,2,3,4,7,9,5,6,3,7,6,7,7,1,10,1,3,18,7,1,3,7,2,11,6,5,19,16,5,12,5,10,3,12,5,0,4,7,9,3
C0013,Tcell,5,5,1,1,5,6,4,1,5,0,4,0,1,4,5,1,4,3,1,1,9,0,1,3,3,1,4,14,1,2,10,8,1,6,6,0,4,1,2,4,1,2,1,2,1,0,5,3,4,5,10,3,4,3,1,3,4,5,3,0,3,0,1,4,0,0,0,1,0,0,2,5,3,1,3,2,1,3,4,1,2,4,1,4,2,0,6,1,5,1,2,2,0,6,3,1,5,1,1,1,4,1,2,2,1,4,4,0,1,0,0,2,2,2,1,4,4,2,1,6,1,0,3,1,4,2,3,3,0,2,2,2,1,0,1,4,2,3,4,1,1,6,0,1,1,2,5,1,2,2,1,2,1,0,1,0,0,4,2,0
C0014,Tcell,10,2,6,0,1,6,4,5,8,5,8,0,5,3,7,3,4,2,0,3,7,2,1,5,4,3,5,8,2,2,12,1,0,1,3,6,2,0,3,5,1,1,0,4,2,2,4,3,2,6,5,2,1,2,8,4,2,10,4,1,4,1,4,7,1,3,1,0,2,0,2,4,8,1,2,2,1,2,4,0,1,4,1,2,2,2,4,4,2,1,1,2,0,4,2,1,1,2,0,2,5,4,5,1,1,2,3,2,0,0,0,0,1,0,0,3,10,3,0,2,0,0,1,1,1,1,1,1,0,3,1,3,4,1,3,0,0,7,4,1,0,6,3,2,1,3,2,5,4,1,1,4,2,5,3,1,3,0,2,2
C0015,Tcell,17,5,14,2,5,14,11,8,19,11,23,1,7,15,11,6,10,6,3,8,14,5,2,13,11,3,8,22,7,7,27,14,6,5,12,4,10,0,9,11,1,7,0,13,10,3,17,12,10,9,24,12,2,5,10,3,4,19,2,5,12,0,10,11,7,1,1,5,5,2,3,13,10,1,8,4,4,1,8,2,3,8,5,6,2,4,11,15,7,8,5,1,0,11,4,1,9,3,2,1,13,3,5,0,2,8,13,3,1,1,0,1,4,5,6,10,10,11,3,7,1,1,9,6,5,5,5,4,2,5,2,5,12,1,10,5,4,18,3,1,3,7,2,8,1,6,11,6,2,3,2,2,6,8,6,3,1,5,10,4
C0016,Tcell,4,2,1,0,3,1,0,1,3,4,3,0,2,4,2,1,3,1,0,0,5,1,2,4,3,0,1,0,0,4,3,4,0,1,3,2,4,0,0,3,1,0,0,4,1,1,4,2,3,5,5,5,1,1,3,0,1,5,1,1,3,1,2,3,1,0,0,1,1,0,2,3,0,2,0,1,1,1,1,0,0,2,0,1,0,1,1,1,1,3,2,2,0,0,2,0,2,2,0,1,1,4,1,2,1,2,2,0,0,0,1,0,0,0,3,2,3,0,1,1,3,0,1,0,2,2,0,0,2,0,2,0,1,0,1,1,0,1,2,0,0,1,1,0,3,1,5,2,1,1,1,0,0,3,0,0,1,1,2,0
C0017,Tcell,19,7,14,0,5,13,10,7,12,11,21,0,9,11,11,6,7,4,2,7,13,3,2,15,18,1,7,24,6,5,22,11,5,11,14,4,17,2,9,8,2,8,4,8,9,1,14,8,8,13,12,5,0,2,10,5,6,14,7,6,9,1,8,7,1,5,3,3,6,1,6,7,14,5,5,1,5,3,5,1,2,3,1,5,1,2,10,11,5,4,11,2,0,6,2,4,8,0,6,3,8,3,2,3,3,6,13,6,0,0,0,1,3,3,7,5,2,7,5,3,4,2,7,3,6,7,3,3,1,6,5,4,8,3,5,1,3,13,8,2,2,15,1,2,3,4,15,12,3,7,5,9,3,9,1,3,2,6,6,5
C0018,Tcell,6,1,4,0,2,2,3,2,10,4,5,1,2,3,6,1,4,1,0,2,2,2,0,4,4,2,4,12,1,3,5,7,0,1,3,0,7,2,2,6,2,2,1,8,1,1,1,2,3,8,6,1,2,0,5,2,2,4,3,0,3,0,3,5,1,0,0,2,1,0,1,3,5,1,2,0,0,0,2,2,0,4,0,2,1,2,5,3,3,1,3,1,1,3,0,0,2,1,0,1,7,3,0,1,0,2,5,2,0,0,1,1,0,0,3,3,8,3,1,1,1,1,4,1,1,2,2,3,0,2,3,4,0,1,3,1,0,5,3,0,0,1,0,1,1,2,7,6,1,1,0,6,2,0,0,0,0,0,1,0
C0019,Tcell,11,4,7,2,2,7,7,4,15,8,8,1,6,6,8,4,5,3,0,5,10,2,3,7,5,1,1,14,0,0,9,12,3,4,6,2,5,2,7,12,3,2,0,13,5,2,9,3,9,9,15,4,4,1,10,1,4,10,4,0,5,0,5,7,0,0,1,2,5,1,4,5,3,1,2,3,0,3,4,1,1,6,3,3,1,3,10,10,3,3,3,1,0,4,3,1,4,0,2,1,8,3,2,0,5,1,3,1,2,0,0,2,1,2,5,10,5,5,0,1,0,0,2,3,3,1,4,3,1,4,2,2,4,1,6,2,4,8,6,0,0,11,1,6,5,3,6,10,0,3,1,2,1,5,2,0,3,0,4,3
C0020,Tcell,10,4,7,1,1,6,6,10,9,5,7,0,8,7,7,3,4,2,1,8,6,4,3,3,6,0,4,11,3,2,13,8,2,0,6,4,6,4,0,3,3,1,1,8,1,1,8,3,8,5,14,2,2,4,4,1,6,10,3,0,2,0,9,5,3,0,1,2,2,0,1,9,10,2,3,3,4,2,2,0,2,4,2,1,0,4,4,9,3,0,4,0,0,3,2,2,4,1,1,1,6,3,2,0,1,6,6,2,2,0,0,0,3,3,5,4,7,2,1,3,3,3,2,3,2,2,2,3,0,1,2,5,1,0,2,2,0,6,1,0,1,10,1,3,2,1,5,6,1,5,2,4,3,4,0,1,0,1,2,1
C0021,Tcell,20,5,8,2,5,12,6,4,13,6,13,2,4,15,6,5,9,1,3,9,15,1,3,7,12,1,1,13,2,2,21,11,2,7,12,3,8,0,3,9,1,3,2,6,4,3,6,4,4,13,9,10,2,3,11,1,3,7,3,0,13,4,3,5,2,1,2,1,4,0,3,8,5,9,2,6,2,4,4,0,3,10,4,5,2,4,7,10,3,8,4,2,0,9,3,5,7,1,2,4,9,1,5,1,3,10,11,2,0,0,0,0,4,0,5,6,8,7,4,1,1,1,6,5,1,2,1,4,3,2,2,4,4,2,7,1,2,10,0,2,2,13,0,5,2,4,17,9,1,4,4,4,3,5,0,0,1,4,2,1
C0022,Tcell,7,2,3,0,7,3,3,2,3,2,7,0,2,2,0,3,4,1,0,7,6,0,1,7,4,1,1,6,4,0,9,8,1,3,3,1,4,2,2,4,0,3,0,5,1,1,2,0,0,9,6,3,0,2,7,0,2,7,4,0,5,0,5,6,1,1,2,1,1,0,3,7,4,5,2,1,3,3,2,0,5,2,2,0,1,0,3,3,1,4,0,1,0,6,2,1,2,1,1,1,5,3,1,0,2,5,6,1,0,0,1,2,2,1,2,4,8,6,2,3,2,0,4,4,4,2,1,2,0,5,2,0,2,0,3,1,3,6,2,0,0,2,1,0,1,3,4,3,2,6,0,0,0,3,2,0,1,3,3,3
C0023,Tcell,6,2,10,0,1,11,7,2,9,2,10,0,3,3,5,1,10,3,3,4,7,3,0,8,3,3,2,9,2,2,21,9,4,6,6,1,6,0,4,8,2,2,0,3,4,1,7,3,9,7,13,4,1,3,5,1,8,8,0,1,3,0,5,2,2,0,1,2,5,1,5,7,3,0,3,5,2,1,1,1,3,6,1,2,1,5,7,9,0,1,4,0,1,2,1,3,6,2,2,1,4,5,3,1,2,1,5,1,1,1,1,0,4,4,8,6,7,5,1,1,1,0,4,3,1,3,2,1,4,0,0,2,5,2,6,1,2,6,3,2,1,4,1,1,1,7,5,2,1,6,2,4,2,4,0,0,1,0,3,2
C0024,Tcell,26,11,10,4,6,13,9,15,15,10,20,2,10,12,12,6,14,8,1,6,15,5,7,14,15,6,8,29,5,8,27,22,6,11,13,1,14,7,5,18,0,3,2,14,11,5,15,14,16,16,29,8,6,10,18,7,12,18,7,6,9,3,10,14,3,4,1,5,7,0,3,11,19,7,7,5,3,5,10,2,5,12,9,4,5,8,15,16,11,6,13,2,0,4,9,5,7,0,0,6,16,5,8,3,2,8,18,4,2,0,1,4,2,6,6,11,19,8,2,7,2,2,9,9,6,9,4,8,5,11,4,3,7,4,8,4,2,18,3,4,6,15,2,3,6,9,9,15,5,13,3,7,7,10,5,0,1,5,8,5
C0025,Tcell,6,3,3,1,0,2,3,4,5,2,3,1,2,6,2,3,1,2,0,3,6,4,1,1,1,2,2,3,2,2,10,9,1,2,3,1,1,1,0,2,0,0,1,3,2,1,3,2,2,5,5,3,2,1,2,2,3,2,5,1,3,0,4,6,0,2,0,1,2,0,2,1,11,3,1,0,3,1,2,0,0,1,0,0,2,1,4,4,1,1,3,0,0,3,0,0,1,2,2,1,4,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,6,2,0,4,0,2,4,1,1,2,2,2,2,0,1,0,2,0,1,2,1,3,3,0,0,9,1,0,0,3,4,3,1,1,1,1,1,3,1,0,0,5,2,0
C0026,Tcell,4,1,2,0,0,2,0,1,6,1,2,0,2,2,3,0,4,0,1,2,4,1,1,2,2,1,2,3,1,0,6,2,1,0,1,2,3,0,0,3,0,1,0,1,3,0,0,0,2,5,6,0,0,1,5,1,1,4,2,2,1,1,1,3,1,1,0,1,0,0,0,3,3,0,1,4,0,1,0,0,2,0,1,1,0,0,2,4,2,1,0,1,0,0,1,0,0,1,0,2,3,0,2,2,1,0,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,2,2,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,2
C0027,Tcell,12,5,5,0,3,9,7,7,19,3,11,1,3,6,7,5,8,5,1,2,13,3,1,6,9,3,9,19,4,3,29,16,7,7,6,3,11,5,4,12,5,5,1,7,5,2,3,8,8,11,16,5,0,2,7,5,11,5,2,2,6,0,6,7,1,4,0,2,1,0,1,6,7,3,5,7,4,4,3,2,2,12,3,4,1,1,8,13,3,3,3,0,0,8,2,1,1,2,2,2,5,4,1,1,1,8,6,2,1,0,1,2,1,2,5,3,13,9,3,4,3,0,4,1,2,4,4,3,1,5,4,5,7,0,6,5,1,8,6,0,4,11,1,5,2,2,19,6,1,1,3,2,1,6,3,1,2,1,3,3
C0028,Tcell,7,2,3,2,2,3,2,2,10,0,4,0,0,4,4,2,2,1,0,3,5,2,1,5,2,1,2,8,1,2,8,6,1,0,3,2,2,0,1,1,1,1,0,2,2,1,3,4,4,4,9,3,2,1,5,1,4,1,3,0,4,2,1,1,1,1,0,0,2,0,0,0,2,2,0,2,3,3,2,0,3,2,1,4,1,1,3,1,3,0,5,1,0,1,1,0,1,0,1,0,2,1,2,0,1,3,2,1,0,0,0,0,2,3,2,4,2,5,4,0,0,1,2,0,2,2,2,0,2,3,2,0,1,0,6,1,4,2,1,1,1,0,1,1,0,2,3,4,1,1,1,1,0,1,1,0,3,0,1,1
C0029,Tcell,12,8,9,2,7,14,8,10,7,5,11,0,3,9,5,3,6,3,3,11,9,4,6,7,15,4,2,9,2,2,15,20,7,8,2,2,6,5,5,5,1,7,0,4,2,0,6,5,4,9,14,2,2,2,7,2,6,10,3,2,5,0,2,5,1,0,1,1,8,0,3,5,11,3,4,4,2,2,3,2,1,8,2,3,0,2,12,9,3,3,2,1,0,5,5,5,1,2,1,3,3,1,4,1,3,2,7,4,2,1,0,3,1,2,5,7,6,5,1,3,0,0,8,3,6,3,3,0,0,8,5,4,6,3,4,1,3,9,2,1,1,9,2,0,3,5,6,9,0,5,3,2,5,3,1,1,7,6,5,2
C0030,Tcell,12,2,10,0,2,12,5,3,10,3,7,0,2,5,5,2,4,4,3,5,10,1,5,10,7,1,4,16,7,1,15,11,2,2,4,4,3,3,5,5,2,3,0,8,3,3,5,9,3,3,8,2,3,6,3,0,4,2,1,1,1,1,5,9,0,1,0,4,2,0,2,4,10,3,3,4,1,4,6,0,1,5,2,4,1,1,6,2,4,4,4,2,0,7,0,1,3,2,0,2,8,3,6,2,2,7,4,1,0,1,0,2,1,1,4,3,8,5,1,1,2,0,1,4,2,0,0,1,1,3,3,5,8,1,5,1,4,3,3,1,0,6,0,1,1,6,9,4,0,3,4,4,0,2,3,0,4,4,6,2
C0031,Tcell,12,0,2,1,1,3,4,1,6,3,9,1,1,2,4,0,7,0,1,2,5,0,2,3,4,2,5,4,0,1,4,7,3,2,2,3,4,0,1,5,1,2,0,3,2,0,2,0,6,0,9,1,0,2,4,1,5,7,1,0,2,0,2,4,1,1,1,1,0,0,0,4,6,1,1,0,1,1,2,0,1,2,1,2,0,3,3,6,0,0,1,0,0,1,1,3,2,1,1,1,4,0,3,0,0,3,2,2,1,0,0,1,1,3,0,3,9,5,0,0,0,0,2,2,1,2,0,1,1,1,0,1,2,0,3,3,2,1,0,0,1,1,0,0,1,2,4,1,0,1,2,1,2,0,0,0,0,0,1,2
C0032,Tcell,16,2,3,3,4,14,8,4,10,2,9,0,7,3,8,0,8,2,3,4,8,3,4,6,4,3,3,11,5,3,12,4,6,3,7,2,7,0,5,9,4,3,0,6,3,2,4,6,9,7,9,2,1,3,7,2,5,6,3,0,5,0,5,10,1,1,1,1,4,0,1,5,5,1,5,2,4,2,2,3,1,1,3,3,0,1,8,10,6,2,7,2,0,5,2,3,2,3,1,0,8,1,2,1,3,2,3,2,0,0,1,2,1,2,4,1,5,2,1,2,1,0,2,3,2,5,1,3,0,2,2,4,5,2,6,2,1,7,2,0,2,6,1,1,5,3,10,3,2,3,3,2,1,3,2,0,0,3,4,1
C0033,Tcell,8,2,6,3,3,5,4,3,11,2,4,1,5,6,5,1,2,2,1,4,4,2,2,4,6,1,0,9,2,1,11,10,0,3,9,0,3,2,1,3,0,4,1,3,2,1,5,1,5,7,10,3,2,1,5,4,2,3,3,1,1,0,2,6,1,1,0,1,3,0,4,4,5,2,1,5,1,3,2,2,1,6,2,3,0,3,4,4,6,1,2,0,0,2,1,1,0,2,0,1,2,0,3,0,1,0,5,3,2,0,0,0,1,0,3,5,5,4,2,0,1,0,0,2,2,1,2,2,1,3,3,2,2,0,6,1,0,6,3,1,0,5,1,1,2,0,6,7,0,0,1,3,0,3,2,1,1,3,3,0
C0034,Tcell,8,1,2,2,1,9,1,3,5,5,6,1,0,3,5,1,2,1,0,3,5,4,3,1,0,0,1,7,1,2,7,7,1,5,2,4,5,1,5,3,1,1,1,2,1,3,2,4,4,2,10,1,0,0,4,2,2,5,3,0,2,0,1,1,1,2,1,5,1,1,1,3,1,1,3,3,1,2,2,0,1,9,0,2,0,1,2,1,4,3,4,0,0,3,3,1,2,0,0,1,4,0,2,0,1,1,2,1,0,0,0,0,0,1,2,3,2,2,4,2,4,0,5,3,0,1,0,1,2,2,1,2,2,0,4,0,3,3,3,1,0,2,0,2,4,2,3,2,1,2,3,2,1,2,0,1,1,5,2,1
C0035,Tcell,16,2,3,2,2,8,4,8,13,8,8,0,0,9,9,0,7,2,3,10,5,3,1,4,13,3,3,12,2,1,16,18,2,3,5,3,6,2,5,3,1,4,0,7,1,2,8,4,1,7,10,4,1,4,6,1,7,4,4,1,3,0,4,8,2,1,1,3,2,1,3,6,7,0,2,3,2,4,6,0,1,9,6,5,1,3,10,7,8,6,4,1,0,3,4,2,0,3,2,0,4,1,0,0,1,6,6,1,0,1,0,1,4,0,7,6,7,4,2,5,1,0,1,2,3,5,0,0,3,4,3,5,6,0,9,3,6,3,3,2,1,10,1,0,1,3,4,3,0,3,4,2,1,8,2,1,5,1,6,2
C0036,Tcell,18,3,8,1,3,12,4,10,6,7,9,0,2,5,7,6,8,4,1,6,8,5,4,9,7,5,5,12,4,2,14,13,5,4,4,0,6,4,2,10,0,5,0,6,3,3,8,1,4,9,18,1,2,5,12,3,10,5,5,2,0,1,7,6,0,2,0,1,2,0,4,6,12,4,4,2,3,6,2,1,3,11,6,3,2,2,4,7,5,0,3,4,0,1,5,2,3,3,1,2,10,1,2,3,3,3,9,4,0,0,2,0,2,3,10,2,10,7,1,1,1,0,3,0,3,2,3,1,1,4,4,4,9,1,6,0,3,4,3,2,1,12,0,3,2,1,10,9,3,3,0,2,2,5,4,0,0,2,6,2
C0037,Tcell,16,5,6,4,5,6,6,6,20,6,12,0,4,3,9,4,7,2,0,6,10,4,3,9,4,3,5,15,4,3,20,23,2,6,9,6,7,1,2,6,4,3,0,10,1,3,3,8,8,8,5,3,4,2,8,4,4,13,3,1,6,3,3,4,1,1,2,7,2,0,3,10,15,3,5,1,4,5,2,1,2,9,2,6,0,3,8,2,4,4,12,3,0,5,6,5,5,1,0,2,13,1,4,2,1,2,12,2,1,0,1,0,0,2,5,4,5,6,0,1,1,0,4,5,3,4,2,5,1,9,3,4,4,0,3,2,2,2,2,2,2,7,0,1,4,1,3,1,0,1,4,3,3,2,4,1,3,3,3,1
C0038,Tcell,13,2,7,1,1,7,3,3,6,6,7,1,1,4,4,3,3,0,3,6,3,2,1,6,4,1,1,9,6,1,13,7,0,3,9,1,5,0,4,5,2,4,0,8,5,2,4,4,1,5,5,4,3,4,2,2,5,7,4,2,3,0,2,5,0,0,0,3,1,0,2,0,4,1,2,5,3,4,2,1,2,5,2,0,1,0,5,4,2,2,5,0,0,2,2,0,4,2,2,3,6,4,3,0,0,3,2,2,0,1,0,1,1,0,3,3,2,5,2,1,1,1,1,2,0,3,3,3,1,2,0,2,1,1,1,1,1,4,2,1,1,5,0,1,2,4,7,7,1,3,0,0,2,5,2,0,2,3,2,1
