gene,R0001,R0002,R0003,R0004,R0005,R0006,R0007,R0008,R0009,R0010,R0011,R0012,R0013,R0014,R0015,R0016,R0017,R0018,R0019,R0020,R0021,R0022,R0023,R0024,R0025,R0026,R0027,R0028,R0029,R0030,R0031,R0032,R0033,R0034,R0035,R0036,R0037,R0038,R0039,R0040,R0041,R0042,R0043,R0044,R0045,R0046,R0047,R0048,R0049,R0050,R0051,R0052,R0053,R0054,R0055,R0056,R0057,R0058,R0059,R0060,R0061,R0062,R0063,R0064,R0065,R0066,R0067,R0068,R0069,R0070,R0071,R0072,R0073,R0074,R0075,R0076,R0077,R0078,R0079,R0080,R0081,R0082,R0083,R0084,R0085,R0086,R0087,R0088,R0089,R0090,R0091,R0092,R0093,R0094,R0095,R0096,R0097,R0098,R0099,R0100,R0101,R0102,R0103,R0104,R0105,R0106,R0107,R0108,R0109,R0110,R0111,R0112,R0113,R0114,R0115,R0116,R0117,R0118,R0119,R0120,R0121,R0122,R0123,R0124,R0125,R0126,R0127,R0128,R0129,R0130,R0131,R0132,R0133,R0134,R0135,R0136,R0137,R0138,R0139,R0140,R0141,R0142,R0143,R0144,R0145,R0146,R0147,R0148,R0149,R0150,R0151,R0152,R0153,R0154,R0155,R0156,R0157,R0158,R0159,R0160,R0161,R0162,R0163,R0164,R0165,R0166,R0167,R0168,R0169,R0170,R0171,R0172,R0173,R0174,R0175,R0176,R0177,R0178,R0179,R0180,R0181,R0182,R0183,R0184,R0185,R0186,R0187,R0188,R0189,R0190,R0191,R0192,R0193,R0194,R0195,R0196,R0197,R0198,R0199,R0200,R0201,R0202,R0203,R0204,R0205,R0206,R0207,R0208,R0209,R0210,R0211,R0212,R0213,R0214,R0215,R0216,R0217,R0218,R0219,R0220,R0221,R0222,R0223,R0224,R0225,R0226,R0227,R0228,R0229,R0230,R0231,R0232,R0233,R0234,R0235,R0236,R0237,R0238,R0239,R0240
G011,2,1,1,1,1,0,0,1,0,0,2,0,1,0,0,1,2,1,2,2,0,1,1,1,0,4,2,1,0,2,1,0,0,1,2,0,3,0,0,0,1,1,0,1,2,2,1,0,0,1,1,0,0,1,2,1,1,1,1,3,3,1,1,0,2,1,1,0,0,1,0,2,1,2,2,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
G012,1,0,2,1,0,0,1,2,1,0,1,1,0,1,0,0,4,1,0,1,1,1,0,1,2,1,1,0,2,3,0,4,1,0,1,1,0,0,2,1,1,0,0,0,0,3,1,1,3,4,1,0,1,0,2,0,0,1,0,2,1,2,1,0,2,0,0,1,0,0,3,2,0,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
G013,0,1,1,0,1,0,0,0,0,1,0,1,1,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,2,0,1,0,0,2,1,0,1,2,0,1,3,1,0,1,0,0,0,0,0,1,2,2,0,0,3,1,0,2,0,2,0,0,2,1,0,0,1,1,0,0,1,2,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
G014,1,1,0,0,0,2,1,1,1,0,0,2,2,0,1,3,1,2,1,2,0,1,0,0,0,1,0,3,1,1,0,0,3,2,3,0,0,0,2,0,0,1,1,0,0,0,4,0,0,3,2,1,1,1,2,3,1,0,0,4,1,0,3,0,0,0,2,0,1,2,0,2,0,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
G015,3,2,2,3,3,0,0,2,3,2,2,1,2,4,2,0,2,1,0,2,2,0,1,1,1,2,1,1,3,3,1,4,0,2,1,1,1,0,0,4,1,3,4,0,2,1,4,1,2,1,1,1,4,1,2,4,1,3,0,2,1,0,0,3,3,4,1,3,1,0,1,0,1,1,1,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G016,3,3,1,0,4,2,1,3,0,2,0,0,1,0,2,0,0,4,2,0,0,1,3,1,1,1,1,0,2,2,0,0,1,0,1,2,4,1,1,0,0,2,0,2,3,0,1,3,0,2,0,3,1,1,1,4,1,3,2,1,1,1,1,0,1,2,2,2,2,0,1,2,2,4,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G017,0,2,0,1,3,1,2,5,2,1,3,0,0,2,2,5,2,0,1,0,1,0,3,1,2,1,1,4,0,1,1,2,2,0,3,1,1,3,3,0,3,1,1,3,2,1,1,0,1,1,0,1,1,1,1,1,3,0,2,2,2,0,3,2,1,0,0,0,1,1,1,1,2,1,0,0,2,1,2,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G018,0,1,1,1,1,0,1,2,0,1,0,4,1,2,1,0,1,1,1,0,3,0,2,0,1,1,0,0,2,2,1,0,0,0,0,0,0,2,1,0,0,2,1,0,1,2,1,1,0,0,3,2,0,0,2,1,1,1,1,2,1,0,1,2,1,3,0,2,3,0,1,1,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G019,0,0,1,0,0,1,2,1,0,3,1,2,0,1,0,1,4,2,0,0,2,0,1,1,1,0,0,1,2,2,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,3,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
G020,0,1,1,0,0,0,1,0,1,1,2,0,0,0,2,2,1,2,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,1,1,0,2,2,2,0,1,0,0,3,1,0,1,0,0,1,1,3,0,1,0,0,3,2,0,2,1,0,2,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
G021,0,1,0,2,2,0,4,1,1,1,1,1,0,1,3,0,1,0,3,1,3,2,2,1,2,0,2,0,3,0,2,3,0,1,2,0,2,1,1,3,1,2,3,2,0,3,1,1,1,1,0,1,2,2,1,0,0,3,0,2,0,0,0,0,1,0,1,4,2,0,2,1,2,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
G022,2,3,2,0,0,1,0,0,3,1,0,1,2,1,1,1,1,1,2,0,2,3,2,1,2,1,0,0,1,2,2,1,0,1,4,1,2,0,1,1,1,2,1,2,3,2,0,0,1,0,1,2,1,0,1,1,2,1,0,0,1,1,0,1,1,2,0,2,1,2,2,2,2,1,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
G023,0,2,3,1,0,0,2,2,1,0,1,0,0,1,1,1,3,2,1,0,1,0,0,0,1,0,2,3,1,1,2,1,2,0,2,1,1,2,1,0,0,2,2,1,4,3,1,2,1,2,2,2,3,1,1,2,0,1,2,0,2,0,1,0,1,1,2,1,4,1,0,1,1,1,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G024,0,0,0,2,3,0,1,0,0,0,2,0,3,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,0,1,1,1,0,3,0,1,0,1,1,1,1,0,0,4,1,3,1,0,1,0,0,0,1,2,1,1,2,0,0,2,0,2,1,0,1,0,2,3,2,0,2,1,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
