"ID","logFC"
"Adarb1",-1.964401567
"Timm8b",0.74341488
"Mrps33",0.824779188
"Eepd1",-2.075910113
"Hs3st1",1.030307781
"Col15a1",-0.878542587
"Sgk1",-1.47705049
"Tbl1xr1",1.52208272
"Tgfb2",2.303174833
"Atp8a1",1.35273615
"Cd109",-1.054750427
"Lpcat3",1.35809263
"Gbe1",1.898946447
"Abcc5",-0.848090173
"Magi1",-1.22138912
"Tspan5",3.481511777
"Gpr17",-1.333893312
"Tgfbr2",0.998477288
"Gltp",0.877246077
"Dnajb9",1.247971667
"Gpr155",1.534114193
"Ndufaf7",1.571433854
"Lhfpl2",1.551376513
"Gm694",1.44921807
"B3gnt2",0.855259901
"Timp2",-1.473189078
"Adamts9",-2.571428911
"Pgm5",1.923125093
"H19",-1.486993299
"St6gal1",1.07538167
"S100a10",-1.776897137
"Marveld2",1.257379363
"Gm8995",-0.962932587
"Casp1",-2.32446889
"Psma8",2.21762251
"Jak1",-0.87793572
"Trim59",-1.193819043
"Slco2b1",1.663784823
"Nanos1",1.448066107
"Ifnar1",1.402855219
"Ceacam2",2.203835035
"Cox5a",0.774520883
"Spats2l",-1.273245815
"S100a6",-3.063375782
"H2-Q6",-1.522694612
"Ncoa4",0.997730257
"Bhlhb9",1.871867344
"1190002N15Rik",-0.964486287
"Ehd2",-1.573082895
"Mfge8",-1.456285783
"Dhrs3",-1.546621623
"Gkn3",2.715665484
"Net1",2.133756628
"Gadd45a",1.207454523
"Ang",1.78593955
"Pcdh12",-1.49477816
"Jup",-1.051639559
"Nap1l3",1.338234113
"Acvrl1",0.509690293
"Paqr7",0.88875168
"Cdc14a",1.514134407
"Exoc2",0.904384295
"Frem2",0.85107851
"Gypc",-0.812903083
"Atp11b",0.807687133
"Ret",1.195297373
"2610001J05Rik",0.743588767
"Abcb1b",-1.93257113
"Mtus1",1.112381343
"Cxcr4",-2.56475368
"Ccnd2",-1.352837243
"H2-D1",-0.506586393
"Chek2",-1.709742547
"Dgkd",-1.184887067
"Casc4",1.367370777
"Tmem45a",0.99378159
"Fmnl1",-1.7516041
"Nepn",-1.840064659
"Abi3",-1.654455487
"AI467606",1.301523508
"Sgce",-1.500580617
"Hdac9",-1.115358696
"Ptprj",2.070382665
"Plod1",-1.273517282
"Lnx1",-1.76636762
"Stk10",-1.672758107
"Slc7a3",1.21865336
"Scrn3",1.1925548
"Nrp2",-1.515317303
"Wnt5a",1.267849923
"Nid1",-1.373472843
"Srp14",0.675134323
"Ckap4",-0.56371482
"Fstl1",-1.488753153
"Apaf1",-0.762691172
"Nomo1",1.182427685
"Trim2",-0.825563747
"Txndc17",0.664637887
"Adk",1.724155737
"Fyn",-1.658977507
"Tmem88",-0.923027672
"Mgat4a",-1.861247363
"Vat1",1.25989531
"Hist2h2be",1.976594903
"Cdh13",-2.270387951
"Ogfod3",0.729078128
"Ifnar2",1.020898817
"Tppp",-1.619116297
"Tcf7",1.475318093
"Nceh1",1.02713695
"1810037I17Rik",0.638182874
"Scn2a1",0.393511632
"Mllt3",1.432371748
"Cyp1a1",-1.556406
"Ccdc88c",-0.867207436
"Ddi1",-1.295038057
"Cfh",1.9358053
"Lonrf3",1.440199387
"Ednrb",-3.102559733
"Akap6",-0.99523861
"Aftph",0.87802632
"Asah2",-1.497505013
"Kcnb1",-1.08541377
"Csrp2",1.721270228
"Specc1l",0.746390028
"Stx2",-1.46728578
"Rps6ka2",-1.676420843
"Fads3",-1.589703863
"Jam3",-1.350891607
"Akip1",1.885838197
"Arrdc4",-2.134680757
"Rpl38",0.404632648
"Asxl3",-1.206726202
"Gsta4",3.619353637
"Chd7",-0.820282624
"Ap4s1",0.70315584
"Adtrp",0.876405098
"Aplnr",-2.76925178
"Gm14085",-1.017109233
"Dpysl3",-1.68702922
"Gpatch4",-0.540218043
"Disp1",-1.138056761
"A4galt",1.94931426
"Fam198b",-1.966620947
"Chn2",1.90672844
"Mt2",3.3422036
"Nus1",-1.081247657
"Sptssa",0.640277227
"Ahcyl1",0.935660053
"Tob1",1.18275897
"Dach1",-1.218094191
"Rnf144a",-2.198177337
"Nebl",2.059262687
"Kif13a",-0.855323348
"Tgfbr3",1.21053663
"Endou",-0.882692797
"Cald1",-1.589559197
"Fbln2",-1.982287266
"Cdc42ep2",-1.381681113
"Adamts5",-1.919292447
"Slc52a3",1.481004893
"Mb",-1.717123668
"Cnrip1",-1.239684573
"Asap3",0.833225407
"Zhx1",0.536788942
"Tspan8",-2.03957159
"Ncaph",0.810226607
"Cd55",-1.258536183
"Zfp442",0.628916414
"Skap2",-0.958575227
"Hoxb4",-1.16972205
"Minos1",0.538043027
"Spry4",-1.340290385
"Mical2",-1.18028515
"Tecrl",1.440945625
"Ifi204",-1.91127586
"Tpbg",1.000595719
"Myo7a",-0.657193028
"Fam63a",1.140399591
"Scamp5",-0.592226983
"Hhex",0.827735579
"Grb7",1.13713521
"Fbln5",-1.80873553
"Inpp5k",0.74173515
"Tpst1",-0.929585436
"Daam1",-0.546923393
"A430072C10Rik",1.36476946
"Efemp2",0.786673532
"Oasl2",1.13460033
"Myo18a",-0.986656991
"Tnni3",-1.580400127
"Phxr4",-1.254767893
"Chst1",-0.991616563
"Fabp3",-1.650561014
"Syne2",-0.864588659
"Glcci1",1.360560886
"Zswim1",1.414443827
"Pfkp",-0.94274824
"Cisd1",1.194110867
"Tiam1",0.820376553
"Figf",2.539227993
"Postn",-1.980098257
"Gpc4",-1.013438067
"D030056L22Rik",0.808038873
"Tmem60",0.753588837
"Ivns1abp",0.793587292
"Fgf2",-0.585969297
"Stom",0.659323053
"Dcn",-3.426826713
"Stmn1",0.816913125
"Prnp",1.04108683
"Plxnd1",-1.48317114
"Tlr4",-1.42891488
"Sccpdh",0.797807215
"Snord35b",2.710400563
"Eda2r",-0.724412437
"Atp2b4",-1.866284233
"Asph",-1.001255833
"Nup160",0.663092623
"Asb4",2.523889545
"C1s",-0.927127987
"Mt1",2.217871037
"Ggta1",-1.148192253
"Ttc12",0.789975493
"Cdc42se1",0.681192397
"Cldn6",0.586878968
"Mlkl",-1.511955753
"Sult1a1",-1.495998207
"Ap2b1",0.812143017
"Hip1",0.838269558
"Slc46a3",1.61003767
"Itpr3",0.550669673
"Fam13c",1.50493446
"Galnt1",-0.75749238
"Fam102b",-1.762919907
"Car14",1.37899764
"Agrn",0.992407163
"Meis1",-1.174647163
"Cpt1a",0.959879567
"Fut8",1.29981199
"Macf1",0.685220083
"Bend5",0.681957903
"Pcdh17",-2.0914267
"Unc45b",-0.50656875
"Trim16",1.02652025
"Cachd1",1.092342537
"Iqgap1",0.596446673
"Fhl1",-0.7671229
"Casp6",0.947468277
"Trps1",0.981074654
"Efna3",0.988543659
"Rps6kl1",-0.531561067
"Cav1",-0.956726373
"Tbc1d22a",-0.83070358
"Ppil2",0.51678784
"Ildr2",0.538206895
"Gdap10",1.399211225
"Fam134b",0.94013484
"Abca5",0.607706573
"Dennd4c",0.831571883
"Cldn5",1.52910963
"Tprkb",1.752180447
"Prss23",2.412466982
"Arhgef7",-0.981044427
"Sesn1",1.057848913
"Mbnl2",-0.754949887
"Ccdc91",1.094014627
"Gucy1a2",-0.557933797
"Fuca2",1.294611913
"Rnf141",0.818244541
"Sec11c",0.757527977
"Parvb",1.10236738
"Kcnj8",-0.685065753
"Wfdc1",1.138255598
"Osbpl9",0.487555507
"Fbxl2",0.45568499
"Gpr124",1.22781497
"Cd38",-1.498251607
"Cwc15",0.54602592
"Zdhhc9",0.917826013
"Pak1",1.396210657
"Zadh2",0.453700062
"Atp5h",0.454014144
"Ap3m1",0.670086227
"Hist1h4d",-1.239957826
"Trim3",-0.514879226
"Bcl6b",-1.384653747
"Prrg3",-1.216090203
"Dcbld1",-2.861381517
"Ptgs2",3.074301357
"Ptges",1.110677876
"Runx1t1",-1.030506917
"Msrb2",0.770174187
"Dapk1",1.637175387
"Amot",1.08778812
"Prps2",-1.591083526
"Hbegf",1.136809987
"Mtap",0.480483054
"Tmem255a",-0.893761323
"Atox1",1.238198917
"Cox7a1",-1.209458221
"Ssbp1",0.56058931
"Tab3",0.771246593
"Prg4",-3.163015547
"Nfat5",0.536324825
"Rbbp7",0.689945384
"Tmem252",2.6077569
"Ncoa1",0.990784949
"Phpt1",1.026851017
"Tmem120b",-1.555192007
"Nexn",-2.730754367
"Ccp110",1.406226
"Gm5127",0.958579854
"Cxcl16",-0.872388663
"Tceal1",1.490848227
"Cyp51",1.145360005
"Ppard",0.685895438
"Ndel1",-1.45721722
"Cdkn2b",0.900135199
"Flna",-0.673017174
"Scoc",0.757394798
"Sdc3",-0.491821596
"Scd2",1.44934193
"Ppp3cc",0.789809296
"Prickle3",-0.456136064
"Gnat3",-0.698616979
"Samd4",-0.78489701
"Cops5",0.750143687
"Rarres1",-1.055977173
"Gpr126",1.469336317
"Aldh9a1",0.915214227
"St6galnac4",-0.825034783
"Map3k8",1.164063295
"Atp6v0a1",0.984753306
"Bmpr2",0.659034738
"Fam111a",-1.179121677
"Mtfr1l",0.837322877
"H2-K1",-0.498544692
"H2-Q7",-0.66362158
"Esyt1",0.69311809
"Sepp1",0.695982298
"Mmp15",-1.465283697
"Mob3b",0.865881772
"Nav2",0.483940918
"Fam69a",1.76930238
"Oxct1",-0.594221275
"Pcsk5",-0.917959533
"Acot7",-0.731222947
"Mdfic",-1.121736197
"Cd44",-1.039695579
"Lpcat1",-0.716506623
"Enpp2",1.67516883
"Plekhh2",1.469525467
"Slc52a2",0.923560628
"Fam101b",-1.066650071
"Psma6",0.734622323
"Tnc",-0.430675823
"Sh3bp5",-0.799624761
"Fam174a",0.783289589
"Ankrd34c",0.400090374
"Ushbp1",-0.827286403
"Vwf",1.762070325
"Klra10",-2.254856765
"H2-Q4",-0.849364914
"Nln",-0.976526561
"Slco3a1",-1.211341989
"Ints9",0.880794217
"Phf10",0.72861416
"Dpt",-3.204061533
"Cd63",-1.995486263
"Nrp1",-1.141231543
"Tbc1d13",1.31116215
"Vwa3a",-1.709723603
"Cox6a2",-0.73100963
"Foxc2",-0.84021201
"Exoc3l",-0.96017664
"3110035E14Rik",-0.98052199
"Ankrd46",0.558146483
"Pde7b",1.948708503
"Foxp1",0.904013
"Pcyox1",1.171048317
"Adam22",-0.57958332
"Cd2ap",0.835516295
"Eps8",1.164521567
"Lama4",-1.284668
"Gja5",-2.454250023
"Slfn5",-0.598346381
"Fxyd6",-0.983991305
"H2-Q8",-1.0723176
"Magoh",0.569550199
"Mcmbp",-0.64119339
"Tmsb15l",1.029213589
"Lyrm2",0.669069607
"Hist1h4n",-1.263325701
"Pola2",-1.13544496
"Pcbp2",0.34119861
"Ccl27a",0.87551484
"Cgnl1",1.435226193
"Bcl2",-0.819237793
"St6galnac2",1.249437668
"Tbc1d9",-0.567593574
"Phyh",1.129759307
"Csprs",-1.413803474
"Efnb2",-1.000709547
"Hspa2",-1.374296817
"Zfp941",0.853873417
"Nme5",0.719274353
"Zyx",-1.05827333
"Pex3",1.062943297
"Hdac7",-0.499878415
"1810062O18Rik",1.89480353
"Fam96a",0.59241995
"Cdkn1c",-0.6908404
"Neurl2",1.867876173
"Ifngr2",-0.772242233
"C230081A13Rik",-0.86630536
"Polr2a",0.54411157
"Acvr2a",-0.689146653
"Smtnl2",-0.434061527
"Tspan18",-1.585235593
"Ube2v2",1.095830913
"Nr3c2",0.857855167
"Ptpre",-1.33762153
"Armc10",0.632501443
"Pln",-2.073402748
"Deptor",-0.532165529
"Sec61a1",0.656383193
"Rragb",0.425239565
"Igsf9b",-0.574482285
"Mlec",-0.741723213
"Pald1",-0.6194431
"Soga1",-0.748388785
"Ifltd1",1.124869012
"Lum",-0.527395886
"Ech1",0.64396604
"Mapk9",0.685550677
"Erh",0.650945661
"Ddah1",2.245970725
"Rnf103",0.992293355
"Prdx2",0.494541805
"Map7",0.936142283
"Ccdc85a",-1.113680192
"Rarres2",-1.079112677
"Ldlrad3",1.570610013
"Apoe",0.869834598
"Ak3",0.602471364
"Fzd6",1.345358869
"Cysltr1",0.885731064
"Dnajc5b",0.321886855
"Dtd1",0.7582957
"Arhgef25",-1.559710963
"Rell1",-0.375411985
"Prkaa2",-0.450660227
"Dpy19l4",0.7346104
"Chst15",-0.865466129
"Zfp937",1.24727344
"Anks1",0.507948553
"Serpinb6b",2.237283708
"Fgf13",0.434119065
"Fam212b",-0.773405873
"Prorsd1",0.99459982
"Shank3",-0.932066576
"Baz1a",-1.159351044
"Cacna1a",0.743256403
"Gm16494",0.89572018
"Mum1l1",0.287090939
"Sort1",1.117317833
"Ubl3",0.424200377
"Oas2",-1.014534487
"Prkg1",1.11166953
"Rcan2",1.142555547
"Fis1",0.428289418
"Dhrs7c",-0.420136776
"Zfp943",0.753393493
"Car2",1.609980617
"1700018A04Rik",1.07217089
"Smarca2",0.693351116
"Ncrna00085",-0.950603013
"Aldoc",0.67625332
"Amotl2",-0.80984815
"Tmc8",-0.773216877
"Zfp354a",1.259181983
"Hist1h4b",-1.162505888
"Dgkh",-0.931246117
"Tspan15",-1.457030613
"Rfk",0.407929342
"Tle1",0.866318861
"Ccdc90b",1.21113156
"Vash1",-0.65998106
"Meis2",-0.895259845
"4930506M07Rik",-1.267456553
"Cygb",-0.465683616
"Jmjd8",1.212910647
"Pfkfb3",-1.080007863
"Bbs4",0.79173311
"Tacc2",-0.772402126
"Rasgrf2",-2.058812107
"Col8a1",-1.216431767
"Zfp53",-0.580260277
"Zfp51",0.5428319
"Pde5a",0.896933073
"Mrpl22",1.341289368
"Gstp2",0.473401703
"Pip5k1b",0.68340414
"Tmeff2",-0.63433647
"Mgst2",1.491095235
"Atrn",-0.520712611
"Ckap5",0.465187073
"Dbi",0.55919234
"Tarsl2",0.932848303
"Fdps",0.729822633
"Hcls1",-1.706048343
"Thsd7a",-0.899536937
"Plcd1",-0.547486781
"Ctnnbip1",-0.974853508
"Cobl",-0.45287561
"Tifa",0.82882024
"Tpd52",1.57097696
"Pkhd1l1",-1.106890677
"Tctex1d2",0.977386492
"Acin1",-0.445525487
"Plekhg3",-0.669406413
"Arhgef15",-1.002290743
"Vangl2",0.522056899
"Maged1",0.930453617
"Rai14",1.015612583
"Vps28",0.48341623
"Sub1",0.336765293
"Chml",-0.973062683
"Kit",-1.79462081
"Shroom2",0.603263524
"Map1lc3a",0.471205866
"Egfl8",0.708332393
"Cpm",-0.81867742
"Map4k4",-0.554699907
"Rgs4",-0.692733282
"Pdia6",-0.752785674
"2610305D13Rik",-0.809095227
"Dcp2",0.428010947
"Colec11",-0.451148031
"Mpzl1",1.313571303
"Fam78b",-1.377364017
"Abca8b",-0.633392015
"Tpm2",-1.431228627
"Cd320",0.82998291
"Pdlim3",-0.887693887
"Slc26a10",-1.474697733
"Slc1a5",-0.949079508
"1810011O10Rik",-1.875170057
"Ctsb",-0.494640989
"Hsbp1",0.64521185
"Cep44",1.052382933
"Efnb1",-1.27600036
"B3gnt1",0.802426029
"Arhgap20",1.507868599
"Hoxd8",-1.080178733
"Ilk",-0.647659317
"Gopc",-1.145147468
"Acnat1",0.731923267
"Prrg4",-1.752003048
"Crtap",0.970640018
"Ints4",0.58324035
"Aff1",0.610178148
"Ampd3",-1.14006264
"Trpt1",0.698184487
"Cxxc4",-0.442463078
"Sema3f",-0.961427051
"Kcnj2",0.950263523
"Wars",-1.150233253
"Fez2",-0.921663917
"Ppm1j",-0.815498677
"Myh6",-1.608701091
"Flot2",-0.522611779
"Fam126a",-0.408699353
"Sft2d2",0.593181603
"Akr1e1",0.76683712
"Trim30d",-0.873835313
"Ifit2",-0.98145882
"Arap1",-0.362388931
"As3mt",1.091187787
"Plin2",-0.606822651
"Sbspon",0.621710293
"Hprt",0.62759242
"Snx5",0.746315633
"Kdm3a",0.671322503
"Tspan2",-1.6359717
"Cerkl",0.862400057
"Fes",-0.355315523
"Ift81",0.947527727
"Foxo1",0.568710633
"1110012L19Rik",1.553856922
"Fahd2a",0.6383133
"Frk",-0.675877093
"Dchs1",-0.952972577
"Hdx",-0.691648173
"Zfp715",-1.040871151
"Ptger4",-1.053788983
"Mrpl41",0.665500324
"Nipal2",0.419487949
"Rgs12",0.81088417
"Prickle2",-0.435516989
"Stard10",1.09716432
"Pdgfra",-0.536206566
"Vti1b",0.448829652
"Mfhas1",0.50930819
"Atp8b1",-2.107400573
"Hmbox1",0.695375444
"Klk8",-0.891727138
"Ephb1",-0.939889352
"Cyth3",0.779927243
"Cyp2j6",-0.930914567
"Aldh2",0.643142217
"Eps8l3",0.502452287
"Thsd1",0.93007628
"Neurl1b",-0.571793242
"Fkbp2",0.638402618
"Pkig",0.59475899
"Itgbl1",-0.452187223
"Igfbp5",-1.386676467
"H2afz",0.31386884
"Dennd5b",-1.032133967
"1110058L19Rik",0.86110559
"Phyhipl",0.471749945
"Ick",0.470280317
"Eif4e3",-1.069122633
"Arhgef26",-0.649890583
"Mlh3",1.076999025
"Sfxn1",-0.827147333
"0610007P14Rik",1.018824267
"Tmem176a",0.64047335
"Mpp3",-0.395757834
"Mast2",0.335594489
"Lca5",-0.68168004
"Gabrb2",-0.280329654
"Arl4a",1.534257563
"Inpp5a",-0.895396878
"Oat",-0.978952897
"Tmed4",0.889371553
"Slc5a6",0.601441705
"Tcf7l1",-0.80296978
"Zfp69",-1.125708583
"Fam63b",0.549170914
"Gm6233",0.980974667
"Prkcb",2.0486665
"Zfp710",-0.609758217
"Agpat1",0.700059263
"Mpnd",0.522099503
"Tbce",0.641804058
"Snapc5",0.654881793
"Slc15a3",-0.529181163
"Npdc1",-0.428002199
"Gm13306",0.734801526
"Trdn",-0.28945477
"Skp1a",0.576078727
"Eci2",0.798670442
"Clcn7",0.92894379
"Rcbtb1",0.785682697
"Chst2",0.686327942
"Dmap1",0.389051917
"Foxf1",0.422787024
"Ap3s1",0.644103906
"Cd164",0.482068703
"Cep70",0.89396479
"Zfp286",0.402559594
"Ppap2a",-1.117278423
"Rny1",-1.17560321
"Ndufa9",0.418865203
"Armcx5",0.536261399
"Atp13a5",0.37577669
"Plac9a",-1.513319549
"Acox1",0.743464943
"2610301B20Rik",0.786208933
"Efr3b",0.740299213
"Rapgef3",-0.773662395
"Mkl2",1.187109212
"Anapc13",0.750433605
"Arhgef6",-0.866528993
"Limk1",0.497049015
"Fam115a",0.711646703
"Lamc1",-0.913195924
"Cox6b1",0.330400465
"Schip1",-0.906753552
"Msmp",-0.978882305
"Tet1",0.996268224
"Hmgb3",-0.572521768
"Tec",0.849222178
"Slc25a20",1.140557771
"Adam23",-1.084403685
"Rbm20",0.450369517
"Ern1",0.733184663
"Tceb1",0.408926647
"Hrh2",-0.358613327
"Zfp423",1.051894203
