# synthetic, for demo only -- ground-truth asymmetric coupling matrix J[target, regulator]
,Gene00,Gene01,Gene02,Gene03,Gene04,Gene05,Gene06,Gene07,Gene08,Gene09,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23
Gene10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9323072298969797,0.0,0.6528659973792598,1.0311475260977494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2885611276381421,-1.3279671693298374,0.0,0.0,0.0,0.0,0.0,1.0718960226567602,0.0,-1.3811698575488356,0.0,-1.1380213071334953
Gene12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2498683184890031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0483807616049485,0.0,-1.3419391428996479,0.0,0.0,0.0,0.0,0.0
Gene13,0.0,1.0497854737827654,0.0,0.0,0.0,0.0,0.0,0.0,-1.3282046129728438,0.0,0.0,0.9839903390462656,0.0,0.0,0.8920369262066165,0.0,0.0,1.1856049565252484,0.0,0.0,0.0,0.0,0.9164458184839007,0.0
Gene14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7014536818089981,0.0,0.0,0.0,0.0,1.395933878528734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3781030510583638
Gene15,0.0,-1.3104946565273439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7190112097859983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500061725822279,0.0,0.0,0.6711485121970175,0.0,1.1753758182613923,0.0
Gene16,0.0,0.0,0.6051271061314482,0.0,0.0,0.0,0.0,1.2730538236899065,0.0,0.0,0.0,0.0,0.0,-0.830664605606062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81586942840064,0.0,-0.9442389855582666
Gene17,1.1875868574309836,0.0,0.0,0.0,0.0,0.0,0.0,-1.068898451850186,0.0,-1.2415044629746461,-1.2544967767767283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3405716617715349,0.0,-0.9910796374667714,-1.3667309054223615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1220916610693106,0.0
Gene19,0.0,0.0,-1.2578990620344563,0.0,0.0,0.0,0.0,0.0,0.0,-1.0102069786096624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3849560320530754,0.0,0.0,0.0,1.062668731941018,0.0
Gene20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7553038183126348,0.0,-0.8527548362941602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gene21,0.0,0.0,1.2909120721964604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3550411415536725,0.0,0.0,0.0,0.6079636486458335
Gene22,0.0,0.0,0.0,0.0,0.0,-0.8190792788796457,0.0,0.0,0.0,-1.0751393612905344,0.0,0.0,0.0,0.0,0.0,0.0,-1.3388241278267756,1.247768620730222,0.0,0.0,0.8955235288733446,0.0,0.0,0.0
Gene23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
