# synthetic, for demo only -- generated by 580_novae_spatial_fm.py
cell_id,slide,x,y,domain_true,cell_type_true,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039
s1_c0015,slide1,14.743,0.06,D2,CT0,3,8,0,2,1,1,0,0,0,3,1,4,2,1,2,0,1,2,0,0,2,3,4,3,6,4,1,1,2,1,4,1,0,5,2,1,5,1,3,4
s1_c0016,slide1,15.966,-0.027,D2,CT0,3,4,1,5,0,1,0,1,0,5,2,1,4,1,2,0,2,3,3,2,0,4,2,6,7,2,5,0,1,1,1,2,2,14,0,2,3,0,1,3
s1_c0017,slide1,16.996,0.025,D2,CT3,0,7,5,2,1,0,0,0,1,2,0,1,0,0,0,6,2,1,0,0,2,1,1,1,8,8,0,3,3,1,0,1,1,1,0,2,0,5,3,1
s1_c0018,slide1,0.304,1.06,D0,CT1,2,1,3,0,1,0,1,0,1,3,2,1,1,0,0,5,3,3,1,0,1,1,0,0,1,2,2,6,1,1,0,0,0,3,1,2,2,1,0,3
s1_c0019,slide1,1.112,0.78,D0,CT2,5,2,7,2,3,1,0,0,1,4,0,3,3,3,1,1,2,2,4,6,1,0,5,1,5,5,0,2,0,2,0,1,1,10,1,1,4,2,5,1
s1_c0020,slide1,1.725,0.807,D0,CT1,3,3,2,0,1,0,2,0,2,4,3,3,0,0,2,0,2,3,4,3,2,1,1,1,0,3,3,4,2,5,1,0,2,1,1,5,4,0,1,1
s1_c0021,slide1,3.365,1.252,D0,CT0,6,4,0,4,1,1,0,0,3,2,4,0,2,1,1,0,0,3,0,3,1,6,5,1,12,4,1,1,2,0,1,2,1,1,2,3,3,1,0,3
s1_c0022,slide1,3.929,1.053,D0,CT2,8,1,6,2,3,4,1,0,3,1,3,0,4,4,1,3,1,0,1,7,5,2,3,0,2,4,0,2,0,4,2,0,0,1,0,0,2,2,4,3
s1_c0023,slide1,4.842,1.019,D0,CT0,2,4,2,4,1,1,0,1,1,2,5,1,3,0,2,2,0,0,2,8,0,4,2,8,9,2,3,0,0,0,1,3,1,7,2,5,8,0,2,4
s1_c0024,slide1,6.265,0.992,D0,CT0,6,5,0,3,0,3,0,0,2,1,2,1,2,0,1,3,1,3,1,1,1,2,4,7,13,6,3,0,2,0,3,0,2,7,1,5,3,2,6,2
s1_c0025,slide1,6.991,1.064,D0,CT0,5,6,1,2,0,1,0,2,3,4,4,1,4,1,2,4,1,2,1,3,1,3,1,6,10,5,4,0,1,0,1,4,2,6,3,5,3,1,2,4
s1_c0026,slide1,7.934,0.792,D0,CT0,2,4,1,2,0,1,0,0,0,3,1,1,2,1,1,0,0,3,1,3,1,3,2,8,9,5,2,0,3,1,1,0,3,6,4,2,3,2,2,4
s1_c0027,slide1,9.039,0.82,D2,CT2,6,2,9,1,0,1,0,0,3,0,3,4,2,2,0,1,1,2,1,15,2,1,0,2,2,1,1,1,1,3,3,0,0,1,1,0,8,2,10,1
s1_c0028,slide1,10.152,1.235,D2,CT2,6,2,4,5,0,2,0,0,0,0,2,0,1,1,2,0,0,0,5,9,1,0,2,1,1,5,1,1,2,2,3,0,2,4,0,0,6,5,8,1
s1_c0029,slide1,11.179,1.027,D2,CT2,7,2,9,3,0,1,0,0,3,5,2,3,0,2,0,0,0,1,1,10,2,0,3,1,1,1,0,1,3,2,6,0,1,2,0,1,5,2,5,2
s1_c0030,slide1,11.752,1.153,D2,CT2,7,4,4,3,1,1,0,0,0,2,4,0,3,3,1,0,2,1,5,10,5,0,5,0,1,6,2,5,1,0,1,0,1,7,0,2,1,3,6,1
s1_c0031,slide1,13.36,0.891,D2,CT3,6,4,3,1,0,0,0,0,2,2,0,2,0,3,0,5,4,0,1,1,3,0,1,0,6,4,0,3,1,1,1,4,5,0,1,3,2,3,1,3
s1_c0032,slide1,14.17,1.248,D2,CT2,9,7,3,4,2,1,1,0,2,3,1,3,4,2,1,1,0,0,1,6,2,2,2,0,1,1,0,0,0,2,5,0,3,2,0,0,8,3,3,2
s1_c0033,slide1,14.932,1.062,D2,CT2,6,2,4,4,1,2,0,0,0,2,6,4,3,2,1,1,1,0,1,9,4,3,5,0,2,3,0,1,0,1,0,2,2,4,0,0,1,5,2,0
s1_c0034,slide1,15.853,1.087,D2,CT1,2,1,2,0,1,0,2,2,1,5,2,5,2,0,1,2,1,3,3,3,2,1,0,1,1,9,2,4,1,3,0,1,1,4,0,2,1,0,2,1
s1_c0035,slide1,16.826,1.099,D2,CT2,9,2,7,4,2,2,0,1,1,1,1,2,4,2,1,0,1,2,3,9,3,2,2,1,0,2,1,0,0,1,2,1,0,9,0,0,4,4,4,2
s1_c0036,slide1,0.022,1.857,D0,CT1,1,0,2,0,4,0,2,4,0,1,2,2,0,0,1,7,3,4,1,1,0,3,1,0,1,2,4,3,3,3,1,0,0,1,1,1,1,1,3,3
s1_c0037,slide1,0.883,1.664,D0,CT2,6,1,1,1,3,1,0,1,1,5,1,0,3,1,1,1,0,0,2,7,1,0,3,2,7,4,4,2,0,0,3,1,3,5,1,0,9,1,4,1
s1_c0038,slide1,1.862,1.807,D0,CT0,3,7,0,5,1,1,0,0,0,2,2,0,1,2,1,0,1,2,0,5,1,5,4,8,7,6,1,0,0,1,1,6,1,10,0,3,3,2,0,0
s1_c0039,slide1,3.146,2.293,D0,CT0,2,5,1,3,0,1,0,1,1,2,2,0,0,0,0,1,0,3,2,0,0,9,3,5,7,4,0,0,0,3,1,0,2,4,2,3,5,1,0,1
s1_c0040,slide1,4.066,2.234,D0,CT0,8,3,0,2,1,2,0,0,1,1,0,1,3,1,0,0,1,0,0,0,1,8,4,4,4,4,1,1,1,0,0,4,1,8,0,1,2,0,3,4
s1_c0041,slide1,4.929,1.938,D0,CT0,3,4,0,4,0,0,0,0,0,3,3,0,3,0,2,1,0,0,1,4,0,5,3,2,6,5,3,0,1,0,1,4,0,5,3,3,3,0,4,7
s1_c0042,slide1,6.132,1.946,D0,CT0,3,3,0,2,0,2,0,2,0,5,8,1,4,1,0,1,2,1,1,4,0,7,3,6,5,3,1,0,3,0,0,0,3,8,2,3,7,1,0,4
s1_c0043,slide1,7.246,2.187,D0,CT1,1,1,8,0,2,0,2,1,0,1,4,3,2,0,1,3,4,3,0,3,3,2,1,1,0,7,2,4,2,2,0,0,0,3,1,1,0,0,2,0
s1_c0044,slide1,7.803,1.97,D0,CT1,2,1,3,1,0,0,3,2,0,0,4,4,1,0,0,2,3,2,1,2,5,6,2,0,0,4,0,6,0,3,5,0,0,3,0,4,6,0,5,0
s1_c0045,slide1,8.891,1.766,D2,CT2,12,3,3,4,0,3,0,0,1,1,2,1,3,5,3,0,2,0,1,15,1,0,3,1,4,3,1,3,0,1,2,1,0,3,1,1,3,3,8,0
s1_c0046,slide1,10.17,2.228,D2,CT2,12,4,6,3,4,1,0,0,3,4,2,0,1,4,1,0,0,0,1,5,3,3,4,0,3,1,2,1,0,0,7,0,1,4,0,0,3,0,7,2
s1_c0047,slide1,11.129,2.086,D2,CT0,5,7,1,4,0,2,0,0,1,3,8,0,5,1,0,0,1,1,1,4,0,7,5,8,8,4,2,0,1,0,2,0,1,4,1,5,3,1,0,3
s1_c0048,slide1,12.041,1.547,D2,CT1,3,2,1,1,1,2,3,2,0,3,4,5,1,0,2,1,2,9,3,2,1,2,0,0,1,5,1,1,1,3,1,0,1,0,0,4,3,0,4,2
s1_c0049,slide1,13.209,1.944,D2,CT2,10,8,5,2,3,1,0,0,0,4,1,0,4,1,3,0,1,1,1,9,3,1,4,0,4,2,1,2,0,1,2,0,1,2,1,0,6,4,5,1
s1_c0050,slide1,13.804,2.026,D2,CT2,9,1,6,5,1,3,1,0,1,3,1,3,1,1,0,0,2,0,1,11,1,3,2,1,1,1,2,0,1,2,5,1,1,7,0,0,8,0,2,1
s1_c0051,slide1,14.734,2.087,D2,CT1,4,0,2,0,0,1,2,3,0,3,5,9,1,0,2,3,3,4,3,2,1,4,1,0,1,3,2,6,0,2,2,0,1,4,0,3,2,0,1,3
s1_c0052,slide1,15.844,2.027,D2,CT2,16,3,4,1,0,3,0,0,1,0,4,4,3,2,0,1,4,2,3,9,1,3,7,1,1,1,1,0,0,1,2,1,0,5,0,1,4,3,4,0
s1_c0053,slide1,17.022,1.886,D2,CT2,12,1,3,2,1,2,1,0,3,4,3,1,2,2,0,1,0,0,1,9,3,1,2,1,2,4,0,1,2,1,4,1,2,3,0,0,4,2,6,1
s1_c0054,slide1,-0.143,2.979,D0,CT2,6,5,9,5,3,2,1,0,0,0,2,2,2,5,1,1,0,1,2,12,2,2,0,1,5,2,0,3,0,1,5,0,0,7,1,0,4,2,5,0
s1_c0055,slide1,0.912,3.053,D0,CT0,8,6,0,8,0,1,1,1,0,2,2,0,3,0,1,0,1,1,0,4,1,5,4,4,6,6,1,0,2,0,5,3,2,4,3,2,3,1,1,2
s1_c0056,slide1,1.824,2.952,D0,CT3,2,3,6,4,0,0,1,0,1,0,1,2,0,0,1,4,2,0,1,1,3,0,2,1,8,6,0,1,0,1,2,1,2,0,0,4,1,2,4,4
s1_c0057,slide1,2.888,2.933,D0,CT0,4,3,2,2,2,0,1,0,2,2,3,0,3,3,1,0,3,1,2,2,1,5,7,8,8,5,2,2,0,0,1,2,0,7,3,4,4,1,1,2
s1_c0058,slide1,3.819,3.225,D0,CT2,17,2,3,2,0,0,1,1,3,1,2,0,0,5,2,0,0,0,0,5,1,1,4,2,2,1,0,2,0,0,2,1,1,4,0,1,5,4,4,0
s1_c0059,slide1,5.066,2.83,D0,CT0,5,6,1,11,2,2,0,1,2,2,4,0,3,0,0,2,4,4,2,1,1,5,2,5,11,3,2,0,1,1,1,2,0,11,1,2,3,1,3,2
s1_c0060,slide1,6.143,2.937,D0,CT0,5,8,0,1,2,1,0,0,1,4,4,2,4,0,0,5,5,2,1,7,1,9,7,6,11,9,2,1,1,1,1,2,3,3,2,3,1,2,2,1
s1_c0061,slide1,6.914,2.634,D0,CT3,2,6,7,4,0,1,0,0,0,0,0,2,2,3,1,1,0,2,1,1,2,2,3,0,3,8,0,3,2,3,1,1,1,2,0,5,0,3,4,2
s1_c0062,slide1,7.963,3.097,D0,CT0,2,0,1,5,1,0,0,0,2,1,1,1,4,0,0,1,0,3,1,0,2,6,6,4,4,5,1,0,0,2,1,2,3,9,1,2,2,0,0,5
s1_c0063,slide1,8.895,3.149,D2,CT3,3,4,2,2,1,1,0,1,2,1,1,3,0,2,2,1,0,0,0,0,0,2,2,0,9,1,0,3,1,4,0,2,2,1,0,4,0,2,4,3
s1_c0064,slide1,10.096,3.099,D2,CT3,1,2,2,4,0,0,0,0,1,0,1,1,1,3,1,2,0,0,0,1,1,0,1,2,7,5,0,3,0,2,2,1,1,0,0,4,1,4,3,1
s1_c0065,slide1,11.016,3.165,D2,CT2,14,5,6,4,1,3,0,0,3,4,2,3,2,5,0,2,1,0,3,8,1,5,4,0,1,3,0,1,0,0,2,1,1,4,0,1,4,3,5,2
s1_c0066,slide1,12.287,3.079,D2,CT2,9,1,4,4,0,0,0,0,3,4,3,4,3,3,1,1,1,1,3,9,2,1,1,1,1,2,0,1,0,3,4,0,0,5,0,0,4,4,5,0
s1_c0067,slide1,12.803,3.062,D2,CT3,2,6,3,2,0,1,1,0,1,1,1,1,0,0,0,2,1,1,0,0,1,2,2,2,4,3,0,3,1,1,2,2,3,5,0,4,2,4,1,2
s1_c0068,slide1,14.065,3.085,D2,CT2,6,5,3,5,3,4,0,0,0,5,4,1,6,6,1,2,1,1,0,11,3,2,2,1,3,5,0,1,1,1,4,0,0,5,2,1,2,4,6,1
s1_c0069,slide1,15.08,2.952,D2,CT0,2,3,1,3,0,1,0,0,1,3,3,0,9,1,1,1,0,2,0,3,0,5,5,2,7,1,0,0,1,1,1,2,3,10,1,1,4,1,3,4
s1_c0070,slide1,15.935,3.214,D2,CT3,3,4,3,3,0,0,1,0,3,0,0,0,1,1,1,0,3,1,0,0,1,0,1,2,10,6,0,2,2,4,2,2,2,1,0,2,2,3,1,3
s1_c0071,slide1,17.105,2.937,D2,CT2,8,2,4,9,2,1,2,0,1,6,3,1,3,4,1,2,4,2,2,15,2,0,3,0,1,2,1,1,2,0,3,2,0,1,0,0,9,2,3,1
s1_c0072,slide1,-0.259,3.737,D0,CT0,3,10,0,5,0,2,0,0,1,5,6,1,5,2,0,1,1,3,0,3,0,7,0,4,3,1,4,2,0,1,1,1,4,7,2,3,3,2,0,1
s1_c0073,slide1,1.381,4.153,D0,CT3,2,2,2,2,0,0,1,0,2,0,1,1,1,2,1,5,2,0,0,0,1,1,3,1,3,4,0,4,1,0,4,3,3,0,1,4,0,3,3,1
s1_c0074,slide1,1.758,4.333,D0,CT0,2,8,1,2,1,1,0,1,0,3,2,0,5,0,2,2,2,1,0,3,2,4,2,3,13,5,1,0,0,0,0,1,3,8,2,3,6,1,1,2
s1_c0075,slide1,3.166,3.827,D0,CT2,8,1,6,1,2,1,0,0,1,1,3,3,2,2,2,1,0,1,2,11,2,0,1,0,1,3,1,1,2,1,4,0,1,5,0,2,5,3,0,2
s1_c0076,slide1,3.798,3.982,D0,CT0,5,4,2,3,1,1,0,1,1,1,2,3,2,1,1,1,2,3,1,3,1,3,3,3,14,1,2,2,1,0,2,0,2,7,4,2,6,1,1,2
s1_c0077,slide1,5.207,3.877,D0,CT0,3,6,1,6,2,1,1,1,0,4,0,1,1,1,3,0,3,2,0,1,0,3,3,3,15,2,0,0,2,0,0,3,1,7,5,1,4,2,1,0
s1_c0078,slide1,5.931,3.931,D0,CT2,7,8,5,4,3,3,1,1,1,2,1,2,0,2,2,0,1,1,2,14,1,3,2,0,1,3,0,1,1,0,2,0,0,6,0,0,4,2,7,3
s1_c0079,slide1,7.029,4.008,D0,CT1,1,1,2,0,1,1,2,1,1,5,3,3,1,2,0,5,1,6,1,2,0,2,0,2,1,6,0,6,1,1,0,0,0,2,1,1,1,1,4,0
s1_c0080,slide1,8.01,3.776,D0,CT0,3,7,2,8,2,1,1,0,1,6,1,2,0,1,1,1,1,3,1,6,0,7,6,6,6,4,2,0,1,0,4,5,1,3,3,5,2,0,1,2
s1_c0081,slide1,9.198,3.95,D2,CT2,12,0,3,6,1,6,0,0,0,1,1,1,3,3,0,0,1,0,3,11,0,2,2,1,2,4,1,3,1,2,5,1,0,8,0,0,3,2,6,3
s1_c0082,slide1,9.942,3.736,D2,CT3,2,0,9,6,2,1,1,0,2,1,0,1,0,0,0,1,1,0,1,0,4,0,1,0,4,3,2,2,1,2,0,2,1,1,0,4,0,0,3,0
s1_c0083,slide1,10.466,3.898,D2,CT2,14,1,5,6,0,3,0,0,1,2,2,1,3,4,1,0,1,1,1,12,1,3,0,1,2,5,0,2,1,2,8,0,0,4,1,0,6,3,4,2
s1_c0084,slide1,11.863,3.787,D2,CT2,12,4,6,2,1,3,0,0,1,2,0,0,3,6,0,0,0,2,1,5,8,2,2,0,3,1,1,6,1,0,3,1,0,4,0,1,2,2,4,1
s1_c0085,slide1,13.033,3.809,D2,CT2,14,1,9,5,4,3,1,0,1,5,2,1,4,1,3,3,0,0,0,10,0,1,7,0,4,4,3,3,0,3,3,3,0,4,0,0,6,5,2,5
s1_c0086,slide1,13.921,3.69,D2,CT2,13,3,5,4,0,4,1,1,0,4,0,1,1,4,1,0,0,2,3,11,0,4,4,2,1,3,3,0,1,1,2,2,2,0,0,0,6,2,5,3
s1_c0087,slide1,15.139,4.219,D2,CT2,15,6,5,2,2,0,1,1,2,3,1,2,1,5,1,1,1,1,3,6,1,1,4,2,2,6,1,2,1,0,0,1,0,9,0,0,2,5,3,5
s1_c0088,slide1,16.183,4.092,D2,CT3,4,1,7,3,1,0,2,2,4,1,1,0,1,3,1,5,0,0,1,0,6,0,4,0,8,2,0,5,1,2,1,3,0,2,0,2,0,2,5,1
s1_c0089,slide1,16.973,3.655,D2,CT2,6,4,5,7,2,3,2,0,2,3,3,2,3,2,1,0,3,1,0,10,3,1,0,1,4,6,1,1,0,1,2,0,2,2,0,1,4,4,2,0
s1_c0090,slide1,-0.268,4.893,D0,CT2,11,1,6,3,3,0,0,0,0,2,3,1,2,5,1,1,1,0,2,10,4,0,0,1,1,2,1,5,0,1,3,0,0,4,1,1,4,1,7,1
s1_c0091,slide1,1.249,4.879,D0,CT0,4,5,2,5,1,0,1,1,0,0,4,0,2,0,1,0,2,1,0,1,0,7,3,7,7,2,0,1,2,1,2,4,0,7,4,2,1,1,1,0
s1_c0092,slide1,2.195,4.876,D0,CT2,6,7,7,4,3,2,2,0,3,3,5,0,3,3,1,0,0,2,3,7,1,1,2,3,6,3,0,2,1,1,3,1,0,4,1,0,4,3,4,1
s1_c0093,slide1,2.946,4.74,D0,CT0,3,4,1,5,0,1,0,0,2,2,1,1,3,1,3,2,2,2,1,0,3,1,3,5,14,1,2,1,0,2,0,6,0,4,1,4,8,0,0,2
s1_c0094,slide1,4.379,5.136,D0,CT0,4,3,1,5,0,1,0,1,1,1,6,0,1,1,2,2,1,3,1,4,0,4,3,11,14,4,1,0,2,0,1,3,0,4,2,5,1,1,2,2
s1_c0095,slide1,4.937,4.929,D0,CT0,3,2,1,6,0,1,0,0,1,0,0,1,3,0,1,3,1,1,1,2,0,2,2,5,9,4,3,1,2,0,2,2,2,5,1,2,7,0,1,4
s1_c0096,slide1,5.795,5.084,D0,CT3,4,6,2,2,0,0,1,1,3,1,1,1,0,1,1,2,0,0,0,0,1,0,2,2,7,3,0,2,1,2,0,2,3,1,1,2,1,4,1,4
s1_c0097,slide1,6.972,5.095,D0,CT0,2,5,2,4,2,0,0,0,1,1,3,1,3,0,1,3,1,3,0,6,0,6,3,6,14,7,4,0,0,2,2,1,1,10,2,4,11,0,2,3
s1_c0098,slide1,8.194,5.248,D0,CT0,5,7,1,3,0,0,0,1,2,3,0,1,4,1,1,1,2,1,2,6,2,4,3,5,16,3,4,0,2,0,2,5,4,11,2,3,2,0,1,4
s1_c0099,slide1,8.831,4.673,D2,CT0,4,2,1,5,1,1,0,0,2,2,7,1,2,1,1,2,3,2,1,3,1,12,4,7,5,7,2,0,1,1,0,4,2,4,0,1,4,0,1,2
s1_c0100,slide1,10.351,5.313,D2,CT2,16,5,7,6,1,3,2,0,0,0,6,2,2,8,1,0,2,1,2,9,0,2,6,1,3,2,1,1,0,4,5,1,0,5,0,1,9,2,2,3
s1_c0101,slide1,10.839,5.228,D2,CT0,3,3,0,3,0,1,0,0,0,1,4,0,3,2,0,0,1,3,1,2,1,8,2,6,11,1,0,0,3,0,1,6,0,10,0,4,4,0,0,0
s1_c0102,slide1,12.172,5.103,D2,CT0,2,7,1,2,1,1,0,0,2,4,3,1,3,0,0,2,1,3,1,0,2,8,5,4,14,2,1,1,4,1,1,4,0,12,3,1,4,0,1,3
s1_c0103,slide1,13.098,5.429,D2,CT2,11,3,5,2,3,1,0,0,1,7,5,1,1,3,2,0,1,0,0,7,2,1,3,1,5,1,0,1,1,0,1,1,0,6,0,0,8,3,9,1
s1_c0104,slide1,13.972,5.037,D2,CT1,0,1,5,0,2,2,1,4,0,1,4,6,2,0,1,2,4,4,0,1,1,3,1,2,1,4,1,6,0,3,1,0,0,2,1,3,4,0,5,4
s1_c0105,slide1,15.194,5.148,D2,CT0,5,2,0,5,0,2,0,1,0,3,2,1,2,2,1,1,3,3,1,4,0,6,1,6,8,3,4,0,1,1,0,3,2,6,2,5,5,2,2,3
s1_c0106,slide1,15.73,4.867,D2,CT2,9,4,9,4,1,2,0,0,3,6,2,1,3,3,1,0,2,1,0,10,2,1,2,0,2,3,1,2,1,2,3,1,2,1,1,0,5,4,7,2
s1_c0107,slide1,17.244,5.204,D2,CT0,3,8,1,3,0,1,0,0,0,1,4,0,0,2,1,2,0,2,1,3,0,4,3,4,4,7,2,1,0,1,4,3,2,7,2,4,5,1,0,3
s1_c0108,slide1,-0.011,6.03,D0,CT0,1,6,1,4,2,1,0,0,1,4,5,1,4,1,1,0,1,2,0,2,0,2,1,10,9,3,3,1,0,0,1,3,1,9,0,2,3,1,1,4
s1_c0109,slide1,0.902,5.919,D0,CT2,13,3,3,4,3,1,1,0,2,5,7,2,2,2,1,1,2,1,1,11,2,4,4,1,6,7,1,3,1,3,3,0,0,3,0,0,4,3,3,1
s1_c0110,slide1,2.135,6.381,D0,CT0,2,5,2,2,2,1,0,2,1,2,1,2,3,0,0,1,2,1,1,3,0,6,1,6,6,3,0,0,1,0,0,3,1,6,1,3,2,2,0,6
s1_c0111,slide1,3.191,5.945,D0,CT3,2,1,2,5,0,0,2,0,0,1,0,1,1,0,0,7,0,1,0,1,8,0,1,2,6,6,0,4,0,1,1,2,0,0,0,3,0,4,1,2
s1_c0112,slide1,4.139,6.002,D0,CT2,17,6,1,4,0,2,0,0,0,0,0,1,2,4,1,2,2,0,4,9,1,1,3,1,5,4,1,3,1,1,3,0,0,7,1,0,6,5,6,2
s1_c0113,slide1,5.36,5.964,D0,CT0,1,5,0,5,0,1,0,2,0,2,3,1,6,0,0,0,2,2,1,6,0,4,2,2,8,2,0,0,1,1,1,0,3,4,0,2,6,2,1,5
s1_c0114,slide1,6.195,5.864,D0,CT0,4,3,0,5,0,2,0,2,2,1,3,1,4,3,0,3,0,2,0,3,0,7,2,8,8,3,4,1,1,0,1,2,3,6,1,2,2,1,3,1
s1_c0115,slide1,7.231,6.096,D0,CT0,2,2,1,6,0,0,0,0,1,1,1,1,3,1,0,5,1,1,1,1,1,8,5,11,12,3,3,0,2,0,1,2,3,8,1,2,6,1,0,3
s1_c0116,slide1,7.903,6.133,D0,CT0,3,5,2,6,0,2,0,0,1,4,3,0,4,0,0,0,1,1,1,2,1,6,2,10,9,4,0,0,1,0,2,3,4,8,6,3,4,1,4,1
s1_c0117,slide1,9.019,6.064,D2,CT2,11,1,6,6,0,8,0,0,1,4,1,4,0,5,1,0,2,1,5,11,2,1,0,2,3,3,1,3,1,1,4,1,0,4,0,0,8,3,4,0
s1_c0118,slide1,10.101,5.575,D2,CT2,9,2,3,3,1,1,0,0,1,3,2,0,2,7,0,0,2,1,3,13,0,0,2,1,3,4,1,3,1,0,3,0,0,8,0,0,4,2,6,1
s1_c0119,slide1,10.997,6.181,D2,CT2,10,2,2,4,4,4,0,0,2,2,2,0,6,9,1,0,0,1,4,15,4,1,3,0,3,3,2,0,0,3,4,1,0,8,0,0,2,2,3,1
s1_c0120,slide1,12.054,5.937,D2,CT2,11,3,5,2,1,2,1,0,0,2,1,1,1,5,0,1,0,0,1,5,2,2,4,2,3,1,0,3,0,1,3,0,0,6,0,0,2,6,5,1
s1_c0121,slide1,13.077,5.781,D2,CT2,8,3,6,2,0,4,0,0,0,5,3,0,2,3,3,0,0,1,2,5,1,0,2,0,3,1,2,0,0,2,5,1,3,3,1,0,6,4,2,1
s1_c0122,slide1,14.152,6.109,D2,CT2,8,2,0,2,1,2,0,0,4,5,4,1,0,4,0,0,1,0,2,10,2,2,3,0,5,2,0,2,0,3,2,2,0,6,0,1,1,2,6,4
s1_c0123,slide1,14.982,6.101,D2,CT2,9,4,5,1,5,3,0,0,2,3,3,1,5,4,1,0,2,2,0,11,1,3,4,1,1,1,1,1,0,0,4,0,2,3,1,1,3,1,7,0
s1_c0124,slide1,15.937,5.812,D2,CT2,4,3,3,5,3,1,2,0,2,3,2,0,4,4,1,3,2,1,4,9,0,1,3,0,2,0,0,1,0,1,5,1,1,3,0,0,8,3,3,2
s1_c0125,slide1,16.851,6.445,D2,CT2,10,5,4,4,2,0,1,0,1,1,1,2,1,3,2,0,0,1,4,7,0,2,1,0,2,0,1,2,0,2,2,1,2,2,0,0,3,4,2,2
s1_c0126,slide1,-0.161,6.782,D0,CT0,7,8,3,1,1,0,0,0,2,2,3,1,5,2,2,2,2,1,0,4,0,2,2,3,14,3,4,0,2,1,1,1,0,9,3,0,6,0,3,2
s1_c0127,slide1,1.211,6.688,D0,CT0,3,3,1,2,0,1,0,0,3,3,5,0,6,2,0,2,1,3,0,6,0,7,3,5,9,6,1,1,0,1,2,3,2,11,1,1,6,0,1,1
