"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40"
"GENE19",4.339,6.671,7.295,10.723,6.474,6.145,8.201,6.228,8.182,9.366,8.529,6.151,9.457,8.171,9.782,8.408,7.973,6.022,7.792,5.811,8.586,8.437,9.056,9.142,6.415,9.503,6.516,8.966,10.207,9.637,6.708,9.194,8.083,8.459,9.598,7.857,8.222,8.239,6.463,9.162
"GENE20",9.98,6.35,7.921,8.193,7.425,9.569,10.678,10.163,7.983,5.631,8.31,8.367,8.02,6.45,7.235,6.959,2.942,6.733,11.904,4.659,8.577,9.196,7.095,5.399,8.8,5.886,8.413,10.456,6.534,7.146,10.83,9.168,6.947,8.26,8.818,6.086,7.69,7.258,9.952,7.822
"GENE21",7.54,10.269,7.871,4.999,9.309,7.273,11.633,10.037,9.544,8.882,9.502,8.004,6.625,9.033,8.329,10.219,9.141,6.347,7.025,8.975,8.658,8.061,8.134,9.316,5.672,7.252,6.855,9.84,10.172,10.431,9.056,9.195,5.894,8.376,6.623,8.563,7.036,9.819,9.137,7.374
"GENE22",5.328,8.387,6.668,8.501,9.454,8.284,6.385,8.502,9.372,8.134,9.121,6.008,10.565,9.088,8.555,7.082,7.413,6.65,6.495,6.501,8.837,6.773,9.106,5.34,6.532,11.934,5.972,7.298,7.871,6.97,6.998,8.074,7.402,7.583,9.538,7.296,9.271,8.439,10.219,7.921
"GENE23",7.742,8.133,7.333,9.757,8.576,8.077,8.729,10.144,7.996,9.451,7.06,9.77,6.248,8.326,8.419,5.579,9.515,6.108,7.197,8.063,7.585,8.434,5.689,7.931,8.041,8.766,8.983,6.983,5.639,8.985,6.941,9.144,7.834,5.413,9.689,9.198,7.209,7.946,7.071,10.031
"GENE24",9.822,7.819,7.956,11.089,5.223,8,10.083,6.699,8.204,8.118,8.593,7.111,5.328,7.698,8.303,8.604,7.06,4.061,7.834,10.666,9.749,8.51,6.966,7.408,5.427,7.864,10.414,10.545,9.939,9.666,6.619,8.429,6.614,4.99,9.324,8.639,8.004,6.346,8.39,6.619
"GENE25",10.843,6.209,7.379,5.935,7.919,10.714,7.707,9.426,6.92,5.647,6.662,9.8,4.62,5.951,7.981,8.997,5.548,9.004,8.901,8.521,4.319,6.774,9.29,7.808,7.243,9.468,6.817,10.314,8.127,11.211,8.223,7.051,5.964,6.062,3.848,7.232,7.577,6.597,6.37,7.534
"GENE26",7.354,8.918,9.67,6.274,9.597,6.762,7.673,7.122,7.703,4.988,8.946,7.287,8.977,7.537,7.864,9.416,9.868,8.99,8.624,7.569,6.792,7.957,7.435,9.644,7.543,7.634,6.674,8.322,9.451,6.754,7.625,10.707,6.208,8.549,8.216,7.479,3.757,8.691,8.129,6.416
"GENE27",7.614,7.674,7.279,6.941,9.22,9.718,7.543,8.481,6.456,8.811,7.351,7.137,7.201,7.321,10.048,6.581,8.272,7.624,7.841,5.113,7.821,11.001,4.197,6.117,10.019,8.933,6.391,10.551,10.909,8.115,6.587,5.205,7.207,7.772,10.28,8.914,8.976,7.501,6.731,11.358
"GENE28",5.355,7.726,7.35,6.419,7.714,8.047,8.897,7.551,6.55,7.89,8.678,7.953,7.587,8.995,9.362,7.628,13.243,6.914,6.715,6.799,8.245,6.306,6.713,7.602,7.614,7.483,7.313,7.988,9.62,9.404,9.821,9.268,7.321,6.899,7.743,9.103,8.237,9.659,8.583,7.29
"GENE29",8.69,9.4,9.045,7.031,3.95,6.747,10.096,7.582,6.169,7.143,8.552,7.463,8.434,9.963,7.085,6.007,9.373,6.782,9.691,7.137,8.61,10.208,9.224,11.83,7.215,4.467,8.998,6.773,7.47,7.247,8.028,8.513,10.129,6.827,7.013,8.715,6.72,5.549,7.944,9.359
"GENE30",7.04,9.233,6.415,7.722,8.091,7.897,9.031,8.819,9.254,7.533,7.594,7.465,7.3,8.752,10.095,9.267,9.573,8.598,9.374,9.026,8.959,7.659,7.36,5.783,7.005,8.709,9.068,7.924,7.798,8.892,9.137,8.034,6.071,8.827,7.769,8.492,10.045,8.503,10.168,8.057
"GENE31",8.683,10.088,7.939,6.198,8.861,9.12,8.48,6.044,9.672,6.993,8.698,6.684,5.588,6.308,8.217,8.522,9.146,8.34,6.913,8.725,5.737,10.223,7.393,7.06,8.671,7.233,8.664,8.12,6.519,7.354,7.43,7.083,8.572,5.584,4.425,5.328,6.106,7.213,8.476,7.737
"GENE32",9.057,7.286,5.673,11.055,8.069,7.362,7.547,7.624,7.381,7.764,8.862,6.181,5.075,10.506,7.039,9.371,7.095,8.632,9.03,8.021,8.012,6.735,7.781,7.938,7.521,7.14,9.139,5.661,6.767,6.3,8.262,7.609,7.374,9.122,6.293,8.179,5.333,10.195,7.394,7.458
"GENE33",9.553,8.976,9.751,8.162,8.236,6.842,8.748,8.257,6.307,6.603,7.654,8.92,7.489,9.516,8.255,8.912,7.444,8.007,8.675,8.27,8.786,7.901,9.079,8.3,7.184,8.006,7.297,7.743,8.734,4.644,9.55,10.709,8.139,8.674,7.869,5.873,6.97,8.641,5.39,6.795
"GENE34",7.087,10.087,7.59,7.874,8.647,8.229,7.176,7.395,7.868,5.025,9.758,6.791,8.262,8.335,7.764,7.089,9.59,8.928,9.568,7.568,9.99,8.467,7.263,7.2,7.58,10.014,7.741,7.372,7.551,8.772,9.014,7.855,7.005,6.695,9.253,8.114,6.223,6.462,7.321,10.012
"GENE35",8.757,6.334,7.298,8.743,7.405,9.483,7.581,8.157,11.363,7.671,10.089,5.935,4.583,4.69,8.151,8.269,9.583,8.647,8.224,8.045,7.83,7.831,8.714,7.601,9.598,8.443,9.023,8.737,8.987,7.487,9.412,7.423,9.204,7.853,8.318,7.009,9.185,6.038,7.121,8.939
"GENE36",5.424,6.709,6.143,8.056,9.965,7.89,9.645,7.522,11.062,9.568,7.007,7.238,8.436,6.568,6.54,5.137,8.874,8.837,6.288,8.408,10.399,8.988,8.86,9.626,10.352,9.263,7.578,7.203,9.249,10.577,5.26,6.682,5.445,9.34,8.962,7.842,8.129,8.344,9.722,8.047
"GENE37",6.823,6.302,7.988,7.802,8.706,5.919,8.663,10.428,5.42,10.816,6.834,6.799,8.633,7.897,6.77,8.754,6.52,8.744,9.204,8.674,7.578,7.75,6.472,7.729,7.035,8.944,6.558,8.723,8.545,6.325,8.266,7.257,8.231,10.026,6.452,6.23,7.445,7.539,8.686,6.358
"GENE38",6.724,5.811,6.8,10.215,6.136,6.04,8.362,9.071,7.465,8.004,8.77,4.711,9.942,9.142,10.044,9.453,10.527,10.493,6.907,10.741,7.925,9.813,7.907,8.377,8.031,8.152,5.934,8.804,7.402,7.267,7.712,7.874,8.039,10.233,10.229,7.753,8.014,7.874,7.118,7.27
"GENE39",4.379,8.12,7.2,7.674,10.072,6.847,7.617,12.449,10.3,7.879,6.63,7.564,8.247,6.23,9.442,6.686,5.95,6.417,8.791,6.332,8.24,8.256,7.193,8.554,7.514,9.007,12.046,7.581,5.753,9.211,7.025,5.963,9.584,8.557,9.786,10.279,6.573,7.751,8.342,9.43
"GENE40",8.054,8.98,9.932,6.075,9.807,7.209,9.397,6.807,7.943,9.444,7.326,8.251,8.307,12.817,6.674,4.796,7.35,10.262,10.51,10.212,7.246,9.039,8.625,8.611,10.786,7.793,5.45,7.935,8.172,7.608,7.159,9.714,7.663,7.678,8.926,10.738,8.273,8.983,8.201,6.508
"GENE41",8.309,9.801,7.737,8.579,9.236,7.968,10.002,9.222,10.396,8.08,9.204,8.442,8.907,4.169,6.65,5.716,11.488,7.499,5.872,9.007,9.074,6.222,5.738,8.739,8.886,6.126,8.044,11.572,6.443,8.732,10.514,8.147,8.745,8.683,7.741,4.267,8.286,6.388,8.494,7.142
"GENE42",7.458,9.567,6.392,7.473,5.506,9.006,6.696,11.147,7.5,7.348,7.14,8.589,7.971,7.646,10.585,6.33,8.786,7.903,10.343,5.682,5.981,7.012,10.309,8.082,5.329,8.521,10.901,10.322,8.969,10.029,8.646,10.198,8.599,7.613,9.292,5.519,7.892,13.206,7.554,9.175
"GENE43",9.137,6.495,8.245,7.217,7.146,7.348,8.083,8.451,8.907,5.394,5.108,6.499,7.88,7.611,10.864,9.861,9.456,8.122,10.03,7.584,7.992,9.634,10.019,6.937,7.349,4.583,9.256,10.332,9.159,11.265,7.783,9.486,7.03,6.496,7.07,5.869,7.996,8.441,9.777,8.572
"GENE44",6.91,10.773,7.456,6.398,8.953,6.329,8.074,6.375,8.336,6.104,8.997,7.511,8.174,7.005,6.834,8.005,8.565,7.328,7.207,7.056,7.189,8.763,6.736,7.913,4.561,6.521,7.722,8.087,8.474,8.077,9.409,10.122,7.874,9.266,6.683,6.086,6.338,7.195,9.964,7.1
"GENE45",5.948,7,8.885,8.643,8.066,8.911,7.132,6.491,12.844,8.609,5.596,6.487,9.116,7.522,6.047,6.143,6.506,4.169,7.623,6.6,7.179,7.796,6.995,6.555,7.861,7.911,8.8,6.74,6.443,6.743,7.182,5.996,7.8,9.042,4.657,11.119,9.403,7.783,6.244,10.479
"GENE46",8.649,8.158,10.149,7.739,8.522,8.413,6.502,7.947,9.381,5.811,5.968,7.047,7.353,9.114,11.935,8.834,7.104,7.531,6.971,5.693,9.727,7.837,6.637,8.14,9.056,7.759,10.677,8.857,6.867,6.373,8.208,8.869,9.679,9.892,8.29,9.523,5.771,8.813,9.494,6.214
"GENE47",6.783,7.367,6.511,8.774,11.689,9.736,7.996,9.964,6.19,9.573,3.473,6.185,7.251,6.689,8.344,4.725,8.248,8.062,7.144,7.259,9.578,9.132,7.795,7.478,6.658,7.369,8.284,8.099,7.263,7.18,10.17,7.457,8.359,10.5,4.531,7.836,11.343,8.951,6.88,10.124
"GENE48",10.166,7.816,8.682,7.648,6.772,5.476,8.983,9.126,7.094,5.98,9.247,6.325,6.702,4.876,8.28,7.629,3.607,5.393,8.869,7.347,10.397,7.664,7.248,7.822,6.076,9.483,7.146,13.377,8.221,7.36,7.501,7.93,8.436,10.208,7.963,9.472,10.436,5.338,8.333,9.221
"GENE49",7.353,8.282,8.127,7.012,4.83,8.131,10.215,4.792,8.555,7.71,8.377,8.945,6.563,8.141,8.114,9.669,6.728,8.825,6.652,7.515,7.604,8.112,8.169,6.351,9.884,6.396,10.178,5.102,11.535,6.184,6.801,7.101,11.515,9.184,8.662,11.392,8.78,4.901,9.501,4.854
"GENE50",8.983,8.179,9.343,9.875,8.411,10.03,5.136,6.949,5.148,7.996,8.693,7.591,8.49,7.997,10.107,7.487,9.198,7.104,7.715,4.908,8.049,5.531,5.187,7.575,6.553,4.08,10.803,7.696,6.619,8.897,7.178,8.323,8.624,7.945,9.184,8.956,5.972,7.865,8.741,8.48
"GENE51",8.483,7.962,7.655,7.592,6.969,9.086,6.946,7.986,5.293,7.981,9.267,7.612,10.321,7.98,7.712,9.958,7.552,10.172,7.784,8.662,5.673,10.661,8.238,6.365,9.362,9.171,6.523,10.226,4.765,10.136,6.424,8.14,8.544,7.863,9.533,10.663,8.639,9.255,7.987,9.202
"GENE52",6.824,8.162,9.255,9.422,8.669,6.751,7.533,5.813,6.317,8.228,7.937,10.594,6.547,9.002,10.189,10.693,7.575,8.397,7.855,9.12,7.418,9.149,8.023,7.392,8.321,8.068,9.078,4.852,7.819,7.335,8.379,4.82,8.798,7.381,8.923,6.279,5.505,8.249,8.144,6.812
"GENE53",10.364,7.272,5.382,6.198,6.781,9.099,5.505,9.042,7.478,8.898,6.342,7.912,7.717,7.98,7.669,6.248,9.304,6.817,8.272,9.184,10.646,9.248,5.599,8.79,9.322,7.837,8.194,7.611,6.741,6.439,8.492,9.279,10.322,6.828,6.711,6.381,7.595,9.538,11.376,7.984
"GENE54",8.964,7.244,10.534,7.301,11.318,6.692,6.874,4.308,9.858,7.811,8.846,7.194,6.455,9.164,8.758,6.272,7.183,8.252,10.395,9.156,7.375,5.142,8.414,8.361,9.504,7.413,9.052,8.501,4.741,6.089,9.284,8.232,9.442,7.415,9.336,9.602,9.186,8.605,10.155,5.565
"GENE55",8.135,5.508,9.297,7.596,7.814,7.32,6.834,8.215,7.589,7.627,9.955,9.121,9.362,4.984,6.45,6.628,8.943,8.386,7.323,8.301,6.25,7.969,8.082,9.348,9.71,5.47,8.79,7.671,6.689,9.155,10.703,6.542,8.508,8.921,8.095,9.338,9.261,8.617,8.016,6.639
"GENE56",8.415,7.426,7.774,7.414,7.284,9.781,6.916,7.413,8.244,8.24,5.75,7.269,7.524,6.308,8.256,8.793,5.866,9.368,6.808,10.203,8.063,7.387,7.654,8.732,9.854,6.571,7.969,6.602,7.44,8.047,10.108,6.348,7.084,8.577,5.203,9.305,8.049,10.52,7.519,8.205
"GENE57",9.019,7.231,5.826,10.023,7.751,7.565,4.717,7.263,7.903,7.35,7.09,10.059,8.269,8.523,9.801,9.253,6.159,7.765,9.188,6.685,9.87,5.935,7.98,8.168,8.443,8.761,8.657,7.817,6.347,5.143,6.124,6.965,8.536,6.192,7.83,8.729,7.643,6.407,10.763,8.407
"GENE58",8.135,12.053,8.965,7.966,9.294,9.243,8.32,7.575,6.942,10.306,7.562,7.433,8.522,7.471,7.755,9.814,5.489,4.95,8.571,6.16,5.633,9.091,8.577,9.497,8.258,8.028,6.184,10.008,9.073,7.814,10.999,5.625,8.212,9.797,5.325,7.293,8.395,6.813,8.135,7.89
"GENE59",3.51,5.957,8.725,8.366,8.146,7.563,7.052,8.472,10.043,4.745,6.065,7.076,6.419,9.417,9.924,9.949,8.127,6.051,8.354,8.507,7.619,9.851,8.52,9.788,6.567,5.872,5.893,5.978,9.361,8,8.209,8.207,5.246,9.937,6.42,9.424,5.612,8.583,8.604,6.838
"GENE60",8.427,8.206,7.99,6.586,5.562,5.635,10.281,8.594,6.355,9.541,9.041,6.248,7.843,6.493,12.091,9.614,7.691,6.714,8.886,8.661,8.702,7.17,7.353,5.901,6.184,8.897,9.081,10.122,7.513,6.734,7.42,10.254,5.688,10.225,7.071,10.772,7.436,8.381,9.964,8.891
